"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"KHARCHENKO12;LOKTIN17;BICA19;CANTAT20;DIAS21;HUNT23","2057;387;1265;663;559;4152","Koposov 43;FSR 0828;MWSC 687;MWSC 688",88.079,29.901,179.9237,1.7468,0.18,-0.037,-1.664,"koposov43;fsr0828;mwsc687;mwsc688","UCC G179.9+01.7","Q2P","nan","nan",2.9,False,148.0,True,"010",0.98,0.57,"AB",138.0,179.928,1.754,88.082,29.901,0.19,-0.079,-1.671,12.077,9.0,1.0
"KHARCHENKO12;LOKTIN17;BICA19;CANTAT20;DIAS21;HUNT23","2038;980;1266;1242;1106;5061","Koposov 49;Teutsch 10;DSH J0544.3+2848;FSR 0829;MWSC 661",86.096,28.828,179.951,-0.2872,0.319,0.834,-1.892,"koposov49;teutsch10;dshj05443p2848;fsr0829;mwsc661","UCC G179.9-00.2","Q2N","nan","nan",3.1,False,109.0,False,"000",0.48,0.59,"CB",107.0,179.948,-0.293,86.091,28.824,0.313,0.807,-1.956,1.134,4.0,1.0
"HUNT23","2838","HSC 1418",84.05964,27.65605,179.9929,-2.4296,0.419,1.794,-1.728,"hsc1418","UCC G179.9-02.4","Q2N","nan","nan",8.6,False,37.0,True,"000",0.46,0.42,"CC",26.0,180.003,-2.485,84.036,27.61,0.416,1.78,-1.718,22.735,3.0,2.0
"CHI23_3","471","CWWDL 8594",87.9395,29.6813,180.0512,1.5307,0.262,0.12,-1.583,"cwwdl8594","UCC G180.0+01.5","Q3P","nan","nan",6.7,False,55.0,True,"010",0.3,0.4,"CC",30.0,180.023,1.53,87.925,29.706,0.276,0.093,-1.535,59.283,1.0,2.0
"CASTRO22","291","UBC 1292",90.71,31.05,180.059,4.2851,0.24,0.33,-1.1,"ubc1292","UCC G180.0+04.2","Q3P","juchertj06031p3102","0.55",6.9,False,56.0,False,"000",1.0,0.68,"AB",45.0,180.089,4.328,90.77,31.052,0.249,0.368,-1.082,"nan",0.0,9.0
"CHI23_2","37","CWWL 3079",99.408,34.733,180.0841,12.4604,0.268,0.338,-1.757,"cwwl3079","UCC G180.0+12.4","Q3P","nan","nan",9.4,False,25.0,True,"000",0.69,0.44,"BC",0.0,180.105,12.456,99.45,34.721,0.266,0.388,-1.769,40.529,2.0,0.0
"BICA19;HUNT23","3413;4120","Juchert J0603.1+3102",90.77564,31.04188,180.0936,4.3302,0.252,0.346,-1.109,"juchertj06031p3102","UCC G180.0+04.3","Q3P","ubc1292","0.55",6.8,False,71.0,False,"000",1.0,0.68,"AB",58.0,180.092,4.317,90.765,31.05,0.247,0.366,-1.092,"nan",0.0,1.0
"HE23;HUNT23","413;824","CWNU 1684",85.38951,28.18291,180.1733,-1.1545,0.62,1.011,-1.935,"cwnu1684","UCC G180.1-01.1","Q3N","nan","nan",8.4,False,38.0,False,"000",0.52,0.56,"BB",31.0,180.168,-1.174,85.374,28.198,0.616,1.012,-1.937,"nan",0.0,3.0
"HUNT23","2839","HSC 1419",84.32747,27.59059,180.1756,-2.2644,0.163,0.234,-0.624,"hsc1419","UCC G180.1-02.2","Q3N","nan","nan",3.3,False,91.0,False,"000",0.99,0.42,"AC",69.0,180.182,-2.263,84.331,27.586,0.182,0.233,-0.618,-0.842,2.0,1.0
"CHI23","27","LISC-III 1790",94.86834,32.78667,180.195,8.216,0.308,0.3,-1.78,"lisciii1790","UCC G180.1+08.2","Q3P","nan","nan",5.0,False,25.0,True,"010",0.39,0.27,"CC",0.0,180.199,8.186,94.854,32.768,0.284,0.228,-1.769,27.396,2.0,0.0
