"fname","N_clust","N_clust_max","Nbox","frame_limit"
cwnu1374,"nan",57,"nan","nan"
cwnu1375,"nan",36,"nan","nan"
cwnu1376,"nan",57,"nan","nan"
cwnu1377,"nan",57,"nan","nan"
cwnu1378,"nan",36,"nan","nan"
cwnu1379,"nan",57,"nan","nan"
cwnu138,"nan",75,"nan","nan"
cwnu1380,"nan",36,"nan","nan"
cwnu1381,"nan",57,"nan","nan"
cwnu1382,"nan",57,"nan","nan"
cwnu1383,"nan",57,"nan","nan"
cwnu1384,"nan",56,"nan","nan"
cwnu1385,"nan",41,"nan","nan"
cwnu1386,"nan",56,"nan","nan"
cwnu1387,"nan",36,"nan","nan"
cwnu1388,"nan",56,"nan","nan"
cwnu1389,"nan",56,"nan","nan"
cwnu139,"nan",56,"nan","nan"
cwnu1390,"nan",56,"nan","nan"
cwnu1391,"nan",56,"nan","nan"
cwnu1392,"nan",56,"nan","nan"
cwnu1393,"nan",72,"nan","nan"
cwnu1394,"nan",56,"nan","nan"
cwnu1395,"nan",56,"nan","nan"
cwnu1396,"nan",35,"nan","nan"
cwnu1397,"nan",56,"nan","nan"
cwnu1398,"nan",35,"nan","nan"
cwnu1399,"nan",54,"nan","nan"
cwnu14,"nan",76,"nan","nan"
cwnu140,"nan",73,"nan","nan"
cwnu1400,"nan",35,"nan","nan"
cwnu1401,"nan",54,"nan","nan"
cwnu1402,"nan",35,"nan","nan"
cwnu1403,"nan",54,"nan","nan"
cwnu1404,"nan",54,"nan","nan"
cwnu1405,"nan",35,"nan","nan"
cwnu1406,"nan",54,"nan","nan"
cwnu1407,"nan",35,"nan","nan"
cwnu1408,"nan",54,"nan","nan"
cwnu1409,"nan",54,"nan","nan"
cwnu141,"nan",102,"nan","nan"
cwnu1410,"nan",54,"nan","nan"
cwnu1411,"nan",54,"nan","nan"
cwnu1412,"nan",54,"nan","nan"
cwnu1413,"nan",35,"nan","nan"
cwnu1414,"nan",35,"nan","nan"
cwnu1415,"nan",35,"nan","nan"
cwnu1416,"nan",56,"nan","nan"
cwnu1417,"nan",35,"nan","nan"
cwnu1418,"nan",35,"nan","nan"
cwnu1419,"nan",35,"nan","nan"
cwnu142,"nan",51,"nan","nan"
cwnu1420,"nan",54,"nan","nan"
cwnu1421,"nan",54,"nan","nan"
cwnu1422,"nan",54,"nan","nan"
cwnu1423,"nan",54,"nan","nan"
cwnu1424,"nan",54,"nan","nan"
cwnu1425,"nan",54,"nan","nan"
cwnu1426,"nan",35,"nan","nan"
cwnu1427,"nan",52,"nan","nan"
cwnu1428,"nan",60,"nan","nan"
cwnu1429,"nan",35,"nan","nan"
cwnu143,"nan",67,"nan","nan"
cwnu1430,"nan",52,"nan","nan"
cwnu1431,"nan",52,"nan","nan"
cwnu1432,"nan",35,"nan","nan"
cwnu1433,"nan",41,"nan","nan"
cwnu1434,"nan",52,"nan","nan"
cwnu1435,"nan",35,"nan","nan"
cwnu1436,"nan",52,"nan","nan"
cwnu1437,"nan",52,"nan","nan"
cwnu1438,"nan",35,"nan","nan"
cwnu1439,"nan",52,"nan","nan"
cwnu144,"nan",57,"nan","nan"
cwnu1440,"nan",52,"nan","nan"
cwnu1441,"nan",35,"nan","nan"
cwnu1442,"nan",52,"nan","nan"
cwnu1443,"nan",35,"nan","nan"
cwnu1444,"nan",52,"nan","nan"
cwnu1445,"nan",52,"nan","nan"
