"Name","logAge","e_logAge","Dist","e_Dist","Z","e_Z","E(B-V)","e_E(B-V)","Rv","e_Rv","_RA","_DE","plx","e_plx","RV","e_RV","Nc","sigRA","e_sigRA","sigDE","e_sigDE","pmRA","e_pmRA","pmDE","e_pmDE"
"Gulliver 51",8.909,0.037,1.331,0.051,0.025,0.007,0.375,0.079,2.916,0.659,30.335,63.801,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 52",8.331,0.425,2.421,0.18,0.019,0.007,0.506,0.044,2.625,0.317,161.669,-59.508,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 53",8.059,0.307,2.268,0.089,0.004,0.001,0.516,0.05,2.59,0.225,80.975,34.012,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 54",8.622,0.172,1.19,0.091,0.017,0.005,0.169,0.051,2.951,0.372,81.297,33.688,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 55",9.208,0.069,2.341,0.106,0.048,0.005,0.284,0.022,2.385,0.115,297.833,18.661,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 56",8.349,0.056,2.61,0.181,0.029,0.006,0.333,0.028,2.246,0.125,95.38,26.909,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 57",8.936,0.096,1.183,0.127,0.022,0.005,0.662,0.058,2.398,0.271,141.203,-48.075,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 58",7.535,0.657,2.213,0.275,0.005,0.005,1.18,0.182,2.299,0.284,191.515,-61.965,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 59",7.781,0.167,1.789,0.328,0.007,0.013,0.41,0.036,2.803,0.351,195.721,-64.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Gulliver 60",8.133,0.155,1.221,0.068,0.038,0.011,0.378,0.039,2.613,0.274,303.436,29.672,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 1,COIN_1",8.735,0.227,0.666,0.018,0.036,0.008,0.416,0.066,2.687,0.486,11.933,66.769,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 2,COIN_2",8.635,0.106,1.182,0.151,0.017,0.011,0.286,0.048,2.317,0.179,15.06,55.409,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 3,COIN_3",7.576,0.365,1.112,0.028,0.033,0.01,0.486,0.025,2.938,0.296,18.739,60.505,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 4,COIN_4",8.072,0.153,2.633,0.159,0.043,0.013,0.471,0.018,2.887,0.139,26.129,58.756,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 5,COIN_5",8.272,0.122,0.92,0.042,0.028,0.005,0.166,0.019,2.77,0.382,27.408,58.078,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 6,COIN_6",7.696,0.215,3.055,0.385,0.003,0.004,0.704,0.019,2.138,0.048,28.101,58.636,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 7,COIN_7",8.014,0.224,1.475,0.153,0.014,0.008,0.513,0.051,2.478,0.324,33.738,58.466,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 8,COIN_8",8.42,0.107,0.741,0.043,0.026,0.009,0.155,0.017,2.421,0.369,39.048,50.013,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 9,COIN_9",7.842,0.116,0.983,0.024,0.022,0.004,0.359,0.033,2.716,0.218,47.748,48.023,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 10,COIN_10",8.132,0.211,1.107,0.081,0.013,0.003,0.496,0.062,2.608,0.325,68.385,40.509,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 11,COIN_11",8.842,0.05,0.641,0.035,0.023,0.019,0.414,0.017,2.729,0.269,68.11,39.479,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 12,COIN_12",8.571,0.071,1.1,0.062,0.033,0.008,0.155,0.036,2.0,0.167,79.209,41.708,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 13,COIN_13",8.058,0.036,0.49,0.023,0.017,0.003,0.094,0.028,2.371,0.173,83.186,42.087,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 14,COIN_14",7.857,0.28,1.044,0.075,0.031,0.007,0.397,0.102,2.333,0.372,77.696,39.195,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
