"Cluster","Nall","Nflag1","RVmed","e_RVmed","RVmean","e_RVmean","s_RV","Nflag12","[Fe/H]med","e_[Fe/H]med","[Fe/H]mean","e_[Fe/H]mean","s_[Fe/H]","LX","LY","LZ","ULSR","VLSR","WLSR","ZGC","RGC","Peri","Apo","Energy","ecc","_RA","_DE"
"Berkeley_72",4,4,12.53976,4.69611,11.555269753697615,4.47204975475,9.784977939494553,4,-0.27133,0.07584,-0.381364377673281,0.0710989711354585,0.2965573404517721,39.00459119240926,-303.0651881217153,3088.519749060702,-0.1728865882222034,226.558635376208,22.229189922153864,-0.230692812635562,13.644911243122053,13.598,13.6597,-130059,0.0022672575722001,87.559,22.247
"Berkeley_78",6,6,62.16168,2.83913,62.2916193900554,3.073986172752565,7.155674478245172,6,-0.34153,0.0482,-0.325065083476639,0.0583857871829382,0.1574308460807073,-148.18888508337153,-43.80949823840899,2326.7285326965643,-31.621791334159184,193.7849394493806,5.66272290919818,0.702100534525143,11.852396374200454,8.327,12.2411,-143803,0.1902972266816542,110.913,5.37
"Berkeley_9",5,5,-20.49958,3.1177,-17.964740750943175,2.5285958694295068,15.746896960304856,5,-0.18969,0.08064,-0.265611505036074,0.0553751707174526,0.2470162360841954,33.08112184939645,-152.78398349530312,2208.064913975212,22.01719879755304,225.26391585966056,15.916684249885472,-0.0753975705725944,9.75583816957549,8.8137,10.2193,-148050,0.073850116192867,53.167,52.649
"Biurakan_2",1,1,-24.76,10.31,-24.76000022888184,10.3100004196167,"nan",1,0.26,0.026,0.259999990463257,0.0260000005364418,"nan",-14.414680047252125,11.763270749610722,1666.8660232522236,62.102294755260026,203.49607827622697,-1.973142489236988,0.0548847749090701,7.863124320668034,5.6004,8.79516,-162861,0.2219259119298506,302.283,35.488
"COIN-Gaia_10",5,5,-4.2406,5.03805,-3.318628891136861,4.229699150602522,11.2618507885846,3,-0.05948,0.1104,-0.0798383868494223,0.0863219163950907,0.1632604179815517,18.030734043988463,-34.78499176961639,2074.091399317302,9.67004467000236,225.99627936796423,3.8742924849222335,-0.0743876424327967,9.169482660478131,8.5415,9.28628,-151549,0.0417740363095431,68.385,40.509
"COIN-Gaia_11",32,32,-9.82251,1.77753,-9.920364683086127,1.517206418255593,9.757171720323417,23,0.1553,0.02931,0.16071344021707,0.0240929007813361,0.1834648062325625,12.896631839761785,-39.08516951539893,1965.5840845329549,14.543638639354556,222.15164489430416,4.512856367611759,-0.0539962405180398,8.837120780785844,7.911,9.00078,-154356,0.0644403657573191,68.11,39.479
"COIN-Gaia_12",7,7,-16.16469,3.91815,-16.279025062994165,3.112712028719101,9.75822418595592,7,-0.00338,0.03438,-0.0328188261906489,0.0456100598009979,0.138818180996181,-9.773905597628858,-38.09904339133153,1991.9720537269227,20.89778217232691,217.7626682837552,4.0624547832698426,0.0491518304080465,9.1283552996294,7.8059,9.38178,-153461,0.0916853331161236,79.209,41.708
"COIN-Gaia_13",36,34,-17.24736,1.37728,-17.875560427653735,1.121568125344364,9.204713734337004,30,-0.06821,0.01362,-0.0508884371562509,0.0173216774004441,0.1322896046343702,-15.007775371151924,40.42147811295876,2126.1492686749643,27.381897528817625,243.1711229336856,-4.816349322970069,0.0593811307695891,8.730945282940137,8.3208,10.0702,-149857,0.0951220188559519,83.186,42.087
"COIN-Gaia_14",8,8,4.55827,3.45809,5.165699302669606,2.6627637032281024,10.795779152762696,6,0.01365,0.08198,0.0146706417915116,0.0742330604842917,0.1673915560853459,-3.112857258336444,48.948797798071,2001.164064750117,0.8364819367288199,219.5585269656622,-5.371738369435011,0.0092120748567549,9.115976776791143,8.115,9.11662,-153356,0.0581250199487569,77.696,39.195
"COIN-Gaia_15",1,1,4.01,10.56,4.010000228881836,10.5600004196167,"nan",1,-0.012,0.086,-0.0120000001043081,0.0860000029206276,"nan",11.523671862614147,35.41581447418784,2130.6771100672154,4.42752127835803,227.72801710330745,-3.761316937260407,-0.0541612341059001,9.35452875207249,8.9261,9.39289,-150119,0.025478969137558,76.09,35.831
