"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"HSC 1437",58.34802038339,6.67972436212,"o",4.459,0.046,0.55,0,8.28,8.53,8.77,0.13,0.23,0.35,0.72,0.82,0.9,6.7,6.84,7.0,-0.192435890914362,-0.0073908605489473,-0.0901338871181318,8.314
"HSC 1438",58.64754023565,9.64323070113,"o",6.657,0.043,0.98,0,7.44,7.58,7.69,0.05,0.16,0.26,0.62,0.73,0.82,5.69,5.85,5.98,-0.125094878636542,0.0006026484717625,-0.0372787687560033,8.247
"HSC 1439",84.6220910641,25.24292152497,"o",0.141,0.033,0.89,0,8.6,8.76,8.88,0.42,0.59,0.76,1.67,1.78,1.91,13.0,13.23,13.51,-4.41560613015196,-0.177638206340414,-0.201461095068438,12.539
"HSC 1440",89.10823239687,27.63540438656,"o",0.652,0.024,1.0,0,7.09,7.21,7.37,-0.09,0.04,0.2,1.19,1.26,1.34,10.83,11.0,11.2,-1.58298791634515,-0.0645652850678277,0.0838219049360576,9.705
"HSC 1441",85.65641060546,25.49388759964,"o",1.253,0.043,0.67,0,8.19,8.33,8.46,0.26,0.39,0.54,0.63,0.73,0.82,9.29,9.48,9.7,-0.785626808803114,-0.0354737457912792,0.0110818670279228,8.908
"HSC 1442",81.15179693637,22.66608407427,"o",0.734,0.027,0.28,0,8.86,8.95,9.03,0.36,0.52,0.67,1.88,1.99,2.08,10.56,10.75,10.9,-1.3997284267629,-0.0672344434819899,-0.135678353979183,9.522
"HSC 1443",85.66929830451,25.24688431211,"o",0.196,0.044,0.27,0,8.63,8.8,8.93,-0.59,-0.36,-0.15,1.83,1.98,2.14,12.28,12.58,12.89,-3.27426700677393,-0.160238324213636,-0.0924782254500041,11.397
"HSC 1445",90.40921190702,27.11990649305,"o",0.509,0.034,0.99,0,7.65,7.75,7.84,-0.14,0.0,0.14,0.78,0.84,0.91,11.15,11.32,11.46,-1.83191670234951,-0.107506778082009,0.11439417633197,9.954
"HSC 1446",81.31233270131,21.99222512484,"o",0.776,0.044,0.21,0,8.36,8.52,8.7,-0.05,0.13,0.35,1.41,1.53,1.66,10.61,10.85,11.13,-1.46399046347381,-0.086962807928091,-0.15037143706625,9.586
"HSC 1449",79.8248229311,20.63983446766,"o",0.633,0.032,0.9,0,8.46,8.57,8.69,0.45,0.62,0.78,0.88,0.97,1.08,10.93,11.14,11.35,-1.66431301598984,-0.109436600548475,-0.233332180208363,9.787
"HSC 145",271.3878189165,-18.78962463045,"o",0.906,0.042,0.7,0,6.98,7.16,7.37,-0.42,-0.22,-0.03,2.54,2.71,2.89,9.99,10.35,10.77,1.15292910953099,0.225263014086324,0.0629710252478919,6.973
"HSC 1450",88.95886389124,25.69741852557,"o",0.194,0.039,0.74,1,8.17,8.28,8.4,0.49,0.63,0.79,2.19,2.29,2.4,12.82,13.07,13.33,-4.10161675815221,-0.282755980499316,0.0729026603000351,12.227
"HSC 1455",92.28829467237,27.14294385161,"o",0.652,0.027,1.0,0,8.15,8.3,8.44,-0.36,-0.22,-0.06,1.12,1.21,1.29,10.82,11.01,11.18,-1.58461028586455,-0.115114040523155,0.145538543198122,9.707
