"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"UBC 105",280.3351359407,-5.42597009574,"o",0.469,0.03,0.99,0,7.23,7.47,7.68,-0.8,-0.51,-0.23,3.08,3.25,3.44,10.7,11.13,11.59,1.49988302345366,0.762697657154307,0.0308719890526643,6.666
"UBC 1050",283.36433762329,-0.7101833538,"o",0.29,0.026,0.44,0,7.39,7.61,7.81,-1.1,-0.86,-0.62,3.34,3.47,3.61,11.06,11.42,11.78,1.6211855222368,1.03403087551868,0.0115034059897816,6.583
"UBC 1052",280.04766035073,7.66990045946,"o",0.304,0.024,0.69,0,9.18,9.29,9.39,-0.38,-0.18,0.0,1.32,1.45,1.59,12.1,12.33,12.59,2.27661840325378,1.81069048202934,0.340258706125044,6.119
"UBC 1053",288.76124332276,5.96493303802,"o",0.271,0.03,0.7,0,8.37,8.45,8.52,0.19,0.33,0.45,2.82,2.89,2.97,12.42,12.61,12.78,2.51028745878217,2.1775806000792,-0.109962399312301,6.019
"UBC 1055",285.41042677097,11.7345328068,"o",0.262,0.02,0.1,0,9.02,9.12,9.24,-0.11,0.08,0.27,1.76,1.9,2.03,12.15,12.48,12.78,2.23059423170223,2.19439417296915,0.204945754074523,6.287
"UBC 1056",286.16105510362,13.42462773267,"o",0.526,0.027,0.17,0,7.95,8.07,8.21,0.17,0.35,0.53,3.11,3.21,3.3,11.34,11.59,11.82,1.43284206844788,1.50314693561933,0.154416358502567,6.856
"UBC 1057",286.71966242611,13.25046189477,"o",0.288,0.026,0.14,1,8.27,8.35,8.45,-0.17,-0.03,0.09,4.23,4.32,4.4,12.64,12.86,13.05,2.56833187865909,2.70330708570535,0.207452342330982,6.177
"UBC 1058",285.20046152367,15.83539330728,"o",0.456,0.029,0.34,0,8.16,8.26,8.37,0.04,0.23,0.43,2.84,2.93,3.01,11.63,11.84,12.07,1.55236125778268,1.73013150389019,0.246365043639469,6.794
"UBC 106",280.47200534966,-5.41387406699,"o",0.406,0.032,0.97,0,7.65,7.84,8.03,-1.59,-1.37,-1.12,3.23,3.37,3.51,10.49,10.83,11.16,1.30547733030897,0.66594120581177,0.0293010683545836,6.849
"UBC 1060",292.965648517,16.56034515953,"o",0.449,0.027,1.0,0,6.92,7.0,7.09,0.32,0.46,0.6,3.6,3.67,3.74,11.69,11.9,12.1,1.4689975125597,1.89576253874012,-0.009471789330316,6.918
"UBC 1061",295.67316971546,15.7110424594,"o",0.265,0.029,0.32,0,8.98,9.08,9.18,-0.1,0.07,0.24,0.98,1.09,1.2,11.83,12.03,12.29,1.53761822203584,2.02289247444401,-0.131785352165364,6.888
"UBC 1062",293.34431838797,18.24823740538,"o",0.284,0.027,0.8,1,7.52,7.69,7.81,0.48,0.66,0.79,4.22,4.34,4.44,12.86,13.14,13.44,2.50282379941466,3.42977421116419,-0.0116223374995729,6.583
"UBC 1063",292.41509129133,19.43671982395,"o",0.205,0.026,0.86,1,8.02,8.13,8.26,0.08,0.24,0.4,4.04,4.17,4.29,13.6,13.92,14.27,3.5316069861932,4.95038802087137,0.108057775910568,6.751
"UBC 1064",297.66107215702,19.71628801551,"o",0.261,0.026,0.97,0,8.16,8.27,8.37,0.16,0.35,0.51,1.97,2.04,2.11,12.49,12.72,12.92,1.89285550981493,2.93545701513936,-0.17392946744663,6.886
"UBC 1065",298.55648889423,19.90447259755,"o",0.352,0.024,0.87,0,7.97,8.13,8.29,0.13,0.32,0.49,1.36,1.45,1.53,12.4,12.66,12.9,1.8102457495378,2.8722702258537,-0.20526851667313,6.935
"UBC 1066",295.83888883109,22.14325854271,"o",0.373,0.029,0.95,0,7.33,7.51,7.72,-0.12,0.14,0.42,3.54,3.69,3.81,11.77,12.17,12.6,1.422289925381,2.31400797432825,0.0018945132442554,7.088
"UBC 1067",294.65087402516,23.95048447716,"o",0.198,0.024,0.13,0,8.36,8.5,8.63,-1.03,-0.86,-0.68,3.52,3.64,3.75,12.65,12.92,13.23,1.95004273872726,3.30393751410119,0.109121241616102,7.001
"UBC 1068",297.84705960614,22.69689489633,"o",0.284,0.024,0.97,0,7.86,7.96,8.07,0.69,0.85,1.04,2.37,2.46,2.55,12.74,12.98,13.22,1.98040434531549,3.40817757554482,-0.107013759943687,7.024
"UBC 1069",294.97089741254,24.78939886312,"o",0.304,0.024,0.99,0,7.14,7.28,7.4,0.04,0.27,0.46,2.75,2.87,2.96,12.59,12.85,13.13,1.83908690906764,3.22737626427991,0.117378618420896,7.063
"UBC 107",279.76927107151,-4.80099355526,"o",0.339,0.03,0.99,0,8.1,8.3,8.48,-1.48,-1.29,-1.08,3.42,3.57,3.74,10.88,11.24,11.66,1.57363480255891,0.810476909621944,0.0546474037660114,6.598
"UBC 1070",298.40874121617,27.55070102626,"o",0.474,0.025,0.96,0,7.28,7.35,7.44,0.07,0.26,0.42,2.27,2.34,2.41,11.31,11.51,11.74,0.870361701851257,1.80566138287819,0.0381433647435172,7.473
"UBC 1072",297.8801657358,29.84620787244,"o",0.214,0.023,0.67,0,7.99,8.12,8.25,-0.11,0.08,0.26,2.14,2.24,2.34,12.38,12.64,12.9,1.37167907816791,3.08013848674495,0.128716776682329,7.42
"UBC 1073",298.25839331344,30.83120709021,"o",0.253,0.019,0.85,0,8.82,8.9,9.0,-0.21,-0.06,0.09,2.18,2.31,2.43,12.06,12.25,12.47,1.1003734555197,2.59335289204462,0.125504688003691,7.485
"UBC 1074",299.85138654935,30.01382737587,"o",0.396,0.015,1.0,0,7.77,7.89,8.02,0.03,0.22,0.41,2.05,2.15,2.25,11.91,12.17,12.45,1.06025754052738,2.50098514106475,0.0467039248785894,7.492
"UBC 1075",298.76692924272,30.61931486524,"o",0.248,0.017,0.2,0,8.41,8.5,8.59,0.52,0.63,0.76,2.36,2.44,2.53,12.79,12.98,13.16,1.53756599254205,3.63160428751358,0.125738787261303,7.52
"UBC 1076",299.48295453589,30.58904657035,"o",0.358,0.017,0.72,0,8.24,8.36,8.47,-0.06,0.11,0.29,2.34,2.45,2.57,11.72,12.0,12.26,0.967332968607802,2.3179736136625,0.0714366545941997,7.521
"UBC 1077",301.02169660633,30.48155957864,"o",0.331,0.023,0.17,0,8.41,8.5,8.59,-0.4,-0.27,-0.14,4.46,4.53,4.59,11.85,12.05,12.28,0.964537347533919,2.38246716704654,0.0191553733916831,7.544
"UBC 1078",299.83958397699,31.17765948613,"o",0.322,0.019,0.99,0,7.26,7.36,7.46,0.64,0.8,0.97,2.62,2.7,2.79,12.27,12.51,12.75,1.18946510853338,2.94552697234714,0.0820454070455655,7.532
"UBC 108",281.61556922007,-5.186610675,"o",0.626,0.033,0.97,0,8.62,8.72,8.82,-0.54,-0.38,-0.22,2.66,2.78,2.89,10.27,10.46,10.68,1.09349751532532,0.575317018086679,0.0116363826600582,7.052
"UBC 1080",301.24114584896,31.61165547972,"o",0.346,0.023,0.1,1,8.1,8.19,8.29,0.28,0.42,0.56,4.14,4.22,4.3,12.15,12.37,12.56,1.06672219336438,2.78095545360373,0.0388670853124831,7.584
"UBC 1084",300.91064991713,32.65708712477,"o",0.466,0.025,0.88,0,7.5,7.61,7.71,-0.19,-0.02,0.11,3.52,3.58,3.65,11.53,11.75,11.94,0.774928764169471,2.10013180786685,0.0706760094911827,7.641
"UBC 1085",301.55451319193,32.46453606276,"o",0.231,0.023,0.03,0,8.12,8.22,8.32,-0.32,-0.17,-0.05,4.18,4.26,4.35,12.93,13.16,13.37,1.474434775638,4.02384351494873,0.0552905879871256,7.771
"UBC 1086",300.06504330628,33.27746762026,"o",0.288,0.024,1.0,0,8.11,8.23,8.36,0.14,0.34,0.51,2.04,2.14,2.25,12.04,12.33,12.57,1.00471947249414,2.74480515956775,0.127063822111511,7.628
"UBC 1087",302.01528114577,32.37548808621,"o",0.584,0.021,0.96,0,8.27,8.4,8.53,0.29,0.46,0.6,1.58,1.65,1.74,11.02,11.21,11.41,0.596783004828962,1.64065308551917,0.0357454006551744,7.702
"UBC 1090",302.48533007468,34.31957873733,"o",0.397,0.022,0.69,0,8.21,8.34,8.47,-0.3,-0.15,0.02,2.94,3.08,3.18,11.45,11.69,12.01,0.678156906466182,2.06933310928798,0.0620858196335373,7.726
"UBC 1092",301.63205218858,36.35355298652,"o",0.283,0.02,0.97,0,8.12,8.22,8.33,-0.02,0.12,0.27,2.22,2.31,2.4,12.11,12.36,12.56,0.857032945716072,2.8359254199547,0.15689250727082,7.799
"UBC 1093",303.01073990772,35.71443306978,"o",0.274,0.019,0.92,0,8.11,8.25,8.39,-0.76,-0.54,-0.38,2.38,2.48,2.6,12.0,12.28,12.56,0.823086583117751,2.73608702145218,0.0887576566829475,7.795
"UBC 1097",303.64839580964,37.38328027514,"o",0.372,0.023,0.99,0,8.29,8.39,8.48,0.34,0.53,0.68,1.96,2.03,2.12,11.64,11.83,12.03,0.603688229980989,2.24215876691149,0.100106123639006,7.846
"UBC 10a",325.58654883709,62.28962988149,"o",1.117,0.018,1.0,0,7.39,7.48,7.55,0.25,0.38,0.51,1.25,1.31,1.39,9.75,9.93,10.1,-0.212547885205671,0.937061931863089,0.161136674771248,8.387
"UBC 10b",327.17476608561,61.13302384808,"o",1.03,0.026,1.0,0,6.94,7.07,7.19,0.04,0.18,0.28,1.45,1.53,1.61,9.75,9.95,10.16,-0.212171563603288,0.948930469423916,0.1390447289809,8.388
"UBC 11",245.93103711245,-59.90652209333,"o",2.172,0.036,0.99,0,7.71,7.8,7.87,0.1,0.18,0.28,0.52,0.59,0.66,8.2,8.35,8.48,0.387960359025541,-0.254301823127645,-0.0185179677120854,7.738
"UBC 110",281.62259129317,-4.98512068128,"o",0.277,0.033,0.85,0,8.42,8.58,8.72,-0.83,-0.61,-0.43,3.08,3.21,3.35,11.08,11.36,11.71,1.65233859141821,0.876074461320938,-0.0009488363349878,6.529
"UBC 1100",304.06261086811,37.91070107257,"o",0.242,0.019,0.95,0,8.39,8.5,8.61,0.57,0.72,0.84,1.61,1.71,1.8,12.35,12.56,12.76,0.810841184886142,3.14703704115207,0.124742754503198,7.96
"UBC 1102",308.91894212448,36.56766061846,"o",0.321,0.028,0.84,0,7.32,7.42,7.54,0.62,0.76,0.92,3.58,3.68,3.76,12.48,12.75,13.02,0.815188748075242,3.44986300600041,-0.110748565298269,8.08
"UBC 1103",306.8762361906,38.77373275331,"o",0.595,0.023,0.3,0,7.15,7.26,7.34,0.12,0.31,0.49,3.52,3.59,3.67,10.75,10.98,11.2,0.339307630710016,1.53326808416193,0.0456895614925686,7.932
"UBC 1105",306.81612993862,39.39459587455,"o",0.578,0.017,0.57,1,6.98,7.1,7.23,0.32,0.44,0.59,4.14,4.26,4.35,11.15,11.38,11.61,0.392564203809448,1.84664492438974,0.0597139084718914,7.947
"UBC 1108",298.07827347084,44.80508069829,"o",0.214,0.023,0.08,0,9.16,9.26,9.35,-0.99,-0.86,-0.73,1.64,1.76,1.87,12.86,13.11,13.31,0.786896939370148,4.06174520256817,0.691112163216587,8.385
"UBC 1112",306.97779650912,45.44118385963,"o",0.334,0.022,1.0,0,8.01,8.1,8.2,0.73,0.88,1.01,1.91,1.98,2.05,12.31,12.48,12.66,0.381817777730168,3.10232065778426,0.259135029272743,8.339
"UBC 1116",306.71776384245,49.15834812036,"o",0.591,0.024,1.0,0,8.01,8.14,8.23,-0.21,-0.06,0.11,1.83,1.91,1.99,11.15,11.29,11.47,0.128024110579042,1.79591931765893,0.239699423393322,8.193
"UBC 1117",311.4877120959,46.75517322921,"o",0.353,0.02,0.99,0,7.32,7.42,7.51,0.36,0.53,0.68,2.15,2.23,2.31,12.36,12.57,12.81,0.2319724319391,3.25503338401781,0.171677007937006,8.535
"UBC 1120",315.88956688676,45.32546455148,"o",0.482,0.017,0.99,0,7.48,7.62,7.76,0.22,0.42,0.62,1.86,1.92,1.99,11.57,11.81,12.04,0.128060088834237,2.29754620143641,0.0025701960855852,8.318
"UBC 1121",313.65645416055,47.01553107294,"o",0.287,0.018,0.05,0,8.83,8.91,9.0,-0.02,0.16,0.29,2.54,2.66,2.77,11.97,12.18,12.38,0.139568626930914,2.72469975904455,0.10372080406103,8.435
"UBC 1122",312.88359539711,47.78316778384,"o",0.325,0.018,1.0,0,7.4,7.56,7.73,0.0,0.24,0.5,2.47,2.59,2.72,12.17,12.54,12.91,0.150500952156944,3.21517871035678,0.165161718129145,8.595
"UBC 1123",316.09407143082,46.36956267425,"o",0.394,0.021,0.96,0,7.76,7.88,8.01,0.46,0.62,0.74,0.77,0.84,0.92,11.78,11.98,12.2,0.100681325328036,2.48676647965633,0.0251118371397834,8.398
"UBC 1124",312.33127107471,48.71985046307,"o",0.41,0.022,0.43,0,8.58,8.68,8.79,0.43,0.61,0.79,2.11,2.2,2.3,11.62,11.87,12.09,0.0902981061107315,2.36078172460286,0.168630409875364,8.371
"UBC 1125",316.29127468804,46.41393285023,"o",0.296,0.022,1.0,0,8.24,8.43,8.61,-0.98,-0.68,-0.42,1.01,1.15,1.29,11.1,11.44,11.78,0.074318213964684,1.93940342113275,0.0263316973490498,8.278
"UBC 1127",313.48524456892,49.08525612414,"o",0.474,0.018,0.99,0,7.49,7.59,7.68,0.42,0.61,0.8,2.57,2.65,2.72,11.88,12.12,12.32,0.0658904481006068,2.65078087632216,0.167906743177914,8.481
"UBC 1128",310.57253409246,50.65856323937,"o",0.517,0.021,0.99,0,7.99,8.09,8.2,0.27,0.44,0.59,1.68,1.75,1.82,11.11,11.33,11.52,0.0443120171419924,1.83695869284329,0.208043571899303,8.284
"UBC 113",285.13430186787,-1.55288338762,"o",0.407,0.035,0.96,0,8.6,8.66,8.72,0.03,0.15,0.27,2.47,2.52,2.59,11.61,11.74,11.88,1.87525304547314,1.19880019888132,-0.0694279375668677,6.361
"UBC 1130",317.48754831825,47.52156579798,"o",0.486,0.025,0.94,0,7.42,7.56,7.68,0.49,0.66,0.81,1.92,1.98,2.05,11.67,11.88,12.08,0.0342860236465636,2.37656047379743,0.0290957319521008,8.43
"UBC 1131",316.02853904196,48.4285571023,"o",0.271,0.019,0.05,1,8.49,8.57,8.66,0.07,0.19,0.32,4.23,4.31,4.4,12.56,12.76,12.97,0.0508818856690673,3.56357094399226,0.105763249487237,8.823
"UBC 1132",318.74067532519,47.14916754641,"o",0.318,0.017,0.95,0,7.93,8.09,8.25,-0.51,-0.27,-0.06,1.57,1.7,1.79,11.64,11.95,12.23,0.0219145836448806,2.45409634644762,-0.0086782333718916,8.464
"UBC 1133",314.58037306645,49.87628859597,"o",0.402,0.019,0.97,0,9.0,9.06,9.11,0.26,0.36,0.5,3.34,3.41,3.49,11.63,11.8,11.93,0.0143477890175969,2.28828073707422,0.149492424888167,8.424
"UBC 1135",317.18304172978,49.08311888024,"o",0.246,0.025,0.19,1,8.13,8.26,8.4,0.47,0.63,0.77,2.61,2.74,2.86,12.75,13.06,13.34,-0.0127662171680853,4.09206952259013,0.106654788567093,9.106
"UBC 1136",311.47506302398,52.28372334197,"o",0.52,0.022,0.99,0,7.83,7.91,7.99,0.1,0.25,0.4,1.72,1.78,1.83,11.27,11.42,11.57,-0.008383378014491,1.91344054309148,0.233840364014487,8.353
"UBC 1138",320.31880293583,50.28212720522,"o",0.598,0.023,0.97,0,7.95,8.05,8.14,0.63,0.77,0.9,1.63,1.71,1.79,11.26,11.46,11.64,-0.083739741454984,1.95702862174735,0.0513274327597184,8.436
"UBC 1139",322.09039522305,49.44148253788,"o",0.362,0.019,1.0,0,7.82,7.9,8.02,-0.47,-0.32,-0.16,2.27,2.36,2.43,11.65,11.84,12.02,-0.109283823508179,2.33045486052212,-0.0037640319981867,8.555
"UBC 114",286.42182281802,-0.39752663836,"o",0.645,0.033,1.0,0,7.7,7.79,7.87,0.03,0.16,0.27,1.22,1.28,1.34,10.7,10.85,11.02,1.22099798893594,0.830038150429554,-0.0479948821545823,6.951
"UBC 1140",324.6716077056,49.08431715854,"o",0.164,0.023,0.94,0,8.52,8.62,8.71,-0.56,-0.42,-0.24,1.47,1.57,1.66,12.31,12.5,12.68,-0.203173501405635,3.15269156099958,-0.097128606361024,8.902
"UBC 1142",332.93066874345,45.18274439158,"o",0.326,0.02,0.05,0,9.44,9.51,9.59,-0.42,-0.27,-0.11,1.11,1.19,1.27,12.03,12.22,12.38,-0.272102308106058,2.73156982852798,-0.395753360301965,8.827
"UBC 1143",324.69149725129,52.2565253976,"o",0.209,0.022,0.9,0,8.41,8.51,8.61,0.26,0.38,0.49,2.53,2.61,2.71,12.76,12.95,13.17,-0.392892731622776,3.87054665688675,0.0318309959780923,9.353
"UBC 1144",318.78046896038,56.17532724467,"o",0.207,0.023,0.19,1,8.87,8.97,9.06,-0.64,-0.5,-0.36,2.91,3.02,3.14,12.68,12.91,13.11,-0.398390497634516,3.78356025734599,0.379354601897578,9.323
"UBC 1145",328.1848598355,51.56707487021,"o",0.329,0.026,0.98,0,8.59,8.66,8.73,0.01,0.16,0.31,1.63,1.7,1.77,11.63,11.8,11.97,-0.279143651179998,2.27230644809592,-0.0406311399667713,8.703
"UBC 1146",324.43505414547,55.58203552452,"o",0.272,0.023,0.95,0,9.1,9.19,9.27,-0.35,-0.21,-0.05,2.56,2.68,2.78,12.03,12.22,12.42,-0.381106522863565,2.75090242686678,0.1602558285459,8.937
"UBC 1147",326.70798793579,54.49599132241,"o",0.37,0.021,1.0,0,7.85,7.93,8.02,-0.05,0.09,0.24,2.74,2.81,2.88,11.74,11.9,12.1,-0.34071689882204,2.37428798570008,0.0740002971452873,8.789
"UBC 1148",328.18850974778,53.93144970466,"o",0.223,0.017,0.18,1,8.49,8.62,8.72,-0.04,0.15,0.33,3.44,3.56,3.68,12.29,12.53,12.84,-0.472852352459668,3.17118423718994,0.0298110499466985,9.161
"UBC 1149",327.16645222734,54.82256812568,"o",0.249,0.023,0.38,1,8.4,8.53,8.66,0.08,0.23,0.43,3.17,3.29,3.42,12.36,12.64,12.91,-0.503089311088846,3.33475717505291,0.092016144119624,9.247
"UBC 1150",319.48787641902,60.09038686997,"o",0.633,0.029,0.88,1,6.78,6.93,7.1,-0.03,0.19,0.41,1.85,2.01,2.16,10.91,11.22,11.65,-0.275230061335405,1.7168667620883,0.271162818673912,8.571
"UBC 1151",327.51920880714,56.92591610386,"o",0.483,0.019,0.7,0,7.48,7.58,7.68,0.36,0.53,0.68,3.32,3.4,3.47,11.29,11.48,11.68,-0.345196258856285,1.9448929462788,0.122972844188679,8.688
"UBC 1152",329.21590784991,56.2843152896,"o",0.384,0.022,0.99,0,8.11,8.2,8.28,0.22,0.38,0.55,2.81,2.88,2.98,11.71,11.89,12.09,-0.430812566988816,2.34801915868172,0.0947632981272381,8.869
"UBC 1153",333.07551366465,53.20289793061,"o",0.255,0.022,1.0,0,7.42,7.52,7.65,-0.14,0.07,0.33,1.55,1.62,1.7,12.51,12.76,13.04,-0.641422262183655,3.50280129131487,-0.11545884053419,9.438
"UBC 1156",332.86649264224,55.61996631463,"o",0.3,0.018,0.97,0,8.68,8.81,8.95,-0.62,-0.4,-0.17,1.6,1.76,1.9,11.64,11.94,12.22,-0.493484614818808,2.39298987341338,0.021625541574015,8.942
"UBC 1157",335.63494966585,53.72344773502,"o",0.298,0.023,0.74,0,8.67,8.75,8.83,-0.68,-0.5,-0.35,1.42,1.49,1.57,11.74,11.95,12.12,-0.50701072613516,2.3984841997971,-0.0840284984324844,8.956
"UBC 1158",332.37394167042,56.59454958432,"o",0.335,0.021,0.49,0,8.1,8.24,8.37,-0.04,0.14,0.3,2.29,2.38,2.46,11.95,12.16,12.4,-0.561493096476097,2.64491144497002,0.0646190252654451,9.077
"UBC 1159",335.2837672444,54.93339532182,"o",0.258,0.021,1.0,0,8.25,8.4,8.54,-0.45,-0.3,-0.14,1.24,1.32,1.4,12.13,12.37,12.59,-0.640087904620694,2.907407984941,-0.0521673028506236,9.232
"UBC 1161",330.54030634903,59.47440782101,"o",0.163,0.023,0.81,0,8.59,8.7,8.8,-0.85,-0.69,-0.5,2.79,2.89,3.01,12.95,13.24,13.48,-0.990199993483516,4.3266693521624,0.304430638704968,10.087
"UBC 1162",329.51711385154,60.16946530171,"o",0.234,0.023,0.9,0,8.75,8.87,8.99,-0.1,0.1,0.3,2.08,2.21,2.38,12.41,12.71,13.08,-0.775574957423375,3.38608667057384,0.299955831331871,9.52
"UBC 1163",334.27132883153,57.32214134147,"o",0.328,0.022,0.13,1,9.01,9.08,9.15,-0.33,-0.17,-0.05,3.39,3.51,3.6,12.1,12.31,12.51,-0.664053840869526,2.82009691775589,0.067102210045311,9.228
"UBC 1164",338.89689837993,53.51350057452,"o",0.468,0.018,1.0,0,8.32,8.48,8.66,-0.61,-0.39,-0.16,1.02,1.19,1.34,10.67,11.01,11.41,-0.370366277814012,1.54431050645104,-0.0726049960875994,8.632
"UBC 1165",336.49859971325,56.47543693166,"o",0.221,0.022,0.48,0,7.97,8.11,8.24,0.61,0.79,0.96,1.85,1.97,2.08,12.82,13.07,13.35,-0.981862929705404,3.99204872807552,-0.0204415508338452,9.941
"UBC 1168",339.17905966151,57.45826031971,"o",0.322,0.02,0.94,0,7.52,7.66,7.8,-0.31,-0.12,0.07,2.32,2.41,2.5,12.2,12.44,12.67,-0.825892395966132,2.96286294198921,0.0007030956333592,9.426
"UBC 1169",340.08973220179,57.08705520002,"o",0.186,0.023,0.69,0,8.57,8.66,8.75,-0.51,-0.37,-0.21,2.28,2.37,2.46,12.45,12.68,12.86,-0.936685327196088,3.30446101800446,-0.0378634443471167,9.643
"UBC 1170",340.91291642172,56.89145176844,"o",0.291,0.022,1.0,0,8.23,8.35,8.47,-0.24,-0.08,0.08,1.48,1.58,1.65,12.11,12.29,12.5,-0.79710008576102,2.75656111747943,-0.0440793357149572,9.335
"UBC 1171",341.8075563865,56.96061109007,"o",0.356,0.017,1.0,0,7.59,7.7,7.83,0.12,0.27,0.41,1.34,1.42,1.51,12.15,12.36,12.57,-0.846214790370395,2.8398397609386,-0.055409032505275,9.407
"UBC 1173",343.34571083752,57.01331054947,"o",0.255,0.021,0.55,0,8.72,8.78,8.85,0.16,0.29,0.4,1.77,1.86,1.94,12.35,12.52,12.68,-0.951926135087165,3.04378985364056,-0.0810504507781971,9.571
"UBC 1174",350.02244411818,51.48299080457,"o",0.451,0.03,0.97,0,8.54,8.7,8.84,-0.21,-0.04,0.11,0.89,0.98,1.08,11.16,11.37,11.54,-0.598291993775705,1.75810958526299,-0.246318745358692,8.896
"UBC 1176",346.87679156293,59.96602505026,"o",0.344,0.021,0.96,0,8.29,8.4,8.52,0.32,0.48,0.65,1.62,1.75,1.85,12.13,12.38,12.59,-1.03641667160796,2.80699629983879,0.0272925648276413,9.579
"UBC 1177",349.11913202954,60.46869359947,"o",0.326,0.021,1.0,0,7.58,7.68,7.82,0.42,0.59,0.76,1.92,1.99,2.06,11.85,12.04,12.23,-0.937139847125294,2.38075255478182,0.03170048197844,9.367
"UBC 1178",349.86567977832,59.67267272063,"o",0.298,0.018,0.13,0,7.84,7.99,8.15,0.24,0.44,0.67,2.38,2.47,2.57,12.19,12.45,12.74,-1.1351871308864,2.87362319660927,-0.017605509993484,9.693
"UBC 118",282.64459217938,9.78168262557,"o",0.648,0.029,1.0,0,8.43,8.49,8.55,0.29,0.42,0.53,1.39,1.47,1.53,10.86,10.99,11.11,1.1769714353802,1.04316064928244,0.165994984976287,7.023
"UBC 1181",348.02798131939,64.79317002568,"o",0.157,0.016,0.84,0,8.83,8.94,9.04,-0.04,0.11,0.26,2.71,2.84,2.97,13.85,14.11,14.35,-2.54400047244483,6.11312358479512,0.503262723179111,12.294
"UBC 1182",352.77825142386,61.32939257513,"o",0.232,0.024,0.99,0,8.07,8.15,8.25,0.52,0.65,0.78,2.05,2.14,2.22,12.64,12.85,13.03,-1.47851116834844,3.40848478945433,0.0418312478956942,10.188
"UBC 1183",352.64926280093,62.07489023036,"o",0.38,0.024,0.96,0,8.28,8.39,8.51,-0.21,-0.02,0.18,3.48,3.58,3.7,11.18,11.41,11.66,-0.76686032256174,1.75375641172989,0.0660661161136896,9.06
"UBC 1184",352.52337101472,62.35558900368,"o",0.583,0.024,0.6,0,8.89,8.97,9.04,0.47,0.6,0.7,2.91,3.0,3.11,10.85,11.02,11.17,-0.641506947165937,1.46499615136463,0.0700047141475785,8.885
"UBC 1185",353.07699672748,62.10110618123,"o",0.321,0.022,0.99,0,8.33,8.49,8.62,-0.92,-0.66,-0.34,2.9,3.04,3.15,10.92,11.23,11.51,-0.71145654142205,1.61179779019676,0.0630280869554883,8.979
"UBC 1186",358.55515466253,51.44387259602,"o",0.585,0.026,1.0,0,8.49,8.6,8.7,0.07,0.23,0.39,0.0,0.09,0.17,10.69,10.85,11.04,-0.590558152573289,1.32972012733534,-0.224512038287382,8.813
"UBC 1189",356.09444786185,62.66223662123,"o",0.362,0.018,1.0,0,8.07,8.2,8.34,0.06,0.24,0.42,2.24,2.32,2.42,11.9,12.11,12.35,-1.12982029335734,2.38835471299674,0.0807372801238509,9.555
"UBC 119",290.61972123329,8.41018015867,"o",0.564,0.024,0.14,0,8.89,8.95,9.03,0.06,0.22,0.35,1.69,1.78,1.89,11.18,11.34,11.49,1.33211256407177,1.28495058058831,-0.0585426933106168,6.91
"UBC 1190",358.92518184724,60.87801057068,"o",0.352,0.022,1.0,0,8.14,8.24,8.33,0.42,0.57,0.71,1.8,1.87,1.94,12.16,12.33,12.5,-1.29085077659488,2.62308271430369,-0.0195532002404953,9.772
"UBC 1191",0.57920233063,59.46353011573,"o",0.335,0.025,0.39,0,7.57,7.68,7.82,0.15,0.31,0.48,2.2,2.28,2.35,12.11,12.29,12.48,-1.2895844649015,2.5611197190791,-0.0960595386440719,9.754
"UBC 1193",0.74643904674,61.87851237997,"o",0.335,0.023,0.97,0,8.56,8.62,8.69,0.14,0.3,0.47,1.48,1.57,1.65,11.82,12.02,12.2,-1.16096808416989,2.253590336271,0.0243073974854549,9.553
"UBC 1195",3.08065623345,58.0002129777,"o",0.262,0.027,0.99,0,8.06,8.18,8.28,0.06,0.21,0.37,1.55,1.66,1.75,12.13,12.33,12.53,-1.35802449374171,2.57988863945813,-0.183208522110186,9.825
"UBC 1196",1.96180601163,62.2138491558,"o",0.352,0.022,1.0,0,8.27,8.37,8.48,0.13,0.29,0.46,1.87,1.96,2.05,12.25,12.41,12.58,-1.41849684400639,2.68183045297463,0.03309813425128,9.91
"UBC 1199",4.53708338493,59.43881767046,"o",0.423,0.024,0.99,0,7.83,7.96,8.08,-0.08,0.05,0.19,1.73,1.79,1.87,11.56,11.75,11.94,-1.07390553895779,1.96060938544346,-0.0790352441559892,9.403
"UBC 120",284.09151099529,13.23849857731,"o",0.855,0.032,1.0,0,8.41,8.47,8.55,0.13,0.25,0.36,1.36,1.42,1.48,10.23,10.37,10.48,0.83131276935265,0.839695968005272,0.141207060054635,7.339
"UBC 1204",7.36506193017,57.44170856688,"o",0.459,0.022,1.0,0,8.24,8.33,8.42,0.05,0.15,0.3,1.35,1.41,1.46,11.43,11.58,11.74,-1.03002514624799,1.78574054125269,-0.14710414293501,9.325
"UBC 1205",8.3314065375,65.27974475093,"o",0.253,0.024,0.96,1,8.2,8.31,8.46,-0.17,0.02,0.2,3.79,3.92,4.05,12.69,13.01,13.32,-2.05975123700888,3.42362751090607,0.219560881431018,10.742
"UBC 1206",10.54407879768,67.56600287411,"o",0.297,0.021,0.44,0,8.82,8.9,8.97,0.55,0.68,0.8,2.68,2.76,2.85,12.17,12.39,12.62,-1.58895065985387,2.53942631093172,0.292518131222608,10.037
