"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","r1","r2","Sol","Sam","N2","rc","e_rc","rt","e_rt","k","e_k","logM","e_logM","_RA.icrs","_DE.icrs"
223,"Turner 5",264.23,11.05,400,0.1,8.49,0.6,1.65,3,2,29,2.1,0.3,12.9,1.0,1.5,0.2,2.897,0.113,143.1269,-36.4615
224,"NGC 2925",275.91,-1.23,774,0.08,8.05,0.09,0.3,4,3,24,0.9,0.3,3.9,0.7,11.0,3.3,1.362,0.24,143.2909,-53.3634
234,"NGC 3114",283.25,-3.87,911,0.08,8.24,0.11,0.45,4,3,59,4.8,1.0,11.8,1.4,3.0,0.7,2.802,0.162,150.4825,-60.0954
235,"Loden 28",282.21,-2.21,3950,0.62,7.3,0.09,0.2,1,4,12,2.7,2.0,15.7,4.3,0.3,0.2,3.15,0.36,150.7992,-58.1441
239,"Ruprecht 161",284.63,-4.34,940,0.09,8.39,0.12,0.3,1,4,10,3.9,3.1,6.1,1.3,1.3,0.4,1.954,0.283,152.1818,-61.2887
242,"Loden 46",282.6,2.07,540,0.14,9.03,0.11,0.32,3,3,28,2.0,1.7,5.8,3.6,6.3,5.8,1.862,0.817,155.7787,-54.8376
258,"Melotte 101",289.86,-5.56,1995,0.46,8.35,0.09,0.2,4,1,12,2.1,1.8,9.6,7.8,1.0,0.6,2.566,1.053,160.5421,-65.0976
259,"IC 2602",289.54,-4.94,160,0.03,7.83,0.5,2.5,1,1,53,2.9,0.3,12.7,1.2,2.2,0.2,2.885,0.127,160.5798,-64.4007
261,"Alessi 5",288.08,-2.05,398,0.15,7.71,0.1,0.3,2,1,12,1.2,0.6,2.9,0.6,8.6,3.0,0.973,0.273,160.7772,-61.1654
267,"Loden 189",286.72,2.59,720,0.13,8.64,0.1,0.28,2,4,15,2.6,1.1,5.1,0.6,3.2,0.3,1.709,0.158,162.5768,-56.4206
271,"Collinder 236",289.58,-1.23,800,0.07,8.37,0.08,0.2,3,2,13,1.1,0.6,3.2,0.6,6.9,2.0,1.097,0.243,164.3157,-61.1066
276,"NGC 3532",289.6,1.39,497,0.04,8.45,0.2,0.6,3,1,64,1.9,0.4,9.5,2.0,5.6,0.8,2.518,0.271,166.4971,-58.7252
285,"Stock 13",290.5,1.6,1577,0.22,7.37,0.06,0.23,4,1,10,1.0,0.8,7.0,2.0,2.0,1.7,2.146,0.384,168.2568,-58.8759
287,"NGC 3680",286.75,16.92,934,0.07,9.09,0.07,0.21,4,1,11,0.6,0.4,5.1,2.3,6.0,4.7,1.702,0.6,171.3916,-43.2373
288,"Ruprecht 94",294.05,-1.98,3400,0.3,7.19,0.1,0.25,4,2,22,3.2,1.8,23.2,12.3,0.4,0.2,3.738,0.691,172.6641,-63.4501
293,"NGC 3766",294.11,-0.03,1745,0.18,7.52,0.08,0.23,4,1,15,1.3,0.7,6.9,1.4,2.6,1.5,2.149,0.259,174.0447,-61.6059
294,"VDBH 121, vdBergh-Hagen 121",294.81,-1.62,2735,0.29,6.64,0.08,0.25,2,3,12,12.2,7.6,15.0,2.1,0.6,0.4,3.169,0.183,174.5214,-63.3292
298,"Loden 481",295.84,0.77,1520,0.24,8.19,0.09,0.28,4,1,11,3.9,1.8,10.2,1.5,0.6,0.1,2.65,0.191,177.9734,-61.2792
300,"Ruprecht 98",297.3,-2.28,610,0.16,8.78,0.1,0.35,4,1,18,3.1,1.1,6.0,0.6,3.1,0.6,1.922,0.14,179.6576,-64.5728
308,"Melotte 111",222.43,83.4,87,0.0,8.78,1.5,4.0,4,2,44,1.5,0.2,8.7,0.7,4.9,0.4,2.391,0.117,185.6227,25.8542
309,"NGC 4349",299.73,0.84,2176,0.38,8.32,0.1,0.22,4,4,39,1.8,0.6,11.2,1.3,2.9,1.0,2.804,0.153,186.0581,-61.8625
317,"Loden 694",303.12,2.12,1700,0.24,7.38,0.12,0.3,3,2,19,10.8,5.6,10.8,1.0,2.7,2.1,2.743,0.132,193.2442,-60.7512
