"Cluster","GLON","GLAT","RAdeg","DEdeg","Radius","Age","Rgc","RGuide","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","[FeH]","e_[FeH]","Qual","Nstars","[OH]","e_[OH]","[NaH]","e_[NaH]","[MgH]","e_[MgH]","[AlH]","e_[AlH]","[SiH]","e_[SiH]","[SH]","e_[SH]","[KH]","e_[KH]","[CaH]","e_[CaH]","[TiH]","e_[TiH]","[CrH]","e_[CrH]","[MnH]","e_[MnH]","[CoH]","e_[CoH]","[NiH]","e_[NiH]","[CeH]","e_[CeH]","[NdH]","e_[NdH]"
"VDBH_56, BH_56",264.506,1.53,134.369,-43.22,0.21,0.018,8.46,8.59,-5.57,0.19,5.44,0.15,18.9,0.1,0.02,0.02,1,1,0.09,0.02,0.12,0.02,-0.03,0.03,-0.08,0.05,0.0,0.03,-0.1,0.02,-0.05,0.02,-0.01,0.03,0.16,0.03,0.04,0.02,0.0,0.02,0.35,0.13,-0.07,0.02,-0.27,0.05,0.1,0.05
"Berkeley_10",138.614,8.881,54.885,66.489,0.08,1.202,10.21,11.06,-1.47,0.07,1.05,0.11,-36.9,0.0,-0.11,0.02,1,1,-0.26,0.02,-0.07,0.02,-0.19,0.03,-0.21,0.05,-0.12,0.03,-0.05,0.02,-0.15,0.02,-0.09,0.04,-0.29,0.03,-0.22,0.02,-0.13,0.02,-0.14,0.14,-0.14,0.02,0.29,0.05,-0.51,0.05
"Berkeley_13",155.072,5.924,73.953,52.81,0.07,0.49,12.03,13.37,-0.08,0.14,0.56,0.11,-30.5,0.1,-0.22,0.03,2,2,-0.3,0.02,0.01,0.02,-0.31,0.02,-0.27,0.05,-0.21,0.03,-0.12,0.02,-0.27,0.07,-0.25,0.03,-0.31,0.04,-0.16,0.02,-0.27,0.02,-0.29,0.13,-0.27,0.02,0.31,0.05,-0.15,0.13
"Berkeley_17",175.663,-3.669,80.141,30.574,0.07,7.244,11.67,11.3,2.62,0.28,-0.35,0.18,-73.5,0.3,-0.17,0.03,3,8,-0.12,0.03,-0.17,0.06,-0.15,0.03,-0.15,0.05,-0.16,0.02,-0.04,0.07,-0.06,0.05,-0.18,0.03,-0.19,0.07,-0.18,0.06,-0.18,0.04,-0.08,0.13,-0.17,0.02,-0.17,0.1,-0.14,0.14
"Berkeley_18",163.577,5.057,80.554,45.468,0.12,4.365,13.81,14.7,0.85,0.16,-0.06,0.14,-2.6,0.7,-0.37,0.03,3,23,-0.29,0.06,-0.29,0.13,-0.33,0.03,-0.34,0.06,-0.3,0.05,-0.2,0.08,-0.24,0.1,-0.35,0.09,-0.42,0.06,-0.46,0.12,-0.37,0.04,-0.35,0.29,-0.39,0.03,-0.14,0.09,-0.57,0.3
"Berkeley_19",176.919,-3.612,81.013,29.572,0.04,2.188,14.89,15.52,0.76,0.23,-0.33,0.13,17.7,0.0,-0.35,0.02,1,1,-0.31,0.02,-0.24,0.02,-0.27,0.02,-0.31,0.05,-0.37,0.02,-0.3,0.02,-0.35,0.02,-0.36,0.02,-0.38,0.02,-0.42,0.02,-0.39,0.02,-0.35,0.13,-0.4,0.02,-0.01,0.05,-0.2,0.05
"Berkeley_2",119.704,-2.317,6.322,60.391,0.03,0.589,13.22,12.91,-1.1,0.12,-0.3,0.1,-76.8,0.2,-0.19,0.03,3,4,-0.24,0.02,0.2,0.2,-0.26,0.02,-0.25,0.05,-0.22,0.03,-0.06,0.08,-0.2,0.08,-0.21,0.05,-0.25,0.09,-0.12,0.09,-0.25,0.04,-0.61,0.36,-0.21,0.07,0.25,0.05,-0.29,0.21
"Berkeley_20",203.483,-17.37,83.154,0.188,0.01,4.786,16.32,15.16,0.81,0.26,-0.24,0.16,76.6,0.0,-0.42,0.02,2,1,-0.36,0.02,-0.43,0.02,-0.39,0.02,-0.35,0.05,-0.35,0.02,-0.29,0.02,-0.35,0.02,-0.41,0.02,-0.45,0.02,-0.46,0.02,-0.45,0.02,-0.42,0.13,-0.41,0.02,-0.25,0.05,-0.91,0.05
"Berkeley_21",186.827,-2.476,87.949,21.811,0.03,2.138,14.73,14.22,0.56,0.16,-1.05,0.1,1.3,0.3,-0.23,0.03,2,4,-0.26,0.08,-0.28,0.04,-0.22,0.05,-0.21,0.05,-0.29,0.02,-0.18,0.06,-0.3,0.04,-0.22,0.06,-0.25,0.05,-0.26,0.1,-0.24,0.05,-0.06,0.18,-0.27,0.03,0.21,0.1,-0.41,0.21
"Berkeley_22",199.876,-8.075,89.615,7.759,0.02,2.455,14.29,13.32,0.65,0.13,-0.47,0.14,94.8,0.9,-0.31,0.05,2,3,-0.31,0.03,-0.12,0.19,-0.31,0.05,-0.27,0.08,-0.27,0.05,-0.23,0.06,-0.25,0.19,-0.31,0.07,-0.38,0.04,-0.36,0.08,-0.32,0.05,-0.22,0.13,-0.35,0.03,-0.12,0.05,-0.66,0.35
