"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"Trumpler_25, MWSC_2587","nan","nan",349.141,-1.753,1818.0,0.937,8.35,12.05,-9.114,11.75,-9.828,11.6,-10.164,261.0877,-39.0175
"IC_4651, MWSC_2590","nan","nan",340.09,-7.913,888.0,0.121,9.25,9.838,-4.89,9.799,-5.482,9.78,-5.681,261.2138,-49.9352
"BDSB_164, MWSC_2593","nan","nan",351.462,-0.451,3135.0,1.145,6.0,13.4,-4.427,13.033,-4.616,12.85,-4.65,261.3727,-36.3663
"ESO_392-13, MWSC_2598","nan","nan",353.01,0.264,816.0,0.75,7.95,10.16,-1.997,9.92,-2.13,9.8,-2.156,261.7078,-34.6831
"Ruprecht_124, MWSC_2602","nan","nan",348.107,-3.286,2186.0,0.937,8.25,12.45,-4.769,12.15,-5.178,12.0,-5.292,261.9946,-40.7301
"Trumpler_26, MWSC_2604","nan","nan",357.53,2.858,1490.0,0.729,8.17,11.45,-4.644,11.217,-4.88,11.1,-4.878,262.1237,-29.4853
"Antalova_1, MWSC_2605","nan","nan",355.833,1.625,930.0,0.427,8.485,10.185,-3.377,10.048,-3.469,9.98,-3.508,262.2281,-31.58
"BDSB_166, MWSC_2606","nan","nan",351.685,-1.136,6755.0,1.093,6.0,15.025,-5.488,14.675,-5.764,14.5,-5.764,262.2346,-36.5625
"BDSB_165, MWSC_2607","nan","nan",351.643,-1.237,5147.0,1.374,6.0,14.66,-5.451,14.22,-5.592,14.0,-5.578,262.3105,-36.6533
"Ruprecht_125, MWSC_2608","nan","nan",348.514,-3.393,1188.0,0.083,8.825,10.44,-3.465,10.413,-3.985,10.4,-4.139,262.4072,-40.4501
"Antalova_2, MWSC_2610","nan","nan",355.163,1.006,1259.0,3.727,6.0,13.49,-5.811,12.296,-5.914,11.7,-5.86,262.4004,-32.4802
"Antalova_3, MWSC_2613","nan","nan",355.508,0.983,2588.0,1.353,8.415,13.15,-5.602,12.716,-5.984,12.5,-6.125,262.648,-32.205
"Harvard_16, MWSC_2616","nan","nan",351.734,-1.652,1467.0,0.833,7.94,11.5,-5.48,11.233,-5.714,11.1,-5.789,262.8053,-36.8057
"Collinder_333, MWSC_2618","nan","nan",354.113,-0.181,1051.0,1.062,8.15,10.96,-7.607,10.62,-8.322,10.45,-8.593,262.8954,-34.0099
"FSR_0027, MWSC_2621","nan","nan",7.765,8.481,2735.0,0.979,9.2,12.97,-5.64,12.657,-6.19,12.5,-6.361,263.0162,-17.8837
