"ASCC","Name","RAJ2000","DEJ2000","GLON","GLAT","Radco","Radcl","RV","e_RV","o_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","m-M","logt","o_logt","Rem"
"ASCC_25","nan",101.38,24.6,190.18,9.72,0.1,0.21,21.5,"nan",1.0,0.96,0.59,-3.26,0.74,3.36,-0.54,8,1400,0.16,11.23,8.86,1,"nan"
"ASCC_26","nan",102.6,7.25,206.35,3.06,0.08,0.17,8.0,"nan",1.0,-3.05,0.6,-0.5,0.51,-0.94,-2.95,8,800,0.13,9.92,8.09,1,"nan"
"ASCC_27","nan",103.47,-4.39,217.11,-1.46,0.1,0.2,"nan","nan","nan",-2.36,0.6,-3.72,0.39,2.24,-3.8,9,1200,0.09,10.68,8.75,1,"*"
"ASCC_28","nan",103.51,-0.17,213.38,0.5,0.1,0.3,22.7,"nan",1.0,-1.68,0.26,-1.1,0.36,0.21,-2.0,18,800,0.05,9.67,8.34,3,"*"
"ASCC_29","nan",103.57,-1.65,214.72,-0.12,0.1,0.22,13.5,"nan",1.0,-0.49,0.43,-0.35,0.24,0.09,-0.6,12,750,0.05,9.53,8.06,1,"nan"
"ASCC_30","nan",104.25,-6.21,219.09,-1.6,0.1,0.26,"nan","nan","nan",-2.89,0.42,0.6,0.34,-1.85,-2.3,16,800,0.15,9.98,8.2,1,"nan"
"ASCC_31","nan",105.22,3.5,210.89,3.69,0.07,0.17,"nan","nan",2.0,1.2,0.33,-1.38,0.4,1.77,0.44,7,600,0.15,9.36,8.63,2,"nan"
"Alessi 33, ASCC_32","Alessi 33",105.49,-26.5,237.88,-9.61,0.12,0.5,"nan","nan","nan",-3.39,0.33,1.97,0.35,-3.24,-2.21,28,750,0.08,9.62,8.18,1,"nan"
"ASCC_33","nan",105.79,-25.05,236.67,-8.73,0.45,0.9,15.0,9.0,2.0,-3.78,0.3,3.78,0.23,-5.05,-1.75,62,800,0.05,9.67,7.26,2,"*"
"ASCC_34","nan",107.62,6.07,209.67,6.99,0.1,0.3,"nan","nan","nan",-2.36,0.78,-1.87,0.32,0.61,-2.95,9,550,0.04,8.83,8.55,4,"nan"
