"RA_ICRS","DE_ICRS","Cluster","N","logAge","AV","MOD","r","Mass","Density","Nrelax","NBSS","NpBS","Reffcl","ReffBSS","_RA.icrs","_DE.icrs"
255.535,-41.113,"VDBH_211, BH_211","nan",8.63,2.18,11.4,2.72,612.0,10.961,7.31,0,0,0.086,"nan",255.535,-41.113
251.906,-44.536,"UBC_321","*",9.12,2.0,11.91,2.35,1721.9,47.242,20.02,2,1,0.075,0.178,251.906,-44.536
253.779,-40.947,"VDBH_202, BH_202","nan",8.58,1.84,11.22,1.96,694.2,33.534,10.25,0,0,0.056,"nan",253.779,-40.947
259.928,-36.785,"Gulliver_14","nan",8.78,1.63,10.48,4.0,177.8,0.997,8.53,0,0,0.19,"nan",259.928,-36.785
255.954,-38.465,"UBC_324","nan",8.9,1.83,11.3,2.38,1069.0,28.606,13.92,0,0,0.086,"nan",255.954,-38.465
256.179,-37.948,"NGC_6281","nan",8.71,0.3,8.66,2.44,1402.0,34.985,7.84,0,0,0.323,"nan",256.179,-37.948
254.821,-36.071,"UBC_560","nan",8.8,1.5,10.8,1.21,163.7,33.217,55.03,0,0,0.064,"nan",254.821,-36.071
240.218,-53.539,"Trumpler_23","*",8.85,2.18,12.07,2.8,4221.1,68.924,5.9,2,2,0.06,0.092,240.218,-53.539
251.76,-25.81,"ESO_518_03","nan",9.15,0.91,11.06,2.7,587.5,10.559,25.16,0,0,0.111,"nan",251.76,-25.81
187.576,-64.16,"UBC_521","nan",8.97,1.66,12.07,3.03,473.4,6.073,14.92,0,0,0.077,"nan",187.576,-64.16
180.431,-64.099,"Juchert_13","*",9.36,1.74,12.65,2.84,3561.9,54.495,20.38,4,1,0.045,0.068,180.431,-64.099
184.283,-62.952,"UBC_284","*",9.2,0.94,11.35,2.41,1273.8,32.319,25.87,1,0,0.09,0.12,184.283,-62.952
182.398,-62.995,"Ruprecht_101","nan",9.02,1.32,12.24,4.07,2665.2,14.136,5.94,0,0,0.108,"nan",182.398,-62.995
183.393,-62.719,"Ruprecht_102","nan",8.64,1.55,12.48,1.75,478.7,32.527,15.8,0,0,0.027,"nan",183.393,-62.719
188.694,-61.592,"Ruprecht_105","nan",8.59,1.5,11.56,3.79,307.3,2.039,5.06,0,0,0.102,"nan",188.694,-61.592
186.048,-61.866,"NGC_4349","nan",8.5,1.01,11.42,2.51,652.5,14.911,5.97,0,0,0.059,"nan",186.048,-61.866
191.515,-61.965,"Gulliver_58","*",8.82,2.76,11.97,3.2,2576.8,28.276,5.41,1,1,0.078,0.018,191.515,-61.965
192.623,-60.996,"UBC_524","nan",8.92,1.07,12.42,2.82,411.7,6.599,15.52,0,0,0.067,"nan",192.623,-60.996
189.882,-60.637,"Trumpler_20","*",9.27,0.88,12.65,6.63,9446.9,11.418,3.2,9,6,0.117,0.185,189.882,-60.637
180.446,-63.23,"NGC_4052","*",8.52,1.01,12.08,4.59,1016.0,3.814,2.18,1,1,0.09,0.186,180.446,-63.23
185.454,-60.4,"UBC_519","nan",8.81,1.45,12.19,2.88,255.7,3.871,13.5,0,0,0.065,"nan",185.454,-60.4
191.005,-58.096,"FoF_1994, LP_1994","*",8.86,1.22,11.4,4.69,1494.6,5.212,4.07,1,0,0.135,0.22,191.005,-58.096
192.965,-57.367,"UPK_578","nan",8.94,0.7,9.9,1.95,241.2,11.619,33.25,0,0,0.176,"nan",192.965,-57.367
186.022,-58.125,"NGC_4337","*",9.16,1.06,11.95,2.35,1956.8,53.448,20.97,3,1,0.051,0.044,186.022,-58.125
276.635,-50.772,"Mamajek_4","nan",8.57,0.31,8.32,11.3,455.4,0.114,0.83,0,0,1.318,"nan",276.635,-50.772
