"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"Aveni_Hunter_1",354.44583,48.56,1910,1776,39,1424,1417,1494,80.18,79.79,84.12,-2.03,5.63,-2.08,5.32,-2.12,5.92,-2.6,4.38,-2.65,4.41,-2.65,4.73,0.12,0.17,0.21,500.0,0.1,8.26,24.0,1.12,18.21,1.69,19.43,2.08,19.2,-3.21,13.38,-3.1,14.04,-3.12,13.99,0.1,0.08,0.06,"Aveni_Hunter_1.dat"
"BDSB96",106.325,-12.32889,618,559,18,399,448,405,71.38,80.14,72.45,-0.89,4.21,-0.87,4.84,-0.86,4.1,-1.18,3.96,-1.59,5.21,-1.17,4.15,-0.03,0.06,-0.03,1400.0,0.37,6.7,11.5,-0.94,18.69,-1.05,23.78,-0.99,19.12,-4.76,15.52,-5.52,18.86,-4.93,15.69,-0.02,-0.04,-0.02,"BDSB96.dat"
"VDBH_106, BH_106",163.175,-54.23333,36,32,4,18,17,6,56.25,53.12,18.75,-5.54,4.16,-8.84,6.57,-2.83,2.1,-0.42,4.36,1.8,6.61,0.88,6.55,-0.07,-0.23,1.0,1879.0,0.41,8.0,2.0,-12.31,8.02,-8.04,7.79,-9.97,7.11,0.46,9.68,-3.32,7.16,-0.26,7.38,0.19,0.59,0.01,"VDBH_106, BH_106.dat"
"VDBH_110, BH_110",166.825,-61.45,40,38,5,18,0,6,47.37,0.0,15.79,-1.95,4.58,"nan","nan",-6.43,2.8,-3.68,4.08,"nan","nan",-7.07,2.93,0.17,-99.99,-0.97,5593.0,0.42,9.0,1.5,-2.41,12.12,"nan","nan",-1.42,9.72,4.85,10.61,"nan","nan",2.0,9.17,0.3,-99.99,0.2,"VDBH_110, BH_110.dat"
"VDBH_111, BH_111",167.28333,-63.83333,1067,923,25,655,738,640,70.96,79.96,69.34,-2.4,5.93,-2.49,6.97,-2.33,5.86,1.02,6.12,0.8,7.4,1.03,6.05,-0.12,-0.18,-0.25,2700.0,0.25,8.35,7.27,-2.93,21.75,-2.93,26.87,-3.03,21.02,1.46,21.95,2.73,26.73,1.4,21.22,-0.05,-0.02,-0.03,"VDBH_111, BH_111.dat"
"VDBH_118, BH_118",170.7625,-58.55,100,91,3,73,78,24,80.22,85.71,26.37,-5.45,7.68,-5.99,8.3,-5.56,5.97,-4.17,7.0,-4.3,8.68,-5.38,3.54,0.07,0.02,0.83,1493.0,0.27,8.6,2.2,-10.49,23.83,-9.06,28.57,-6.56,13.65,-2.82,19.54,-0.95,18.87,-3.48,11.63,-0.14,-0.16,-0.11,"VDBH_118, BH_118.dat"
"VDBH_131, BH_131",186.55833,-63.41389,169,159,10,121,145,22,76.1,91.19,13.84,-5.11,6.18,-5.39,8.3,-6.35,2.21,0.86,5.17,0.53,6.6,-1.92,1.45,0.05,-0.08,-0.47,6250.0,0.62,9.1,3.17,-5.27,15.15,3.65,26.1,-4.96,9.99,0.02,11.69,4.75,21.37,1.03,7.88,-0.18,-0.24,-0.11,"VDBH_131, BH_131.dat"
"VDBH_132, BH_132",186.75,-64.06667,114,106,4,71,92,75,66.98,86.79,70.75,-4.21,4.55,-4.67,7.76,-4.07,4.89,-1.05,4.26,-1.01,6.22,-0.94,4.63,-0.07,-0.03,-0.18,5229.0,0.65,9.4,2.66,-6.5,12.74,-9.08,13.64,-6.68,12.28,-0.93,13.15,-1.01,21.51,-1.13,12.73,0.12,0.31,0.15,"VDBH_132, BH_132.dat"
"VDBH_144, BH_144",198.775,-65.91667,39,36,4,0,23,16,0.0,63.89,44.44,"nan","nan",-4.1,9.17,-3.69,3.09,"nan","nan",-4.19,9.41,-1.23,3.94,-99.99,-0.26,0.09,12000.0,0.7,8.9,1.3,"nan","nan",-17.29,12.14,-10.36,14.64,"nan","nan",-10.32,20.87,-9.43,16.97,-99.99,0.27,0.0,"VDBH_144, BH_144.dat"
"VDBH_151, BH_151",205.04583,-61.73111,70,61,5,46,25,17,75.41,40.98,27.87,-0.2,7.52,-4.21,8.52,-0.38,5.63,-6.38,8.72,-6.14,10.92,-4.26,1.44,-0.08,-0.25,-0.1,3800.0,"nan","nan",2.0,2.85,18.28,4.77,11.73,0.9,12.74,-9.35,24.27,-7.98,16.7,-8.18,16.62,-0.55,-0.49,-0.42,"VDBH_151, BH_151.dat"
"VDBH_19, BH_19",121.77083,-32.35,28,24,2,0,10,5,0.0,41.67,20.83,"nan","nan",-5.04,2.19,8.18,4.75,"nan","nan",0.21,3.67,2.71,7.06,-99.99,-0.09,-0.97,3050.0,0.71,8.45,2.0,"nan","nan",2.44,6.59,-3.99,3.09,"nan","nan",0.72,5.52,-0.19,3.49,-99.99,-0.04,0.12,"VDBH_19, BH_19.dat"
"VDBH_197, BH_197",251.625,-45.86,585,408,21,277,324,274,67.89,79.41,67.16,0.95,5.28,0.98,7.85,0.88,5.35,-3.01,6.42,-2.83,8.47,-3.01,6.46,0.04,0.09,0.08,1633.0,1.04,7.5,6.0,3.02,20.6,5.44,26.91,3.18,20.61,-3.96,25.51,-6.14,35.2,-3.98,25.57,0.09,0.09,0.09,"VDBH_197, BH_197.dat"
"VDBH_200, BH_200",252.48333,-44.18333,170,131,12,95,100,76,72.52,76.34,58.02,-1.29,8.21,-1.14,9.55,-1.74,5.96,-2.91,7.21,-4.06,8.75,-1.95,5.47,-0.07,-0.1,0.08,1475.0,1.0,7.35,3.15,-4.18,29.18,-7.48,36.76,-2.53,24.97,-5.02,26.12,-0.1,32.61,-5.6,22.03,0.55,0.69,0.47,"VDBH_200, BH_200.dat"
"VDBH_202, BH_202",253.78333,-40.95,204,158,9,98,111,95,62.02,70.25,60.13,-3.18,5.23,-2.52,8.28,-3.06,5.39,-2.57,5.93,-2.96,10.19,-2.58,5.79,0.01,-0.01,0.0,1607.0,0.87,8.05,3.0,-3.44,18.09,-5.49,18.43,-3.6,17.34,-4.04,21.51,-3.59,21.52,-3.9,20.77,0.23,0.33,0.23,"VDBH_202, BH_202.dat"
"VDBH_205, BH_205",254.04583,-40.66667,50,40,1,28,25,24,70.0,62.5,60.0,-1.43,4.47,-1.86,5.93,-1.45,3.97,-2.46,4.24,-3.39,7.36,-2.32,3.07,-0.01,-0.33,0.64,2160.0,0.3,7.12,2.0,-17.65,20.25,-12.4,18.56,-12.59,18.76,-25.11,19.45,-17.3,19.18,-18.28,19.55,0.37,0.64,0.46,"VDBH_205, BH_205.dat"
