"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"NGC_637",25.76667,64.04,73,53,5,0,23,14,0.0,43.4,26.41,"nan","nan",-2.13,2.88,-3.01,2.02,"nan","nan",-0.3,2.57,-0.88,1.03,-99.99,-0.12,0.82,2500.0,0.64,7.0,2.0,"nan","nan",-0.7,5.16,-1.0,4.52,"nan","nan",1.32,4.07,0.86,3.8,-99.99,-0.56,-0.49,"NGC_637.dat"
"NGC_6383",263.7,-32.56667,649,512,24,360,433,355,70.31,84.57,69.34,0.56,4.09,0.46,5.31,0.77,4.29,-1.05,3.94,-1.0,5.08,-0.99,3.85,0.13,0.15,0.26,985.0,0.3,6.96,10.5,-1.86,11.19,-5.55,14.63,-2.08,10.6,-1.39,11.79,-2.41,16.85,-1.49,11.44,0.07,0.0,0.03,"NGC_6383.dat"
"NGC_6396",264.4,-35.02667,191,160,12,110,120,108,68.75,75.0,67.5,-1.04,5.93,-1.47,6.54,-1.05,5.53,-1.18,5.42,-0.73,6.65,-1.18,5.61,0.01,0.08,0.04,1192.0,0.93,7.51,3.19,3.74,27.14,7.95,31.73,3.31,26.11,-0.27,19.44,-1.74,22.11,-0.35,18.45,-0.09,-0.1,-0.09,"NGC_6396.dat"
"NGC_6400",265.05,-36.94833,588,495,16,397,421,396,80.2,85.05,80.0,-1.39,5.79,-1.41,6.64,-1.33,5.8,-1.79,6.57,-1.87,7.34,-1.66,6.74,0.24,0.32,0.38,950.0,0.11,8.78,6.36,-4.25,18.23,-6.75,22.68,-4.28,17.68,-3.96,18.39,-5.33,22.92,-4.24,17.64,0.23,0.16,0.17,"NGC_6400.dat"
"NGC_6404",264.90417,-33.24667,410,353,13,222,285,226,62.89,80.74,64.02,-0.6,3.39,-0.95,4.96,-0.58,3.45,-0.4,3.9,0.16,5.57,-0.21,4.35,0.02,0.03,0.04,2400.0,0.92,8.7,5.54,-0.7,11.71,1.01,16.55,-0.74,11.99,-0.25,12.4,-3.03,17.09,-0.53,12.49,0.12,0.17,0.12,"NGC_6404.dat"
"NGC_6405",265.08333,-32.25333,1099,814,35,599,714,611,73.59,87.72,75.06,-0.84,4.49,-0.81,6.53,-0.81,4.85,-2.66,4.49,-3.3,5.81,-2.59,4.43,0.13,0.17,0.21,487.0,0.14,7.97,12.13,-1.38,15.33,-2.91,21.68,-1.49,15.49,-8.05,16.53,-13.2,25.8,-8.61,16.95,0.09,0.02,0.06,"NGC_6405.dat"
"NGC_6416",266.07917,-32.36167,256,218,7,151,200,148,69.27,91.74,67.89,-0.46,3.01,-0.72,4.94,-0.55,2.89,-1.28,3.34,-1.6,5.05,-1.41,3.62,0.11,0.17,0.22,741.0,0.25,8.09,7.5,-0.59,9.35,3.43,15.52,-0.44,9.08,-1.78,8.9,1.15,14.23,-1.53,8.41,0.31,0.46,0.29,"NGC_6416.dat"
"NGC_6425",266.75417,-31.53,188,160,7,109,80,94,68.12,50.0,58.75,2.19,4.61,3.49,4.67,2.81,4.51,-1.79,3.47,-0.82,4.0,-1.41,2.67,0.14,-0.01,0.17,778.0,0.4,7.35,5.8,-2.11,10.7,-2.53,9.0,-1.95,9.63,-6.23,10.43,-6.23,8.65,-5.75,9.69,0.04,-0.02,0.02,"NGC_6425.dat"
"NGC_6444",267.39583,-34.82,2697,1856,27,1088,1202,1072,58.62,64.76,57.76,-1.25,8.77,-1.33,9.49,-1.24,8.6,-3.73,8.81,-4.04,10.03,-3.83,9.0,0.0,0.0,0.01,560.0,0.12,9.0,6.97,-2.9,35.68,-3.23,39.85,-2.86,35.23,-0.31,34.43,1.23,38.06,-0.3,33.89,-0.01,-0.01,-0.01,"NGC_6444.dat"
"NGC_6451",267.67083,-30.21,756,569,16,407,445,392,71.53,78.21,68.89,1.53,6.1,1.62,7.08,1.32,5.71,-1.73,6.36,-1.76,7.33,-1.71,6.26,0.1,0.11,0.15,2080.0,0.67,8.13,4.92,6.18,23.05,8.2,26.82,5.96,21.75,-3.13,23.22,-3.71,27.17,-2.98,21.8,0.12,0.12,0.11,"NGC_6451.dat"
"NGC_6469",268.3,-22.275,698,550,17,417,467,400,75.82,84.91,72.73,0.34,6.48,-0.01,8.09,0.37,6.16,-3.58,6.82,-3.45,8.34,-3.69,6.78,0.09,0.09,0.17,1100.0,0.58,8.4,5.79,-1.22,20.69,-0.8,28.01,-1.13,19.91,-2.42,20.23,-1.76,27.07,-2.31,19.28,0.05,0.03,0.03,"NGC_6469.dat"
"NGC_6494",269.26667,-18.985,843,606,16,477,493,456,78.71,81.35,75.25,0.12,5.01,-0.16,5.49,0.25,4.63,-1.23,5.65,-1.16,5.91,-1.14,5.4,0.08,0.12,0.13,628.0,0.36,8.48,9.91,-0.12,18.36,1.19,21.53,-0.42,17.65,-5.61,18.92,-8.1,22.02,-5.35,18.15,-0.14,-0.15,-0.15,"NGC_6494.dat"
"NGC_6507",269.95833,-17.45056,756,565,22,394,471,378,69.73,83.36,66.9,-0.93,6.18,-1.21,7.81,-0.99,5.95,-0.25,6.0,-0.66,8.16,-0.1,6.15,0.07,-0.06,0.14,1230.0,0.85,8.6,7.1,1.03,19.08,5.96,26.33,0.96,18.45,-3.5,16.78,-5.99,21.55,-3.46,16.02,-0.04,0.04,-0.06,"NGC_6507.dat"
"NGC_6514",270.675,-22.97167,1841,1235,32,938,962,927,75.95,77.89,75.06,-0.83,5.19,-0.98,5.42,-0.76,5.09,-0.4,5.65,-0.38,5.79,-0.37,5.76,0.07,0.13,0.13,816.0,0.19,7.37,14.5,-1.7,16.7,-1.39,18.5,-1.8,16.31,-0.93,17.27,-1.14,19.2,-0.97,16.71,0.01,-0.01,0.0,"NGC_6514.dat"
"NGC_6520",270.85,-27.88833,132,66,6,26,39,24,39.39,59.09,36.36,-1.03,6.05,-1.37,13.71,0.87,2.7,-2.88,5.51,-0.94,13.94,-1.79,8.4,0.09,-0.11,-0.03,1900.0,0.42,8.18,1.5,-2.56,33.13,-3.26,42.2,-3.52,32.38,-3.9,21.94,-9.18,22.47,-4.44,20.78,-0.17,-0.21,-0.18,"NGC_6520.dat"
"NGC_6525",270.525,11.02333,204,174,6,152,143,156,87.36,82.18,89.66,0.06,5.54,0.12,5.89,0.08,5.51,-3.25,6.0,-3.38,6.57,-3.37,6.34,-0.03,0.02,-0.01,1436.0,0.14,9.3,6.5,-14.46,18.74,-10.44,16.5,-16.88,18.91,-9.05,15.89,-6.64,12.83,-8.86,16.01,0.4,0.46,0.45,"NGC_6525.dat"
"NGC_6529",271.37083,-36.29667,2166,1284,33,889,918,876,69.24,71.5,68.22,-1.64,7.29,-1.68,7.52,-1.63,7.21,-3.96,7.93,-4.09,8.26,-3.91,7.89,0.03,0.07,0.04,"nan","nan","nan",8.5,-2.31,27.93,-2.37,30.8,-2.31,27.58,-6.29,30.28,-6.5,33.34,-6.29,29.87,0.03,0.03,0.03,"NGC_6529.dat"
"NGC_6530",271.12917,-24.35833,621,379,11,285,325,279,75.2,85.75,73.61,0.28,4.41,0.42,5.75,0.28,4.56,-2.07,4.75,-1.76,5.87,-2.08,4.44,0.0,-0.02,0.03,1330.0,0.33,6.87,7.5,1.9,14.32,3.04,18.79,1.83,13.98,-3.21,17.91,-7.08,24.78,-3.15,17.82,-0.04,-0.03,-0.05,"NGC_6530.dat"
"NGC_6531",271.05417,-22.49,276,190,15,130,145,134,68.42,76.32,70.53,0.93,4.49,0.42,5.86,1.1,4.37,0.21,5.43,0.48,6.75,0.54,5.84,0.05,0.09,0.12,1205.0,0.28,7.07,4.69,-2.9,17.04,-3.66,21.5,-3.27,17.0,-6.89,16.96,-14.53,17.63,-7.61,16.3,0.28,0.32,0.25,"NGC_6531.dat"
"NGC_654",26.0,61.885,220,149,6,104,130,102,69.8,87.25,68.46,-0.97,3.35,-0.87,6.17,-0.95,3.17,-0.93,3.61,-1.0,5.54,-0.98,3.64,-0.04,-0.07,-0.05,2410.0,0.82,7.0,4.04,-0.44,13.99,-0.1,19.67,-0.51,13.51,-1.64,13.13,-2.69,19.8,-1.47,12.6,-0.18,-0.25,-0.18,"NGC_654.dat"
"NGC_6546",271.84167,-23.29667,2402,1650,32,1211,1328,1170,73.39,80.48,70.91,-1.41,4.97,-1.47,5.44,-1.41,4.83,-1.04,5.42,-0.85,6.01,-1.06,5.35,0.07,0.1,0.13,938.0,0.49,7.85,11.07,-1.35,15.38,-1.08,18.51,-1.36,14.86,-0.53,16.38,-1.03,19.58,-0.54,15.78,0.11,0.11,0.1,"NGC_6546.dat"
"NGC_6554",272.24583,-18.435,775,614,14,407,524,407,66.29,85.34,66.29,-0.44,3.62,-0.04,5.12,-0.43,3.76,-1.27,4.6,-1.05,6.09,-1.05,4.75,0.14,0.16,0.28,2488.0,0.69,6.6,10.5,0.07,10.34,-1.64,14.32,0.03,10.07,-3.15,12.94,-8.42,17.71,-3.39,12.57,0.17,0.13,0.14,"NGC_6554.dat"
"NGC_6561",272.625,-16.725,655,556,22,417,433,397,75.0,77.88,71.4,-0.04,5.71,-0.1,6.28,-0.1,5.25,-2.77,5.63,-2.77,6.29,-2.6,5.47,0.11,0.23,0.19,3400.0,0.4,6.92,8.0,2.8,20.52,4.2,23.2,2.38,18.84,-4.29,17.92,-4.88,20.01,-4.32,16.34,0.05,0.01,0.04,"NGC_6561.dat"
"NGC_6568",273.18333,-21.605,749,557,20,345,464,344,61.94,83.3,61.76,-0.37,3.98,-0.76,6.19,-0.54,4.2,-1.87,4.49,-3.05,6.85,-1.96,4.69,0.08,0.19,0.2,1000.0,0.25,8.71,6.5,-0.56,13.01,1.6,18.8,-0.34,12.92,-5.05,14.54,-4.28,21.73,-4.93,14.48,0.11,0.06,0.1,"NGC_6568.dat"
"NGC_657",25.8375,55.83639,58,55,3,41,49,17,74.55,89.09,30.91,1.97,4.86,1.87,7.64,2.36,2.89,-4.58,3.21,-5.03,4.74,-6.63,1.51,-0.04,0.1,0.88,1372.0,0.34,9.2,3.5,4.94,18.13,16.12,24.21,2.81,11.51,-3.54,9.54,7.13,4.22,-3.5,6.14,0.25,-0.36,0.18,"NGC_657.dat"
"NGC_6573",273.42083,-22.11833,92,67,2,44,50,44,65.67,74.63,65.67,-0.56,6.5,-1.74,8.68,-0.8,6.6,-1.93,4.47,-1.43,8.62,-2.18,3.8,-0.07,0.02,-0.18,460.0,2.48,7.0,1.9,1.62,23.42,8.19,27.41,1.67,21.87,3.59,21.37,6.06,24.1,3.21,20.16,0.09,0.03,0.09,"NGC_6573.dat"
"NGC_6583",273.95417,-22.13667,369,260,10,138,195,132,53.08,75.0,50.77,1.09,5.17,1.03,9.8,0.98,4.96,-1.82,5.5,-2.27,8.68,-1.82,5.5,0.05,0.16,0.11,2040.0,0.51,9.0,3.29,0.91,19.56,0.86,25.24,1.01,18.96,-2.68,20.21,-2.21,28.09,-2.62,19.56,-0.04,-0.13,-0.04,"NGC_6583.dat"
"NGC_6588",275.1375,-63.80833,24,22,2,0,6,3,0.0,27.27,13.64,"nan","nan",-1.26,4.8,-3.65,2.45,"nan","nan",-4.83,5.53,-7.88,2.48,-99.99,0.07,0.99,960.0,0.1,9.2,3.0,"nan","nan",-2.43,9.42,-1.81,8.7,"nan","nan",-11.04,8.54,-9.14,8.72,-99.99,-0.65,-0.5,"NGC_6588.dat"
"NGC_659",26.1,60.67333,132,104,5,59,93,44,56.73,89.42,42.31,-1.56,2.45,-0.98,5.49,-2.03,1.93,-0.13,2.05,0.45,4.81,-0.42,1.74,-0.01,0.13,-0.33,1938.0,0.65,7.55,3.43,0.55,9.66,7.55,18.41,0.5,8.85,0.32,6.92,-6.9,3.43,0.44,6.37,-0.02,-0.27,-0.02,"NGC_659.dat"
"NGC_6595",274.26667,-19.865,32,24,1,11,0,0,45.83,0.0,0.0,1.26,2.45,"nan","nan","nan","nan",-6.16,2.37,"nan","nan","nan","nan",0.23,-99.99,-99.99,1640.0,0.94,8.65,2.5,3.02,9.95,"nan","nan","nan","nan",-5.86,11.07,"nan","nan","nan","nan",0.1,-99.99,-99.99,"NGC_6595.dat"
"NGC_6596",274.3875,-16.65,146,94,5,61,69,63,64.89,73.4,67.02,2.02,4.81,1.62,6.44,1.8,5.07,-0.71,4.12,0.16,5.32,-0.21,4.64,-0.01,-0.08,-0.12,1100.0,0.15,8.6,3.54,-2.71,23.03,-4.47,28.4,-2.75,24.07,5.26,16.15,6.13,19.93,4.84,16.87,-0.13,-0.13,-0.13,"NGC_6596.dat"
"NGC_6603",274.60833,-18.40667,529,317,17,206,261,200,64.98,82.33,63.09,0.5,8.13,0.1,12.32,0.53,8.25,-0.26,8.64,0.18,12.06,-0.13,8.1,-0.01,-0.06,-0.03,3600.0,0.79,8.3,3.41,-1.39,25.8,-2.24,34.93,-1.28,24.73,0.3,29.78,-1.8,44.23,0.05,28.83,-0.07,-0.07,-0.07,"NGC_6603.dat"
"NGC_6604",274.5125,-12.24167,88,67,3,44,35,47,65.67,52.24,70.15,-3.12,3.27,-1.24,4.54,-3.28,3.63,-3.51,2.91,-2.77,4.06,-3.78,3.34,0.11,0.04,0.39,1696.0,0.97,6.81,2.93,-4.25,11.11,-6.45,8.5,-3.99,11.15,-1.42,11.24,-2.8,9.67,-0.77,11.12,-0.14,-0.17,-0.21,"NGC_6604.dat"
"NGC_6611",274.7,-13.80667,183,111,3,78,78,76,70.27,70.27,68.47,-1.49,2.81,-1.53,3.69,-1.2,3.04,-1.26,2.55,-1.22,3.36,-1.23,2.55,0.23,0.21,0.35,1800.0,0.8,6.11,4.0,-5.7,7.08,-6.15,6.3,-5.9,6.4,-1.42,9.27,-1.54,9.19,-1.46,8.92,-0.02,-0.08,-0.06,"NGC_6611.dat"
"NGC_6613",274.99167,-17.10167,164,105,5,71,84,78,67.62,80.0,74.29,-0.38,4.95,-0.13,8.32,0.2,6.3,-1.48,4.58,-1.48,6.85,-1.3,4.9,0.12,0.27,0.25,1296.0,0.45,7.22,3.81,-2.26,16.19,-5.53,17.16,-4.16,16.65,-5.46,15.55,-9.93,18.08,-6.97,16.81,0.13,-0.07,0.06,"NGC_6613.dat"
"NGC_6618",275.19583,-16.17167,1115,754,22,625,623,593,82.89,82.63,78.65,1.95,5.05,1.74,5.06,2.02,4.63,-1.47,4.86,-1.33,4.91,-1.29,4.77,0.11,0.18,0.22,1300.0,1.51,6.0,13.0,3.24,16.73,4.7,18.38,2.8,15.68,-4.72,14.2,-6.3,15.3,-4.67,13.02,-0.06,-0.08,-0.09,"NGC_6618.dat"
"NGC_6625",275.70833,-11.96167,571,405,14,315,348,311,77.78,85.93,76.79,-0.94,4.29,-1.08,4.97,-0.91,4.18,-1.35,4.54,-1.3,5.63,-1.26,4.67,-0.06,0.04,-0.1,1335.0,1.21,8.7,8.2,-2.31,14.54,-2.78,19.82,-2.3,14.23,-3.01,14.18,-5.41,17.86,-3.16,13.65,0.14,0.12,0.14,"NGC_6625.dat"
"NGC_663",26.5375,61.235,686,548,15,374,444,367,68.25,81.02,66.97,-2.5,3.02,-2.56,4.05,-2.55,3.06,-1.16,2.42,-1.28,3.27,-1.14,2.39,-0.01,0.02,-0.03,2420.0,0.8,7.4,8.67,-1.71,10.3,-0.46,13.47,-1.67,10.08,-1.96,8.43,-2.31,11.13,-1.97,8.28,-0.1,-0.14,-0.1,"NGC_663.dat"
"NGC_6631",276.79583,-12.03,282,205,7,161,181,146,78.54,88.29,71.22,-0.5,4.38,-0.85,5.83,-0.43,4.44,-3.33,4.71,-2.84,6.0,-3.77,3.72,0.01,-0.05,0.01,2600.0,0.45,8.6,4.0,-2.46,11.46,-2.4,14.45,-1.96,9.76,-0.21,15.02,0.61,23.22,-0.38,13.2,-0.23,-0.35,-0.21,"NGC_6631.dat"
"NGC_6633",276.8125,6.50833,949,744,24,605,628,615,81.32,84.41,82.66,-2.77,5.42,-2.73,5.82,-2.75,5.56,-5.83,5.89,-5.95,6.15,-5.86,6.07,0.13,0.12,0.18,376.0,0.18,8.63,10.5,-2.5,19.84,-2.66,23.35,-2.57,20.31,-3.69,20.9,-1.84,24.65,-3.38,21.33,0.23,0.24,0.21,"NGC_6633.dat"
"NGC_6639",277.74583,-13.155,192,137,6,86,113,84,62.77,82.48,61.31,-0.87,3.99,-1.29,6.72,-0.79,3.79,-3.15,5.29,-4.26,8.57,-3.17,5.41,0.05,0.01,0.1,700.0,0.2,8.86,3.0,-0.97,15.31,1.56,21.73,-1.06,14.8,-2.23,18.54,6.87,23.88,-2.27,17.8,-0.25,-0.46,-0.25,"NGC_6639.dat"
"NGC_6645",278.15417,-16.88556,1970,1415,35,1022,1124,1009,72.23,79.44,71.31,-2.81,7.73,-2.73,8.77,-2.88,7.77,-1.95,7.74,-2.11,8.59,-1.96,7.7,0.01,0.04,0.02,1245.0,0.36,8.6,7.7,-1.02,23.47,-0.17,28.27,-0.99,22.8,-1.0,23.78,0.31,28.89,-1.03,23.15,-0.01,-0.04,-0.02,"NGC_6645.dat"
"NGC_6649",278.3625,-10.40333,220,140,8,96,110,94,68.57,78.57,67.14,-0.3,4.14,-0.9,5.7,-0.44,3.84,1.05,5.15,1.13,6.37,1.02,5.24,0.06,-0.16,0.1,1369.0,1.2,7.57,4.0,1.89,16.25,7.19,19.34,1.9,15.5,1.8,16.96,2.12,21.58,1.77,16.02,0.47,0.69,0.46,"NGC_6649.dat"
"NGC_6664",279.15417,-7.81333,295,223,9,129,154,143,57.85,69.06,64.13,0.63,3.58,0.76,5.73,0.87,3.53,3.6,3.43,5.01,5.45,4.08,4.73,0.24,0.36,0.41,1164.0,0.71,7.16,6.5,0.91,11.84,0.75,13.06,0.59,12.52,5.53,9.75,3.2,10.2,5.09,9.6,0.04,-0.11,0.0,"NGC_6664.dat"
"NGC_6683",280.55417,-6.21167,131,61,4,37,42,37,60.66,68.85,60.66,-1.78,5.55,-1.29,8.15,-1.82,5.69,-0.69,4.34,0.86,6.77,-0.62,4.12,-0.17,0.02,-0.21,1197.0,0.54,7.0,2.0,6.03,25.04,8.6,28.5,5.6,24.3,-5.7,22.7,-12.73,24.02,-5.48,22.08,-0.12,-0.08,-0.12,"NGC_6683.dat"
"NGC_6694",281.325,-9.38333,2669,1616,31,1136,1254,1108,70.3,77.6,68.56,-2.52,5.23,-2.69,5.78,-2.47,5.1,-2.05,5.07,-2.1,5.71,-2.03,5.1,-0.02,-0.01,-0.05,1600.0,0.59,7.93,11.52,-3.73,17.7,-3.74,20.99,-3.75,17.33,-2.6,16.54,-2.69,19.42,-2.6,16.11,0.1,0.11,0.1,"NGC_6694.dat"
"NGC_6698",282.01667,-25.87833,392,342,8,268,308,275,78.36,90.06,80.41,-6.58,6.23,-6.76,7.89,-6.47,6.68,0.65,5.43,0.29,6.7,0.67,5.59,0.01,-0.07,0.01,1150.0,0.32,9.28,6.0,-9.21,16.24,-12.89,21.48,-9.35,15.25,-0.18,15.04,2.37,21.72,-0.18,14.46,-0.16,-0.13,-0.17,"NGC_6698.dat"
"NGC_6704",282.6875,-5.205,164,121,7,65,102,65,53.72,84.3,53.72,-1.73,3.98,-3.0,7.29,-1.83,4.46,-2.61,4.09,-3.08,9.07,-2.64,3.8,0.04,-0.08,-0.04,2974.0,0.72,7.86,2.5,-3.02,14.4,2.94,23.61,-2.93,14.32,-1.62,16.88,5.84,25.19,-1.59,17.02,0.01,0.0,0.01,"NGC_6704.dat"
"NGC_6705",282.77083,-6.27,8556,6161,72,4349,3909,4221,70.59,63.45,68.51,-1.12,7.7,-1.17,6.48,-1.17,7.44,1.61,7.78,1.67,6.68,1.58,7.74,0.03,0.06,0.06,1877.0,0.43,8.4,16.5,0.36,26.03,0.27,25.28,0.36,25.57,1.75,25.41,1.63,24.66,1.79,24.85,0.04,0.04,0.04,"NGC_6705.dat"
"NGC_6709",282.825,10.31833,1711,1358,38,992,1067,971,73.05,78.57,71.5,-1.7,6.43,-1.98,7.0,-1.73,6.2,-2.15,5.34,-2.28,6.01,-2.12,5.43,0.04,0.09,0.09,1075.0,0.3,8.18,10.18,-1.28,23.58,0.03,27.9,-1.23,23.14,-3.53,18.08,-3.71,21.09,-3.53,17.58,0.0,-0.01,-0.01,"NGC_6709.dat"
"NGC_6716",283.64167,-19.90167,158,124,4,78,99,76,62.9,79.84,61.29,0.11,4.23,-0.03,6.2,-0.11,3.9,-1.46,4.03,-2.26,6.13,-1.34,5.01,0.09,-0.06,0.34,789.0,0.22,7.96,3.28,2.51,13.06,5.96,15.54,2.46,12.41,-2.97,9.5,-1.31,9.41,-2.92,8.42,-0.19,-0.33,-0.25,"NGC_6716.dat"
"NGC_6724",284.1875,10.44639,124,105,6,83,90,25,79.05,85.71,23.81,-2.62,5.22,-2.59,7.04,-3.35,2.38,-4.12,5.02,-4.93,6.47,-7.35,2.76,0.13,0.02,0.92,1105.0,1.0,8.95,3.5,-8.39,17.19,-18.04,16.65,-3.75,10.02,-9.52,13.53,-7.29,16.46,-4.51,8.34,0.09,0.43,0.16,"NGC_6724.dat"
"NGC_6728",284.68333,-8.97,521,434,14,328,354,324,75.58,81.57,74.65,-0.86,5.43,-0.82,6.36,-0.9,5.23,-6.51,5.62,-6.76,6.55,-6.51,5.81,0.08,0.03,0.14,1000.0,0.15,8.93,5.35,0.39,18.55,1.14,23.04,0.33,17.72,-5.99,16.04,-4.19,19.16,-6.06,15.08,0.01,0.02,0.0,"NGC_6728.dat"
"NGC_6735",285.15417,-0.475,152,114,2,80,102,71,70.17,89.47,62.28,1.21,4.73,0.32,7.8,1.09,4.7,-0.64,4.53,0.28,7.89,-1.01,4.06,0.02,-0.25,0.15,1466.0,0.87,8.7,3.15,1.24,14.68,12.15,17.76,1.4,13.38,-0.07,15.68,-9.22,21.67,0.31,14.41,-0.39,-0.3,-0.39,"NGC_6735.dat"
"NGC_6737",285.58333,-18.54972,230,193,4,108,177,25,55.96,91.71,12.95,-0.69,3.6,-0.73,6.26,0.17,1.16,-2.1,4.36,-2.18,7.57,-2.94,2.25,0.17,0.07,-0.29,2120.0,0.76,8.7,4.44,-0.1,8.77,4.24,11.04,-0.45,7.25,-1.81,11.2,1.06,17.25,-1.81,9.17,0.0,-0.19,0.03,"NGC_6737.dat"
"NGC_6738",285.3375,11.615,2114,1786,49,1304,1350,1310,73.01,75.59,73.35,0.07,5.09,-0.11,5.17,0.1,5.02,-3.73,5.92,-3.7,6.25,-3.74,6.11,0.04,0.05,0.07,700.0,0.05,9.16,13.74,-1.25,20.55,-1.02,22.91,-1.33,20.74,-2.62,22.13,-2.42,24.41,-2.57,22.16,-0.13,-0.14,-0.14,"NGC_6738.dat"
"NGC_6743",285.33333,29.27667,115,94,6,73,67,85,77.66,71.28,90.43,0.95,3.52,1.2,4.44,0.46,5.71,-3.69,6.42,-3.26,5.84,-4.15,7.24,-0.06,-0.04,0.14,1111.0,0.19,9.15,4.03,0.43,13.34,-0.56,12.28,9.77,17.19,4.75,29.67,3.28,30.87,49.71,38.98,0.67,0.72,1.0,"NGC_6743.dat"
"NGC_6755",286.95417,4.26667,974,760,49,600,630,595,78.95,82.89,78.29,0.16,4.42,0.35,4.98,0.11,4.44,-2.93,4.89,-3.0,5.42,-2.92,4.82,0.04,0.05,0.03,1421.0,0.83,7.72,8.71,1.49,16.38,1.04,20.45,1.65,16.21,-3.96,18.73,-4.23,23.56,-4.0,18.63,0.45,0.49,0.45,"NGC_6755.dat"
"NGC_6756",287.175,4.705,150,102,7,40,85,40,39.22,83.33,39.22,-0.12,2.0,0.23,7.09,-0.23,2.06,-3.0,2.09,-2.43,8.59,-3.18,2.44,-0.07,0.31,0.04,1507.0,1.18,7.79,2.5,2.76,12.81,17.85,21.09,2.97,13.05,-1.68,10.94,0.71,10.57,-1.5,11.11,0.37,0.66,0.37,"NGC_6756.dat"
"NGC_6773",288.7625,4.88167,102,71,3,48,0,5,67.61,0.0,7.04,-3.0,5.63,"nan","nan",-6.26,1.9,-3.12,4.89,"nan","nan",-5.18,0.72,-0.21,-99.99,0.91,2160.0,1.16,8.0,3.22,-6.3,10.83,"nan","nan",-4.19,8.41,-4.14,10.5,"nan","nan",-3.44,7.79,-0.12,-99.99,-0.14,"NGC_6773.dat"
"NGC_6775",289.2,-0.92333,42,32,1,0,28,4,0.0,87.5,12.5,"nan","nan",-2.45,7.67,-7.69,3.57,"nan","nan",-3.7,8.92,-13.05,1.9,-99.99,-0.02,-0.99,1185.0,0.48,8.95,1.7,"nan","nan",-2.03,21.69,-1.7,10.28,"nan","nan",-15.34,12.41,-3.73,10.05,-99.99,0.85,0.17,"NGC_6775.dat"
"NGC_6791",290.22083,37.77167,370,292,11,222,111,214,76.03,38.01,73.29,-0.95,5.05,0.77,6.21,-0.55,5.07,-4.83,5.93,-3.52,4.5,-5.03,6.2,0.01,-0.3,0.06,5035.0,0.16,9.92,5.55,-3.46,12.97,-3.37,8.89,-3.77,11.77,-2.95,14.14,-4.87,11.16,-2.91,12.75,0.12,0.13,0.12,"NGC_6791.dat"
"NGC_6793",290.80833,22.14167,161,129,8,94,102,94,72.87,79.07,72.87,1.45,5.26,1.57,7.11,1.32,5.78,0.47,6.57,0.28,7.77,0.08,6.24,0.16,-0.04,0.17,1100.0,0.17,8.64,3.5,-1.12,17.13,-4.42,19.62,-0.81,16.82,12.21,28.22,24.84,33.13,13.47,28.11,-0.11,0.04,-0.12,"NGC_6793.dat"
"NGC_6800",291.77917,25.14,109,81,5,43,67,46,53.09,82.72,56.79,-2.36,4.11,-2.25,8.64,-3.15,4.77,-2.62,4.46,-6.09,10.82,-3.29,5.31,0.05,-0.12,0.33,1000.0,0.4,8.59,3.0,-1.64,15.44,0.55,25.76,-0.69,15.72,-8.07,17.25,1.5,24.94,-7.76,17.78,-0.09,-0.08,-0.11,"NGC_6800.dat"
"NGC_6802",292.64583,20.26167,398,310,9,183,228,173,59.03,73.55,55.81,-2.0,5.14,-1.0,7.95,-1.98,5.21,-4.51,5.03,-4.67,6.56,-4.53,4.46,-0.06,0.07,-0.13,1778.0,0.84,8.98,4.52,-1.46,18.08,-4.32,22.07,-1.51,17.43,-2.28,19.93,0.44,26.2,-2.43,19.38,0.04,0.05,0.04,"NGC_6802.dat"
"NGC_6811",294.32083,46.38833,675,563,13,366,442,375,65.01,78.51,66.61,-3.84,4.23,-4.23,5.66,-3.79,4.07,-6.37,4.22,-6.04,6.0,-6.25,4.75,0.16,0.14,0.31,1215.0,0.16,8.8,10.26,-1.93,16.98,1.77,22.16,-1.94,17.31,-3.98,13.97,-2.86,17.48,-4.1,13.93,0.05,0.01,0.03,"NGC_6811.dat"
"NGC_6819",295.31667,40.19694,1550,1074,41,734,831,731,68.34,77.37,68.06,-5.41,5.38,-5.4,6.54,-5.45,5.44,-4.05,4.96,-4.24,5.78,-4.09,4.97,0.02,-0.03,0.04,2511.0,0.12,9.38,10.0,-3.77,20.42,-2.75,24.63,-3.71,20.29,-3.17,18.92,-1.87,23.05,-3.1,18.82,0.0,0.0,-0.01,"NGC_6819.dat"
