"A","BDS2003","n_[BDS2003]","GLON","GLAT","RAJ2000","DEJ2000","Dmaj","Dmin","Neb","n_Neb","Class","Rem","RA","DEC"
"R","BDSB_143, BDS2003_143","nan",49.39,-0.3,"19 23 14","+14 27 33",1.4,1.3,"in G49.4-0.5 = G49.437-0.465, in W51","nan","IRGr","R=7.5 LD = 3.1 mP",290.80463,14.463
"R","BDSB_144, BDS2003_144","nan",49.42,-0.31,"19 23 19","+14 29 23",1.3,1.0,"in W51","nan","IRCC","R=7.5 LD = 2.8 mP",290.82837,14.48472
"R","BDSB_145, BDS2003_145","nan",49.48,-0.33,"19 23 29","+14 31 43",1.3,1.3,"related to W51A = G49.5-0.4 = G49.486-0.381, in W51","nan","IRCC","R=7.5 LD = 2.8 mP",290.87586,14.52815
"R","BDSB_146, BDS2003_146","nan",49.49,-0.34,"19 23 35","+14 32 02",0.9,0.9,"related to W51A = G49.5-0.4 = G49.486-0.381, in W51","nan","IRCC","R=7.5 LD = 2.0 mP",290.88984,14.53224
"R","BDSB_147, BDS2003_147","nan",49.46,-0.35,"19 23 33","+14 29 47",0.6,0.6,"in W51","nan","IRCC","R=7.5 LD = 1.3",290.8843,14.50108
"R","BDSB_148, BDS2003_148","nan",49.46,-0.39,"19 23 41","+14 29 15",0.6,0.6,"in W51A,G49.5-0.4,G49.486-0.381, in W51","nan","IRCC","R=7.5 LD = 1.3 m5",290.92071,14.48217
"R","BDSB_149, BDS2003_149","nan",49.48,-0.39,"19 23 43","+14 29 55",1.5,0.7,"in W51A,G49.5-0.4,G49.486-0.381, in W51","h","IRCC","R=7.5 LD = 3.3 m5 deeply emb.",290.93047,14.4998
"R","BDSB_150, BDS2003_150","nan",49.49,-0.38,"19 23 42","+14 30 47",0.6,0.3,"in W51A,G49.5-0.4,G49.486-0.381, in W51","g","IRCC","R=7.5 LD = 1.3 m5 deeply emb.",290.92625,14.51333
"R","BDSB_151, BDS2003_151","nan",49.49,-0.38,"19 23 43","+14 30 34",0.8,0.6,"in W51A,G49.5-0.4,G49.486-0.381, in W51","g","IRCC","R=7.5 LD = 1.7 m5 deeply emb.",290.92625,14.51333
"R","BDSB_152, BDS2003_152","nan",49.49,-0.37,"19 23 40","+14 31 13",0.7,0.7,"in W51A,G49.5-0.4,G49.486-0.381, in W51","f","IRCC","R=7.5 LD = 1.5 m5 deeply emb.",290.91715,14.51806
"R","BDSB_153, BDS2003_153","nan",49.54,-0.38,"19 23 48","+14 33 15",1.1,0.9,"in W51","nan","IRCC","R=7.5 LD = 2.4 mP deeply emb.",290.95068,14.55739
"R","BDSB_154, BDS2003_154","nan",49.54,-0.39,"19 23 51","+14 32 57",1.0,1.0,"in W51","nan","IRCC","R=7.5 LD = 2.2 mP deeply emb.",290.95978,14.55266
"R","BDSB_155, BDS2003_155","nan",49.59,-0.39,"19 23 55","+14 35 40",1.1,1.1,"in G49.6-0.4 = G49.582-0.382, in W51","nan","IRC","R=7.5 LD = 2.4 deeply embedded",290.98421,14.59672
"R","BDSB_156, BDS2003_156","nan",54.08,-0.07,"19 31 43","+18 41 57",1.8,1.8,"in G54.092-0.066","nan","IRGr","Rn=3.9 Rf=7.9",292.92771,18.69511
"R","BDSB_157, BDS2003_157","nan",51.36,-0.01,"19 26 02","+16 20 10",2.3,1.7,"in G51.362-0.001","nan","IRGr","Rn=5.0 Rf=7.5",291.50774,16.3353
"R","BDSB_158, BDS2003_158","nan",60.88,-0.13,"19 46 20","+24 35 22",1.1,0.9,"in Sh2-87 IR Nebula = G60.888-0.127","nan","IRC","R=2.7 LD = 0.9 deeply embedded",296.58291,24.5871
"R","BDSB_159, BDS2003_159","nan",78.88,0.71,"20 29 24","+40 11 14",0.9,0.8,"related to AFGL2591","j","IRCC","R=1.0 LD = 0.3 deeply embedded",307.34719,40.18401
"R","BDSB_160, BDS2003_160","g",111.56,0.75,"23 13 59","+61 27 01",1.5,1.1,"in NGC 7538-IRS9","nan","IRCC","R=2.8 LD = 1.2 mT deeply emb.",348.49449,61.45111
"R","BDSB_164, BDS2003_164","nan",351.47,-0.46,"17 25 32","-36 21 58",0.8,0.8,"in G351.467-0.462","nan","IRC","Rn=4.0 Rf=15.8",261.3875,-36.36469
"R","BDSB_165, BDS2003_165","nan",351.64,-1.25,"17 29 17","-36 40 03",2.0,1.4,"in G351.6-1.3 = G351.613-1.270","nan","IRC","Rn=2.6 Rf=17.2 deeply emb.",262.32194,-36.66297
"R","BDSB_166, BDS2003_166","nan",351.69,-1.15,"17 29 02","-36 33 53",1.8,1.5,"in G351.694-1.165","nan","IRC","R=2.7 LD = 1.4",262.25252,-36.56604
"R","BDSB_167, BDS2003_167","nan",356.3,-0.19,"17 37 18","-32 10 48",0.7,0.6,"in G356.307-0.210 = IRAS 17341-3208","nan","IRGr","Rn=1.0 Rf=19.0",264.32008,-32.17725
