"Name","Rc","e_Rc","E_Rc","Rk","e_Rk","E_Rk","MassRk","e_MassRk","Mflag","Pflag","Rflag","RA_ICRS","DE_ICRS","logAge","e_logAge","Dist","e_Dist","AV","e_AV","c","e_c","E_c","n0","e_n0","E_n0","Sample"
"NGC_6991",1.53,-0.1,0.12,56.29,-26.18,28.51,373.0,10.2,"2",1,4,313.6886,47.4051,9.155,0.018,558,4,0.49,0.086,0.0462,-0.0187,0.0309,7.34,-0.33,0.41,0
"NGC_6997",0.93,-0.09,0.11,11.52,-5.39,39.72,400.1,12.9,"1",2,2,314.1416,44.6318,8.734,0.062,863,13,1.985,0.107,0.2185,-0.1505,0.3578,25.78,-2.86,4.77,1
"NGC_7024",1.63,-0.61,1.0,5.77,-2.62,55.03,120.4,6.6,"3",1,2,316.5276,41.514,7.795,0.23,1138,41,1.968,0.061,0.2541,-0.1681,0.2939,6.53,-2.8,18.17,0
"NGC_7039",0.85,-0.06,0.08,41.1,-27.48,38.29,313.7,17.7,"1",1,4,317.6617,45.5946,7.213,0.142,755,10,0.564,0.098,0.1596,-0.1013,0.1889,15.78,-0.82,1.34,0
"NGC_7044",1.41,-0.07,0.08,10.1,-2.05,3.31,6838.2,122.8,"1",2,1,318.2871,42.4976,9.123,0.03,3225,150,2.649,0.133,0.3521,-0.2103,0.2385,56.24,-4.27,5.5,1
"NGC_7058",0.61,-0.28,0.68,4.65,-3.19,62.22,31.6,2.8,"3",1,3,320.432,50.8226,8.318,0.168,364,1,0.14,0.052,0.822,-0.6282,1.3048,33.52,-13.04,120.94,0
"NGC_7062",2.29,-0.94,0.74,3.93,-0.81,19.0,469.6,20.6,"1",1,2,320.8579,46.3737,8.577,0.378,2120,150,1.76,0.187,0.3834,-0.2558,0.3978,40.75,-29.53,42.26,0
"NGC_7063",2.3,-0.66,0.47,3.32,-0.35,1.17,147.0,5.3,"2",1,2,321.1026,36.4989,8.176,0.107,659,11,0.367,0.051,0.3219,-0.208,0.3156,42.45,-23.74,27.89,1
"NGC_7067",4.8,-1.83,2.09,10.33,-3.44,41.19,624.3,46.0,"1",2,3,321.0754,48.0089,6.911,0.175,5434,532,2.535,0.033,0.12,-0.0717,0.1181,3.22,-2.04,5.86,0
"NGC_7082",1.76,-0.17,0.2,53.87,-27.89,30.38,1043.5,18.0,"1",1,4,322.1805,47.0986,8.134,0.105,1277,39,1.015,0.037,0.1012,-0.0573,0.0928,8.93,-0.55,0.73,0
"NGC_7086",1.37,-0.09,0.12,29.51,-15.86,39.07,3063.8,32.7,"1",1,2,322.6241,51.5885,7.98,0.311,1594,63,2.098,0.116,0.2388,-0.1595,0.2912,35.11,-2.09,4.24,1
"NGC_7092",2.62,-0.52,1.52,11.77,-6.04,33.53,161.7,9.6,"1",1,1,322.7565,48.2284,8.66,0.062,303,6,0.093,0.049,0.1082,-0.063,0.0884,5.42,-1.58,13.66,2
"NGC_7128",1.58,-0.29,0.42,3.0,-0.41,0.76,1052.9,44.6,"1",2,1,325.9909,53.7142,7.127,0.243,3241,157,2.879,0.059,0.4181,-0.1939,0.2004,81.0,-28.92,67.0,1
"NGC_7129",0.88,-0.35,0.69,11.3,-9.4,58.46,92.9,11.8,"1",2,4,325.7822,66.1338,6.772,0.286,894,14,2.196,0.09,0.8228,-0.5847,1.0711,15.04,-4.9,61.22,0
"NGC_7142",1.97,-0.1,0.12,9.01,-1.17,1.5,2077.2,57.0,"2",1,1,326.2842,65.7814,9.553,0.036,2040,38,1.286,0.016,0.1462,-0.0679,0.074,27.77,-2.3,3.0,1
"NGC_7160",1.43,-0.65,0.57,2.82,-0.65,44.17,150.1,13.9,"2",1,2,328.4429,62.5876,7.102,0.157,919,17,1.311,0.134,0.4992,-0.3379,0.5538,32.41,-22.24,47.59,1
"NGC_7209",3.46,-0.55,1.25,19.41,-9.15,31.15,784.0,18.1,"1",1,1,331.2288,46.495,8.694,0.047,1145,30,0.612,0.081,0.0862,-0.0476,0.0785,5.68,-1.2,5.03,2
"NGC_7226",1.95,-0.71,0.41,2.75,-0.34,1.9,408.0,21.9,"2",2,2,332.6058,55.3988,8.686,0.5,4019,279,1.815,0.112,0.2662,-0.172,0.2809,49.09,-33.82,30.53,1
"NGC_7235",1.83,-0.2,0.35,28.45,-18.18,43.11,1557.2,50.2,"1",2,2,333.085,57.2753,7.1,0.117,3158,261,2.566,0.031,0.142,-0.0884,0.1576,8.05,-0.76,2.54,1
"NGC_7243",2.25,-0.28,0.43,16.31,-6.78,30.14,827.1,13.0,"1",1,1,333.7746,49.8317,8.114,0.104,851,19,0.828,0.058,0.15,-0.0959,0.1757,12.4,-2.04,4.24,2
"NGC_7245",1.05,-0.06,0.06,54.54,-27.28,29.63,1446.0,27.4,"1",1,4,333.811,54.3367,8.652,0.109,2884,99,1.412,0.085,0.093,-0.0521,0.0911,18.35,-0.64,0.81,0
"NGC_7261",0.8,-0.08,0.1,45.99,-29.97,35.62,701.2,22.1,"2",2,4,335.0652,58.1184,7.632,0.088,2389,106,2.731,0.029,0.1236,-0.0739,0.124,11.39,-0.78,0.98,0
