"Ncl","Name","RAdeg","DEJ2000","Radcl","RV","e_RV","n_RV","RVl","e_RVl","n_RVl","r_RVl"
1115,"ASCC 115",329.22,51.48,0.16,-9.0,5.8,1.0,"nan","nan","nan","nan"
1116,"ASCC 116",329.64,54.49,0.18,-30.6,3.7,1.0,"nan","nan","nan","nan"
1117,"ASCC 117",331.24,62.27,0.35,-11.39,0.8,1.0,"nan","nan","nan","nan"
502,"NGC 7209",331.27,46.48,0.25,-9.7,0.0,-1.0,"nan","nan","nan","nan"
1118,"ASCC 118",332.1,61.1,0.21,-42.0,10.0,1.0,"nan","nan","nan","nan"
503,"NGC 7235",333.1,57.27,0.08,-53.7,0.0,-1.0,-52.0,4.0,"nan","RG99"
504,"NGC 7243",333.78,49.9,0.52,-12.61,2.47,28.0,-16.0,9.0,"nan","RG99"
505,"IC 1442",334.12,54.05,0.16,-63.5,0.9,-1.0,-25.3,"nan",1.0,"DL03"
506,"Pismis-Moreno 1",334.69,63.27,0.16,-23.25,0.25,2.0,"nan","nan","nan","nan"
1120,"ASCC 120",337.65,57.21,0.3,-60.8,1.8,1.0,"nan","nan","nan","nan"
1121,"ASCC 121",337.68,54.9,0.23,-64.3,7.4,1.0,"nan","nan","nan","nan"
1122,"ASCC 122",338.31,39.61,0.72,-6.12,3.57,4.0,"nan","nan","nan","nan"
1123,"ASCC 123",340.65,54.26,1.28,-6.46,6.49,3.0,"nan","nan","nan","nan"
508,"NGC 7380",341.83,58.13,0.25,-34.13,6.09,3.0,-39.0,14.0,"nan","RG99"
0,"NGC 7419",343.59,60.81,0.04,"nan","nan","nan",-74.0,4.5,5.0,"BM94"
1125,"ASCC 125",344.07,62.75,0.55,-17.93,3.33,14.0,"nan","nan","nan","nan"
509,"NGC 7438",344.34,54.34,0.23,-17.0,3.7,-1.0,"nan","nan","nan","nan"
1126,"ASCC 126",346.57,51.05,0.3,-12.7,1.8,1.0,"nan","nan","nan","nan"
1127,"ASCC 127",347.1,64.85,0.72,-8.24,2.65,2.0,"nan","nan","nan","nan"
0,"Markarian 50",348.82,60.47,0.02,"nan","nan","nan",-81.0,2.0,"nan","RG99"
512,"NGC 7654",351.19,61.59,0.17,-40.0,5.6,1.0,-35.5,1.0,"nan","RG99"
513,"Czernik 43",351.45,61.32,0.17,-58.05,2.95,2.0,"nan","nan","nan","nan"
0,"NGC 7686",352.53,49.13,0.12,"nan","nan","nan",6.0,"nan","nan","Ly87"
0,"King 11",356.95,68.63,0.04,"nan","nan","nan",-35.0,4.13,16.0,"FJ02"
516,"King 12",358.24,61.97,0.16,-38.0,6.8,1.0,"nan","nan","nan","nan"
517,"NGC 7788",359.19,61.4,0.12,-24.0,5.2,1.0,-55.0,30.0,"nan","RG99"
518,"NGC 7789",359.35,56.71,0.27,"nan","nan","nan",-64.0,1.2,57.0,"FJ02"
519,"Frolov 1",359.35,61.63,0.15,16.4,3.0,-1.0,"nan","nan","nan","nan"
520,"NGC 7790",359.59,61.21,0.1,-80.23,1.62,3.0,-78.0,0.5,"nan","RG99"
134,"NGC 2362",109.66,-24.95,0.25,25.33,8.88,3.0,30.0,14.0,6.0,"Me07"
263,"Trumpler 14",160.98,-59.55,0.1,-15.0,7.9,1.0,-10.0,"nan",1.0,"Me07"
352,"NGC 5606",216.94,-59.63,0.2,-38.33,1.75,4.0,-37.8,1.8,3.0,"Me07"
382,"NGC 6204",251.53,-47.02,0.08,"nan","nan","nan",-51.0,5.8,5.0,"Me07"
394,"Bochum 13",259.35,-35.55,0.18,-2.5,1.5,2.0,-4.0,8.5,3.0,"Me07"
403,"Trumpler 27",264.09,-33.52,0.25,-15.8,1.3,1.0,-15.8,"nan",1.0,"Me07"
408,"NGC 6405",265.08,-32.25,0.4,-11.5,3.5,2.0,-6.4,"nan",1.0,"Me07"
494,"NGC 6991",313.72,47.42,0.42,-6.0,3.7,1.0,-15.0,"nan",1.0,"Me07"
