"NGC","m_NGC","Type","RA1975","DE1975","Xpos","Ypos","Mag","r_Mag","OldDesc","NewDesc","Notes","RA_deg","DEC_deg"
NGC_6204,"nan",1,"16 44.6","-46 59","nan","nan",8.5,5.0,"CL,PRI,EICM,ST11..12","nan","O,R",251.61208,-47.02778
NGC_6208,"nan",1,"16 47.5","-53 47","nan","nan",9.0,5.0,"CL,L,RI,LCM,ST9...12","nan","O,R",252.37667,-53.82611
NGC_6222,"nan",1,"16 48.9","-44 42",71.0,45.0,10.0,5.0,"CL,VL,VRI,LBM,*12.13","nan","O,R",252.67708,-44.74194
NGC_6231,"nan",1,"16 52.5","-41 45",18.0,198.0,8.5,5.0,"CL,B,CL,PRI,ST10..13","nan","O,R,SH,G",253.56458,-41.79
NGC_6242,"nan",1,"16 53.9","-39 27",309.0,320.0,8.0,5.0,"CL,B,L,RI,ST8...11","nan","O,R",253.90583,-39.48917
NGC_6249,"nan",1,"16 55.8","-44 44",278.0,35.0,9.5,5.0,"CL,PRI,VLC,IF,ST L&S","nan","O,R",254.40333,-44.77139
NGC_6250,"nan",1,"16 56.1","-45 45","nan","nan",8.0,5.0,"CL,L,LRI,LC,*8...12","nan","O,R",254.48333,-45.78778
NGC_6253,"nan",1,"16 57.1","-52 40","nan","nan",10.0,5.0,"CL,S,TRIANGULAR,ST13","nan","O,R",254.77167,-52.70389
NGC_6259,"nan",1,"16 58.9","-44 38",250.0,44.0,8.5,5.0,"CL,B,VL,VRI,ST11...","nan","O,R",255.17833,-44.66944
NGC_6268,"nan",1,"17 00.3","-39 41",240.0,308.0,9.5,5.0,"CL,B,PL,CRI,ST10...","nan","O,R",255.5075,-39.71861
NGC_6281,"nan",1,"17 03.1","-37 51",86.0,80.0,8.5,5.0,"CL,L,PRI,LC,ST9...11","nan","O,R,G",256.20083,-37.88361
NGC_6318,"nan",1,"17 16.0","-39 26",81.0,318.0,12.0,5.0,"CL,PL,RI,R,GBM,*12..","nan","O,R",259.43333,-39.45944
NGC_6322,"nan",1,"17 16.7","-42 56",77.0,135.0,6.5,5.0,"CL,VL,PRI,LC,","nan","O,R",259.62292,-42.95889
NGC_6374,"nan",1,"17 30.6","-32 35",133.0,40.0,10.0,5.0,"CL,S,P,B*INV","nan","O,R",263.05875,-32.60056
NGC_6383,"nan",1,"17 33.0","-32 34",96.0,41.0,5.5,5.0,"CL,ST13,*6,7 IN M","nan","O,R,G,SH",263.65917,-32.5825
NGC_6396,"nan",1,"17 36.5","-34 59",29.0,234.0,11.0,5.0,"CL,PL,LRI,LC","nan","O,R",264.5425,-34.99722
NGC_6400,"nan",1,"17 39.1","-36 55",5.0,128.0,9.0,5.0,"CL,PL,PRI,IR,*9...10","nan","O,R",265.2,-36.92889
NGC_6404,"nan",1,"17 37.9","-33 14",4.0,329.0,10.5,5.0,"CL,F,L,PRI,LC,*13.15","nan","O,R",264.88667,-33.24611
