"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Westerlund 2",156.00833,-57.76667,"nan",2.0,2850.0,1.65,6.3,"K14",-6.77,1.18,4.84,1.18,51.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 220",156.46667,-57.92667,"nan",9.5,1547.0,0.221,8.083,"D14",-3.57,0.2,1.89,0.14,371.0,"K14",-13.0,0.2,1.0,"MMU","nan","nan","nan","nan"
"NGC 3255",156.62917,-60.67667,"nan",2.0,1445.0,0.25,8.3,"K14",-4.4,1.27,-2.08,1.27,52.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"IC 2581",156.87083,-57.61667,"nan",5.0,2446.0,0.415,7.142,"D14",-5.61,0.3,1.75,0.28,150.0,"K14",-0.52,1.06,2.0,"D14",-0.34,0.06,"nan","nan"
"NGC 3231",156.87083,66.79833,"nan",7.0,715.0,0.02,9.15,"D14",-3.86,1.16,-0.21,1.34,14.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Hogg 8",157.29167,-60.98333,"nan",3.0,7194.0,0.73,9.15,"D14",-5.36,0.57,-0.44,0.58,125.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 223",158.06667,-60.02,"nan",18.0,2820.0,0.25,8.0,"D14",-5.32,0.09,-2.46,0.09,1362.0,"K14",2.0,1.0,"nan","RGDZ",-0.217,0.003,2.0,"nan"
"ASCC 60",158.27917,-58.48,"nan",14.4,800.0,0.1,8.36,"D14",-3.97,0.13,-3.26,0.12,900.0,"K14",37.0,10.0,2.0,"D14","nan","nan","nan","nan"
"Bochum 9",158.94167,-60.11667,"nan",15.0,710.0,0.11,8.38,"D14",-6.38,0.13,-2.51,0.11,1140.0,"K14",-9.82,28.38,2.0,"D14","nan","nan","nan","nan"
"NGC 3293",158.9625,-58.23,"nan",6.0,2327.0,0.263,7.014,"BDW",-7.53,0.4,3.1,0.32,3.0,"K14",-12.0,4.0,70.0,"ESLK","nan","nan","nan","nan"
"Loden 165",158.98333,-58.73667,"nan",11.0,1900.0,0.25,9.48,"D14",-5.81,0.15,-3.14,0.15,265.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Carraro 1",159.25,-58.73333,"nan",4.0,1900.0,0.25,9.48,"D14",-6.74,0.51,-2.51,0.3,73.0,"K14",-8.5,0.0,1.0,"K14","nan","nan","nan","nan"
"NGC 3324",159.33333,-58.64167,"nan",12.0,2317.0,0.438,6.754,"BDW",-7.46,0.53,3.11,0.44,1.0,"K14",-8.5,3.7,1.0,"D14",-0.474,0.14,1.0,"nan"
"VDBH 99",159.475,-59.18333,"nan",20.0,507.0,0.055,7.605,"D14",-5.81,0.12,-2.5,0.09,1175.0,"K14",11.2,0.94,4.0,"D14","nan","nan","nan","nan"
"NGC 3330",159.69167,-54.12333,"nan",4.0,894.0,0.05,8.229,"D14",-6.34,0.24,0.67,0.31,82.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"DC 5",159.99583,-59.18917,"nan",2.8,4430.0,0.833,6.05,"K14",-7.96,0.82,-0.31,0.82,37.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Saurer 3",160.35417,-55.30556,"nan",4.0,9550.0,0.76,9.3,"D14",-6.73,0.16,-1.62,0.01,86.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Melotte 101",160.55,-65.1,"nan",15.0,1995.0,0.48,7.89,"D14",-4.31,0.08,0.79,0.1,822.0,"K14",69.13,37.23,2.0,"D14","nan","nan","nan","nan"
