"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Schuster 1",151.1625,-55.85806,"nan",1.3,5212.0,2.52,8.35,"D14",-9.38,1.33,-0.31,0.03,9.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Trumpler 11",151.225,-61.6,"nan",5.0,3100.0,0.21,"nan","D14",-3.03,0.25,0.09,0.06,149.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Hogg 5",151.5875,-60.38333,"nan",3.0,2622.0,0.56,8.2,"D14",-4.6,0.44,2.03,0.28,96.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-3-r-*"
"Trumpler 12",151.62083,-60.3,"nan",4.0,1300.0,0.05,8.81,"D14",-3.82,0.08,1.75,0.19,161.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-3-p-*"
"VDBH 88",151.625,-51.56667,"nan",4.0,1770.0,0.6,8.1,"D14",-4.82,0.32,3.94,0.26,85.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-p-*"
"FSR 1535",151.97917,-59.19694,"IR",2.2,1602.0,0.396,8.865,"K14",-7.45,0.66,6.66,0.66,90.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 56",152.05417,-64.37,"nan",42.0,800.0,0.11,8.08,"D14",-7.29,0.06,4.15,0.05,4022.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 57",152.7,-66.68,"nan",45.6,1500.0,0.13,8.7,"D14",-7.85,0.07,3.71,0.06,3620.0,"K14",2.46,7.31,6.0,"RAVE",-0.296,0.076,3.0,"nan"
"VDBH 90",153.04167,-58.06667,"nan",4.0,2572.0,0.526,7.943,"D14",-0.22,0.43,2.86,0.27,102.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ESO 436 02",153.5125,-29.19,"nan",5.0,2150.0,0.83,8.25,"D14",-20.48,1.37,-1.44,0.74,14.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-3-p-*"
"ESO 092 18",153.74167,-64.61167,"nan",5.0,10607.0,0.5,9.024,"D14",-5.41,0.41,3.93,0.4,143.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 58",153.77917,-54.97,"nan",48.0,600.0,0.09,7.04,"K05",-12.89,0.51,3.15,0.42,24.0,"K14",8.0,0.0,1.0,"K05","nan","nan","nan","nan"
