"Cluster","Rlim","Rc","Age","e_Age","EBV","e_EBV","R_sun","e_R_sun","RGC","X_sun","Y_sun","Z","Ref.","RA","DEC"
"Kronberger_68",2.2,0.18,0.2,0.03,2.19,0.4,710,30,8.2,"-270",567.0,"3.1",4,300.15,30.58972
"Kronberger_72",2.0,0.23,0.5,0.02,0.55,0.08,1055,50,8.3,"-271",1019.0,"39",4,303.07917,37.89083
"Kronberger_73",1.2,0.09,0.4,0.02,0.97,0.05,1695,80,8.2,"-458",1632.0,"37",4,303.44583,36.74861
"Kronberger_74",1.1,0.05,1.0,0.04,0.87,0.05,1760,80,8.2,"-462",1698.0,"18",4,304.4875,36.76028
"Kronberger_80",1.7,0.16,0.7,0.03,1.29,0.1,1355,60,8.7,"69",1352.0,"66",4,317.95833,52.38
"Kronberger_84",2.2,0.19,0.6,0.02,0.61,0.07,1075,50,8.7,"117",1068.0,"21",4,323.88333,53.51361
"Kronberger_85",1.5,0.11,0.3,0.01,1.0,0.1,1525,70,9.1,"497",-1440.0,"-76",4,119.5875,-34.76972
"Czernik_1",2.5,0.12,0.005,0.0,1.23,0.11,2530,115,9.9,"1177",2239.0,"-42",4,1.90833,61.475
"Czernik_2",5.8,0.08,0.1,0.01,0.74,0.12,1775,80,9.6,"939",1504.0,"-84",4,10.925,60.15
"Czernik_3",2.4,0.14,0.1,0.01,1.42,0.14,1410,65,9.4,"794",1165.0,"-1.4",4,15.775,62.78333
"Czernik_4",2.6,0.77,0.1,0.01,1.06,0.1,1630,75,9.6,"1007",1281.0,"-28",4,23.85,61.43333
"Czernik_5",1.5,0.15,0.7,0.04,1.23,0.1,2205,100,10.1,"1432",1677.0,"-23",4,28.775,61.33333
"Czernik_6",2.6,0.66,0.25,0.06,1.0,0.1,2530,115,10.3,"1656",1912.0,"47",4,30.5,62.83333
"Czernik_7",2.5,0.31,0.1,0.01,1.19,0.11,2235,100,10.1,"1469",1684.0,"20",4,30.6,62.25
"Czernik_10",2.2,0.06,0.2,0.02,1.71,0.13,1575,70,9.7,"1120",1107.0,"-6",4,38.475,60.16667
"Czernik_11",3.0,0.26,0.35,0.03,1.0,0.1,1210,55,9.4,"868",842.0,"-12",4,39.14583,59.63333
"Czernik_12",3.0,0.85,0.4,0.02,0.45,0.07,2090,95,10.2,"1550",1392.0,"-173",4,39.8,54.91667
"Czernik_14",2.0,0.03,0.25,0.07,1.71,0.13,2175,100,10.3,"1688",1371.0,"35",4,49.225,58.6
"Czernik_15",2.4,0.21,0.02,0.0,1.0,0.1,1155,55,9.5,"945",659.0,"-80",4,50.8,52.25
"Czernik_16",5.0,0.55,0.2,0.03,1.29,0.1,2580,120,10.7,"2132",1447.0,"-134",4,52.7,52.65
"Czernik_17",3.6,0.39,0.4,0.04,0.87,0.05,2120,95,10.3,"1673",1281.0,"228",4,58.1,61.95
"Czernik_25",5.0,0.6,0.13,0.02,0.58,0.07,1980,90,10.4,"1824",-748.0,"-181",4,93.275,6.98333
"Czernik_26",2.7,0.08,0.17,0.02,0.45,0.06,1200,55,9.5,"984",-673.0,"-136",4,97.7,-4.21667
"Czernik_30",3.6,0.32,0.13,0.01,0.35,0.04,2275,105,10.2,"1566",-1642.0,"165",4,112.825,-9.96667
"Czernik_37",1.8,0.1,0.6,0.03,1.03,0.1,1730,80,6.77,"-1728",67.0,"-19",1,268.32083,-27.36944
"Czernik_38",5.0,0.11,0.01,0.0,2.03,0.36,1910,90,7.1,"-1521",1152.0,"88",4,282.425,4.93333
"Czernik_39",2.5,0.04,0.01,0.0,2.9,0.45,1340,60,7.5,"-1046",836.0,"-38",4,286.93333,4.33333
"Czernik_42",3.5,0.46,0.01,0.0,1.74,0.12,2585,120,9.6,"761",2470.0,"52",4,339.95,59.915
"Czernik_44",4.0,0.08,0.16,0.04,1.48,0.1,3450,160,10.4,"1398",3154.0,"27",4,353.375,61.95
