"Cluster","RA_ICRS","DE_ICRS","pmRA*","e_pmRA*","pmDE","e_pmDE","DMode","RV","e_RV","o_RV","f_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","f_[Fe/H]","GX","e_GX","GY","e_GY","GZ","e_GZ","U","e_U","V","e_V","W","e_W","Rap","Rperi","EC","Zmax","RGC","e_RGC","Ageref","Distref","E(B-V)ref","Ref","_RA.icrs","_DE.icrs"
"FSR_0942",91.487,13.667,-0.412,0.174,0.092,0.129,3265.5,28.801434,22.030973,7,"nan",-0.4663333,0.080748595,3,"nan",-11467.553,1154.9768,-872.0453,322.04086,-204.21652,75.41565,-17.459078,21.187414,248.784,6.4271545,0.56706524,3.307455,13.811670692798137,11.57299488220291,0.0881900848360943,0.1955661350793427,11509.351,1168.4333,9.0,2082.0,0.645,"(2)",91.487,13.667
"FSR_0948",96.48,15.859,-0.132,0.113,0.051,0.136,4363.1,49.687603,6.4979777,3,"nan",0.0,0.0,0,"nan",-12554.877,2247.6758,-1204.622,642.38763,129.26147,68.931244,-37.31453,6.29294,240.69673,3.2989035,6.791301,2.5971394,14.805991692624394,12.483853580770676,0.0850916554707467,0.2600821490235545,12623.037,2270.972,8.78,2991.0,0.375,"(2)",96.48,15.859
"FSR_0951",95.573,14.65,0.242,0.12,0.07,0.105,1717.3,29.28687,21.54173,13,"nan",-0.0755,0.11850598,4,"nan",-9987.971,289.87833,-491.5589,86.46589,10.53524,1.8531646,-16.831932,20.644175,243.46758,6.215572,9.435992,1.019928,10.977632952925337,10.031023046689958,0.0450580896870657,0.1727545911451676,9996.901,293.37534,8.589,2097.9746,0.3719355,"(3)",95.573,14.65
"FSR_0953",94.762,14.15,-0.134,0.191,-2.877,0.105,2779.1,32.30807,13.078765,4,"nan",-0.542,"nan",1,"nan",-11001.637,795.5828,-797.5118,238.38393,-28.03078,8.3786745,-10.312376,12.827914,211.83052,9.558326,-12.5513935,5.8676343,11.106735794338295,9.09286951384853,0.0996982985441577,0.2449913894871338,11020.729,824.51483,0.0,0.0,0.0,"nan",94.762,14.15
"FSR_0968",92.843,11.863,-0.356,0.099,-1.158,0.081,2431.3,42.95626,25.466908,6,"nan",0.0,0.0,0,"nan",-10640.478,595.23047,-738.6851,191.13031,-139.78012,36.16711,-26.200235,24.23032,230.0204,8.12792,-5.2074203,3.0163443,11.00359217948938,10.27948533845126,0.0340226567528934,0.1443528084357567,10684.85,611.1413,8.52,2187.0,0.312,"(2)",92.843,11.863
"FSR_0974",98.156,12.553,-0.463,0.15,-0.345,0.139,3399.5,59.562016,25.889456,4,"nan",0.0,0.0,0,"nan",-11535.074,1222.9208,-1139.7803,436.25607,94.57652,36.199635,-44.716774,24.395329,230.74254,8.959997,-0.2708273,3.9654357,12.731887978767174,11.025448249519748,0.0718279066663894,0.1381082633209985,11621.297,1246.541,8.91,2308.0,0.573,"(2)",98.156,12.553
"FSR_0975",100.01,13.31,0.166,0.089,-0.817,0.096,4964.1,35.0997,4.990135,2,"nan",0.0,0.0,0,"nan",-13043.064,3046.9478,-1692.1772,1096.308,310.08124,200.89185,-15.7721195,5.5100083,222.48645,9.316402,4.1687384,3.4805527,13.512431680041368,12.270406582419522,0.0481725512520552,0.3761021383223449,13164.003,3165.139,0.0,0.0,0.0,"nan",100.01,13.31
"FSR_0979",97.814,11.081,0.225,0.167,-2.498,0.162,2910.0,24.060623,24.070871,3,"nan",-0.356,"nan",1,"nan",-11055.549,858.32544,-1030.731,325.7908,31.482735,9.950955,-0.17590714,22.732754,213.74637,12.402136,-5.6761827,4.5280304,11.399782750978574,9.08005644013772,0.1132687756575305,0.1258162756776053,11114.808,888.7351,8.7,1933.0,1.145,"(2)",97.814,11.081
"FSR_0985",92.953,7.02,-0.433,0.167,-0.904,0.144,2037.8,29.039995,"nan",1,"nan",0.056,"nan",1,"nan",-10218.352,401.68872,-763.6742,163.31328,-196.0635,41.92844,-12.828608,"nan",236.34607,"nan",-3.3274689,"nan",10.615405889411234,10.227347578633998,0.0186183803100766,0.1793217843014304,10248.272,409.55862,0.0,0.0,0.0,"nan",92.953,7.02
"FSR_1025",102.62,6.612,0.202,0.083,-0.36,0.052,6696.4,62.990005,2.2910316,2,"nan",-0.1455,0.034648236,2,"nan",-14335.259,7278.6807,-3046.0613,3698.1248,328.65884,399.01392,-39.036873,4.0225916,212.08047,8.193682,10.850164,2.957935,14.743960716560464,13.39995620902648,0.0477547070326975,0.5330877788360195,15249.9,7275.2866,0.0,0.0,0.0,"nan",102.62,6.612
