"Name","RA","DEC","pmra","e_pmra","pmde","e_pmde","plx","e_plx","RV","e_RV","r_RV","E(B-V)","(m-M)0","Dist","e_Dist","logAge","[Fe/H]","e_[Fe/H]","Z","e_Z","Nmeas","r_[Fe/H]","Apo","Peri","Rguide","Rbirth","Ecc","Zmax","N","Rgc","Nstars"
"Berkeley 29",103.3255,16.9163,"nan","nan","nan","nan","nan","nan",25.72,1.99,"2021A&A...647A..19T","nan","nan",13.18,"nan",9.6,-0.49,0.03,"nan","nan","nan","Apogee",22.06,14.19,17.2,13.36,0.22,2.02,"nan",20.81,3.0
"Berkeley 31",104.4003,8.2663,"nan","nan","nan","nan","nan","nan",61.39,1.25,"2021A&A...647A..19T","nan","nan",7.59,"nan",9.46,-0.45,0.01,"nan","nan","nan","Apogee",15.29,11.67,13.21,13.62,0.13,0.73,"nan",15.15,1.0
"Berkeley 32",104.5255,6.4336,"nan","nan","nan","nan","nan","nan",105.68,0.41,"2021A&A...647A..19T","nan","nan",3.31,"nan",9.72,-0.3,0.05,"nan","nan",15.0,"HQ",11.73,7.2,8.96,9.57,0.24,0.3,"nan",11.03,11.0
"Berkeley 33",104.4253,-13.2171,"nan","nan","nan","nan","nan","nan",77.38,0.32,"2021A&A...647A..19T","nan","nan",5.75,"nan",8.5,-0.3,0.01,"nan","nan","nan","Apogee",14.81,12.71,13.66,13.13,0.08,0.48,"nan",12.7,2.0
"Berkeley 35",107.4914,2.7335,-0.564,0.011,-0.24,0.012,0.17,0.008,101.46,2.44,"2021A&A...647A..19T",0.13,13.5,5.893,0.264,9.0,-0.13,0.08,0.011,0.002,"nan","nan",13.18,10.02,11.37,9.69,0.14,0.5,85.0,12.5,1.0
"Berkeley 39",116.6757,-4.6003,"nan","nan","nan","nan","nan","nan",59.41,0.14,"2021A&A...647A..19T","nan","nan",3.97,"nan",9.75,-0.22,0.05,"nan","nan",9.0,"HQ",11.37,8.24,9.44,8.12,0.16,1.02,"nan",11.16,7.0
"Berkeley 44",289.3135,19.5501,"nan","nan","nan","nan","nan","nan",-7.54,0.58,"2021A&A...647A..19T","nan","nan",2.86,"nan",9.16,0.0,0.01,"nan","nan","nan","Apogee",7.27,5.32,6.14,7.15,0.16,0.24,"nan",6.69,1.0
"Berkeley 53",313.9748,51.0603,"nan","nan","nan","nan","nan","nan",-39.73,4.72,"2021A&A...647A..19T","nan","nan",3.42,"nan",8.99,-0.08,0.02,"nan","nan","nan","Apogee",9.95,8.21,8.98,8.79,0.1,0.3,"nan",8.71,6.0
"Berkeley 60",4.4393,60.9356,-0.666,0.013,-0.72,0.011,0.23,0.008,-60.66,1.28,"2021A&A...647A..19T",0.86,12.85,4.347,0.153,8.45,-0.06,0.11,0.013,0.003,"nan","nan",10.43,8.26,9.23,8.78,0.12,0.09,94.0,10.32,4.0
"Berkeley 66",46.0297,58.73,"nan","nan","nan","nan","nan","nan",-50.15,0.86,"2021A&A...647A..19T","nan","nan",4.57,"nan",9.58,-0.19,0.03,"nan","nan","nan","Apogee",11.98,11.25,11.6,8.86,0.03,0.06,"nan",11.85,5.0
"Berkeley 71",85.2327,32.2725,"nan","nan","nan","nan","nan","nan",-6.13,2.91,"2021A&A...647A..19T","nan","nan",3.6,"nan",8.94,-0.23,0.04,"nan","nan","nan","Apogee",11.79,10.64,11.19,11.48,0.05,0.1,"nan",11.59,6.0
"Berkeley 73",95.4998,-6.3501,"nan","nan","nan","nan","nan","nan",97.51,0.53,"2021A&A...647A..19T","nan","nan",7.24,"nan",9.2,-0.23,0.06,"nan","nan",2.0,"LQ",17.14,14.07,15.29,10.9,0.1,1.61,"nan",14.44,2.0
"Berkeley 77",110.3623,-3.2338,-0.976,0.014,-0.131,0.019,0.259,0.012,73.92,1.81,"2021A&A...647A..19T",0.1,12.8,3.856,0.183,8.95,-0.09,0.12,0.012,0.003,"nan","nan",11.08,9.46,10.19,9.07,0.08,0.36,56.0,11.04,3.0
"Berkeley 81",285.4167,-0.4565,"nan","nan","nan","nan","nan","nan",45.92,0.99,"2021A&A...647A..19T","nan","nan",3.02,"nan",8.95,0.17,0.06,"nan","nan",2.0,"HQ",6.55,5.71,6.09,4.49,0.07,0.15,"nan",5.74,2.0
"Berkeley 9",53.1659,52.6492,"nan","nan","nan","nan","nan","nan",-18.14,0.61,"2021A&A...647A..19T","nan","nan",1.81,"nan",9.14,-0.09,0.06,"nan","nan","nan","Apogee",9.68,9.4,9.52,8.73,0.01,0.28,"nan",9.56,3.0
"Berkeley 98",340.6653,52.4068,"nan","nan","nan","nan","nan","nan",-69.2,0.71,"2021A&A...647A..19T","nan","nan",3.52,"nan",9.39,0.0,0.01,"nan","nan","nan","Apogee",9.48,7.2,8.14,6.63,0.14,0.55,"nan",9.47,2.0
"Blanco 1",1.029,-29.8333,"nan","nan","nan","nan","nan","nan",6.23,0.07,"2021A&A...647A..19T","nan","nan",0.24,"nan",7.98,0.04,0.07,"nan","nan",6.0,"HQ",8.49,7.96,8.16,7.13,0.03,0.22,"nan",7.96,6.0
"Collinder 110",99.5995,2.0166,"nan","nan","nan","nan","nan","nan",38.15,0.21,"2021A&A...647A..19T","nan","nan",1.95,"nan",9.23,0.03,0.02,"nan","nan",3.0,"HQ",9.78,8.71,9.21,6.52,0.06,0.2,"nan",9.74,3.0
"Collinder 220",156.4285,-57.9223,"nan","nan","nan","nan","nan","nan",-12.54,4.4,"2021A&A...647A..19T","nan","nan",2.46,"nan",8.37,-0.08,0.01,"nan","nan","nan","Apogee",8.83,7.76,8.25,9.27,0.06,0.15,"nan",7.76,1.0
"Collinder 261",189.5196,-68.3767,"nan","nan","nan","nan","nan","nan",-24.43,0.17,"2021A&A...647A..19T","nan","nan",2.75,"nan",9.78,0.02,0.06,"nan","nan",14.0,"HQ",7.3,6.86,7.01,4.44,0.03,0.47,"nan",6.96,13.0
"Czernik 18",66.9623,30.9359,"nan","nan","nan","nan","nan","nan",-14.9,0.34,"2021A&A...647A..19T","nan","nan",1.33,"nan",8.72,-0.07,0.02,"nan","nan","nan","Apogee",9.52,8.43,8.93,8.88,0.06,0.28,"nan",9.27,1.0
"Czernik 20",80.1289,39.5445,"nan","nan","nan","nan","nan","nan",28.04,3.47,"2021A&A...647A..19T","nan","nan",3.49,"nan",9.22,-0.16,0.03,"nan","nan","nan","Apogee",12.9,10.15,11.38,9.75,0.12,0.13,"nan",11.44,7.0
"Czernik 21",81.6706,36.0134,"nan","nan","nan","nan","nan","nan",45.14,0.24,"2021A&A...647A..19T","nan","nan",4.04,"nan",9.41,-0.32,0.01,"nan","nan","nan","Apogee",13.77,9.83,11.38,11.77,0.17,1.13,"nan",12.01,2.0
"Czernik 23",87.5248,28.8974,"nan","nan","nan","nan","nan","nan",17.63,2.06,"2021A&A...647A..19T","nan","nan",3.97,"nan",8.43,-0.28,0.01,"nan","nan","nan","Apogee",12.03,11.14,11.56,12.8,0.04,0.21,"nan",11.97,1.0
"Czernik 30",112.7956,-9.9454,"nan","nan","nan","nan","nan","nan",82.07,0.73,"2021A&A...647A..19T","nan","nan",7.24,"nan",9.4,-0.4,0.01,"nan","nan","nan","Apogee",14.45,10.82,12.36,13.12,0.14,0.59,"nan",14.0,2.0
"FSR 0494",6.4163,63.7543,"nan","nan","nan","nan","nan","nan",-63.1,0.91,"2021A&A...647A..19T","nan","nan",4.07,"nan",8.95,-0.01,0.01,"nan","nan","nan","Apogee",11.42,10.56,10.97,7.62,0.04,0.15,"nan",10.64,4.0
"FSR 0667",61.7659,51.1405,"nan","nan","nan","nan","nan","nan",2.02,1.49,"2021A&A...647A..19T","nan","nan",1.18,"nan",8.85,-0.02,0.01,"nan","nan","nan","Apogee",9.48,8.65,9.05,7.89,0.05,0.08,"nan",9.05,1.0
"FSR 0716",77.7859,45.7187,"nan","nan","nan","nan","nan","nan",7.4,1.89,"2021A&A...647A..19T","nan","nan",4.25,"nan",8.87,-0.4,0.01,"nan","nan","nan","Apogee",13.59,11.19,12.24,14.57,0.1,0.59,"nan",12.11,1.0
"FSR 1113",107.3008,-1.5027,"nan","nan","nan","nan","nan","nan",68.9,0.09,"2021A&A...647A..19T","nan","nan",3.77,"nan",9.44,-0.3,0.01,"nan","nan","nan","Apogee",13.66,11.09,12.22,11.31,0.1,0.56,"nan",11.25,1.0
"Haffner 4",106.512,-15.001,-0.406,0.021,0.927,0.02,0.209,0.01,59.25,1.18,"2021A&A...647A..19T",0.45,13.0,3.98,0.222,8.65,-0.16,0.01,0.011,0.003,"nan","Apogee",11.45,10.01,10.68,10.53,0.07,0.25,77.0,11.06,1.0
"IC 1369",318.0333,47.7699,"nan","nan","nan","nan","nan","nan",-49.02,1.2,"2021A&A...647A..19T","nan","nan",3.23,"nan",8.46,-0.08,0.03,"nan","nan","nan","Apogee",9.54,7.5,8.41,9.19,0.12,0.0,"nan",8.61,3.0
"IC 166",28.1243,61.8335,"nan","nan","nan","nan","nan","nan",-40.13,0.42,"2021A&A...647A..19T","nan","nan",5.29,"nan",9.12,-0.1,0.03,"nan","nan","nan","Apogee",16.44,11.97,13.82,8.94,0.16,0.89,"nan",12.1,18.0
"IC 2391",130.1328,-53.0334,"nan","nan","nan","nan","nan","nan",15.58,0.48,"2021A&A...647A..19T","nan","nan",0.14,"nan",7.65,-0.03,0.04,"nan","nan",13.0,"HQ",8.11,8.0,7.9,8.3,0.01,0.02,"nan",8.0,11.0
"IC 2602",160.741,-64.3997,"nan","nan","nan","nan","nan","nan",17.6,0.12,"2021A&A...647A..19T","nan","nan",0.15,"nan",7.85,-0.02,0.02,"nan","nan",10.0,"HQ",7.95,7.25,7.61,8.17,0.05,0.08,"nan",7.95,7.0
"IC 2714",169.3624,-62.7333,"nan","nan","nan","nan","nan","nan",-13.92,0.14,"2021A&A...647A..19T","nan","nan",1.39,"nan",8.55,0.02,0.06,"nan","nan",7.0,"HQ",8.13,7.58,7.84,7.45,0.04,0.08,"nan",7.58,4.0
"IC 4651",261.2043,-49.9335,"nan","nan","nan","nan","nan","nan",-30.51,0.08,"2021A&A...647A..19T","nan","nan",0.98,"nan",9.22,0.12,0.04,"nan","nan",35.0,"HQ",7.35,6.67,6.99,4.99,0.05,0.15,"nan",7.09,18.0
"IC 4665",266.5748,5.7166,"nan","nan","nan","nan","nan","nan",-13.31,0.37,"2021A&A...647A..19T","nan","nan",0.35,"nan",7.7,-0.01,0.02,"nan","nan",11.0,"HQ",7.72,7.36,7.52,7.98,0.02,0.12,"nan",7.72,11.0
"IC 4756",279.7503,5.4501,"nan","nan","nan","nan","nan","nan",-24.91,0.09,"2021A&A...647A..19T","nan","nan",0.48,"nan",8.99,0.02,0.04,"nan","nan",20.0,"HQ",7.72,6.85,7.26,7.09,0.06,0.07,"nan",7.62,13.0
"King 15",8.2627,61.8534,-2.334,0.02,-0.823,0.017,0.308,0.01,-64.6,1.97,"2021A&A...647A..19T",0.54,12.35,3.252,0.101,8.7,-0.06,0.14,0.013,0.004,"nan","nan",10.07,8.8,9.4,8.65,0.07,0.04,67.0,9.84,4.0
"King 2",12.75,58.1837,"nan","nan","nan","nan","nan","nan",-145.06,5.87,"2009MNRAS.393..272W","nan","nan",6.61,"nan",9.7,-0.36,0.01,"nan","nan","nan","Apogee",13.79,8.54,10.57,10.6,0.23,0.57,"nan",12.83,1.0
"King 23",110.4589,-0.9876,-0.444,0.017,-0.895,0.013,0.272,0.008,54.01,0.43,"2021A&A...647A..19T",0.11,12.55,3.683,0.11,9.25,-0.18,0.09,0.01,0.002,"nan","nan",10.82,8.91,9.75,9.93,0.1,0.39,54.0,10.74,4.0
"King 5",48.6875,52.6862,"nan","nan","nan","nan","nan","nan",-44.7,0.3,"2021A&A...647A..19T","nan","nan",2.58,"nan",9.01,-0.14,0.01,"nan","nan","nan","Apogee",10.36,9.31,9.8,9.81,0.05,0.18,"nan",10.19,5.0
"King 7",59.7836,51.785,"nan","nan","nan","nan","nan","nan",-6.96,0.63,"2021A&A...647A..19T","nan","nan",3.17,"nan",8.35,-0.13,0.05,"nan","nan","nan","Apogee",11.66,9.59,10.54,10.18,0.1,0.1,"nan",10.86,6.0
"Melotte 111",186.2752,26.0999,"nan","nan","nan","nan","nan","nan",-0.06,0.08,"2021A&A...647A..19T","nan","nan",0.09,"nan",8.85,-0.01,0.06,"nan","nan",10.0,"HQ",8.62,7.93,8.25,7.63,0.04,0.14,"nan",8.01,7.0
"Melotte 20",51.0794,49.8611,"nan","nan","nan","nan","nan","nan",0.72,0.16,"2021A&A...647A..19T","nan","nan",0.17,"nan",7.75,0.01,0.05,"nan","nan","nan","Apogee",8.17,7.65,7.77,7.64,0.03,0.01,"nan",8.14,60.0
"Melotte 22",56.7504,24.1166,"nan","nan","nan","nan","nan","nan",5.88,0.03,"2021A&A...647A..19T","nan","nan",0.13,"nan",8.05,0.0,0.05,"nan","nan","nan","Apogee",8.11,7.14,7.6,7.82,0.06,0.08,"nan",8.11,79.0
"Melotte 25",66.7251,15.8665,"nan","nan","nan","nan","nan","nan",37.97,0.16,"2021A&A...647A..19T","nan","nan",0.05,"nan",8.9,0.12,0.04,"nan","nan",73.0,"HQ",8.63,7.11,7.8,5.34,0.1,0.09,"nan",8.04,48.0
"Melotte 66",111.5952,-47.6666,"nan","nan","nan","nan","nan","nan",18.5,3.39,"2021A&A...647A..19T","nan","nan",4.68,"nan",9.6,-0.33,0.03,"nan","nan",6.0,"HQ",13.47,8.9,10.56,10.84,0.2,1.5,"nan",9.88,6.0
"Melotte 71",114.3752,-12.0668,"nan","nan","nan","nan","nan","nan",50.98,0.34,"2021A&A...647A..19T","nan","nan",2.09,"nan",9.0,-0.13,0.02,"nan","nan","nan","Apogee",11.37,9.34,10.25,9.65,0.1,0.29,"nan",9.5,4.0
"NGC 1039",40.5211,42.762,"nan","nan","nan","nan","nan","nan",-6.91,0.6,"2021A&A...647A..19T","nan","nan",0.47,"nan",8.25,0.02,0.06,"nan","nan",7.0,"HQ",8.69,8.26,8.47,7.53,0.03,0.11,"nan",8.37,7.0
