"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"NGC 1647",476.0,200.0,50.0,"CG",71.479,0.397,19.102,0.353,-1.002,0.375,-1.492,0.316,1.677,0.162,181.0,0.566,0.011,24.1,9.7,"nan",1,0,0
"NGC 1662",113.0,650.0,50.0,"CG",72.134,0.38,10.888,0.376,-1.101,0.247,-1.925,0.247,2.403,0.141,55.0,0.397,0.014,18.1,1.4,"nan",1,0,0
"NGC 1746","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 1750",360.0,257.0,123.0,"H",75.945,0.426,23.69,0.4,-0.941,0.349,-2.378,0.301,1.348,0.174,178.0,0.466,0.01,28.7,11.7,"nan",1,0,0
"NGC 1758",169.0,600.0,50.0,"CG",76.174,0.144,23.814,0.136,3.136,0.225,-3.468,0.193,1.1,0.124,82.0,0.469,0.015,31.2,4.8,"nan",1,0,0
"NGC 1778",292.0,178.0,85.0,"H",77.036,0.197,37.021,0.169,0.534,0.235,-3.124,0.235,0.574,0.118,98.0,0.493,0.016,20.3,9.8,"nan",1,0,0
"NGC 1802","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 1960",376.0,"nan","nan","nan",84.081,0.144,34.137,0.133,-0.135,0.234,-3.37,0.211,0.659,0.437,164.0,0.39,0.014,"nan","nan","#",1,0,0
"NGC 1976","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 1977","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"NGC 1981","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
