"Name","RAJ2000","DEJ2000","Rc","e_Rc","Type","Nm","pmRA*","pmDE"
"NGC 6031",241.89583,-54.015,3.1,0.9,"A",231,-2.151,-2.924
"Ruprecht 115",243.21667,-52.4,3.45,1.15,"A",149,-4.4,-4.397
"NGC 6067",243.29583,-54.21833,8.5,0.5,"A",968,-1.87,-2.561
"Ruprecht 176",243.7,-51.33333,2.4,0.4,"A",146,-2.627,-2.963
"Lynga 9",245.17083,-48.52889,5.4,1.1,"A",528,-2.501,-2.401
"ESO 226 06",246.05833,-51.15167,2.55,0.55,"B",52,-2.154,-3.32
"Ruprecht 119",247.0625,-51.5,2.5,1.5,"B",59,-1.392,-3.512
"Ruprecht 120",248.79167,-48.28333,2.35,0.15,"B",46,-1.405,-3.757
"Collinder 307",248.83333,-51.0,4.35,0.25,"B",120,-0.704,-3.032
"NGC 6192",250.09583,-43.36667,10.8,1.3,"B",591,1.57,0.003
"NGC 6193",250.33333,-48.76333,10.5,1.5,"B",614,-5.011,-3.536
"Ruprecht 121",250.425,-46.15,10.0,3.8,"B",751,-1.031,-2.509
"NGC 6200",251.02917,-47.46333,4.5,3.5,"B",92,-0.894,-2.255
"Hogg 21",251.40417,-47.73333,3.65,0.55,"B",111,-1.286,-2.024
"NGC 6204",251.5375,-47.01667,2.35,0.95,"B",94,-0.802,-0.687
"Hogg 22",251.65417,-47.08333,2.85,1.15,"B",115,-0.775,-2.355
"NGC 6216",252.35,-44.72833,6.25,0.35,"B",335,-1.144,-2.347
"VDBH 200, BH 200",252.48333,-44.18333,5.5,1.8,"A",230,-0.183,-1.026
"NGC 6242",253.8875,-39.46167,9.95,2.15,"A",526,1.118,-1.023
"NGC 6259",255.1875,-44.655,13.0,4.0,"A",1393,-0.994,-2.857
"NGC 6268",255.54167,-39.72833,7.3,0.3,"B",191,0.933,-0.892
"VDBH 211, BH 211",255.54583,-41.1,3.6,0.9,"B",69,-0.726,-1.875
"Teutsch 84",256.08333,-42.07333,3.3,0.2,"A",180,-1.658,-1.222
"VDBH 217, BH 217",259.075,-40.81667,4.6,1.8,"A",318,-0.737,-1.975
"Bochum 13",259.35,-35.55,6.0,2.0,"B",116,-0.215,-1.28
"Havlen Moffat 1",259.725,-38.81667,4.15,1.85,"B",482,-1.995,-1.833
"Ruprecht 123",260.85833,-37.9,2.5,0.5,"B",43,1.233,-1.963
"Trumpler 25",261.12083,-39.01667,8.9,3.4,"A",323,0.489,-2.558
"NGC 6357",261.17917,-34.20167,3.95,0.25,"B",104,-0.834,-2.115
"IC 4651",261.20417,-49.93333,11.45,3.85,"A",209,-2.438,-5.132
"VDBH 231, BH 231",262.98333,-31.91,2.75,0.25,"B",184,0.714,-1.893
"NGC 6383",263.7,-32.56667,5.5,1.5,"A",254,2.743,-1.518
"Ruprecht 126",263.75417,-34.26667,3.7,1.8,"B",201,-0.444,-3.126
"NGC 6416",266.07917,-32.36167,9.0,4.0,"B",133,-1.868,-2.263
"VDBH 245, BH 245",266.56667,-29.7,1.85,0.05,"B",126,-0.431,-2.022
"Ruprecht 130",266.88333,-30.1,2.85,0.15,"A",93,0.539,-1.732
"NGC 6451",267.67083,-30.21,8.8,3.3,"B",580,-0.177,-1.393
