"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_696","nan",265.087,0.069,-3.922,0.037,0.143,0.243,0.018,-3.324,0.43,4.099,0.49,51,1.66,0.0996,0.0,3,"nan","nan","nan",0,128.8463,-47.0832
"FoF_697","nan",266.583,0.076,-2.899,0.044,0.211,0.273,0.016,-3.259,0.756,3.806,0.69,50,1.45,0.087,-0.25,3,"nan","nan","nan",0,131.3878,-47.643
"FoF_698","nan",274.104,0.319,-2.949,0.11,0.886,0.267,0.032,-4.451,0.674,4.022,0.6,488,0.676,0.0406,0.5,2,"nan","nan","nan",0,139.1154,-53.333
"FoF_699","n",273.721,0.141,-3.375,0.06,0.453,0.262,0.031,-3.982,0.595,3.829,0.553,203,0.676,0.0406,0.5,1,"nan","nan","nan",0,138.1571,-53.3507
"FoF_700","nan",273.812,0.109,-3.249,0.045,0.279,0.24,0.019,-3.799,0.665,3.508,0.613,105,0.725,0.0435,-0.25,3,"nan","nan","nan",0,138.4149,-53.3301
"FoF_701","nan",274.607,0.105,-3.794,0.077,0.267,0.247,0.02,-4.424,0.568,4.036,0.567,63,0.646,0.0388,0.0,3,"nan","nan","nan",0,138.673,-54.2806
"FoF_702","nan",273.451,0.133,-3.825,0.035,0.295,0.234,0.011,-3.894,0.546,3.974,0.59,60,12.9,0.774,-2.0,3,"nan","nan","nan",0,137.2966,-53.4603
"FoF_703","nan",275.242,0.091,-4.009,0.035,0.189,0.24,0.014,-4.64,0.773,4.206,0.618,57,1.26,0.0756,-2.0,3,"nan","nan","nan",0,139.1628,-54.8864
"FoF_704","nan",275.654,0.158,-3.359,0.055,0.3,0.232,0.012,-3.692,0.513,3.276,0.409,93,1.0,0.06,-2.0,3,"nan","nan","nan",0,140.467,-54.7235
"FoF_705","nan",274.411,0.133,-2.804,0.077,0.337,0.247,0.025,-4.372,0.669,3.757,0.555,246,0.501,0.0301,0.5,3,"nan","nan","nan",0,139.6484,-53.4514
"FoF_706","nan",273.895,0.074,-3.121,0.05,0.239,0.258,0.017,-4.51,0.589,4.073,0.612,91,1.86,0.1116,-0.75,3,"nan","nan","nan",0,138.6657,-53.3018
"FoF_707","nan",273.875,0.078,-3.776,0.03,0.148,0.255,0.016,-4.354,0.629,3.973,0.463,53,1.32,0.0792,0.5,3,"nan","nan","nan",0,137.8419,-53.7372
"FoF_708","nan",279.2,0.078,-3.5,0.046,0.226,0.238,0.015,-4.839,0.471,3.854,0.289,69,0.725,0.0435,-2.0,3,"nan","nan","nan",0,144.9079,-57.2508
"FoF_709","nan",278.851,0.079,-3.933,0.028,0.174,0.24,0.016,-5.047,0.404,3.755,0.382,60,0.794,0.0476,0.5,3,"nan","nan","nan",0,143.893,-57.3408
"FoF_710","nan",288.426,0.043,-2.856,0.046,0.127,0.25,0.02,-5.994,0.793,2.552,0.492,76,0.955,0.0573,0.0,3,"nan","nan","nan",0,160.6135,-62.0389
"FoF_711","nan",288.139,0.049,-3.0,0.05,0.121,0.237,0.016,-5.543,0.463,2.431,0.387,76,0.676,0.0406,0.5,3,"nan","nan","nan",0,159.9299,-62.0277
"FoF_712","nan",287.856,0.049,-3.186,0.039,0.158,0.286,0.03,-6.121,0.324,3.358,0.302,76,0.501,0.0301,0.5,3,"nan","nan","nan",0,159.2102,-62.0517
"FoF_713","nan",288.314,0.065,-3.057,0.038,0.127,0.23,0.014,-5.711,0.599,2.535,0.437,62,0.832,0.0499,0.25,3,"nan","nan","nan",0,160.1981,-62.162
"FoF_714","nan",326.094,0.024,-3.024,0.026,0.065,0.316,0.025,-1.964,0.189,-2.616,0.206,51,1.2,0.072,0.25,3,"nan","nan","nan",0,239.4398,-57.2636
"FoF_715,NGC_6400","nan",352.578,0.056,-3.259,0.047,0.176,0.784,0.027,0.491,0.184,-2.548,0.21,110,0.537,0.0322,-0.5,1,"2139","880","10526",0,265.066,-36.9605
"FoF_716,Ruprecht_128","nan",354.777,0.038,-2.844,0.043,0.162,0.493,0.034,1.843,0.293,-1.285,0.204,135,1.41,0.0846,-0.5,1,"2148","1029","nan",0,266.0542,-34.8739
"FoF_717,NGC_6520","nan",2.892,0.03,-2.846,0.035,0.111,0.565,0.053,0.676,0.274,-0.534,0.274,188,0.052,0.0031,0.25,1,"2229","889","219",0,270.8584,-27.88
"FoF_718","nan",36.108,0.026,-3.931,0.018,0.081,0.252,0.029,-1.104,0.373,-3.355,0.41,64,0.065,0.0039,-2.0,3,"2442","nan","1476",0,287.8063,1.0276
"Gulliver_18,FoF_719","nan",65.534,0.082,-3.967,0.068,0.264,0.62,0.038,-3.188,0.182,-5.663,0.223,141,0.051,0.0031,0.25,1,"2612","467","2210",0,302.9065,26.5406
