"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"Roslund_2",11.5,730.1,5.2e-08,1.1999999999999999e+35,10112.5,2.11,9.91,296.261,23.977
"Roslund_4",17.0,314.9,9.7e-09,2e+34,4492.8,2.35,6.82,301.199,29.196
"Ruprecht_127",13.5,715.9,3.6e-08,7.9e+34,10037.1,2.42,8.05,264.462,-36.309
"Ruprecht_138",9.5,1086.9,1.2e-07,2.9e+35,14849.9,2.6,4.42,269.984,-24.665
"Ruprecht_32",5.0,257.0,1.5e-08,3.5e+34,3579.5,2.76,5.03,116.3,-25.539
"Ruprecht_44",14.5,731.1,1.2e-05,9.2e+36,10303.4,2.58,7.25,119.708,-28.558
"Ruprecht_47",29.5,334.6,3.4e-09,6.2e+33,4979.7,1.46,3.57,120.57,-31.074
"Ruprecht_65",22.9,237.2,4e-09,7.8e+33,3461.8,1.55,5.61,129.838,-44.041
"Ruprecht_71",21.4,229.7,4.4e-09,8.800000000000001e+33,3334.6,1.34,3.92,132.316,-46.875
"Ruprecht_77",12.3,192.0,6.7e-09,1.3999999999999998e+34,2725.4,2.28,4.91,141.78417,-55.12639
"Ruprecht_78",17.8,1250.3,3.5e-08,7.2e+34,17898.9,3.11,4.7,142.282,-53.696
"Ruprecht_94",24.5,351.2,5.1e-09,9.8e+33,5152.8,1.7,6.4,172.772,-63.426
"SAI_113",8.9,560.8,7.2e-08,1.8e+35,7623.0,2.06,6.32,155.685,-59.51
"SAI_24",6.9,627.1,1.5e-07,4e+35,8367.3,1.93,10.29,44.816,60.566
"SAI_25",1.6,490.5,9.6e-08,2.4999999999999997e+35,6584.9,3.2,4.79,45.109,57.307
"Schuster_1",6.3,84.5,5.1e-10,8.8e+32,1282.4,2.66,5.59,151.159,-55.857
"Sher_1",13.2,702.4,1.2e-05,9.2e+36,9830.3,3.56,14.92,165.262,-60.233
"Shorlin_1",3.2,211.2,9.1e-09,2e+34,2976.8,3.15,3.45,166.443,-61.231
