"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_622",70,"nan",8.44556,0.363431,"nan",14.2878,8.23403,"nan",39.7183,6.12347,2.258,-11.8814,2.4192,3.38757,338.755,281.423,47.2478,10.3644,-7.51527,2.93092,280.4606563,8.81290609,442.93
"Theia_624",903,"ASCC_83",8.48096,0.582,"y",58.3712,12.3116,233.258,338.638,1.46274,2.19,-1.71797,2.58691,-4.44684,411.607,-170.968,11.3311,-2.45805,-0.465356,2.63338,248.9045081,-45.30119909,445.85
"Theia_625",81,"nan",8.4588,0.610377,"nan",17.6018,12.5602,"nan",23.798,-10.3357,2.109,13.3224,-1.41433,4.08237,426.734,188.194,-85.0576,-2.05718,14.258,-2.04438,288.0637377,-12.75584647,474.08
"Theia_638",42,"nan",8.401,0.605,"nan",7.35808,4.91566,"nan",139.833,1.77099,1.862,-27.0139,-2.84946,-12.4253,-410.193,346.237,16.5971,27.6731,13.2345,-3.32898,48.2801323,59.90933046,537.04
"Theia_643",85,"nan",8.44731,0.506999,"nan",14.6468,4.72334,"nan",339.12,-4.24183,1.676,5.78861,-3.04693,-33.8075,555.882,-212.046,-44.1273,-30.3119,17.9296,-0.567512,255.7698931,-48.59507427,596.59
"Theia_648",141,"nan",8.4792,0.635612,"nan",17.7599,9.04828,"nan",182.519,-1.06887,1.598,-2.01334,2.62987,-19.6059,-624.973,-27.4934,-11.6717,19.8709,3.19327,3.33124,86.8504146,26.22853507,625.69
"Theia_649",132,"nan",8.479,0.343,"nan",6.02559,17.0476,"nan",263.394,-16.1266,1.538,-19.0268,1.30752,7.64665,-71.8592,-620.495,-180.608,-20.5987,-5.56014,-0.856247,111.2879748,-51.81401339,650.23
"Theia_651",194,"nan",8.45056,0.265617,"nan",15.6145,12.5329,"nan",253.804,7.14281,1.467,3.32024,0.618944,-3.80302,-188.693,-649.666,84.7777,4.58325,2.78825,0.289103,131.3210982,-31.41047181,681.81
"Theia_652",52,"nan",8.41946,0.614351,"nan",16.4452,9.09491,"nan",137.23,10.8582,1.426,-12.8654,4.59776,-17.952,-505.503,467.612,132.086,22.794,-3.19988,1.1029,55.1873318,68.88784889,701.17
"Theia_659",53,"nan",8.41083,0.920902,"nan",13.3514,8.82432,"nan",344.026,1.1291,1.349,-3.82676,-7.16069,-3.49126,712.534,-203.967,14.6074,-4.38253,-2.86979,-7.49077,254.0707157,-41.42257479,741.3
