"Cluster","_RA","_DE","fdim-all","fdim-inrt","fdim-outrt","Age","Type","logAge"
"UBC_17a",84.77577,-1.93244,"1.4988","1.8063","1.1765","nan","nan",6.6649
"UBC_19",56.44369,29.93642,"0.9962","1.5767","nan",7.0,"nan","nan"
"UBC_31",60.70703,32.5423,"1.7343","1.7687","1.678",12.0,"f1","nan"
"UBC_32",279.32177,-14.00299,"1.6343","1.8517","1.6076","nan","nan",7.8863
"UBC_7",106.93517,-37.67724,"1.5423","1.8858","1.5304",40.0,"f2","nan"
"UPK_20",281.11867,-14.37413,"1.2083","1.4863","1.4941","nan","nan",8.1629
"UPK_292",56.61693,64.6049,"1.3521","nan","nan","nan","nan",7.7547
"UPK_39",277.4777,1.07631,"1.772","1.7988","1.6912","nan","nan",6.6144
"UPK_398",85.95599,7.05924,"1.3379","1.5404","1.7477","nan","nan",7.0674
"UPK_41",279.46199,0.46073,"1.5432","1.6023","1.4023","nan","nan",6.8096
"UPK_422",87.96384,-7.39008,"1.7422","1.7329","1.7469","nan","nan",7.1719
"UPK_545",130.97464,-58.78433,"2.0948","1.7048","2.0789","nan","nan",8.0069
"UPK_640",249.69246,-39.50705,"1.7016","2.0534","1.7983","nan","nan",6.9832
"UPK_82",298.2653,26.504,"1.2705","1.4331","nan",81.3,"nan","nan"
"VDBH_164",222.32394,-66.39245,"1.259,1.8173","1.9966,1.7165","1.3836,1.8741",65.0,"nan",7.2684
"VDBH_23",123.44779,-36.35626,"1.5517","1.6301","1.5353","nan","nan",6.9736
"VDBH_99",159.55389,-59.10927,"1.4958,1.8748","1.9474,2.0546","1.8702,1.7321",81.3,"f2",7.6512
"ZHBJZ_1",103.94664,-5.79121,"1.9066","1.9922","1.9287","nan","nan",7.1302
