"n_FSR","ID","GLON","GLAT","RAJ2000","DEJ2000","rcore","rtid","Dc","Dcont","N","Nc","logRN","Q","Qall","Ident","RA_deg","DEC_deg"
"A","FSR_1204",226.315,-2.168,"07 08 20","-12 53 28",0.01,0.504,10,6.0,169,204,0.715,3,100011,"nan",107.083333,-12.891111
"A","FSR_1207",226.62,-2.526,"07 07 36","-13 19 34",0.017,0.345,10,6.0,368,335,0.746,2,100010,"nan",106.9,-13.326111
"A","FSR_1209",227.025,-2.879,"07 07 04","-13 50 51",0.005,0.253,12,7.0,52,57,0.661,4,110011,"nan",106.766667,-13.8475
"A","FSR_1219",228.526,-3.275,"07 08 27","-15 21 40",0.01,0.51,8,5.0,143,131,"nan",3,100110,"nan",107.1125,-15.361111
"A","FSR_1223",228.964,-3.79,"07 07 22","-15 59 08",0.009,0.101,16,10.0,110,121,0.553,3,100011,"nan",106.841667,-15.985556
"A","FSR_1226",229.86,2.699,"07 32 50","-13 43 54",0.014,0.675,9,4.0,265,183,0.74,3,100110,"nan",113.208333,-13.731667
"A","FSR_1227",229.861,2.434,"07 31 53","-13 51 36",0.004,0.022,12,7.0,14,14,"nan",3,110001,"nan",112.970833,-13.86
"A","FSR_1228",229.905,-1.604,"07 17 15","-15 48 40",0.015,0.087,9,5.0,125,150,"nan",2,100100,"nan",109.3125,-15.811111
"A","FSR_1234",231.156,1.53,"07 31 10","-15 25 46",0.04,0.081,10,6.0,438,365,0.824,2,100010,"nan",112.791667,-15.429444
"A","FSR_1243",232.024,1.979,"07 34 33","-15 58 22",0.007,0.113,11,6.0,60,60,"nan",4,100111,"nan",113.6375,-15.972778
"A","FSR_1252",233.069,-1.823,"07 22 38","-18 42 28",0.041,1.276,3,2.0,701,843,"nan",2,100100,"nan",110.658333,-18.707778
"A","FSR_1253",233.24,-0.928,"07 26 19","-18 26 06",0.043,0.128,7,4.0,499,455,0.902,2,110,"nan",111.579167,-18.435
"A","FSR_1255",233.704,-2.631,"07 20 53","-19 38 51",0.022,0.698,8,5.0,555,555,0.707,3,100110,"nan",110.220833,-19.6475
"A","FSR_1258",234.238,-2.838,"07 21 10","-20 12 56",0.006,0.103,16,8.0,61,51,0.589,3,100011,"nan",110.291667,-20.215556
"A","FSR_1260",234.581,-1.085,"07 28 26","-19 41 19",0.072,0.144,7,4.0,900,987,"nan",2,110,"nan",112.108333,-19.688611
"A","FSR_1264",235.286,-0.054,"07 33 43","-19 48 39",0.011,0.53,9,5.0,181,199,"nan",4,100111,"nan",113.429167,-19.810833
"A","FSR_1267, NGC2432",235.477,1.796,"07 40 57","-19 04 22",0.019,0.925,8,4.0,441,367,0.747,2,110,"NGC2432",115.2375,-19.072778
"A","FSR_1268",235.49,0.378,"07 35 44","-19 46 46",0.017,0.203,7,4.0,199,166,0.719,2,100100,"nan",113.933333,-19.779444
"A","FSR_1270",235.636,-2.279,"07 26 05","-21 11 03",0.066,0.132,8,5.0,939,1129,"nan",4,10111,"nan",111.520833,-21.184167
"A","FSR_1275",236.395,-2.161,"07 28 05","-21 47 44",0.008,0.406,14,8.0,161,177,0.646,2,11,"nan",112.020833,-21.795556
"A","FSR_1283",237.877,-3.791,"07 24 54","-23 52 15",0.005,0.217,22,12.0,98,89,0.641,3,100011,"nan",111.225,-23.870833
"A","FSR_1286, Ruprecht23",238.086,-2.4,"07 30 40","-23 23 39",0.015,0.525,14,9.0,486,533,0.386,0,0,"Ruprecht23",112.666667,-23.394167
"A","FSR_1290, Trumpler6",238.322,-3.627,"07 26 27","-24 11 07",0.02,0.08,11,6.0,211,192,0.754,3,111000,"Trumpler6",111.6125,-24.185278
"A","FSR_1294",239.318,2.323,"07 51 07","-22 07 50",0.006,0.293,8,5.0,47,52,0.482,4,100111,"nan",117.779167,-22.130556
"A","FSR_1298",239.797,2.719,"07 53 39","-22 20 22",0.024,0.121,11,6.0,370,337,0.771,0,0,"nan",118.4125,-22.339444
"A","FSR_1302",241.083,-3.084,"07 34 23","-26 20 51",0.047,0.095,9,4.0,497,414,0.905,3,100110,"nan",113.595833,-26.3475
"A","FSR_1305, Ruprecht27",241.572,-2.506,"07 37 41","-26 29 38",0.02,0.743,5,3.0,304,304,"nan",2,110,"Ruprecht27",114.420833,-26.493889
"A","FSR_1308",242.077,0.232,"07 49 23","-25 34 07",0.015,0.3,10,6.0,284,311,0.713,1,100000,"nan",117.345833,-25.568611
"A","FSR_1315",243.22,-0.618,"07 48 42","-26 59 05",0.021,0.102,24,14.0,586,535,0.291,1,100000,"nan",117.175,-26.984722
"A","FSR_1320",244.444,-2.985,"07 42 11","-29 13 41",0.027,1.35,6,4.0,704,929,"nan",3,100110,"nan",115.545833,-29.228056
"A","FSR_1336",247.637,-0.53,"07 59 26","-30 43 28",0.01,0.052,22,12.0,145,145,0.523,2,110000,"nan",119.858333,-30.724444
"A","FSR_1342",248.135,-1.219,"07 57 55","-31 30 34",0.013,0.08,22,11.0,266,221,0.467,1,100000,"nan",119.479167,-31.509444
"A","FSR_1343",248.216,-3.94,"07 47 03","-32 58 12",0.015,0.124,13,7.0,243,221,0.631,2,100010,"nan",116.7625,-32.97
"A","FSR_1357",250.332,0.83,"08 11 37","-32 16 08",0.02,0.117,12,6.0,315,315,0.765,2,100100,"nan",122.904167,-32.268889
"A","FSR_1360",251.084,-2.118,"08 01 39","-34 29 25",0.008,0.406,18,8.0,198,164,0.602,4,110011,"nan",120.4125,-34.490278
"A","FSR_1363",252.192,-0.625,"08 10 39","-34 37 19",0.021,0.188,10,5.0,361,361,0.712,3,100110,"nan",122.6625,-34.621944
"A","FSR_1365",252.343,-3.333,"07 59 49","-36 11 56",0.016,0.144,13,7.0,286,261,0.539,1,100000,"nan",119.954167,-36.198889
"A","FSR_1374, Pismis1",255.115,-0.707,"08 18 19","-37 06 00",0.013,0.079,12,7.0,145,175,0.615,1,100000,"Pismis1",124.579167,-37.1
"A","FSR_1380",256.742,-3.495,"08 11 03","-39 59 53",0.012,0.161,10,5.0,159,145,0.873,3,110100,"nan",122.7625,-39.998056
"A","FSR_1387",258.117,-1.328,"08 24 26","-39 55 19",0.022,0.77,9,5.0,686,571,0.596,2,1100,"nan",126.108333,-39.921944
"A","FSR_1390",258.687,-0.809,"08 28 22","-40 05 07",0.007,0.336,15,8.0,128,128,0.587,3,100011,"nan",127.091667,-40.085278
"A","FSR_1394",259.253,-2.104,"08 24 32","-41 17 49",0.009,0.439,11,5.0,138,126,0.736,4,100111,"nan",126.133333,-41.296944
"A","FSR_1397",259.909,0.346,"08 37 02","-40 22 57",0.009,0.339,11,6.0,150,165,0.785,3,111,"nan",129.258333,-40.3825
"A","FSR_1399",259.952,2.056,"08 44 14","-39 22 13",0.031,0.155,7,4.0,389,426,1.047,1,100,"nan",131.058333,-39.370278
"A","FSR_1401",261.5,-0.853,"08 37 04","-42 22 28",0.008,0.064,20,9.0,104,72,0.468,3,110001,"nan",129.266667,-42.374444
"A","FSR_1406",261.63,-0.653,"08 38 21","-42 21 25",0.009,0.233,22,10.0,263,199,0.557,2,10001,"nan",129.5875,-42.356944
"A","FSR_1411",262.389,-2.123,"08 34 26","-43 50 52",0.027,0.592,8,3.0,721,499,0.763,2,100100,"nan",128.608333,-43.847778
"A","FSR_1412",262.928,-1.914,"08 37 09","-44 09 11",0.016,0.157,11,5.0,256,233,0.72,3,100110,"nan",129.2875,-44.153056
"A","FSR_1415",263.744,-1.806,"08 40 25","-44 44 08",0.019,0.879,17,9.0,993,905,0.4,1,10,"nan",130.104167,-44.735556
"A","FSR_1416",263.8,3.908,"09 04 37","-41 07 22",0.039,0.194,7,4.0,619,470,0.853,2,100100,"nan",136.154167,-41.122778
"A","FSR_1418",263.965,-0.314,"08 47 44","-43 59 03",0.019,0.153,10,5.0,306,254,0.703,3,110100,"nan",131.933333,-43.984167
"A","FSR_1421",264.13,2.019,"08 58 09","-42 36 59",0.029,0.087,13,9.0,419,349,0.586,2,100010,"nan",134.5375,-42.616389
"A","FSR_1424",264.192,0.184,"08 50 40","-43 50 44",0.021,0.213,8,3.0,308,281,0.76,2,100100,"nan",132.666667,-43.845556
"A","FSR_1429",264.484,-2.964,"08 37 44","-46 01 35",0.011,0.064,15,7.0,115,126,0.542,2,100001,"nan",129.433333,-46.026389
"A","FSR_1430",264.654,0.084,"08 51 52","-44 15 56",0.027,0.135,20,10.0,883,735,0.14,0,0,"nan",132.966667,-44.265556
"A","FSR_1432",264.732,0.263,"08 52 55","-44 12 39",0.025,0.074,24,10.0,579,366,0.369,1,10,"nan",133.229167,-44.210833
"A","FSR_1434",264.831,-1.503,"08 45 33","-45 24 13",0.026,0.285,7,3.0,449,449,0.786,2,100100,"nan",131.3875,-45.403611
"A","FSR_1435",264.864,1.121,"08 57 02","-43 45 29",0.022,0.177,12,6.0,469,296,0.769,0,0,"nan",134.258333,-43.758056
"A","FSR_1436, NGC2645",264.914,-2.874,"08 39 39","-46 18 48",0.024,0.213,9,4.0,411,375,0.759,2,100100,"NGC2645",129.9125,-46.313333
"A","FSR_1441",265.541,-3.364,"08 39 36","-47 06 30",0.045,0.136,8,3.0,637,483,0.858,3,100110,"nan",129.9,-47.108333
