"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"Berkeley_53",12.0,481,360,0.75,-2.81,3.09,-3.04,2.68,0.26,121,1.68,9.17,-3.73,10.8,0.58,"Berkeley_53.dat"
"Berkeley_55",3.1,54,37,0.68,-4.39,0.87,-4.14,0.1,0.42,17,-2.9,11.17,-0.54,11.46,0.53,"Berkeley_55.dat"
"Berkeley_56",2.0,46,35,0.77,-3.7,1.57,-5.73,0.7,0.34,11,2.36,22.06,1.65,0.1,0.02,"Berkeley_56.dat"
"Berkeley_58",6.5,351,263,0.75,-2.31,1.76,-1.18,0.73,0.21,88,0.9,10.33,-1.74,6.9,-0.14,"Berkeley_58.dat"
"Berkeley_59",6.0,88,63,0.71,-0.44,0.1,-0.94,0.1,0.06,25,-2.69,7.02,-0.05,10.27,-0.17,"Berkeley_59.dat"
"Berkeley_6",5.2,188,162,0.86,-1.03,0.1,-1.44,0.93,0.18,26,8.71,11.15,-1.9,8.95,-0.18,"Berkeley_6.dat"
"Berkeley_60",2.5,59,51,0.87,-1.54,2.59,-0.61,2.52,0.3,8,-1.91,13.23,10.77,7.72,-0.61,"Berkeley_60.dat"
"Berkeley_62",6.0,250,178,0.71,-2.16,1.44,0.19,0.67,-0.05,72,-0.55,7.87,-1.22,6.97,0.1,"Berkeley_62.dat"
"Berkeley_63",9.0,413,322,0.78,-0.59,1.2,-0.35,1.32,0.03,91,3.37,7.4,-3.49,5.11,-0.25,"Berkeley_63.dat"
"Berkeley_68",7.0,299,248,0.83,0.09,1.19,-1.55,1.21,-0.04,51,0.05,10.24,-4.27,8.61,0.21,"Berkeley_68.dat"
"Berkeley_7",3.0,88,83,0.94,-1.28,0.69,-0.94,0.1,0.23,5,5.15,2.89,-7.2,0.1,-0.48,"Berkeley_7.dat"
"Berkeley_71",4.1,52,44,0.84,1.22,1.05,-2.98,2.66,0.28,8,2.35,8.15,-2.72,1.32,0.52,"Berkeley_71.dat"
"Berkeley_75",3.0,46,38,0.82,-1.3,0.29,2.21,2.56,0.02,8,-2.46,12.76,1.84,9.73,-0.24,"Berkeley_75.dat"
"Berkeley_77",4.1,150,140,0.93,-1.07,0.99,0.16,1.71,-0.02,10,-3.93,10.69,-6.18,15.73,-0.71,"Berkeley_77.dat"
"Berkeley_78",4.0,88,68,0.77,-0.31,2.09,-1.08,1.23,0.01,20,1.46,7.48,-3.73,7.99,-0.47,"Berkeley_78.dat"
"Berkeley_79",4.0,77,60,0.78,-2.28,1.48,-3.13,1.64,0.19,17,4.74,10.06,-4.73,9.84,0.37,"Berkeley_79.dat"
"Berkeley_8",3.5,43,34,0.79,2.04,0.1,0.35,0.5,0.19,9,5.08,11.55,-5.34,6.3,-0.53,"Berkeley_8.dat"
"Berkeley_81",3.5,206,176,0.86,-0.58,2.6,-3.29,2.18,0.07,30,-3.64,10.13,-7.39,12.19,0.0,"Berkeley_81.dat"
"Berkeley_85",3.5,172,150,0.87,-2.91,1.0,-5.33,1.42,0.1,22,-3.42,12.49,-10.06,11.6,0.27,"Berkeley_85.dat"
"Berkeley_86",4.0,106,80,0.75,-2.44,0.86,-4.55,0.99,0.22,26,-4.77,5.6,-6.42,6.57,0.55,"Berkeley_86.dat"
"Berkeley_87",6.0,154,112,0.73,-3.57,0.92,-5.7,0.87,0.19,42,-0.47,9.21,-4.32,8.79,0.19,"Berkeley_87.dat"
"Berkeley_89",2.5,81,75,0.93,-3.14,2.91,-2.83,3.84,0.02,6,-1.25,11.43,4.81,6.41,0.99,"Berkeley_89.dat"
"Berkeley_9",4.15,78,54,0.7,0.72,1.46,0.2,1.68,0.05,24,1.79,13.08,-4.83,15.13,-0.17,"Berkeley_9.dat"
"Berkeley_90",3.5,110,72,0.65,-4.57,1.4,-4.63,0.85,0.31,38,-2.48,8.34,-2.61,9.25,0.33,"Berkeley_90.dat"
"Berkeley_92",2.0,38,29,0.77,-5.04,1.33,-4.33,3.19,-0.05,9,13.02,16.05,10.04,8.16,0.39,"Berkeley_92.dat"
"Berkeley_94",2.5,87,81,0.94,-4.62,1.57,-2.8,2.15,0.06,6,2.93,10.11,1.31,0.15,0.98,"Berkeley_94.dat"
"Berkeley_95",2.5,61,55,0.9,-3.44,0.1,-1.89,0.1,-0.27,6,0.74,4.86,-6.51,3.62,0.99,"Berkeley_95.dat"
"Berkeley_96",2.5,64,53,0.82,-3.93,1.44,-3.39,0.46,0.32,11,-7.66,14.13,4.22,7.94,-0.84,"Berkeley_96.dat"
"Berkeley_98",6.0,347,257,0.74,-2.99,2.0,-3.93,0.1,-0.03,90,-0.58,8.58,-4.65,6.74,0.08,"Berkeley_98.dat"
"Bica_1",2.5,39,31,0.8,-2.65,0.1,-3.58,1.41,-0.06,8,3.72,9.47,-4.28,8.49,0.99,"Bica_1.dat"
"Bica_2",3.5,79,61,0.78,-2.08,0.1,-4.31,0.1,0.45,18,-1.1,8.45,-2.42,13.98,0.06,"Bica_2.dat"
"Bica_3",2.75,87,74,0.85,1.01,0.26,-0.64,1.18,-0.08,13,0.74,8.0,-15.84,9.02,0.47,"Bica_3.dat"
"Bica_5",2.5,95,88,0.93,-8.13,2.77,-0.17,0.69,-0.1,7,-13.87,7.95,-2.13,1.43,0.91,"Bica_5.dat"
"Bica_6",4.5,77,57,0.74,0.77,1.66,-2.71,2.18,-0.26,20,6.34,6.43,-5.71,10.85,0.06,"Bica_6.dat"
"Biurakan_1",6.0,544,445,0.82,-1.91,2.6,-5.4,2.93,0.28,99,0.06,13.16,-1.5,15.55,0.08,"Biurakan_1.dat"
"Bochum_1",14.0,1107,860,0.78,0.38,1.31,-2.88,1.88,0.06,247,1.71,6.98,-6.28,8.27,-0.11,"Bochum_1.dat"
"Bochum_12",6.0,1105,877,0.79,-6.62,1.31,1.74,0.82,-0.12,228,-8.35,8.5,2.41,7.29,-0.21,"Bochum_12.dat"
"Bochum_13",8.0,324,241,0.74,0.09,0.6,-1.95,1.98,0.18,83,-3.54,6.8,-6.18,9.1,-0.09,"Bochum_13.dat"
"Bochum_3",3.0,101,95,0.94,-1.48,1.81,1.13,1.39,-0.27,6,1.85,6.65,-7.87,0.1,0.01,"Bochum_3.dat"
"Bochum_4",3.5,41,35,0.86,-2.7,1.64,0.81,1.84,-0.08,6,-8.05,5.08,0.73,5.74,-0.82,"Bochum_4.dat"
"Bochum_5",8.5,419,331,0.79,-2.34,1.83,1.28,2.04,-0.07,88,-4.17,7.63,-0.95,9.13,-0.57,"Bochum_5.dat"
"Bochum_6",6.0,261,197,0.76,-2.81,1.0,2.83,1.91,-0.08,64,-3.62,6.6,0.78,8.37,-0.37,"Bochum_6.dat"
"C1331_622",4.5,304,221,0.73,-5.98,1.43,-2.95,0.22,0.13,83,-7.34,8.44,-3.64,4.59,0.18,"C1331_622.dat"
"Carraro_1",3.0,80,70,0.87,-8.43,3.31,2.48,1.68,-0.27,10,-4.77,14.68,-1.74,0.82,-0.85,"Carraro_1.dat"
"Collinder_107",15.5,856,691,0.81,-1.25,1.76,-1.48,2.37,0.04,165,0.27,7.82,-5.14,9.43,-0.24,"Collinder_107.dat"
"Collinder_110",10.0,655,514,0.78,0.05,0.38,-2.12,1.08,0.09,141,-0.51,7.13,-3.46,6.83,-0.24,"Collinder_110.dat"
"Collinder_111",2.5,33,19,0.56,-0.01,0.1,-0.58,1.07,0.74,14,-0.75,6.24,-1.24,8.55,-0.27,"Collinder_111.dat"
"Collinder_115",6.0,247,199,0.81,-0.73,0.27,-1.07,0.84,-0.17,48,1.32,5.73,-5.36,6.27,0.0,"Collinder_115.dat"
"Collinder_185",6.0,324,245,0.76,-3.32,1.31,3.74,1.34,-0.29,79,-6.47,6.56,2.55,7.21,-0.13,"Collinder_185.dat"
"Collinder_187",3.5,88,68,0.77,-2.85,1.7,2.91,1.88,-0.31,20,-6.33,11.5,2.83,9.23,0.06,"Collinder_187.dat"
"Collinder_197",13.5,283,190,0.67,-6.77,3.21,3.84,2.7,-0.53,93,-5.68,9.8,3.2,10.47,-0.22,"Collinder_197.dat"
"Collinder_205",3.5,63,55,0.88,-5.28,1.24,4.07,0.1,-0.02,8,-11.33,0.1,8.71,7.34,-0.21,"Collinder_205.dat"
"Collinder_213",9.5,944,756,0.8,-4.97,1.69,2.21,1.33,-0.28,188,-8.18,9.41,2.53,8.44,-0.2,"Collinder_213.dat"
"Collinder_220",5.75,526,393,0.75,-7.68,1.05,3.0,1.24,-0.36,133,-8.73,6.99,3.52,5.38,-0.05,"Collinder_220.dat"
"Collinder_228",8.0,1105,852,0.77,-7.56,1.76,2.2,0.92,-0.23,253,-9.58,9.41,2.09,7.91,-0.08,"Collinder_228.dat"
"Collinder_232",3.0,137,114,0.83,-6.59,0.63,2.06,0.2,-0.2,23,-13.29,9.41,-1.44,10.79,0.03,"Collinder_232.dat"
"Collinder_236",6.0,1029,864,0.84,-7.08,1.54,1.52,1.02,-0.09,165,-8.96,8.79,2.79,6.29,-0.05,"Collinder_236.dat"
"Collinder_257",3.5,180,136,0.76,-6.12,2.42,-0.26,0.39,-0.13,44,-8.16,7.09,-0.56,5.43,-0.18,"Collinder_257.dat"
"Collinder_261",5.5,594,419,0.71,-6.4,0.7,-1.95,1.69,0.01,175,-7.29,9.6,-1.32,5.27,0.03,"Collinder_261.dat"
"Collinder_268",3.5,186,126,0.68,-5.76,1.14,-0.87,0.13,0.04,60,-6.08,8.55,-2.9,5.77,-0.08,"Collinder_268.dat"
"Collinder_271",3.5,405,359,0.89,-6.13,2.03,-1.94,1.15,0.05,46,-6.13,11.58,-5.63,9.76,-0.07,"Collinder_271.dat"
"Collinder_272",6.0,640,532,0.83,-5.96,2.27,-2.15,0.79,0.01,108,-9.83,6.28,-3.41,5.34,0.09,"Collinder_272.dat"
"Collinder_275",6.5,667,525,0.79,-6.34,2.02,-2.22,1.42,0.09,142,-9.39,8.87,-3.08,5.58,-0.01,"Collinder_275.dat"
"Collinder_307",3.5,230,166,0.72,-1.83,0.1,-3.68,0.1,0.1,64,-6.27,6.95,-8.55,6.5,0.34,"Collinder_307.dat"
"Collinder_333",4.5,186,127,0.68,-0.84,0.82,-1.75,1.57,0.12,59,-3.96,7.17,-9.11,6.74,0.19,"Collinder_333.dat"
"Collinder_34",13.5,863,629,0.73,0.62,1.97,-0.17,1.52,-0.14,234,3.14,11.18,-1.77,9.48,-0.05,"Collinder_34.dat"
"Collinder_345",3.5,296,257,0.87,-0.53,1.73,-3.26,2.55,0.09,39,-6.87,5.22,-5.53,11.56,-0.35,"Collinder_345.dat"
"Collinder_347",6.0,464,387,0.83,-0.35,0.87,-2.5,1.69,0.19,77,-1.87,6.0,-4.0,6.26,0.1,"Collinder_347.dat"
"Collinder_351",5.2,211,188,0.89,0.54,1.97,-1.45,2.01,0.14,23,-2.64,7.04,-11.47,4.17,0.59,"Collinder_351.dat"
"Collinder_401",1.5,18,11,0.62,2.29,0.1,-1.45,0.94,0.01,7,-6.07,13.33,-8.88,18.62,0.64,"Collinder_401.dat"
"Collinder_416",5.0,231,148,0.64,-3.15,0.1,-5.09,0.1,0.43,83,-0.09,7.45,-4.07,7.92,0.07,"Collinder_416.dat"
"Collinder_419",3.0,67,41,0.62,-3.75,0.1,-5.07,0.1,-0.3,26,-0.34,3.37,-5.26,7.57,0.49,"Collinder_419.dat"
"Collinder_421",2.8,34,20,0.59,-3.24,0.1,-8.19,0.1,0.51,14,2.2,6.76,-4.03,7.2,-0.09,"Collinder_421.dat"
"Collinder_428",6.0,400,259,0.65,-3.35,1.76,-2.98,2.16,0.12,141,-2.44,10.93,-5.18,9.08,0.29,"Collinder_428.dat"
"Collinder_463",29.5,2438,1739,0.71,-0.89,2.41,1.2,1.62,-0.06,699,3.43,12.65,-0.4,9.69,-0.08,"Collinder_463.dat"
"Collinder_465",5.5,162,116,0.72,-1.94,0.66,0.45,1.12,-0.12,46,-1.84,6.36,-0.53,6.1,-0.04,"Collinder_465.dat"
"Collinder_466",3.0,72,56,0.78,-2.36,1.72,0.79,0.7,-0.38,16,3.18,4.06,0.29,7.62,0.53,"Collinder_466.dat"
"Collinder_469",2.5,129,115,0.89,-0.57,0.58,-1.54,0.96,-0.03,14,1.6,5.83,-3.8,5.8,0.3,"Collinder_469.dat"
"Collinder_74",4.0,86,78,0.91,0.77,2.15,0.47,3.54,-0.07,8,-8.88,4.62,-0.9,10.32,-0.98,"Collinder_74.dat"
"Collinder_91",7.5,207,161,0.78,0.52,2.83,-2.11,3.39,-0.1,46,-0.75,9.1,-5.86,11.12,-0.04,"Collinder_91.dat"
"Collinder_92",6.5,215,168,0.78,-0.25,1.61,-1.16,2.25,-0.11,47,2.75,9.65,-1.15,12.08,0.29,"Collinder_92.dat"
"Collinder_95",14.5,512,432,0.84,-0.07,2.2,-3.62,2.51,0.11,80,-0.25,9.75,-5.68,10.81,-0.16,"Collinder_95.dat"
"Collinder_96",7.0,181,153,0.85,-0.4,1.55,-1.43,1.73,0.02,28,-0.26,8.03,-11.49,5.07,0.08,"Collinder_96.dat"
