"Name","Type","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","dataSource","Family","Age","RVcomb","Xhelio","Yhelio","Zhelio","U","V","W","e_Xhelio","e_Yhelio","e_Zhelio","e_U","e_V","e_W","nRVcomb","Mass16","Mass50","Mass84","nSNe16","nSNe50","nSNe84","nsg8M16","nsg8M50","nsg8M84","Weightsc","NameBoth","dist"
"CWNU_1057","o",80.88372,-8.30208,-0.99792,-2.66994,7.00447,"hunt","none",15.73715,17.37339,-114.00155,-66.92373,-56.90613,-13.28822,-9.31283,-7.95169,0.1392,0.08172,0.06949,2.45428,1.41934,1.07159,17.0,22.99412,35.09358,50.16818,0.0,0.0,0.0,0.0,0.0,1.0,0.19055,"CWNU_1057",143.92167
"CWNU_1062","o",173.70142,16.84499,-9.19318,-1.5817,3.20241,"hunt","none",23.84471,12.3649,-55.0609,-92.00457,287.00208,-13.09956,-9.91572,5.03475,0.17191,0.28725,0.89607,0.33349,0.84718,2.44089,9.0,42.17816,56.45286,90.32091,0.0,0.0,1.0,0.0,1.0,1.0,0.99369,"CWNU_1062",306.37679
"CWNU_1069","o",119.31464,-43.51075,-9.30302,8.94679,2.47932,"hunt","m6",16.31731,25.14827,-79.63267,-387.14137,-52.26975,-28.10209,-18.64719,-10.41091,0.12007,0.58372,0.07881,0.20164,0.99353,0.14236,29.0,132.72298,161.54845,232.09949,0.0,1.0,2.0,0.0,2.0,3.0,0.33104,"CWNU_1069",398.68776
"CWNU_1072","o",87.20252,-5.45588,-2.50875,0.25645,2.24493,"hunt","cr135",13.0879,29.94139,-363.25359,-215.41572,-124.35038,-24.65969,-11.01932,-12.51591,1.53418,0.9098,0.52519,3.21091,1.8442,1.06874,9.0,73.10386,88.55772,133.72189,0.0,0.0,1.0,0.0,1.0,2.0,0.3183,"CWNU_1072",440.25007
"CWNU_1074","o",295.90327,6.41262,0.35502,-2.03645,1.33837,"hunt","none",36.4036,-10.57962,510.89302,505.55699,-108.0661,-2.57054,-9.75694,-3.57389,1.43111,1.41616,0.30271,1.88893,1.66356,0.44059,13.0,592.10315,660.97099,760.53209,4.0,6.0,9.0,5.0,7.0,9.0,0.64827,"CWNU_1074",726.82723
"CWNU_1083","o",126.1355,-41.01827,-7.1375,10.10914,2.93003,"hunt","gamma_velorum",7.67063,16.90314,-64.28867,-331.50166,-11.4582,-22.14197,-12.8174,-1.4555,0.14059,0.72495,0.02506,0.22721,1.45639,0.18498,6.0,80.28648,96.96385,117.05775,0.0,0.0,0.0,0.0,1.0,2.0,0.28596,"CWNU_1083",337.87227
"CWNU_1092","o",90.83089,8.55893,-3.39731,-4.06859,2.38182,"hunt","none",18.87803,28.26719,-384.54854,-138.10917,-47.52978,-23.8879,-13.09216,-12.97445,1.77839,0.6387,0.21981,3.75766,1.37103,0.42403,9.0,23.06954,38.99451,74.61907,0.0,0.0,1.0,0.0,0.0,1.0,0.63954,"CWNU_1092",411.3524
"CWNU_1096","o",127.25572,-38.82489,-6.67608,9.61315,2.72802,"hunt","gamma_velorum",4.62426,12.40131,-76.70723,-352.91715,0.18521,-23.6845,-14.39656,0.42575,0.27635,1.27142,0.00067,0.41832,2.44622,0.14411,5.0,12.98761,18.0326,39.1321,0.0,0.0,0.0,0.0,0.0,1.0,0.25843,"CWNU_1096",361.15724
"CWNU_1111","o",85.10348,13.7072,-1.97593,-6.10503,3.70705,"hunt","none",21.5482,21.8664,-257.24574,-56.69487,-41.50276,-19.1479,-9.55273,-9.40377,0.76542,0.16869,0.12349,3.22195,0.65362,0.4889,9.0,29.41493,40.85992,74.14547,0.0,0.0,1.0,0.0,0.0,1.0,0.33089,"CWNU_1111",266.66863
"CWNU_1121","o",100.04944,-50.54327,-6.41318,10.4256,2.08057,"hunt","none",55.0051,19.29965,-78.88165,-430.05987,-179.50988,-29.19054,-9.6108,-14.67815,0.19941,1.0872,0.4538,0.17246,0.52206,0.20379,17.0,95.01202,123.78093,191.16646,0.0,1.0,2.0,0.0,1.0,2.0,0.99923,"CWNU_1121",472.64956
