"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
361,"MCM 89, MCM2005b 89","nan","09",345.494,0.351,"17 04 20.0","-40 44 47",120,"nan",1.61,0.78,"CV(Ref:131)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G345.51+0.35",-17.1,249.0,"nan",1.99,0.73,"nan","nan","nan","nan","nan","nan","N","C,187,75","nan","nan","nan","nan","nan","nan","nan","GBM2006 17008-4040 (UC)","S11","nan",0,"nan","G345.5+1.0","131","nan","nan",256.08333,-40.74639
362,"MCM 90, MCM2005b 90","nan","09",345.72,0.154,"17 05 53.0","-40 41 09",84,"nan",10.33,0.24,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp.pah","nan",3.76,4,"HRDS G345.722+0.153",-77.9,4.0,"nan",10.33,0.24,"nan","nan","nan","nan","nan","nan","F","187","nan","nan","nan","nan","nan","nan","nan","HRDS G345.722+0.153","nan","nan",0,"nan","nan","nan","nan","faint ATLASGAL emission within the cluster area",256.47083,-40.68583
363,"ESO 332-22","nan","01",345.8,-0.164,"17 07 29.0","-40 48 48",420,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","few","nan",0.87,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",256.87083,-40.81333
364,"VVV CL096","nan","14",345.866,-1.101,"17 11 41.0","-41 19 03",34,"nan",2.34,0.7,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"IRAS 17082-4114",-20.2,84.0,"nan",2.34,0.7,"nan","nan","nan","nan","nan","nan","N","z","nan","nan","nan","nan","nan","nan","nan","nan","Bub(ID:364)","nan",0,"nan","MC-04","nan","nan","nan",257.92083,-41.3175
365,"VVV CL097","nan","14",345.887,-1.105,"17 11 46.0","-41 18 13",40,"nan",2.34,0.7,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"IRAS 17082-4114",-20.2,84.0,"nan",2.34,0.7,"nan","nan","nan","nan","nan","nan","N","z","nan","nan","nan","nan","nan","nan","nan","nan","Bub(ID:365)","nan",0,"nan","MC-04","nan","nan","nan",257.94167,-41.30361
366,"NGC 6268","nan","01",346.049,1.3,"17 02 10.0","-39 43 42",360,"nan",1.05,0.16,"S","nan","nan","nan","nan","nan","nan",224.0,45.0,"55","OC2","exp","nan",1.61,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.05,0.16,55.0,"nan","nan",164.0,"55","nan","nan","nan",0,"nan","nan","nan","nan","nan",255.54167,-39.72833
367,"VVV CL094","nan","14",346.076,-0.056,"17 07 54.0","-40 31 39",40,"nan",10.15,0.22,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G346.08-0.05",-83.3,253.0,"nan",10.15,0.22,"nan","nan","nan","nan","nan","nan","F","187","nan","nan","nan","nan","nan","nan","nan","HRDS G346.077-0.056","nan","nan",0,"nan","nan","nan","nan","nan",256.975,-40.5275
368,"VVV CL095","nan","14",347.087,-0.025,"17 10 55.0","-39 41 49",60,"nan",3.0,1.4,"S","nan","nan","nan","nan","nan","nan",200.0,40.0,"41","OC2","exp","nan",2.59,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",3.0,1.4,41.0,"nan","nan","nan","41","nan","nan","nan",0,"nan","nan","nan","nan","nan",257.72917,-39.69694
369,"Teutsch 85","nan","01,(02)",347.342,-0.39,"17 13 14.0","-39 42 23",240,"nan",1.26,0.3,"S","nan","nan","nan","nan","nan","nan",600.0,120.0,"37","OC2","exp",">",7.46,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.26,0.3,37.0,"nan","nan",37.0,"37","nan","nan","nan",0,"nan","nan","nan","nan","nan",258.30833,-39.70639
370,"Moffat 2","nan","01",347.432,-0.618,"17 14 28.0","-39 46 00",120,"nan",2.2,0.9,"S","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",15.77,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.2,0.9,242.0,"nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",258.61667,-39.76667
