"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
541,"MCM 6, MCM2005b 6","nan","09",18.909,-0.051,"18 25 38.0","-12 28 38",36,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",3.1,1,"G18.93-0.02",46.3,249.0,"nan","nan","nan","nan",3.77,0.4,"nan",11.8,0.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",276.40833,-12.47722
542,"MCM 7, MCM2005b 7","nan","09",18.955,-0.054,"18 25 44.0","-12 26 18",72,"nan",4.09,0.36,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",1.15,24,"L89b 18.954-00.019",52.3,127.0,"nan",4.09,0.36,"nan","nan","nan","nan","nan","nan","N","72,5,195","nan","nan","nan","nan","nan","nan","nan","L89b 18.954-00.019","Bub(ID:542)","nan",0,"nan","nan","nan","nan","nan",276.43333,-12.43833
543,"NGC 6625","nan","01",19.045,0.795,"18 22 50.0","-11 57 42",924,"nan",1.34,0.2,"S","nan","nan","nan","nan","nan","nan",500.0,100.0,"228","OC2","exp","nan",1.38,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.34,0.2,228.0,"nan","nan",228.0,"228","nan","nan","nan",0,"nan","nan","nan","nan","nan",275.70833,-11.96167
544,"NGC 6631","nan","01",19.481,-0.177,"18 27 11.0","-12 01 48",360,"nan",2.6,0.5,"S","nan","nan","nan","nan","nan","nan",400.0,100.0,"208","OC2","exp*","nan",0.07,1,"HRDS G019.504-0.193",37.8,4.0,"nan",12.32,0.46,"nan","nan","nan","nan","nan","nan","F","71,187*,5*",2.6,0.5,208.0,"nan","nan",208.0,"208","nan","nan","nan",0,"nan","nan","nan","nan","nan",276.79583,-12.03
545,"Dias 6, BBD2004 2","BBD2004 Cluster 2","01",19.604,-1.028,"18 30 30.0","-12 18 59",360,"nan",2.19,0.33,"S","nan","nan","nan","nan","nan","nan",515.0,115.0,"17","OC2","exp","nan",2.24,1,"IRAS 18272-1217",34.0,43.0,"nan",12.58,0.49,"nan","nan","nan","nan","nan","nan","F","187,5,(195)",2.19,0.33,17.0,"nan","nan",228.0,"17","nan","nan","nan",0,"nan","nan","nan","nan","nan",277.625,-12.31639
546,"Ruprecht 141","nan","01",19.694,-1.201,"18 31 18.0","-12 19 00",960,"nan",1.8,0.27,"S","nan","nan","nan","nan","nan","nan",30.0,20.0,"47","OC2","exp",">",1.99,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.8,0.27,47.0,"nan","nan",47.0,"47","nan","nan","nan",1,"nan","nan","nan","nan","nan",277.825,-12.31667
547,"FSR2007 59","nan","(01),11",19.744,-0.559,"18 29 04.0","-11 58 31",324,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",1.08,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",277.26667,-11.97528
548,"Ruprecht 142","nan","01",19.871,-1.352,"18 32 11.0","-12 13 47",396,"nan",1.74,0.26,"S","nan","nan","nan","nan","nan","nan",400.0,80.0,"228","OC2","exp",">",4.5,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.74,0.26,228.0,"nan","nan",228.0,"228","nan","nan","nan",1,"nan","nan","nan","nan","nan",278.04583,-12.22972
549,"Ruprecht 143","nan","01",20.004,-1.398,"18 32 36.0","-12 08 00",300,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",4.83,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",278.15,-12.13333
550,"FSR2007 60","nan","11",20.294,-0.553,"18 30 05.0","-11 29 07",79,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",11.48,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",277.52083,-11.48528
551,"MCM 8, MCM2005b 8","nan","09",20.64,-0.021,"18 28 49.0","-10 55 55",60,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",8.28,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",277.20417,-10.93194
552,"Ruprecht 144","nan","01",20.749,-1.278,"18 33 34.0","-11 25 00",720,"nan",1.6,0.24,"S","nan","nan","nan","nan","nan","nan",450.0,100.0,"47","OC2","exp",">",2.48,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.6,0.24,47.0,"nan","nan",47.0,"47","nan","nan","nan",1,"nan","nan","nan","nan","nan",278.39167,-11.41667
553,"Ruprecht 170","nan","01",21.05,1.2,"18 25 12.0","-10 00 00",480,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",3.73,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",276.3,-10.0
554,"NGC 6649","nan","01",21.635,-0.785,"18 33 27.0","-10 24 12",300,"nan",1.37,0.21,"S","nan","nan","nan","nan","nan","nan",36.8,11.0,"128","OC2","exp","nan",3.77,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.37,0.21,128.0,"nan","nan",128.0,"128","nan","nan","nan",0,"nan","nan","nan","nan","nan",278.3625,-10.40333
555,"MCM 9, MCM2005b 9","nan","09,17",22.751,-0.398,"18 34 08.7","-09 14 05",50,"nan",4.2,1.26,"S","nan","nan","nan","nan","nan","nan",21.0,6.3,"143","OC1","exp","nan",8.1,1,"IRAS 18317-0918",76.0,43.0,"nan",4.99,0.32,"nan","nan","nan","nan","nan","nan","N","45*,5,195,(72)",4.2,1.26,143.0,"nan","nan","nan","143","nan","nan","nan",0,"nan","nan","nan","nan","nan",278.53625,-9.23472
556,"BDSB 117,BDS2003 117","nan","06",22.761,-0.478,"18 34 27.0","-09 15 44",66,"nan",4.62,0.36,"Ref:45","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.14,11,"IRAS 18317-0918",76.0,43.0,"nan",4.99,0.32,"nan","nan","nan","nan","nan","nan","N","45*,5,195,(72)","nan","nan","nan","nan","nan","nan","nan","L89b 22.760-00.485","nan","nan",0,"nan","nan","nan","nan","we adopt distance of nearby maser source G23.01-0.41 (which has the same LSR velocity)",278.6125,-9.26222
557,"MCM 10, MCM2005b 10","nan","09",23.22,-0.333,"18 34 47.0","-08 47 17",96,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",1.61,1,"G23.21-0.38",77.5,249.0,"nan",10.08,0.32,"nan","nan","nan","nan","nan","nan","F?","98","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",278.69583,-8.78806
594,"Berkeley 80","nan","01",32.183,-1.206,"18 54 22.0","-01 13 00",240,"nan",1.43,0.21,"S","nan","nan","nan","nan","nan","nan",398.0,80.0,"235","OC2","exp",">",7.48,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.43,0.21,235.0,"nan","nan",235.0,"235","nan","nan","nan",1,"nan","nan","nan","nan","nan",283.59167,-1.21667
558,"BDSB 118,BDS2003 118","nan","06",23.551,-0.036,"18 34 20.0","-08 21 27",72,"nan",5.69,0.34,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb","nan",0.64,14,"L89b 23.538-00.041",91.3,127.0,"nan",5.69,0.34,"nan","nan","nan","nan","nan","nan","N?","5,(72)","nan","nan","nan","nan","nan","nan","nan","L89b 23.538-00.041","nan","nan",0,"nan","nan","nan","nan","nan",278.58333,-8.3575
559,"BDSB 119,BDS2003 119","nan","06",23.707,0.166,"18 33 54.0","-08 07 32",50,"nan",7.03,0.5,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"IRAS 18311-0809",113.9,43.0,"nan",7.03,0.5,"nan","nan","nan","nan","nan","nan","NT","187","nan","nan","nan","nan","nan","nan","nan","WC89 023.71+0.17","Bub(ID:559)","nan",0,"nan","nan","nan","nan","nan",278.475,-8.12556
560,"BDSB 120,BDS2003 120","nan","06",23.954,0.151,"18 34 25.0","-07 54 50",33,"nan",3.25,0.41,"Ref:10","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G23.95+0.15",80.7,249.0,"nan",5.17,0.33,"nan","nan","nan","nan","nan","nan","N","10*,S,187,5,195,(72)",2.5,0.75,63.0,"nan","nan","nan","106","WC89 023.96+0.15","nan","nan",0,"nan","nan","nan","nan","we adopt distance of nearby maser source G23.657-00.127 (which has the same LSR velocity)",278.60417,-7.91389
561,"Trumpler 34","nan","01",24.119,-1.264,"18 39 48.0","-08 25 00",300,"nan",1.2,0.18,"S","nan","nan","nan","nan","nan","nan",200.0,100.0,"215","OC2","exp",">",6.0,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.2,0.18,215.0,"nan","nan","nan","215","nan","nan","nan",0,"nan","nan","nan","nan","nan",279.95,-8.41667
562,"NGC 6664","nan","01",24.294,-0.287,"18 36 37.0","-07 48 48",720,"nan",1.16,0.17,"S","nan","nan","nan","nan","nan","nan",14.5,5.1,"128","OC2","few","nan",0.85,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.16,0.17,128.0,"nan","nan",128.0,"128","nan","nan","nan",0,"nan","nan","nan","wrong coordinates?","nan",279.15417,-7.81333
563,"BDSB 121,BDS2003 121","nan","06",24.47,0.488,"18 34 10.0","-07 18 01",66,"nan",6.43,0.49,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-cen","nan",0.0,11,"IRAS 18314-0720",103.2,43.0,"nan",6.43,0.49,"nan","nan","nan","nan","nan","nan","N","5,195,(72)","nan","nan","nan","nan","nan","nan","nan","L89b 24.467+00.489","Bub(ID:563)","nan",0,"nan","nan","nan","nan","nan",278.54167,-7.30028
564,"Alicante 8","nan","15",24.608,0.369,"18 34 51.0","-07 14 00",420,"nan",7.44,0.5,"S","nan","nan","nan","nan","nan","nan",18.0,6.3,"50","OC0","few*","nan",0.53,1,"G24.535+0.322",106.2,171.0,"nan",6.8,0.69,"nan","nan","nan","nan","nan","nan","NT","98,5*,195*",7.44,0.5,66.0,"(K)",154.0,"nan","154","nan","nan","nan",0,"nan","nan","nan","we adopt same distance of RSGC 1, following Ref:154","nan",278.7125,-7.23333
565,"FSR2007 72","nan","11",24.694,0.316,"18 35 12.0","-07 10 53",497,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",0.96,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",278.8,-7.18139
566,"Quartet","nan","16",24.904,0.122,"18 36 17.0","-07 05 02",90,"nan",6.3,2.0,"S","nan","nan","nan","nan","nan","nan",6.0,2.1,"142","OC2","exp","nan",1.76,1,"G24.92+0.08",43.8,249.0,"nan","nan","nan","nan",3.2,0.43,"nan",11.72,0.43,"nan","nan",6.3,2.0,142.0,"nan","nan","nan","142","nan","nan","nan",0,"nan","nan","nan","nan","nan",279.07083,-7.08389
567,"RSGC 1, BDS2003 122","BDSB 122,BDS2003 122","06,17",25.275,-0.154,"18 37 57.5","-06 52 54",160,"nan",7.44,0.5,"S","nan","nan","nan","nan","nan","nan",12.0,4.2,"66","OC2","exp","nan",2.16,1,"G25.35-0.19",61.5,249.0,"nan","nan","nan","nan",4.18,0.37,"nan",10.69,0.37,"nan","nan",7.44,0.5,66.0,"(K)","nan","nan","66,81","nan","nan","nan",0,"nan","nan","nan","nan","nan",279.48958,-6.88167
568,"G3CC 58","nan","17",25.297,0.309,"18 36 20.5","-06 38 57",39,"nan",2.92,0.45,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC1","exp.bub-cen","nan",3.89,24,"L89b 25.294+00.307",39.6,127.0,"nan",2.92,0.45,"nan","nan","nan","nan","nan","nan","N","195","nan","nan","nan","nan","nan","nan","nan","L89b 25.294+00.307","N37","nan",0,"nan","nan","nan","nan","nan",279.08542,-6.64917
569,"W42 , BDB2003 G025.38-00.18","BDB2003 G025.38-00.18","04",25.383,-0.18,"18 38 15.0","-06 47 50",54,"nan",4.05,0.37,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,14,"L89b 25.382-00.177",59.1,127.0,"nan",4.05,0.37,"nan","nan","nan","nan","nan","nan","N","5,S,(72)",2.67,1.2,148.0,"nan","nan","nan","29","L89b 25.382-00.177","N39","nan",0,"nan","nan","nan","nan","nan",279.5625,-6.79722
570,"RSGC 2, Stephenson 2,BDB2003 G026.18-00.06","Stephenson 2,BDB2003 G026.18-00.06","(01),04,17",26.189,-0.066,"18 39 19.9","-06 01 43",261,"nan",7.39,0.5,"S","nan","nan","nan","nan","nan","nan",15.5,5.4,"65","OC0","surr","nan",0.59,21,"C26.10-0.07b",104.5,5.0,"nan",6.74,0.65,"nan","nan","nan","nan","nan","nan","NT","5",7.39,0.5,65.0,"(K)","nan","nan","65","nan","nan","nan",0,"nan","nan","nan","nan","nan",279.83292,-6.02861
571,"NGC 6683","nan","01",26.355,-0.788,"18 42 13.0","-06 12 42",180,"nan",1.2,0.18,"S","nan","nan","nan","nan","nan","nan",10.0,3.5,"132","OC2","exp","nan",7.53,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.2,0.18,132.0,"nan","nan",132.0,"132","nan","nan","nan",0,"nan","nan","nan","nan","nan",280.55417,-6.21167
572,"G3CC 59","nan","17",26.507,0.284,"18 38 40.0","-05 35 06",49,"nan",4.75,0.75,"Ref:136","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"IRAS 18360-0537",101.6,43.0,"nan",6.65,0.72,"nan","nan","nan","nan","nan","nan","NT","136","nan","nan","nan","nan","nan","nan","nan","IRAS 18360-0537","nan","MSXDC G026.51+00.29",0,"nan","nan","nan","nan","nan",279.66667,-5.585
573,"Teutsch 145","nan","(01),02",27.237,-0.408,"18 42 28.9","-05 15 12",114,"nan",2.7,0.41,"S","nan","nan","nan","nan","nan","nan",225.0,75.0,"34","OC2","exp","nan",6.39,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.7,0.41,34.0,"nan","nan",34.0,"34","nan","nan","nan",0,"nan","nan","nan","nan","nan",280.62042,-5.25333
574,"Andrews-Lindsay 5","nan","01",27.734,-0.667,"18 44 19.0","-04 55 48",138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",11.55,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",281.07917,-4.93
575,"Dolidze 33","nan","01",27.897,0.262,"18 41 18.0","-04 21 37",540,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","few","nan",0.53,1,"G27.94+0.21",41.7,249.0,"nan","nan","nan","nan",2.94,0.44,"nan",11.61,0.44,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","wrong coordinates? (different from WEBDA and SIMBAD)","nan",280.325,-4.36028
576,"Dolidze 34","nan","01",28.039,0.167,"18 41 54.0","-04 16 37",240,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",1.1,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","wrong coordinates? (different from WEBDA and SIMBAD)","nan",280.475,-4.27694
577,"Dolidze 32","nan","01",28.12,0.438,"18 41 05.0","-04 04 51",588,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",1.24,1,"G28.14+0.32",35.2,249.0,"nan","nan","nan","nan",2.5,0.47,"nan",12.01,0.47,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","wrong coordinates? (different from WEBDA and SIMBAD)","nan",280.27083,-4.08083
578,"Trumpler 35","nan","01",28.281,0.011,"18 42 54.0","-04 08 00",300,"nan",1.21,0.18,"S","nan","nan","nan","nan","nan","nan",72.8,21.8,"128","OC2","exp*","nan",0.04,1,"HRDS G028.291+0.012",44.4,4.0,"nan","nan","nan","nan",3.09,0.43,"nan",11.4,0.43,"nan","nan",1.21,0.18,128.0,"nan","nan",128.0,"128","nan","nan","nan",0,"nan","nan","nan","nan","nan",280.725,-4.13333
579,"BDSB 123,BDS2003 123","nan","06",28.288,-0.364,"18 44 15.0","-04 17 55",33,"nan",3.18,0.43,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G028.2875-00.3639",45.8,187.0,"nan",3.18,0.43,"nan","nan","nan","nan","nan","nan","N","187,5,(162*)","nan","nan","nan","nan","nan","nan","nan","WBH98 18416-0420 (UC)","nan","nan",0,"nan","nan","nan","nan","nan",281.0625,-4.29861
580,"BDSB 124,BDS2003 124","nan","06",28.801,0.176,"18 43 16.0","-03 35 42",72,"nan",7.21,0.83,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"G28.81+0.18",104.1,249.0,"nan",7.21,0.83,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","L89b 28.801+00.174","Bub(ID:580)","nan",0,"nan","nan","nan","nan","nan",280.81667,-3.595
581,"BDSB 10,BDS2003 10","nan","06",28.975,-0.6,"18 46 21.0","-03 47 42",94,"nan",10.83,0.41,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",0.44,14,"L89b 28.983-00.603",52.6,127.0,"nan",10.83,0.41,"nan","nan","nan","nan","nan","nan","F","5","nan","nan","nan","nan","nan","nan","nan","L89b 28.983-00.603","Bub(ID:581)","nan",0,"nan","nan","nan","nan","nan",281.5875,-3.795
582,"Alicante 7","nan","15",29.025,-0.053,"18 44 29.5","-03 30 02",660,"nan",7.18,1.52,"S","nan","nan","nan","nan","nan","nan",20.0,6.0,"155,57,1","OC2","few","nan",0.7,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",7.18,1.52,155.0,"(K)","nan","nan","155","nan","nan","nan",0,"nan","nan","nan","we adopt same distance and age of RSGC 3, following Ref:155","nan",281.12292,-3.50056
583,"FSR2007 87","nan","(01),11",29.09,-0.443,"18 46 00.0","-03 37 15",281,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",2.33,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",281.5,-3.62083
584,"RSGC 3","nan","16,17",29.214,-0.196,"18 45 20.9","-03 23 54",233,"nan",7.18,1.52,"S","nan","nan","nan","nan","nan","nan",20.0,6.0,"57,1","OC2","exp","nan",1.95,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",7.18,1.52,155.0,"(K)","nan","nan","57,1","nan","nan","nan",0,"nan","nan","nan","nan","nan",281.33708,-3.39833
585,"FSR2007 89","nan","(01),11",29.491,-0.98,"18 48 39.0","-03 30 34",73,"nan",2.2,0.33,"S","nan","nan","nan","nan","nan","nan",1000.0,200.0,"36","OC2","exp","nan",22.95,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.2,0.33,36.0,"nan","nan","nan","36","nan","nan","nan",0,"nan","nan","nan","nan","nan",282.1625,-3.50944
586,"FSR2007 90","nan","(01),11",29.621,-1.385,"18 50 20.0","-03 34 42",158,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",9.73,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",282.58333,-3.57833
587,"MCM 11, MCM2005b 11","nan","09",29.956,-0.19,"18 46 41.0","-02 44 07",60,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",3.22,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",281.67083,-2.73528
588,"BDSB 125,BDS2003 125","nan","06",29.957,-0.017,"18 46 04.0","-02 39 19",29,"nan",6.47,0.62,"CV(Ref:157)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G29.95-0.02",97.2,249.0,"nan",6.51,0.62,"nan","nan","nan","nan","nan","nan","NT","C,S",4.3,1.29,185.0,"nan","nan","nan","185","WC89 029.96-0.02 (UC)","nan","nan",0,"nan","W43","157","nan","nan",281.51667,-2.65528
589,"W43 , BDB2003 G030.76-00.03","BDB2003 G030.76-00.03","04",30.766,-0.032,"18 47 36.0","-01 56 33",72,"nan",6.47,0.62,"CV(Ref:157)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-cen","nan",0.0,14,"L89b 30.776-00.029",91.6,127.0,"nan",6.3,0.77,"nan","nan","nan","nan","nan","nan","NT","C",4.9,2.69,148.0,"nan","nan","nan","28","L89b 30.776-00.029","N52","nan",0,"nan","W43","157","nan","nan",281.9,-1.9425
590,"MCM 12, MCM2005b 12","nan","09",30.789,-0.076,"18 47 48.0","-01 56 30",96,"nan",6.47,0.62,"CV(Ref:157)","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr","nan",0.76,20,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","W43","157","nan","nan",281.95,-1.94167
591,"Berkeley 79","nan","01",31.138,0.833,"18 45 12.0","-01 13 00",360,"nan",2.3,0.34,"S","nan","nan","nan","nan","nan","nan",65.0,30.0,"209","OC2","exp","nan",1.59,1,"G031.04+00.74",50.5,195.0,"nan",3.39,0.43,"nan","nan","nan","nan","nan","nan","N","195",2.3,0.34,209.0,"nan","nan",209.0,"209","nan","nan","nan",0,"nan","nan","nan","nan","nan",281.3,-1.21667
592,"G3CC 60","nan","17",31.158,0.047,"18 48 02.1","-01 33 26",50,"nan",11.42,0.46,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G31.16+0.05",39.2,249.0,"nan",11.42,0.46,"nan","nan","nan","nan","nan","nan","F","195","nan","nan","nan","nan","nan","nan","nan","HRDS G031.159+0.048","nan","nan",0,"nan","nan","nan","nan","nan",282.00875,-1.55722
593,"GLIMPSE C01","nan","16",31.303,-0.103,"18 48 50.1","-01 29 47",29,"nan",6.3,0.73,"S","nan","nan","nan","nan","nan","nan",450.0,150.0,"69","OC2","exp","nan",1.97,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.3,0.73,69.0,"(K)","nan","nan","69","nan","nan","nan",0,"nan","nan","nan","stellar distance computed assuming that it is not beyond the tangent point; age estimated from Fig. 5 of Ref:69","nan",282.20875,-1.49639
595,"FSR2007 98","nan","(01),11",33.032,1.153,"18 47 31.0","+00 36 51",108,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",16.58,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",281.87917,0.61417
596,"Teutsch 146","nan","(01),02",33.111,0.058,"18 51 33.5","+00 11 10",96,"nan",3.8,0.57,"S","nan","nan","nan","nan","nan","nan",400.0,100.0,"34","OC2","exp*","nan",0.0,1,"G33.10+0.07",84.3,249.0,"nan",6.89,1.75,"nan","nan","nan","nan","nan","nan","T","nan",3.8,0.57,34.0,"nan","nan",34.0,"34","nan","nan","nan",0,"nan","nan","nan","nan","nan",282.88958,0.18611
597,"MCM 13, MCM2005b 13","nan","09",33.769,-0.258,"18 53 53.0","+00 37 39",60,"nan",3.0,1.0,"S","nan","nan","nan","nan","nan","nan",65.0,35.0,"142","OC2","exp","nan",7.04,1,"IRAS 18511+0038",46.3,43.0,"nan",10.6,0.46,"nan","nan","nan","nan","nan","nan","F","187,5",3.0,1.0,142.0,"nan","nan","nan","142","nan","nan","nan",0,"nan","nan","nan","nan","nan",283.47083,0.6275
598,"BDSB 126,BDS2003 126","nan","06",33.916,0.107,"18 52 51.0","+00 55 28",66,"nan",6.83,0.5,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"IRAS 18502+0051",107.8,43.0,"nan",6.83,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","L89b 33.914+00.111","nan","nan",0,"nan","nan","nan","nan","nan",283.2125,0.92444
599,"BDSB 128,BDS2003 128","nan","06",34.249,0.133,"18 53 22.0","+01 13 58",42,"nan",1.56,0.12,"C(ID:601)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"G34.24+0.13",57.2,249.0,"nan",3.79,0.46,"nan","nan","nan","nan","nan","nan","N","C,72,5,195","nan","nan","nan","nan","nan","nan","nan","G34.3+0.2","Bub(ID:599)","nan",0,9.0,"KC-25","nan","nan","nan",283.34167,1.23278
600,"BDSB 127,BDS2003 127","nan","06",34.255,0.146,"18 53 20.0","+01 14 39",74,"nan",1.56,0.12,"C(ID:601)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen","nan",0.0,11,"IRAS 18507+0110",57.2,43.0,"nan",3.8,0.46,"nan","nan","nan","nan","nan","nan","N","C,72,5,195,S",2.11,1.2,148.0,"nan","nan","nan","25","G34.3+0.2","Bub(ID:599)","nan",0,9.0,"KC-25","nan","nan","nan",283.33333,1.24417
