"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 2099",88.072,0.088,32.546,0.078,0.698,0.072,1.925,0.152,-5.635,0.134,0.163,1780,1.428,1.429,1.433,1.437,1.438,-9.729,0.059,0.109,9.729,"nan","nan","nan","nan","nan","nan"
"NGC 2112",88.446,0.103,0.398,0.109,0.91,0.055,-2.695,0.11,4.26,0.122,0.206,726,1.1,1.1,1.103,1.106,1.106,-9.269,-0.47,-0.211,9.281,"nan","nan","nan","nan","nan","nan"
"NGC 2126",90.655,0.079,49.879,0.054,0.78,0.042,0.863,0.152,-2.603,0.114,0.115,150,1.278,1.279,1.282,1.285,1.286,-9.494,0.36,0.323,9.501,"nan","nan","nan","nan","nan","nan"
"NGC 2129",90.282,0.029,23.322,0.025,0.521,0.026,0.265,0.076,-2.2,0.064,0.055,76,1.891,1.895,1.908,1.921,1.925,-10.195,-0.219,0.038,10.198,"nan","nan","nan","nan","nan","nan"
"NGC 2141",90.74,0.032,10.457,0.041,0.215,0.085,-0.049,0.116,-0.764,0.102,0.076,934,4.483,4.504,4.568,4.632,4.652,-12.622,-1.408,-0.42,12.7,"nan","nan","nan","nan","nan","nan"
"NGC 2158",91.862,0.028,24.099,0.021,0.205,0.076,-0.2,0.104,-2.004,0.105,0.061,1649,4.994,5.013,5.073,5.133,5.153,-13.336,-0.586,0.203,13.349,"nan","nan","nan","nan","nan","nan"
"NGC 2168",92.267,0.15,24.334,0.177,1.157,0.046,2.293,0.189,-2.913,0.159,0.343,1257,0.856,0.856,0.857,0.859,0.859,-9.151,-0.099,0.063,9.152,"nan","nan","nan","nan","nan","nan"
"NGC 2169",92.122,0.029,13.951,0.002,1.048,0.085,-1.076,0.219,-1.661,0.077,0.108,117,0.935,0.936,0.94,0.943,0.944,-9.204,-0.253,-0.018,9.207,"nan","nan","nan","nan","nan","nan"
"NGC 2175",92.433,0.078,20.562,0.075,0.513,0.119,0.419,0.191,-2.33,0.127,0.163,179,1.976,1.982,1.999,2.016,2.021,-10.268,-0.348,0.053,10.274,"nan","nan","nan","nan","nan","nan"
"NGC 2186",93.031,0.025,5.457,0.017,0.437,0.031,0.423,0.076,-1.998,0.031,0.056,119,2.261,2.267,2.285,2.303,2.309,-10.384,-0.907,-0.212,10.423,"nan","nan","nan","nan","nan","nan"
"NGC 2192",93.816,0.028,39.856,0.02,0.268,0.053,0.219,0.065,-1.978,0.063,0.057,205,3.775,3.798,3.87,3.942,3.965,-12.076,0.436,0.754,12.084,"nan","nan","nan","nan","nan","nan"
"NGC 2194",93.437,0.043,12.808,0.04,0.295,0.048,0.519,0.081,-1.432,0.06,0.081,824,3.397,3.404,3.426,3.449,3.456,-11.57,-1.015,-0.103,11.614,"nan","nan","nan","nan","nan","nan"
"NGC 2204",93.882,0.057,-18.665,0.047,0.238,0.059,-0.554,0.081,1.974,0.107,0.092,586,4.186,4.196,4.229,4.261,4.272,-11.125,-2.923,-1.137,11.503,"nan","nan","nan","nan","nan","nan"
