"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"Basel 10",34.862,0.053,58.301,0.022,0.473,0.044,-0.423,0.092,-0.796,0.138,0.057,127,2.087,2.091,2.103,2.116,2.12,-9.768,1.504,-0.064,9.883,"nan","nan","nan","nan","nan","nan"
"Berkeley 104",0.869,0.048,63.595,0.01,0.226,0.025,-2.404,0.054,0.073,0.028,0.063,66,4.341,4.368,4.452,4.536,4.564,-10.363,3.944,0.126,11.089,"nan","nan","nan","nan","nan","nan"
"Berkeley 11",65.127,0.048,44.921,0.015,0.369,0.023,1.069,0.048,-1.866,0.041,0.057,100,2.717,2.728,2.761,2.795,2.806,-10.839,1.074,-0.141,10.892,"nan","nan","nan","nan","nan","nan"
"Berkeley 12",71.107,0.084,42.689,0.035,0.183,0.044,0.85,0.061,-1.763,0.046,0.075,178,5.127,5.191,5.387,5.583,5.647,-13.41,1.695,-0.145,13.517,"nan","nan","nan","nan","nan","nan"
"Berkeley 14",74.935,0.023,43.482,0.02,0.203,0.071,1.474,0.099,0.452,0.085,0.049,220,5.05,5.085,5.192,5.299,5.333,-13.259,1.535,0.102,13.348,"nan","nan","nan","nan","nan","nan"
"Berkeley 17",80.137,0.045,30.574,0.033,0.306,0.063,2.621,0.156,-0.332,0.099,0.074,263,3.229,3.241,3.279,3.316,3.329,-11.563,0.248,-0.173,11.566,"nan","nan","nan","nan","nan","nan"
"Berkeley 18",80.525,0.071,45.439,0.052,0.166,0.079,0.824,0.085,-0.045,0.047,0.122,416,5.678,5.716,5.831,5.946,5.983,-13.871,1.639,0.554,13.967,"nan","nan","nan","nan","nan","nan"
"Berkeley 19",81.006,0.008,29.577,0.016,0.158,0.106,0.729,0.139,-0.302,0.169,0.06,133,6.144,6.241,6.539,6.837,6.934,-14.818,0.352,-0.363,14.822,"nan","nan","nan","nan","nan","nan"
"Berkeley 20",83.155,0.006,0.189,0.002,0.045,0.133,0.82,0.073,-0.259,0.069,0.05,49,12.615,13.009,14.228,15.447,15.841,-20.765,-5.42,-4.18,21.46,"nan","nan","nan","nan","nan","nan"
"Berkeley 21",87.94,0.041,21.809,0.017,0.152,0.125,0.468,0.208,-0.951,0.211,0.089,251,6.369,6.439,6.653,6.868,6.937,-14.901,-0.789,-0.241,14.922,"nan","nan","nan","nan","nan","nan"
"Berkeley 22",89.623,0.01,7.764,0.004,0.1,0.078,0.616,0.041,-0.456,0.109,0.039,46,8.774,8.998,9.69,10.383,10.607,-17.327,-3.262,-1.303,17.631,"nan","nan","nan","nan","nan","nan"
"Berkeley 23",98.318,0.004,20.535,0.013,0.157,0.063,-0.055,0.088,-1.313,0.065,0.043,104,6.13,6.222,6.505,6.788,6.879,-14.618,-1.411,0.659,14.686,"nan","nan","nan","nan","nan","nan"
"Berkeley 28",103.029,0.009,2.914,0.014,0.252,0.064,-1.02,0.078,0.197,0.058,0.039,79,3.949,3.987,4.103,4.219,4.257,-11.836,-2.077,0.144,12.017,"nan","nan","nan","nan","nan","nan"
"Berkeley 29",103.268,0.009,16.932,0.008,0.042,0.064,0.118,0.144,-0.985,0.163,0.036,41,13.014,13.414,14.652,15.891,16.291,-22.098,-4.469,2.108,22.546,"nan","nan","nan","nan","nan","nan"
"Berkeley 30",104.444,0.021,3.228,0.021,0.183,0.04,-0.248,0.05,-0.323,0.052,0.057,118,5.353,5.407,5.574,5.741,5.795,-13.082,-2.847,0.325,13.389,"nan","nan","nan","nan","nan","nan"
"Berkeley 31",104.406,0.009,8.279,0.01,0.172,0.069,0.055,0.176,-0.884,0.12,0.07,264,6.095,6.144,6.293,6.442,6.491,-13.921,-2.77,0.607,14.194,"nan","nan","nan","nan","nan","nan"
"Berkeley 32",104.53,0.026,6.433,0.027,0.308,0.058,-0.345,0.11,-1.616,0.106,0.063,445,3.201,3.209,3.236,3.262,3.271,-11.149,-1.512,0.285,11.251,"nan","nan","nan","nan","nan","nan"
"Berkeley 33",104.459,0.017,-13.226,0.025,0.165,0.048,-0.731,0.05,1.577,0.054,0.047,198,5.645,5.686,5.814,5.941,5.982,-12.367,-4.129,-0.425,13.038,"nan","nan","nan","nan","nan","nan"
"Berkeley 39",116.706,0.03,-4.669,0.03,0.225,0.069,-1.739,0.133,-1.646,0.081,0.056,542,4.591,4.611,4.674,4.737,4.757,-11.633,-3.17,0.857,12.058,"nan","nan","nan","nan","nan","nan"
"Berkeley 58",0.096,0.07,60.938,0.041,0.309,0.051,-3.491,0.085,-1.76,0.086,32.792,352,3.211,3.218,3.237,3.257,3.263,-10.995,1.703,0.59,11.126,"nan","nan","nan","nan","nan","nan"
"Berkeley 60",4.437,0.048,60.935,0.02,0.268,0.029,-0.672,0.061,-0.714,0.053,0.037,117,3.65,3.662,3.7,3.738,3.75,-10.085,3.239,-0.075,10.592,"nan","nan","nan","nan","nan","nan"
"Berkeley 62",15.314,0.168,63.93,0.054,0.389,0.027,-2.174,0.062,-0.323,0.071,0.108,235,2.565,2.57,2.584,2.598,2.603,-9.745,2.141,0.08,9.978,"nan","nan","nan","nan","nan","nan"
"Berkeley 64",35.429,0.055,65.884,0.014,0.188,0.061,-0.519,0.039,1.01,0.044,0.044,72,5.046,5.097,5.257,5.416,5.468,-11.804,3.895,0.461,12.43,"nan","nan","nan","nan","nan","nan"
"Berkeley 65",39.769,0.044,60.403,0.009,0.476,0.034,-0.692,0.021,-0.368,0.062,0.049,80,2.09,2.095,2.111,2.128,2.133,-9.815,1.471,0.042,9.924,"nan","nan","nan","nan","nan","nan"
"Berkeley 66",46.017,0.034,58.729,0.027,0.19,0.043,-0.306,0.179,0.034,0.136,0.102,140,5.511,5.567,5.738,5.909,5.964,-12.658,3.732,0.058,13.197,"nan","nan","nan","nan","nan","nan"
"Berkeley 69",81.096,0.012,32.613,0.017,0.284,0.028,0.822,0.063,-1.933,0.034,0.08,167,3.41,3.426,3.475,3.524,3.54,-11.757,0.336,-0.074,11.762,"nan","nan","nan","nan","nan","nan"
"Berkeley 7",28.544,0.045,62.369,0.033,0.358,0.045,-0.981,0.072,-0.162,0.087,0.079,177,2.722,2.728,2.745,2.762,2.768,-10.069,2.099,0.051,10.286,"nan","nan","nan","nan","nan","nan"
"Berkeley 70",81.459,0.036,41.963,0.027,0.183,0.026,0.92,0.06,-1.917,0.036,0.059,180,5.632,5.687,5.857,6.028,6.083,-13.991,1.33,0.418,14.054,"nan","nan","nan","nan","nan","nan"
"Berkeley 79",281.241,0.055,-1.147,0.049,0.427,0.021,-0.125,0.07,-1.542,0.097,0.073,201,2.291,2.298,2.318,2.338,2.345,-6.317,1.2,0.058,6.43,"nan","nan","nan","nan","nan","nan"
"Berkeley 81",285.42,0.013,-0.454,0.024,0.275,0.038,-1.213,0.094,-1.864,0.08,0.051,196,3.583,3.606,3.676,3.746,3.769,-5.245,2.037,-0.143,5.627,"nan","nan","nan","nan","nan","nan"
"Berkeley 82",287.834,0.06,13.111,0.037,0.743,0.051,0.013,0.116,-3.168,0.119,0.077,121,1.344,1.346,1.351,1.355,1.357,-7.376,0.985,0.062,7.442,"nan","nan","nan","nan","nan","nan"
"Berkeley 86",305.062,0.043,38.689,0.064,0.586,0.034,-3.456,0.055,-5.454,0.141,0.096,130,1.694,1.696,1.702,1.707,1.709,-7.907,1.655,0.064,8.078,"nan","nan","nan","nan","nan","nan"
"Berkeley 87",305.4,0.059,37.406,0.064,0.598,0.032,-3.654,0.066,-6.268,0.069,0.087,148,1.662,1.664,1.669,1.674,1.676,-7.889,1.618,0.036,8.053,"nan","nan","nan","nan","nan","nan"
"Berkeley 96",337.475,0.019,55.409,0.012,0.265,0.014,-3.562,0.028,-3.01,0.046,0.03,64,3.607,3.627,3.689,3.75,3.77,-9.175,3.581,-0.105,9.849,"nan","nan","nan","nan","nan","nan"
"Berkeley 99",350.274,0.053,71.784,0.019,0.166,0.063,-3.158,0.086,-0.376,0.089,0.041,117,5.866,5.909,6.041,6.173,6.215,-10.897,5.347,1.1,12.138,"nan","nan","nan","nan","nan","nan"
"Biurakan 2",302.301,0.112,35.475,0.064,0.573,0.023,-3.187,0.056,-6.83,0.083,0.134,94,1.747,1.75,1.758,1.766,1.769,-7.779,1.678,0.067,7.958,"nan","nan","nan","nan","nan","nan"
"Blanco 1",1.003,0.472,-29.939,0.44,4.231,0.123,18.737,0.347,2.602,0.317,54.096,419,0.235,0.235,0.235,0.236,0.236,-8.409,-0.125,-0.14,8.41,"nan","nan","nan","nan","nan","nan"
"Bochum 1",96.331,0.079,19.895,0.05,0.234,0.025,-0.18,0.048,-0.43,0.056,0.138,129,4.442,4.478,4.587,4.696,4.731,-12.772,-0.978,0.316,12.809,"nan","nan","nan","nan","nan","nan"
"Bochum 10",160.537,0.2,-59.132,0.104,0.416,0.025,-7.455,0.098,2.925,0.073,0.176,254,2.387,2.39,2.399,2.408,2.411,-7.598,-2.294,0.012,7.937,"nan","nan","nan","nan","nan","nan"
"Bochum 14",270.517,0.075,-23.698,0.035,0.311,0.079,0.251,0.069,-1.063,0.062,0.134,368,3.04,3.051,3.084,3.117,3.127,-5.236,0.344,-0.012,5.247,"nan","nan","nan","nan","nan","nan"
"Bochum 2",102.21,0.055,0.378,0.035,0.161,0.083,-0.316,0.266,0.228,0.315,0.104,225,5.98,6.032,6.193,6.354,6.406,-13.535,-3.309,0.001,13.933,"nan","nan","nan","nan","nan","nan"
"Bochum 6",113.002,0.039,-19.416,0.027,0.267,0.06,-2.257,0.082,2.284,0.093,0.073,82,3.778,3.798,3.86,3.922,3.942,-10.528,-3.152,0.02,10.99,"nan","nan","nan","nan","nan","nan"
"Bochum 7",131.092,0.066,-45.974,0.121,0.185,0.026,-3.087,0.057,3.647,0.092,0.187,213,5.38,5.405,5.484,5.563,5.589,-8.762,-5.461,-0.163,10.325,"nan","nan","nan","nan","nan","nan"
"Collinder 110",99.675,0.1,2.081,0.08,0.45,0.06,-1.099,0.098,-2.049,0.123,0.168,1128,2.236,2.239,2.249,2.259,2.262,-10.254,-1.111,-0.041,10.314,"nan","nan","nan","nan","nan","nan"
"Collinder 121",103.641,0.244,-24.312,0.357,1.135,0.053,-2.786,0.11,3.482,0.142,0.62,365,0.876,0.876,0.877,0.879,0.879,-8.793,-0.71,-0.125,8.821,"nan","nan","nan","nan","nan","nan"
"Collinder 132",108.79,0.418,-30.672,0.369,1.49,0.105,-4.067,0.32,3.547,0.223,0.633,139,0.69,0.695,0.709,0.724,0.728,-8.619,-0.624,-0.08,8.642,"nan","nan","nan","nan","nan","nan"
"Collinder 135",109.459,0.277,-37.008,0.323,3.355,0.087,-10.18,0.273,6.279,0.164,0.487,110,0.298,0.298,0.299,0.299,0.299,-8.405,-0.273,-0.03,8.41,"nan","nan","nan","nan","nan","nan"
"Collinder 140",110.909,0.008,-31.969,0.133,2.603,0.145,-8.14,0.121,4.727,0.157,0.358,104,0.385,0.385,0.385,0.386,0.386,-8.462,-0.346,-0.024,8.469,"nan","nan","nan","nan","nan","nan"
"Collinder 185",125.831,0.082,-36.349,0.027,0.65,0.043,-5.005,0.048,3.855,0.1,0.095,65,1.516,1.518,1.525,1.532,1.534,-8.693,-1.473,0.043,8.817,"nan","nan","nan","nan","nan","nan"
"Collinder 223",157.786,0.105,-60.05,0.055,0.411,0.053,-5.423,0.053,2.859,0.044,0.123,171,2.594,2.599,2.614,2.629,2.634,-7.568,-2.508,-0.056,7.973,"nan","nan","nan","nan","nan","nan"
"Collinder 261",189.525,0.118,-68.376,0.041,0.346,0.057,-6.344,0.111,-2.714,0.109,0.089,1747,2.858,2.865,2.885,2.906,2.912,-6.792,-2.444,-0.256,7.218,"nan","nan","nan","nan","nan","nan"
"Collinder 272",202.554,0.093,-61.3,0.066,0.451,0.039,-3.451,0.06,-1.821,0.1,0.113,534,2.197,2.2,2.207,2.214,2.217,-6.955,-1.749,0.07,7.172,"nan","nan","nan","nan","nan","nan"
"Collinder 394",283.109,0.161,-20.243,0.148,1.405,0.058,-1.496,0.144,-5.861,0.137,0.255,303,0.706,0.706,0.707,0.709,0.709,-7.626,0.179,-0.089,7.628,"nan","nan","nan","nan","nan","nan"
"Collinder 463",27.119,0.677,71.711,0.177,1.171,0.037,-1.718,0.091,-0.288,0.099,0.342,371,0.853,0.854,0.855,0.855,0.856,-8.812,0.67,0.168,8.837,"nan","nan","nan","nan","nan","nan"
"Collinder 69",83.809,0.178,9.837,0.164,2.487,0.112,1.053,0.38,-2.077,0.23,0.411,317,0.402,0.402,0.402,0.403,0.403,-8.68,-0.103,-0.056,8.681,"nan","nan","nan","nan","nan","nan"
"Collinder 74",87.166,0.066,7.374,0.029,0.395,0.037,0.997,0.066,-1.553,0.054,0.084,130,2.454,2.464,2.492,2.521,2.53,-10.619,-0.798,-0.415,10.649,"nan","nan","nan","nan","nan","nan"
"Collinder 96",97.617,0.05,2.842,0.082,0.124,0.069,0.13,0.179,0.383,0.28,0.111,99,7.778,7.895,8.257,8.619,8.736,-15.58,-3.869,-0.432,16.053,"nan","nan","nan","nan","nan","nan"
"Czernik 13",41.11,0.05,62.333,0.028,0.314,0.036,0.583,0.049,-0.224,0.075,0.051,147,3.103,3.111,3.138,3.165,3.174,-10.541,2.193,0.159,10.767,"nan","nan","nan","nan","nan","nan"
"Czernik 8",38.241,0.03,58.765,0.028,0.372,0.031,0.505,0.044,-0.735,0.01,0.032,66,2.642,2.653,2.689,2.724,2.735,-10.226,1.874,-0.04,10.397,"nan","nan","nan","nan","nan","nan"
"Dolidze 25",101.269,0.074,0.266,0.05,0.209,0.025,-0.267,0.049,0.231,0.081,0.114,200,4.805,4.834,4.925,5.017,5.046,-12.478,-2.607,-0.072,12.747,"nan","nan","nan","nan","nan","nan"
"Feinstein 1",166.307,0.09,-59.733,0.067,0.392,0.014,-6.693,0.037,1.696,0.034,0.153,168,2.55,2.555,2.568,2.581,2.585,-7.424,-2.413,0.042,7.806,"nan","nan","nan","nan","nan","nan"
"Haffner 16",117.585,0.014,-25.456,0.014,0.312,0.035,-2.799,0.088,3.008,0.057,0.03,114,3.103,3.112,3.141,3.169,3.178,-9.77,-2.775,0.058,10.156,"nan","nan","nan","nan","nan","nan"
"Haffner 17",117.894,0.03,-31.814,0.021,0.278,0.058,-1.19,0.07,1.848,0.088,0.056,250,3.554,3.562,3.586,3.61,3.618,-9.66,-3.315,-0.128,10.212,"nan","nan","nan","nan","nan","nan"
"Haffner 18",118.183,0.017,-26.377,0.068,0.192,0.051,-2.552,0.118,2.586,0.114,0.082,335,4.987,5.009,5.078,5.146,5.168,-10.593,-4.53,0.076,11.521,"nan","nan","nan","nan","nan","nan"
"Haffner 19",118.192,0.011,-26.277,0.008,0.19,0.055,-2.539,0.118,2.49,0.078,0.024,214,5.171,5.206,5.315,5.425,5.46,-10.707,-4.739,0.083,11.709,"nan","nan","nan","nan","nan","nan"
"Haffner 21",120.286,0.019,-27.209,0.019,0.327,0.025,-1.434,0.047,1.564,0.032,0.038,83,3.033,3.044,3.079,3.114,3.126,-9.608,-2.786,0.119,10.003,"nan","nan","nan","nan","nan","nan"
"Haffner 6",109.997,0.02,-13.152,0.029,0.223,0.037,-1.223,0.059,1.949,0.054,0.06,258,4.352,4.372,4.435,4.498,4.518,-11.275,-3.289,0.054,11.745,"nan","nan","nan","nan","nan","nan"
"Haffner 8",110.768,0.023,-12.309,0.034,0.352,0.024,-1.608,0.043,0.425,0.056,0.057,151,2.807,2.815,2.842,2.868,2.877,-10.22,-2.094,0.097,10.432,"nan","nan","nan","nan","nan","nan"
"Harvard 20",298.311,0.021,18.343,0.079,0.494,0.043,-1.707,0.057,-4.461,0.065,0.093,77,2.019,2.025,2.042,2.059,2.065,-7.172,1.693,-0.144,7.369,"nan","nan","nan","nan","nan","nan"
"Harvard 5",186.805,0.042,-60.776,0.021,0.798,0.033,-7.031,0.137,-0.287,0.063,0.042,51,1.238,1.24,1.245,1.25,1.251,-7.678,-1.078,0.068,7.754,"nan","nan","nan","nan","nan","nan"
"Harvard 8",199.548,0.031,-67.079,0.021,0.38,0.043,-5.463,0.076,-0.401,0.039,0.03,102,2.595,2.6,2.616,2.631,2.636,-6.785,-2.122,-0.176,7.109,"nan","nan","nan","nan","nan","nan"
"Hogg 10",167.657,0.054,-60.338,0.055,0.411,0.044,-6.198,0.089,1.881,0.088,0.079,670,2.429,2.432,2.441,2.45,2.453,-7.434,-2.282,0.03,7.777,"nan","nan","nan","nan","nan","nan"
"Hogg 15",190.89,0.047,-63.1,0.011,0.289,0.014,-6.031,0.037,-0.471,0.031,0.037,101,3.325,3.338,3.38,3.421,3.435,-6.507,-2.865,0.007,7.11,"nan","nan","nan","nan","nan","nan"
"Hogg 16",202.485,0.097,-61.284,0.048,0.454,0.034,-3.455,0.072,-1.809,0.069,0.102,355,2.208,2.211,2.219,2.228,2.231,-6.949,-1.76,0.072,7.168,"nan","nan","nan","nan","nan","nan"
"Hogg 17",218.451,0.104,-61.36,0.03,0.438,0.023,-5.21,0.026,-2.439,0.048,0.072,76,2.285,2.292,2.311,2.33,2.336,-6.669,-1.637,-0.014,6.867,"nan","nan","nan","nan","nan","nan"
"Hogg 18",222.705,0.087,-52.27,0.01,0.597,0.02,-1.826,0.003,-2.274,0.074,0.093,31,1.59,1.595,1.61,1.626,1.631,-7.06,-1.012,0.203,7.132,"nan","nan","nan","nan","nan","nan"
"Hogg 22",251.662,0.013,-47.073,0.036,0.357,0.038,-0.734,0.064,-1.953,0.096,0.069,85,2.758,2.768,2.8,2.832,2.842,-5.694,-1.023,-0.037,5.786,"nan","nan","nan","nan","nan","nan"
"IC 1311",302.697,0.022,41.18,0.018,0.134,0.036,-3.356,0.044,-5.056,0.049,0.037,402,7.36,7.404,7.54,7.676,7.72,-6.696,7.348,0.571,9.941,"nan","nan","nan","nan","nan","nan"
"IC 1369",318.029,0.034,47.769,0.019,0.288,0.038,-4.641,0.061,-5.6,0.051,0.049,218,3.443,3.452,3.479,3.506,3.514,-8.276,3.478,0.003,8.977,"nan","nan","nan","nan","nan","nan"
"IC 166",28.095,0.048,61.86,0.025,0.203,0.056,-1.445,0.077,1.145,0.085,0.055,758,5.133,5.153,5.214,5.275,5.294,-11.655,3.991,0.023,12.319,"nan","nan","nan","nan","nan","nan"
"IC 1805",38.211,0.306,61.494,0.133,0.48,0.029,-0.751,0.137,-0.446,0.185,0.227,521,2.076,2.078,2.085,2.091,2.093,-9.767,1.481,0.068,9.878,"nan","nan","nan","nan","nan","nan"
"IC 1848",42.839,0.126,60.426,0.103,0.464,0.032,-0.327,0.175,-0.32,0.106,0.178,484,2.13,2.132,2.138,2.144,2.146,-9.869,1.452,0.067,9.975,"nan","nan","nan","nan","nan","nan"
"IC 2157",91.195,0.048,24.077,0.052,0.487,0.075,0.953,0.087,-2.981,0.076,0.057,89,2.057,2.062,2.081,2.099,2.105,-10.367,-0.23,0.079,10.37,"nan","nan","nan","nan","nan","nan"
"IC 2391",130.202,0.516,-52.97,0.296,6.616,0.151,-24.702,0.471,23.382,0.431,0.535,186,0.151,0.151,0.151,0.151,0.151,-8.299,-0.15,0.009,8.3,"nan","nan","nan","nan","nan","nan"
"IC 2395",130.586,0.12,-48.137,0.075,1.409,0.07,-4.393,0.166,3.193,0.184,0.134,231,0.709,0.709,0.71,0.711,0.712,-8.342,-0.707,-0.018,8.372,"nan","nan","nan","nan","nan","nan"
"IC 2488",141.869,0.135,-56.996,0.071,0.754,0.037,-7.768,0.098,5.701,0.123,0.153,378,1.327,1.328,1.33,1.332,1.333,-8.12,-1.314,-0.077,8.225,"nan","nan","nan","nan","nan","nan"
"IC 2581",156.868,0.082,-57.627,0.05,0.382,0.028,-7.278,0.043,3.595,0.053,0.107,306,2.613,2.616,2.626,2.636,2.639,-7.638,-2.541,0.026,8.05,"nan","nan","nan","nan","nan","nan"
"IC 2602",160.472,0.6,-64.468,0.813,6.604,0.164,-17.597,0.475,10.774,0.447,1.071,324,0.15,0.151,0.151,0.152,0.152,-8.249,-0.142,0.014,8.251,"nan","nan","nan","nan","nan","nan"
