"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C1045-572","Ruprecht_91",161.91,-57.48,0.07,0.12,"nan",0.08,17.0,8,5,-10.86,0.58,3.54,0.8,769,0.02,5
"C1051-614","Ruprecht_92",163.36,-61.69,0.08,0.15,"nan",0.06,20.3,14,6,-5.32,1.03,1.22,1.54,2380,0.3,1
"C1054-589","Trumpler_17",164.13,-59.21,0.08,0.12,0.11,0.22,19.0,7,6,-2.56,0.71,3.69,1.46,2173,0.6,1
"C1055-614","Bochum_12",164.35,-61.72,0.06,0.12,0.05,0.13,16.0,9,5,-2.33,0.71,-1.53,0.74,2218,0.24,4
"C1055-607","Collinder_236",164.34,-61.1,0.1,0.2,"nan",0.17,20.3,26,12,-3.36,0.87,3.34,0.98,769,0.02,5
"C1057-600","NGC_3496",165.12,-60.32,0.1,0.2,0.09,0.17,20.5,12,6,-8.35,0.89,1.95,0.58,990,0.47,1
"C1102-611","Ruprecht_93",166.08,-61.36,0.06,0.12,0.04,0.15,16.0,18,12,-3.05,0.97,-0.02,1.17,1428,0.23,1
"C1103-595","Feinstein_1",166.5,-59.81,0.2,0.35,"nan",0.45,20.0,46,27,-6.12,0.51,3.9,0.55,1159,0.3,3
"C1104-584","NGC_3532",166.42,-58.74,0.2,1.05,0.13,0.58,18.7,261,39,-10.47,0.35,4.05,0.29,404,0.04,2
"C1107-635","VDBH_111,vdB-Hagen_111",167.35,-63.85,0.09,0.12,0.05,0.16,19.0,7,5,-8.75,1.42,0.77,1.24,667,0.05,5
"C1107-602","Loden_309",167.43,-60.57,0.06,0.12,"nan",0.13,20.7,11,5,-11.12,1.08,1.16,0.98,1000,0.2,5
"C1108-599","NGC_3572",167.61,-60.25,0.05,0.1,"nan","nan","nan",5,5,-9.7,0.88,-1.02,0.88,1995,0.37,1
"C1108-587","Loden_282",167.62,-59.03,0.08,0.15,"nan",0.12,16.0,9,6,-8.12,0.82,2.98,1.03,1636,0.16,3
"C1109-604","Trumpler_18",167.88,-60.67,0.07,0.15,"nan",0.12,19.0,24,12,-9.12,0.79,0.07,0.64,1358,0.32,1
"C1110-605","NGC_3590",168.25,-60.78,0.06,0.12,0.02,0.11,17.0,23,7,-5.35,1.09,1.74,0.76,1639,0.4,1
"C1110-604","Hogg_12",168.07,-60.75,0.05,0.08,"nan",0.07,18.0,13,7,-8.99,1.48,2.0,0.65,1428,0.3,5
"C1110-586","Stock_13",168.27,-58.89,0.08,0.28,0.08,0.16,19.8,34,10,-9.16,0.7,2.89,0.84,1577,0.22,1
"C1115-624","IC_2714",169.35,-62.72,0.09,0.22,"nan",0.2,20.0,28,8,-2.56,0.73,-3.4,0.61,1238,0.34,1
"C1123-429","NGC_3680",171.42,-43.24,0.1,0.35,"nan",0.12,20.6,15,10,-5.1,0.5,1.41,0.6,938,0.07,1
"C1128-631","Ruprecht_94",172.44,-63.39,0.1,0.25,"nan",0.3,19.6,28,9,-3.84,0.92,-4.96,1.14,1111,0.1,5
"C1128-605","Ruprecht_164",172.72,-60.75,0.08,0.12,"nan",0.12,17.0,8,6,-0.89,1.41,5.03,1.26,1000,0.1,5
"C1133-613","NGC_3766",174.01,-61.62,0.1,0.3,"nan",0.18,16.6,47,17,-5.84,0.51,0.34,0.56,1755,0.18,1
"C1134-627","IC_2944",174.03,-62.95,0.08,0.2,"nan",0.32,19.6,18,5,-5.41,1.34,-0.43,1.16,1794,0.32,1
"C1135-630","VDBH_121,vdB-Hagen_121",174.55,-63.35,0.11,0.25,"nan","nan","nan",24,5,-6.09,0.71,0.97,0.73,1250,0.25,5
"C1141-622","Stock_14",175.95,-62.49,0.07,0.15,"nan","nan","nan",13,6,-6.82,0.55,0.87,0.32,2146,0.2,1
"C1153-581","Loden_480",178.99,-58.4,0.09,0.15,"nan",0.12,17.0,7,6,-8.55,1.0,5.73,0.55,1429,0.4,5
"C1155-642","Ruprecht_98",179.61,-64.54,0.1,0.35,"nan",0.2,18.4,35,6,-4.77,0.72,-10.95,0.76,494,0.2,1
"C1159-629","NGC_4052",180.52,-63.21,0.08,0.13,"nan",0.18,19.6,8,6,-7.23,0.89,-0.21,0.63,1209,0.16,1
"C1204-609","NGC_4103",181.68,-61.25,0.1,0.3,"nan",0.17,18.8,70,23,-5.01,0.61,-0.91,0.51,1632,0.29,1
"C1206-606","Loden_565",182.1,-60.85,0.14,0.2,"nan",0.12,17.0,11,8,-2.13,1.52,-1.83,0.88,1111,0.2,5
"C1217-645","Loden_615",185.16,-64.77,0.09,0.15,"nan",0.13,17.0,13,8,-6.8,0.72,-2.67,0.8,1667,0.2,5
"C1221-616","NGC_4349",186.07,-61.88,0.12,0.33,"nan",0.27,19.0,59,25,-6.31,0.67,0.67,0.77,2176,0.38,1
"C1222+263","Melotte_111",185.62,25.85,1.3,4.7,0.25,0.83,19.9,50,14,-11.03,0.64,-9.0,0.42,87,0.01,2
"C1224-605","VDBH_133,vdB-Hagen_133",186.79,-60.77,0.1,0.2,"nan",0.1,18.7,21,14,-7.29,0.55,-0.55,0.85,1184,0.16,4
"C1225-598","NGC_4439",187.11,-60.1,0.05,0.1,"nan",0.07,17.0,6,6,-12.18,1.26,-6.63,0.68,1785,0.35,1
"C1227-645","NGC_4463",187.48,-64.81,0.08,0.15,"nan",0.08,17.3,7,5,-4.95,0.86,0.83,0.86,1050,0.43,1
"C1239-627","NGC_4609",190.56,-62.99,0.09,0.2,"nan",0.15,19.7,19,10,-9.21,1.1,-2.69,0.75,1223,0.33,1
"C1250-600","NGC_4755",193.42,-60.36,0.1,0.3,"nan",0.22,18.8,30,11,-5.24,0.28,-0.98,0.27,1976,0.39,1
"C1257-593","NGC_4852",195.07,-59.6,0.09,0.25,"nan",0.12,18.8,22,9,-7.32,0.76,-0.9,0.9,666,0.2,5
"C1315-623","Stock_16",199.69,-62.51,0.07,0.25,"nan",0.1,17.0,18,7,-3.58,0.69,0.15,0.64,1640,0.4,1
"C1324-587","NGC_5138",201.78,-59.04,0.1,0.2,"nan",0.1,18.5,16,9,-2.77,0.64,-0.73,0.89,1986,0.26,1
"C1325-621","Basel_18",201.94,-62.33,0.08,0.18,0.08,0.16,18.8,11,6,-8.94,1.13,-6.07,1.08,2226,0.52,1
"C1326-609","Hogg_16",202.32,-61.2,0.08,0.1,"nan",0.12,19.0,5,5,-4.9,1.66,-1.29,0.37,1585,0.35,1
"C1327-610","Collinder_272",202.63,-61.3,0.1,0.15,"nan",0.12,18.5,14,10,-3.83,0.59,-1.76,0.6,2045,0.4,1
"C1327-606","NGC_5168",202.8,-60.93,0.1,0.2,0.12,0.28,19.0,21,9,-1.33,0.96,-0.5,0.82,1777,0.43,1
"C1328-625","Trumpler_21",203.05,-62.78,0.12,0.25,0.1,0.18,19.8,22,7,-11.09,0.75,-1.86,1.11,1263,0.2,1
"C1328-582","Ruprecht_108",203.05,-58.47,0.1,0.2,"nan",0.08,17.0,9,6,-11.05,0.95,-2.68,0.59,901,0.14,1
"C1342-600","Loden_1010",206.38,-60.2,0.09,0.2,"nan",0.2,17.0,10,7,-9.49,0.62,0.47,0.59,1111,0.3,5
"C1343-626","NGC_5281",206.59,-62.91,0.1,0.3,"nan",0.17,19.5,46,15,-4.45,0.77,-4.16,0.67,1108,0.22,1
"C1350-616","NGC_5316",208.48,-61.86,0.1,0.45,"nan",0.27,19.7,93,18,-6.03,0.42,0.76,0.46,1215,0.27,1
"C1356-619","Lynga_1",210.01,-62.17,0.1,0.2,0.07,0.17,20.3,17,5,-7.11,1.1,0.66,0.8,2283,0.46,1
