ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_46471,121.3149,0.0013,-32.1675,0.0018,0.1717,-2.2263,0.1123,3.2999,0.3091,249.5175,0.0022,-0.2447,0.0005,21,21,1,8.9203,0.036,-0.84468,0.47993,13.82388,0.05022,2.60077,0.01004
CKCWDM_46555,123.6823,0.0008,-33.4563,0.0009,0.1759,-2.5134,0.1893,3.0839,0.5025,251.6829,0.0012,0.7201,0.0003,35,34,1,8.9249,0.0164,-0.88874,0.47572,13.77322,0.04986,1.63636,0.01
CKCWDM_46598,123.5759,0.0002,-33.1547,0.0009,0.1597,-2.3932,0.1931,3.3566,0.2475,251.3824,0.0007,0.8133,0.0003,27,27,1,8.9152,0.0273,-0.58583,0.33338,13.98418,0.0493,1.8892,0.00999
CKCWDM_46612,122.9583,0.0011,-33.9355,0.0008,0.1914,-2.1132,0.1417,2.5754,0.2349,251.7499,0.0013,-0.0467,0.0003,25,25,1,8.8822,0.0389,0.31177,0.19484,13.58772,0.04954,2.28591,0.00989
CKCWDM_46660,124.0352,0.0008,-32.0769,0.0025,0.1993,-2.3715,0.153,2.5011,0.1123,250.7012,0.0028,1.7339,0.0003,27,27,1,8.909,0.0191,-0.41804,0.2311,13.50419,0.0496,1.62606,0.00999
CKCWDM_46679,123.7864,0.0008,-33.9857,0.0004,0.1553,-2.3937,0.0778,3.3173,0.1125,252.1712,0.0007,0.4981,0.0002,21,21,1,8.8874,0.0313,0.32422,0.18479,14.04392,0.05149,1.70725,0.01029
CKCWDM_46699,123.7405,0.0017,-34.2012,0.0006,0.1423,-1.6574,0.0627,2.0529,0.1561,252.3292,0.0009,0.3467,0.0009,20,20,1,8.9082,0.0288,-0.41626,0.23765,14.23322,0.04969,1.52573,0.00993
CKCWDM_46848,125.4246,0.0023,-34.0983,0.0025,0.1626,-2.6049,0.0556,2.9643,0.1209,253.0281,0.0039,1.557,0.0002,27,27,1,8.8862,0.0184,0.30908,0.17655,13.94334,0.05158,1.94317,0.01009
CKCWDM_46967,126.7285,0.0007,-36.4079,0.0013,0.1805,-2.1023,0.1115,2.326,0.1812,255.5304,0.0015,1.1,0.0002,21,20,1,8.922,0.0389,0.25346,0.15572,13.71277,0.05124,2.60616,0.00977
CKCWDM_47285,148.1842,0.0035,-52.0563,0.0014,0.1486,-4.7595,0.2348,3.2498,0.3039,277.305,0.0011,1.6933,0.0016,60,59,1,8.9143,0.0324,-0.28905,0.17028,14.14082,0.04976,2.92336,0.00991
CKCWDM_47294,147.0343,0.0023,-51.6314,0.0007,0.1652,-4.6076,0.2471,3.4365,0.1449,276.4857,0.001,1.5733,0.0005,44,44,1,8.9273,0.0189,-0.9075,0.4875,13.90904,0.04917,2.75523,0.00991
CKCWDM_47327,149.4985,0.0012,-52.8046,0.0007,0.1467,-4.6754,0.3955,3.1241,0.2162,278.398,0.0007,1.6012,0.0005,36,35,1,8.8986,0.0334,0.26548,0.14802,14.16721,0.04993,2.77738,0.0099
CKCWDM_47337,149.1727,0.0031,-52.5466,0.0019,0.1759,-3.8791,0.1563,2.4922,0.0954,278.0837,0.0022,1.6839,0.0009,31,31,1,8.9058,0.0391,0.27969,0.16656,13.77184,0.04929,2.92014,0.00972
CKCWDM_47392,147.0978,0.0038,-52.5638,0.001,0.1928,-5.0585,0.1094,3.3498,0.1288,277.1109,0.0008,0.8802,0.0016,24,22,1,8.9209,0.0294,-0.39181,0.23723,13.57293,0.04967,4.42196,0.01018
CKCWDM_47493,151.1927,0.0024,-53.678,0.0004,0.1802,-5,0.1847,3.3859,0.252,279.7338,0.0011,1.5136,0.0002,31,30,1,8.9307,0.0308,-0.17699,0.10844,13.72216,0.05033,2.71323,0.0099
CKCWDM_47503,153.3866,0.0018,-54.4012,0.0007,0.1975,-4.8924,0.1423,2.9547,0.1031,281.2034,0.001,1.67,0.0003,30,29,1,8.9197,0.0369,-0.10212,0.05829,13.52214,0.05068,3.34626,0.00993
CKCWDM_47522,151.3466,0.003,-54.4536,0.0007,0.1574,-5.0581,0.1451,3.1833,0.1401,280.265,0.0015,0.9413,0.0002,26,26,1,8.9279,0.0308,-0.57395,0.33745,14.01492,0.05133,4.14871,0.0104
CKCWDM_47534,150.6951,0.0016,-54.278,0.0007,0.1886,-5.0714,0.1327,3.115,0.1348,279.8554,0.0005,0.8572,0.0007,25,24,1,8.9086,0.0156,-0.57567,0.34463,13.62129,0.05217,4.43413,0.01033
CKCWDM_47874,163.15,0.002,-57.629,0.0003,0.1381,-6.2041,0.1109,2.5022,0.102,287.538,0.0004,1.6468,0.0005,22,21,1,8.9243,0.0321,-0.85741,0.50409,14.29663,0.05069,2.07589,0.00996
