"Seq","n_Seq","Name","OName","RAdeg","DEJ2000","GLON","GLAT","Rco","Rcl","RV","e_RV","n_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","V-Mv","r_Dist","logt","o_logt","RVref","e_RVref","r_RVref","logtref","r_logtref"
463,0,"Stock 1","nan",293.95,25.22,60.25,2.26,0.17,0.4,"nan","nan","nan",5.74,0.28,1.11,0.21,3.76,-4.48,21,350,0.17,8.25,2,8.53,4,"nan","nan","nan",8.48,1.0
464,0,"NGC 6811","nan",294.31,46.39,79.21,12.02,0.1,0.3,6.05,0.95,2.0,-5.21,0.3,-7.45,0.23,-9.0,1.28,31,1240,0.14,10.9,3,8.76,9,7.1,0.3,1.0,8.84,3.0
465,0,"NGC 6823","nan",295.78,23.3,59.4,-0.14,0.07,0.27,17.0,"nan",1.0,-2.83,0.4,-5.07,0.29,-5.81,-0.07,10,1893,0.84,13.99,3,7.01,1,11.0,6.0,1.0,6.82,3.0
466,0,"Turner 9","nan",296.2,29.26,64.75,2.51,0.4,0.8,-13.86,8.56,4.0,0.63,0.19,-3.6,0.2,-2.81,-2.34,94,852,0.15,10.12,1,8.06,2,"nan","nan","nan",8.2,1.0
467,0,"Roslund 1","nan",296.25,17.52,54.6,-3.39,0.07,0.15,"nan","nan","nan",1.18,0.4,-7.08,0.65,-5.55,-4.55,7,670,0.05,9.28,2,8.47,-1,"nan","nan","nan","nan","nan"
468,0,"Roslund 2","nan",296.35,23.92,60.19,-0.28,0.1,0.23,-5.0,6.0,2.0,-1.88,0.53,-4.24,0.25,-4.61,-0.5,7,2000,0.9,14.3,2,6.89,1,"nan","nan","nan","nan","nan"
469,1,"NGC 6828","nan",297.57,7.9,46.82,-9.27,0.08,0.18,-21.0,"nan",1.0,-1.12,1.06,-2.9,0.75,-3.08,-0.44,4,600,0.2,9.51,2,8.56,1,"nan","nan","nan","nan","nan"
470,0,"NGC 6830","nan",297.75,23.1,60.13,-1.8,0.06,0.17,"nan","nan","nan",-0.04,0.53,-2.7,0.64,-2.34,-1.34,5,1639,0.5,12.62,3,7.52,2,"nan","nan","nan",7.57,3.0
471,0,"Roslund 3","nan",299.67,20.48,58.8,-4.68,0.07,0.2,"nan","nan","nan",-0.7,0.35,-3.98,0.46,-3.77,-1.47,11,1515,0.34,11.96,3,7.61,1,-4.7,3.0,1.0,8.04,3.0
472,0,"Dolidze 36","nan",300.6,42.15,77.69,6.03,0.08,0.17,"nan","nan","nan",0.19,0.38,-0.95,0.4,-0.71,-0.66,9,900,0.22,10.45,2,8.83,4,"nan","nan","nan","nan","nan"
473,0,"NGC 6866","nan",300.97,44.16,79.56,6.84,0.07,0.14,"nan","nan","nan",-3.48,0.4,-5.8,0.38,-6.76,-0.07,10,1450,0.17,11.33,3,8.68,3,"nan","nan","nan",8.58,3.0
474,0,"Alessi 10","nan",301.18,-10.48,31.64,-20.98,0.08,0.17,"nan","nan","nan",0.7,0.55,-7.92,0.49,-6.87,-4.0,6,513,0.22,9.23,1,8.71,4,"nan","nan","nan",8.35,1.0
475,1,"Dolidze 38","nan",301.39,41.2,77.19,5.02,0.1,0.2,"nan","nan","nan",-3.59,0.72,-6.49,0.59,-7.41,-0.41,8,1200,0.15,10.86,2,8.95,-3,"nan","nan","nan","nan","nan"
476,0,"NGC 6871","nan",301.5,35.78,72.64,2.06,0.08,0.23,-10.54,2.25,7.0,-3.65,0.26,-7.19,0.42,-8.03,-0.78,17,1574,0.44,12.35,3,6.99,3,-15.0,6.0,1.0,6.96,3.0
477,0,"Biurakan 1","nan",301.87,35.7,72.74,1.76,0.1,0.22,-8.48,2.94,5.0,-3.51,0.39,-6.24,0.56,-7.15,-0.41,13,1600,0.33,12.04,2,7.25,2,"nan","nan","nan","nan","nan"
478,0,"Biurakan 2","nan",302.29,35.48,72.74,1.35,0.08,0.18,-22.0,9.47,4.0,-3.63,0.38,-6.24,0.42,-7.21,-0.34,11,1106,0.36,11.34,3,7.14,1,"nan","nan","nan",7.01,3.0
479,0,"Roslund 5","nan",302.59,33.8,71.47,0.23,0.15,0.54,-19.82,2.79,11.0,2.75,0.3,-2.12,0.31,-0.27,-3.46,31,418,0.1,8.42,3,7.77,1,"nan","nan","nan",7.83,3.0
480,0,"NGC 6883","nan",302.83,35.83,73.27,1.17,0.07,0.16,-10.33,4.33,3.0,-3.78,0.28,-6.58,0.3,-7.58,-0.44,12,1380,0.3,11.63,4,7.53,2,-8.0,"nan",4.0,7.17,4.0
481,0,"Ruprecht 172","nan",302.89,35.6,73.11,1.01,0.08,0.16,"nan","nan","nan",-0.42,0.73,-3.97,0.51,-3.55,-1.83,12,1100,0.2,10.83,2,8.91,2,"nan","nan","nan","nan","nan"
482,1,"NGC 6882","nan",302.94,26.81,65.77,-3.84,0.11,0.11,-16.69,6.01,2.0,1.26,0.54,-10.0,0.85,-7.69,-6.52,4,342,0.02,7.73,3,8.16,1,0.7,1.5,1.0,7.67,3.0
483,1,"IC 4996","nan",304.12,37.63,75.35,1.31,0.08,0.16,-18.75,14.33,4.0,-1.78,0.4,-5.42,0.71,-5.49,-1.55,7,1732,0.6,13.05,3,6.8,1,-13.0,3.0,1.0,6.95,3.0
484,0,"Collinder 419","nan",304.5,40.72,78.07,2.79,0.07,0.25,-8.19,"nan",1.0,-2.56,0.26,-6.99,0.16,-7.22,-1.8,8,740,0.34,10.4,2,6.85,1,-7.0,"nan",4.0,"nan","nan"
485,0,"Berkeley 86","nan",305.1,38.7,76.66,1.27,0.07,0.13,"nan","nan","nan",-6.17,0.91,-3.11,0.93,-6.06,3.32,4,1112,0.9,13.02,3,6.96,1,-13.6,8.2,1.0,7.12,3.0
486,0,"NGC 6910","nan",305.8,40.78,78.68,2.01,0.08,0.17,-32.76,2.7,3.0,-3.89,0.28,-4.93,0.35,-6.27,0.37,9,1139,0.97,13.29,3,7.33,2,-34.5,5.0,1.0,7.13,3.0
487,0,"Collinder 421","nan",305.82,41.7,79.44,2.53,0.06,0.12,"nan","nan","nan",-4.63,0.53,-9.73,0.28,-10.63,-1.77,8,950,0.1,10.2,2,9.06,3,"nan","nan","nan","nan","nan"
488,1,"NGC 6913","M 29",305.98,38.51,76.9,0.6,0.06,0.11,-21.05,2.81,6.0,-3.8,0.51,-5.71,0.37,-6.86,-0.17,6,1148,0.98,13.34,3,7.12,2,-16.9,0.6,1.0,7.11,3.0
489,0,"Roslund 6","nan",307.2,39.26,78.06,0.26,0.15,0.27,"nan","nan","nan",5.82,0.49,2.03,0.7,5.05,-3.53,6,450,0.06,8.45,2,8.47,1,"nan","nan","nan","nan","nan"
490,0,"Cyg OB2","nan",308.31,41.31,80.21,0.79,0.17,0.6,-28.0,"nan",1.0,-1.6,0.26,-4.72,0.24,-4.75,-1.52,17,1500,1.3,14.91,6,6.72,2,-19.7,"nan",6.0,"nan","nan"
491,0,"NGC 6940","nan",308.61,28.28,69.85,-7.15,0.16,0.5,4.42,2.41,23.0,-1.5,0.2,-8.93,0.24,-8.1,-4.05,56,770,0.21,10.08,3,8.94,23,7.7,0.6,1.0,8.86,3.0
492,0,"Alessi 12","nan",310.87,23.78,67.41,-11.46,0.2,0.5,"nan","nan","nan",3.75,0.2,-4.66,0.24,-1.49,-5.79,25,537,0.08,8.9,1,7.9,3,"nan","nan","nan",8.1,1.0
493,0,"Roslund 7","nan",313.09,37.9,79.8,-4.22,0.11,0.43,"nan","nan","nan",1.2,0.33,0.42,0.22,1.09,-0.66,20,700,0.2,9.85,2,8.67,9,"nan","nan","nan","nan","nan"
494,1,"NGC 6991","nan",313.63,47.45,87.39,1.6,0.1,0.42,-6.0,"nan",1.0,7.0,0.23,9.26,0.3,11.59,0.61,32,700,0.0,9.23,2,9.11,8,"nan","nan","nan","nan","nan"
495,1,"NGC 7039","nan",317.7,45.62,87.88,-1.7,0.12,0.28,-11.0,"nan",1.0,-1.68,0.5,-4.69,0.42,-4.57,-1.97,12,951,0.13,10.29,3,8.83,5,"nan","nan","nan",7.82,3.0
496,0,"NGC 7058","nan",320.47,50.82,92.9,0.59,0.05,0.08,"nan","nan","nan",7.33,0.59,3.18,0.28,7.44,-2.91,5,400,0.06,8.2,2,8.35,1,"nan","nan","nan","nan","nan"
497,0,"NGC 7063","nan",321.09,36.49,83.06,-9.88,0.08,0.26,"nan","nan","nan",1.24,0.41,-2.83,0.39,-1.13,-2.87,8,689,0.09,9.47,3,8.08,1,"nan","nan","nan",7.98,3.0
498,0,"NGC 7082","nan",322.24,47.13,91.16,-2.87,0.1,0.35,-9.1,"nan",1.0,-1.56,0.42,-3.55,0.4,-3.58,-1.5,23,1442,0.24,11.54,3,7.91,2,-11.1,3.4,1.0,8.23,3.0
499,0,"NGC 7092","M 39",322.95,48.45,92.41,-2.23,0.28,0.88,-2.8,5.68,5.0,-8.0,0.2,-20.21,0.22,-19.63,-9.34,27,311,0.01,7.49,5,8.57,8,-7.5,0.5,1.0,8.44,3.0
