"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
123,"NGC 2345",226.57,-2.32,13.87,0.68,2251,7.74,"nan","nan","nan","nan",9.7,2.6,2.336,0.347,107.065,-13.1873
124,"Haffner 23",230.0,-3.81,10.31,0.1,1000,8.84,6.8,1.1,1.984,0.222,7.4,1.5,2.109,0.263,107.3196,-16.9143
125,"Alessi 21",223.44,0.0,8.712,0.07,500,7.47,9.3,6.7,2.432,0.947,9.1,1.6,2.408,0.226,107.6939,-9.3411
126,"Collinder 132",243.13,-9.3,8.131,0.02,411,7.51,"nan","nan","nan","nan",3.5,0.8,1.182,0.314,108.3853,-31.0282
127,"NGC 2354",238.36,-6.81,13.794,0.29,3794,8.1,"nan","nan","nan","nan",33.5,8.0,3.84,0.312,108.5195,-25.6908
128,"NGC 2353",224.69,0.38,10.461,0.07,1119,7.05,8.5,5.5,2.268,0.845,11.0,2.0,2.602,0.243,108.6235,-10.2727
129,"Alessi 3",257.84,-15.37,7.638,0.11,288,8.87,5.2,2.6,1.718,0.644,4.7,0.8,1.57,0.236,109.0858,-46.6099
130,"NGC 2358",231.05,-2.3,9.059,0.02,630,8.72,8.0,1.5,2.227,0.246,5.8,1.0,1.825,0.226,109.2266,-17.148
131,"Basel 11A",228.25,-0.78,11.438,0.18,1500,7.42,"nan","nan","nan","nan",8.9,4.0,2.302,0.586,109.2689,-13.9633
132,"NGC 2360",229.8,-1.43,11.72,0.11,1887,8.59,15.4,3.6,2.98,0.309,15.6,2.1,2.999,0.183,109.4222,-15.6373
133,"Collinder 135",249.12,-11.19,7.643,0.04,319,7.54,11.7,1.7,2.76,0.196,11.5,1.3,2.736,0.153,109.4445,-37.1556
134,"NGC 2362",238.2,-5.57,11.024,0.1,1389,6.64,10.2,1.5,2.504,0.197,14.9,2.4,3.002,0.213,109.6602,-24.9837
135,"NGC 2367",235.6,-3.84,12.532,0.33,2004,7.01,"nan","nan","nan","nan",16.8,4.7,3.099,0.365,110.0243,-21.886
136,"Collinder 140",245.0,-7.91,8.114,0.03,402,7.57,"nan","nan","nan","nan",6.9,1.2,2.062,0.228,110.8159,-32.0578
137,"NGC 2374",228.41,1.02,11.113,0.09,1468,8.68,17.2,3.1,3.16,0.235,17.1,2.7,3.154,0.206,110.9813,-13.2592
138,"NGC 2383",235.27,-2.47,11.745,0.21,1655,8.64,"nan","nan","nan","nan",7.0,2.0,1.99,0.368,111.1582,-20.9526
139,"NGC 2384",235.38,-2.4,12.434,0.26,2116,7.13,"nan","nan","nan","nan",12.4,4.1,2.693,0.432,111.2799,-21.0164
140,"Trumpler 7",238.21,-3.34,11.679,0.27,1474,7.72,"nan","nan","nan","nan",9.8,2.6,2.446,0.351,111.8318,-23.9511
141,"NGC 2396",227.52,2.63,9.002,0.05,588,8.52,4.3,0.5,1.432,0.152,4.9,0.9,1.6,0.23,112.001,-11.7125
142,"Bochum 5",232.45,0.77,12.745,0.4,2000,8.45,"nan","nan","nan","nan",19.1,4.2,3.261,0.291,112.7482,-16.9295
