"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
1062,"ASCC 62",288.43,-0.66,13.13,0.24,3000,7.5,"nan","nan","nan","nan",40.3,7.4,4.429,0.243,162.7145,-60.0921
1063,"ASCC 63",289.12,-0.67,14.115,0.45,3500,7.24,"nan","nan","nan","nan",24.4,5.7,3.775,0.308,163.9551,-60.4037
1064,"ASCC 64",290.14,-0.77,11.345,0.15,1500,7.92,"nan","nan","nan","nan",11.5,2.3,2.789,0.261,165.7611,-60.9208
1065,"ASCC 65",291.11,-0.57,13.96,0.4,3500,7.09,"nan","nan","nan","nan",40.8,6.3,4.457,0.204,167.7648,-61.1165
1066,"ASCC 66",289.29,4.84,10.31,0.1,1000,7.76,"nan","nan","nan","nan",12.3,2.5,2.864,0.272,168.399,-55.4189
1067,"ASCC 67",294.56,0.71,11.81,0.3,1500,7.67,"nan","nan","nan","nan",12.8,2.5,2.939,0.254,175.3728,-61.0197
1068,"ASCC 68",297.07,1.4,9.375,0.1,650,8.65,"nan","nan","nan","nan",4.9,0.8,1.656,0.206,180.7335,-60.9185
1069,"ASCC 69",299.04,-7.23,10.527,0.17,1000,7.91,"nan","nan","nan","nan",16.5,3.5,3.264,0.276,181.6351,-69.7618
1070,"ASCC 70",299.01,-1.83,13.242,0.35,2700,6.92,"nan","nan","nan","nan",43.1,9.0,4.566,0.276,183.7482,-64.4239
1071,"ASCC 71",299.99,-4.82,11.345,0.25,1300,7.88,"nan","nan","nan","nan",25.2,3.6,3.832,0.192,185.1742,-67.516
1072,"ASCC 72",300.69,1.84,10.703,0.16,1100,8.13,"nan","nan","nan","nan",13.2,2.2,2.983,0.221,188.2408,-60.9513
1073,"ASCC 73",301.49,-4.46,9.22,0.05,650,8.19,9.9,0.9,2.585,0.128,10.3,1.7,2.636,0.222,189.1337,-67.29
1074,"ASCC 74",308.66,3.57,8.857,0.05,550,8.5,"nan","nan","nan","nan",4.2,1.0,1.483,0.322,203.9486,-58.8076
1075,"ASCC 75",309.33,-0.24,13.316,0.3,3000,6.65,"nan","nan","nan","nan",25.9,6.4,3.955,0.326,206.7855,-62.4178
1076,"ASCC 76",308.97,-4.24,9.728,0.27,600,7.45,"nan","nan","nan","nan",8.0,1.7,2.315,0.275,208.0478,-66.3969
1077,"ASCC 77",312.0,-0.86,12.642,0.3,2200,6.99,30.6,3.8,4.152,0.169,29.9,5.2,4.123,0.23,212.6949,-62.3267
1078,"ASCC 78",314.77,-8.64,11.901,0.0,2400,8.48,"nan","nan","nan","nan",15.2,3.5,3.256,0.301,226.2653,-68.3841
1079,"ASCC 79",320.04,-2.86,10.011,0.16,800,6.86,"nan","nan","nan","nan",17.6,2.1,3.367,0.164,229.7918,-60.727
1080,"ASCC 80",320.92,-2.73,11.407,0.17,1500,7.93,"nan","nan","nan","nan",16.3,3.4,3.31,0.276,231.1435,-60.1399
1081,"ASCC 81",328.83,2.85,9.69,0.15,700,8.38,"nan","nan","nan","nan",7.6,1.5,2.269,0.263,236.7202,-50.9818
1082,"ASCC 82",320.55,-7.74,9.515,0.0,800,8.67,"nan","nan","nan","nan",9.5,1.8,2.569,0.248,236.8405,-64.4124
1083,"ASCC 83",328.1,1.11,9.356,0.15,600,8.4,"nan","nan","nan","nan",4.9,1.0,1.688,0.275,237.5471,-52.7983
1084,"ASCC 84",323.56,-5.44,10.236,0.15,900,7.68,"nan","nan","nan","nan",7.7,1.6,2.293,0.274,238.71,-60.7394
1085,"ASCC 85",339.89,-0.21,11.016,0.2,1200,7.42,"nan","nan","nan","nan",10.6,2.3,2.751,0.281,251.8701,-45.466
1086,"ASCC 86",330.63,-10.38,9.597,0.12,700,7.07,"nan","nan","nan","nan",13.5,2.4,3.019,0.231,255.4814,-59.0108
1087,"ASCC 87",355.15,8.02,10.577,0.26,900,8.52,18.4,1.9,3.454,0.141,21.9,3.7,3.677,0.225,255.7413,-28.4445
1088,"ASCC 88",349.88,3.08,12.944,0.5,1900,7.17,48.3,7.0,4.798,0.192,44.9,6.6,4.703,0.195,256.6845,-35.6042
1089,"ASCC 89",329.04,-14.56,8.805,0.1,500,7.03,16.8,2.8,3.288,0.218,19.6,2.2,3.486,0.153,260.8037,-62.641
1090,"ASCC 90",354.28,-1.91,9.425,0.3,500,8.81,"nan","nan","nan","nan",6.6,1.0,2.083,0.193,264.7683,-34.8035
1091,"ASCC 91",353.13,-4.93,9.825,0.1,800,8.65,"nan","nan","nan","nan",9.7,2.2,2.615,0.293,267.2166,-37.3579
1092,"ASCC 92",15.35,7.63,9.84,0.25,650,9.01,"nan","nan","nan","nan",8.2,1.9,2.368,0.304,267.7737,-11.883
1093,"ASCC 93",8.33,-1.04,12.858,0.28,2500,7.22,"nan","nan","nan","nan",30.8,6.4,4.259,0.273,272.0454,-22.2549
1094,"ASCC 94",15.54,0.92,10.267,0.2,850,8.78,"nan","nan","nan","nan",9.2,1.4,2.545,0.197,273.892,-14.991
1095,"ASCC 95",6.15,-4.27,11.872,0.32,1500,8.04,21.3,7.2,3.7,0.438,18.7,4.0,3.528,0.278,274.0085,-25.713
1096,"ASCC 96",0.63,-8.14,9.84,0.15,750,8.27,"nan","nan","nan","nan",6.5,1.2,2.074,0.242,275.0204,-32.3686
1097,"ASCC 97",14.16,-5.56,10.755,0.4,800,7.88,13.6,2.1,3.046,0.205,11.8,2.2,2.859,0.252,279.2274,-19.2221
1098,"ASCC 98",1.54,-12.94,9.639,0.04,800,8.33,"nan","nan","nan","nan",19.5,3.2,3.518,0.218,280.6437,-33.6364
1099,"ASCC 99",15.89,-7.91,7.701,0.15,280,8.71,"nan","nan","nan","nan",3.0,0.7,1.023,0.307,282.2613,-18.7294
1100,"ASCC 100",64.37,12.67,7.782,0.02,350,8.01,"nan","nan","nan","nan",3.7,0.7,1.271,0.257,285.3931,33.5667
1101,"ASCC 101",67.99,11.59,7.72,0.0,350,8.52,4.7,0.5,1.602,0.143,4.2,0.8,1.458,0.25,288.3993,36.3276
1102,"ASCC 102",63.27,6.64,10.88,0.0,1500,8.79,"nan","nan","nan","nan",11.1,2.5,2.759,0.295,291.2119,29.95
1103,"ASCC 103",69.48,7.22,9.225,0.0,700,8.37,"nan","nan","nan","nan",9.1,1.6,2.475,0.227,294.0403,35.6682
1104,"ASCC 104",54.9,-1.55,10.538,0.33,800,7.71,"nan","nan","nan","nan",15.5,2.4,3.181,0.209,294.7139,18.6919
1105,"ASCC 105",62.78,2.16,8.774,0.09,500,8.0,"nan","nan","nan","nan",11.3,1.5,2.754,0.174,295.4281,27.3755
1106,"ASCC 106",40.34,-10.73,9.58,0.35,500,8.42,"nan","nan","nan","nan",11.4,2.2,2.781,0.251,295.7771,1.5958
1107,"ASCC 107",58.86,-1.89,9.845,0.2,700,8.41,"nan","nan","nan","nan",2.9,0.7,0.999,0.303,297.1298,21.9557
1108,"ASCC 108",74.45,5.99,10.362,0.05,1100,8.64,"nan","nan","nan","nan",9.2,1.9,2.481,0.267,298.4462,39.3679
1109,"ASCC 109",70.33,3.51,8.266,0.0,450,8.31,"nan","nan","nan","nan",8.7,1.5,2.403,0.231,298.4957,34.5716
1110,"ASCC 110",70.45,1.4,9.98,0.15,800,8.75,"nan","nan","nan","nan",7.4,1.3,2.199,0.237,300.7441,33.5725
1111,"ASCC 111",74.62,2.08,11.951,0.3,1600,7.05,43.2,9.9,4.504,0.301,35.6,4.1,4.251,0.154,302.8009,37.45
1112,"ASCC 112",87.47,9.3,8.95,0.08,550,8.15,5.1,0.6,1.683,0.157,4.1,0.7,1.417,0.214,304.1134,52.0975
1113,"ASCC 113",82.88,-6.65,8.266,0.0,450,8.14,"nan","nan","nan","nan",7.3,0.9,2.171,0.168,317.9925,38.5988
1114,"ASCC 114",97.07,1.0,9.508,0.26,550,7.75,"nan","nan","nan","nan",3.1,0.6,1.041,0.241,325.0058,53.9681
1115,"ASCC 115",97.45,-2.54,9.356,0.15,600,8.59,"nan","nan","nan","nan",3.7,0.8,1.254,0.296,329.2167,51.4821
1116,"ASCC 116",99.49,-0.32,15.076,0.51,5000,7.03,"nan","nan","nan","nan",43.1,10.9,4.226,0.332,329.6382,54.4859
1117,"ASCC 117",104.85,5.39,11.326,0.3,1200,6.67,15.8,3.4,3.12,0.286,20.5,5.0,3.461,0.323,331.2519,62.2671
1118,"ASCC 118",104.48,4.21,10.701,0.3,900,7.02,"nan","nan","nan","nan",6.5,1.4,1.983,0.283,332.0865,61.0959
1119,"ASCC 119",97.73,-8.39,10.31,0.1,1000,8.83,"nan","nan","nan","nan",8.1,2.0,2.269,0.322,334.7998,46.8966
1120,"ASCC 120",104.73,-0.6,13.912,0.62,2500,7.08,"nan","nan","nan","nan",36.1,7.1,4.137,0.258,337.6399,57.207
1121,"ASCC 121",103.56,-2.59,12.92,0.3,2500,7.73,"nan","nan","nan","nan",26.6,5.0,3.741,0.247,337.6718,54.8989
1122,"ASCC 122",95.91,-15.9,9.535,0.1,700,6.98,"nan","nan","nan","nan",19.9,3.1,3.453,0.205,338.3056,39.6114
1123,"ASCC 123",104.74,-4.0,7.3,0.1,250,8.41,"nan","nan","nan","nan",10.9,1.6,2.669,0.194,340.6417,54.256
1124,"ASCC 124",101.73,-11.48,9.356,0.15,600,8.48,8.1,1.2,2.286,0.191,5.9,1.4,1.866,0.313,342.0255,46.2525
1125,"ASCC 125",110.17,2.76,13.081,0.71,1500,7.01,"nan","nan","nan","nan",45.2,8.4,4.467,0.244,344.0594,62.7419
1126,"ASCC 126",106.58,-8.46,9.825,0.1,800,7.26,"nan","nan","nan","nan",9.7,1.8,2.508,0.249,346.5702,51.0425
1127,"ASCC 127",112.26,4.13,8.03,0.1,350,7.82,8.9,1.1,2.408,0.17,9.2,1.4,2.445,0.205,347.1039,64.8453
1128,"ASCC 128",109.93,-5.96,10.174,0.13,900,8.44,11.6,1.3,2.725,0.154,12.0,2.0,2.769,0.219,350.1354,54.6009
1129,"ASCC 129",111.27,-5.37,10.558,0.18,1000,8.69,"nan","nan","nan","nan",8.5,1.6,2.309,0.247,351.9914,55.6003
1130,"ASCC 130",116.2,0.33,14.269,0.52,3400,7.03,"nan","nan","nan","nan",23.3,5.7,3.436,0.324,358.1872,62.4322
