"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"ESO_522-05, MWSC_2842","nan","nan",273.195,-24.35,6.997,-2.968,0.01,0.065,0.095,-0.31,-5.27,0.38,"nan","nan",0,4,80,147,1657.0,1.874,11.7,0.9,0.6,0.0,9.5,"nan","nan",1.43,0.27,5.18,0.78,7.65,1.23,"DIAS","nan","nan","nan",0
"FSR_0051, MWSC_2843","nan","nan",273.267,-13.325,16.71,2.254,0.012,0.055,0.11,1.13,-9.43,0.54,"nan","nan",0,3,17,74,4415.0,1.166,13.6,0.56,0.374,0.0,6.1,"nan","nan",1.12,0.48,13.83,6.39,1.02,0.45,"DIAS","irc","nan","nan",0
"FSR_0062, MWSC_2846","nan","nan",273.45,-8.708,20.863,4.295,0.02,0.06,0.12,-7.5,-9.14,0.37,"nan","nan",0,7,53,179,3976.0,1.562,13.5,0.75,0.5,0.0,9.0,"nan","nan",2.49,0.45,16.6,2.9,1.48,0.2,"FPOS","nan","nan","nan",0
"BDSB_115, MWSC_2848","nan","nan",273.52,-17.47,13.187,0.056,0.01,0.053,0.107,4.92,-3.23,1.1,"nan","nan",0,1,8,26,7959.0,1.541,15.0,0.74,0.494,-0.02,8.065,"nan","nan",1.72,1.05,35.98,25.15,0.19,0.13,"BIRN","irc","nan","nan",0
"FSR_0046, MWSC_2850","nan","nan",273.577,-17.325,13.34,0.078,0.015,0.09,0.15,4.8,-2.77,0.41,"nan","nan",0,2,33,65,4736.0,1.936,14.0,0.93,0.62,0.0,8.4,"nan","nan",9.49,2.99,20.93,3.96,0.38,0.18,"DIAS","irc","nan","nan",0
"BDSB_116, MWSC_2851","nan","nan",273.657,-16.757,13.875,0.282,0.01,0.035,0.06,3.71,-3.97,0.63,37.2,"nan",0,1,12,27,5358.0,1.103,14.0,0.53,0.354,-0.06,6.0,"nan","nan",2.26,0.66,8.35,1.95,1.51,0.37,"BIRN","irc","nan","nan",0
"BDSB_114, MWSC_2852","nan","nan",273.663,-17.881,12.891,-0.26,0.012,0.045,0.07,2.49,-3.66,0.36,24.8,"nan",0,6,40,80,4269.0,1.083,13.5,0.52,0.347,0.0,6.335,"nan","nan",0.7,0.25,5.91,1.7,4.87,1.75,"BIRN","irc","nan","nan",0
"FSR_0078, MWSC_2854","nan","nan",273.745,-3.155,25.925,6.648,0.02,0.06,0.1,-2.09,-2.94,0.74,"nan","nan",0,4,20,28,2971.0,1.353,12.8,0.65,0.434,0.04,9.31,0.04,7.0,1.6,0.27,7.37,0.99,6.3,0.8,"FPOS","nan","nan","nan",0
"FSR_0063, MWSC_2855","nan","nan",273.78,-8.45,21.245,4.13,0.01,0.052,0.095,-4.25,-10.49,0.41,"nan","nan",0,3,57,136,3940.0,1.624,13.5,0.78,0.52,0.0,9.21,"nan","nan",2.34,0.68,8.88,2.09,1.77,0.41,"FPOS","nan","nan","nan",0
"FSR_0073, MWSC_2856","nan","nan",273.804,-3.925,25.267,6.237,0.012,0.06,0.115,-1.36,-7.57,0.43,"nan","nan",0,3,42,109,4429.0,1.145,13.6,0.55,0.367,0.0,9.2,"nan","nan",3.2,0.87,18.38,4.84,1.02,0.13,"FPOS","nan","nan","nan",0
"Markarian_38, MWSC_2857","nan","nan",273.87,-19.015,11.987,-0.973,0.02,0.085,0.18,-0.02,-2.21,0.68,-3.2,9.2,2,1,22,91,2318.0,0.541,12.0,0.26,0.173,0.006,6.9,"nan","nan",3.4,0.91,9.93,1.86,1.61,0.45,"COCD","nan",0.18,0.095,2
"ASCC_94, MWSC_2858","nan","nan",273.9,-14.975,15.553,0.927,0.02,0.12,0.27,1.65,-0.2,0.31,-22.8,3.15,2,4,65,249,731.0,0.25,9.4,0.12,0.08,-0.02,8.84,0.078,2.0,3.07,1.18,5.33,0.98,11.8,8.75,"COCD","nan","nan","nan",0
"NGC_6583, MWSC_2860","nan","nan",273.954,-22.133,9.281,-2.525,0.01,0.06,0.1,-4.76,0.51,0.98,3.0,0.4,2,3,13,21,1753.0,0.562,11.4,0.27,0.18,0.0,9.0,"nan","nan",0.58,0.11,3.69,0.71,56.26,6.7,"DIAS","nan",0.37,0.03,2
"ASCC_95, MWSC_2861","nan","nan",274.012,-25.705,6.154,-4.263,0.02,0.13,0.235,-1.05,-3.15,0.64,"nan","nan",0,2,22,49,1213.0,0.25,10.5,0.12,0.08,0.0,8.41,0.12,2.0,2.39,0.57,8.03,1.53,5.03,1.1,"COCD","nan","nan","nan",0
"FSR_0102, MWSC_2864","nan","nan",274.122,7.391,35.603,11.117,0.012,0.06,0.085,-1.3,-5.93,0.46,"nan","nan",0,3,29,40,2153.0,0.729,11.9,0.35,0.233,0.0,9.015,"nan","nan",0.36,0.13,6.26,2.57,13.57,5.41,"FPOS","nan","nan","nan",0
"Collinder_469, MWSC_2865","nan","nan",274.126,-18.3,12.732,-0.847,0.02,0.09,0.135,1.78,-2.03,0.47,"nan","nan",0,5,39,60,1277.0,1.145,10.899,0.55,0.367,0.0,8.0,"nan","nan",1.07,0.26,5.83,1.34,12.53,1.51,"DIAS","nan","nan","nan",0
"FSR_1757, MWSC_2869","nan","nan",274.26,-45.25,348.595,-13.299,0.01,0.055,0.1,-0.29,-1.58,0.87,"nan","nan",0,3,20,57,1397.0,0.229,10.8,0.11,0.073,0.0,8.66,"nan",1.0,0.36,0.14,5.45,2.33,10.43,4.28,"FPOS","nan","nan","nan",0
"Turner_2, MWSC_2872","nan","nan",274.23,-19.065,12.105,-1.296,0.02,0.1,0.165,2.8,1.1,0.6,-15.7,"nan",1,2,24,69,1290.0,0.458,10.7,0.22,0.147,0.0,7.9,"nan","nan",2.37,0.51,6.91,1.02,3.47,0.76,"DIAS","nan","nan","nan",0
"Trumpler_32, MWSC_2873","nan","nan",274.297,-13.33,17.184,1.37,0.05,0.16,0.37,0.64,-3.6,0.2,"nan","nan",0,26,146,382,1623.0,0.77,11.299,0.37,0.247,0.0,8.795,"nan","nan",1.56,0.19,15.21,2.01,19.49,1.55,"DIAS","nan","nan","nan",0
"NGC_6596, MWSC_2874","nan","nan",274.38,-16.65,14.299,-0.276,0.02,0.11,0.2,2.67,-2.02,0.38,"nan","nan",0,2,47,122,932.0,0.167,9.901,0.08,0.053,0.02,8.6,"nan","nan",0.76,0.21,6.56,1.88,13.87,2.19,"COCD","nan","nan","nan",0
"Turner_3, MWSC_2875","nan","nan",274.32,-19.12,12.097,-1.397,0.01,0.06,0.115,2.4,-1.43,0.6,-15.7,"nan",1,2,20,50,1392.0,0.874,11.0,0.42,0.28,0.0,7.46,"nan","nan",1.46,0.33,3.88,0.6,23.09,6.3,"DIAS","nan","nan","nan",0
"Dias_5, MWSC_2876","nan","nan",274.41,-19.66,11.662,-1.728,0.01,0.095,0.135,2.11,-4.09,0.62,-5.2,2.25,2,1,24,35,1289.0,1.083,10.9,0.52,0.347,0.0,8.1,"nan","nan",1.95,0.21,5.08,0.37,38.58,5.15,"COCD","nan","nan","nan",0
"NGC_6604, MWSC_2878","nan","nan",274.507,-12.238,18.243,1.707,0.025,0.16,0.265,-0.22,-2.7,0.23,9.6,7.05,5,4,103,260,1895.0,0.968,11.7,0.465,0.31,0.025,6.89,"nan","nan",5.17,0.45,11.93,0.64,16.86,2.04,"COCD","nan","nan","nan",0
"NGC_6603, MWSC_2883","nan","nan",274.605,-18.43,12.833,-1.308,0.012,0.07,0.14,-1.28,-2.86,1.01,21.3,0.92,4,1,14,46,2325.0,0.833,12.1,0.4,0.267,0.0,8.4,"nan","nan",1.24,0.12,9.56,0.92,19.9,1.59,"COCD","nan","nan","nan",0
"Alessi_19, MWSC_2887","nan","nan",274.782,12.195,40.31,12.629,0.03,0.245,0.48,1.04,-6.35,0.3,-5.1,1.24,3,2,65,269,550.0,0.04,8.715,0.019,0.013,0.0,7.9,"nan","nan",2.21,1.06,4.85,1.08,1.4,0.66,"COCD","nan","nan","nan",0
"FSR_0108, MWSC_2889","nan","nan",274.792,8.128,36.576,10.848,0.02,0.07,0.11,-1.73,-5.78,0.45,"nan","nan",0,5,24,55,2496.0,0.354,12.1,0.17,0.113,0.0,9.3,"nan","nan",1.0,0.41,11.23,5.0,1.36,0.49,"FPOS","nan","nan","nan",0
"FSR_0076, MWSC_2891","nan","nan",274.942,-4.215,25.541,5.097,0.01,0.065,0.1,3.45,-7.71,0.3,"nan","nan",0,6,75,171,5325.0,1.145,14.0,0.55,0.367,0.0,9.1,"nan","nan",1.7,0.56,16.74,5.79,0.94,0.26,"FPOS","nan","nan","nan",0
"ASCC_96, MWSC_2893","nan","nan",275.017,-32.36,0.632,-8.128,0.018,0.1,0.18,-1.45,-4.67,0.66,-35.0,7.4,1,2,41,138,759.0,0.15,9.449,0.072,0.048,-0.03,8.4,"nan","nan",0.37,0.15,3.24,1.35,18.92,5.83,"COCD","nan","nan","nan",0
