"Cluster","Comment"
"CWNU 136","Gold sample."
"CWNU 1362","Gold sample."
"CWNU 1372","Gold sample."
"CWNU 1374","Silver sample."
"CWNU 1375","Gold sample."
"CWNU 1376","Gold sample."
"CWNU 1378","Gold sample."
"CWNU 1379","Gold sample."
"CWNU 1382","Gold sample."
"CWNU 1383","Gold sample."
"CWNU 1384","Gold sample."
"CWNU 1387","Wood sample."
"CWNU 1388","Silver sample."
"CWNU 1389","Gold sample."
"CWNU 1390","Gold sample."
"CWNU 1392","Gold sample."
"CWNU 1394","Gold sample."
"CWNU 1397","Gold sample."
"CWNU 1398","Gold sample."
"CWNU 1399","Gold sample."
"CWNU 14","Gold sample."
"CWNU 1401","Gold sample."
"CWNU 1405","Gold sample."
"CWNU 1406","Gold sample."
"CWNU 1409","Gold sample."
"CWNU 141","Gold sample."
"CWNU 1410","Gold sample."
"CWNU 1415","Gold sample."
"CWNU 1416","Silver sample."
"CWNU 1421","Gold sample."
"CWNU 1422","Gold sample."
"CWNU 1423","Gold sample."
"CWNU 1425","Silver sample."
"CWNU 1427","Silver sample."
"CWNU 1429","Gold sample."
"CWNU 1430","Gold sample."
"CWNU 1431","Gold sample."
"CWNU 1434","Gold sample."
"CWNU 1435","Gold sample."
"CWNU 1436","Gold sample."
"CWNU 1437","Gold sample."
"CWNU 1438","Gold sample."
"CWNU 1439","Silver sample."
"CWNU 144","Gold sample."
"CWNU 1440","Gold sample."
"CWNU 1441","Gold sample."
"CWNU 1442","Gold sample."
"CWNU 1443","Gold sample."
"CWNU 1445","Gold sample."
"CWNU 1446","Gold sample."
"CWNU 1447","Gold sample."
"CWNU 1449","Gold sample."
"CWNU 1451","Gold sample."
"CWNU 1454","Gold sample."
"CWNU 1455","Gold sample."
"CWNU 1458","Gold sample."
"CWNU 1459","Gold sample."
"CWNU 1460","Gold sample."
"CWNU 1464","Gold sample."
"CWNU 1465","Gold sample."
"CWNU 1468","Silver sample."
"CWNU 147","Gold sample."
"CWNU 1470","Gold sample."
"CWNU 1471","Gold sample."
"CWNU 1473","Gold sample."
"CWNU 1478","Gold sample."
"CWNU 1479","Gold sample."
"CWNU 148","Gold sample."
"CWNU 1483","Gold sample."
"CWNU 1484","Gold sample."
"CWNU 1487","Gold sample."
