"Cluster","Comment"
"Santa 9","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 57","Present study."
"Teutsch J1820.5-0710","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 58","Present study."
"Bica 59","Present study."
"Bica 60","Present study."
"Ryu 829,Bica 61","Present study."
"Santa 10","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 62","Present study."
"Teutsch J1840.7-0853","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 63","Present study."
"NGC 6664,Collinder 385,OCL 68,Alessi 153,MWSC 2962","List of clusters and alike reported by B. Alessi."
"Bica 64","Present study."
"Streicher 72","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"HD 213793 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1827.5-0626","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 65","Present study."
"Dolidze 29,OCL 70,MWSC 2937","Analysis of Dolidze objects by M. Kronberger reported in DAML02. Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 645","Present study."
"Bica 66","Present study."
"Dolidze 29a","Analysis of Dolidze objects by M. Kronberger reported in DAML02. Web updates in DAML02, some were later removed (2003 to 2010). Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1901.4-1006","Asterisms and cluster alikes by B. Alessi reported in DAML02. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Dolidze 31,OCL 71,MWSC 2957","Web updates in DAML02, some were later removed (2003 to 2010). Analysis of Dolidze objects by M. Kronberger reported in DAML02."
"Alicante 6,MWM 58,Teutsch J1836.4-0639","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1836.9-0642","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 270","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 30,OCL 73,MWSC 2947","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 67","Present study."
"Alessi 152","List of clusters and alike reported by B. Alessi."
"Renou 11,Ferrero 41","Asterisms and cluster alikes by B. Alessi reported in DAML02. Asterisms and clusters by L. Ferrero."
