"Cluster","Comment"
"Berkeley_69","Tidal & Core radii: r_t=63+/-67.2 [pc], r_c=0.48+/-0.0 [pc]; stars within r_t: N~90"
"Berkeley_7","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.74+/-0.0 [pc]; stars within r_t: N~223"
"Berkeley_70","Tidal & Core radii: r_t=79+/-71.2 [pc], r_c=0.52+/-0.0 [pc]; stars within r_t: N~84"
"Berkeley_71","Tidal & Core radii: r_t=50+/-64.0 [pc], r_c=0.34+/-0.03 [pc]; stars within r_t: N~74"
"Berkeley_76","Tidal & Core radii: r_t=165+/-59.2 [pc], r_c=0.44+/-0.0 [pc]; stars within r_t: N~91"
"Berkeley_77","Tidal & Core radii: r_t=74+/-75.3 [pc], r_c=0.1+/-0.0 [pc]; stars within r_t: N~65"
"Berkeley_78","Tidal & Core radii: r_t=61+/-61.1 [pc], r_c=0.27+/-0.0 [pc]; stars within r_t: N~94"
"Berkeley_79","Tidal & Core radii: r_t=28+/-22.1 [pc], r_c=0.73+/-0.0 [pc]; stars within r_t: N~140"
"Berkeley_8","Tidal & Core radii: r_t=24+/-12.4 [pc], r_c=0.51+/-0.03 [pc]; stars within r_t: N~204"
"Berkeley_80","Tidal & Core radii: r_t=117+/-77.9 [pc], r_c=0.56+/-0.0 [pc]; stars within r_t: N~193"
"Berkeley_81","Tidal & Core radii: r_t=71+/-58.9 [pc], r_c=0.52+/-0.0 [pc]; stars within r_t: N~167"
"Berkeley_82","Tidal & Core radii: r_t=112+/-68.5 [pc], r_c=0.37+/-0.0 [pc]; stars within r_t: N~150"
"Berkeley_83","Tidal & Core radii: r_t=167+/-53.9 [pc], r_c=0.59+/-0.0 [pc]; stars within r_t: N~216"
"Berkeley_85","Tidal & Core radii: r_t=23+/-4.3 [pc], r_c=0.84+/-0.01 [pc]; stars within r_t: N~423"
"Berkeley_86","Tidal & Core radii: r_t=19+/-6.6 [pc], r_c=0.55+/-0.03 [pc]; stars within r_t: N~206"
"Berkeley_87","Tidal & Core radii: r_t=36+/-18.5 [pc], r_c=0.64+/-0.0 [pc]; stars within r_t: N~259"
"Berkeley_89","Tidal & Core radii: r_t=16+/-3.9 [pc], r_c=0.77+/-0.03 [pc]; stars within r_t: N~213"
"Berkeley_9","Tidal & Core radii: r_t=11+/-3.1 [pc], r_c=0.43+/-0.01 [pc]; stars within r_t: N~118"
"Berkeley_90","Tidal & Core radii: r_t=69+/-67.7 [pc], r_c=0.33+/-0.0 [pc]; stars within r_t: N~129"
"Berkeley_91","Tidal & Core radii: r_t=176+/-52.9 [pc], r_c=0.62+/-0.0 [pc]; stars within r_t: N~115"
"Berkeley_92","Tidal & Core radii: r_t=142+/-69.8 [pc], r_c=0.39+/-0.0 [pc]; stars within r_t: N~63"
"Berkeley_94","Tidal & Core radii: r_t=95+/-83.8 [pc], r_c=0.45+/-0.0 [pc]; stars within r_t: N~95"
"Berkeley_95","Tidal & Core radii: r_t=27+/-18.7 [pc], r_c=0.66+/-0.0 [pc]; stars within r_t: N~235"
