"Cluster","Comment"
"NGC_2447","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.747, Av=0.105, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2451A","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.647, Av=0.000, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star DR2 5585285049228526080=HD 61831 as a possible blue straggler; however, according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93), it is not a member. The same study considered this cluster and NGC 2451B as a single one. In this catalogue, instead, we separate both clusters."
"NGC_2451B","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.592, Av=0.208, [Fe/H]=0.000 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star DR2 5538726710386348160=HD 63465 as a possible blue straggler; however, according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93), it is not a member. The same study considered this cluster and NGC 2451A as a single one. In this catalogue, instead, we separate both clusters."
"NGC_2482","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.550, Av=0.359, [Fe/H]=-0.070 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2516","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.40, Av=0.220, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star DR2 5290767631226220032=HD 66194 -- Be Star as a blue straggler, the same star is include in our catalogue."
"NGC_2527","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.919, Av=0.195, [Fe/H]=-0.100 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star Gaia DR2 5597873113032943744= HD 67097 as a blue straggler however, according with their proper motions values this star is not a member."
"NGC_2546"," Cat. J/A+A18/A93) both are non-members.This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.962, Av=0.464, [Fe/H]=0.010 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 5541216863701067264=HD 69067 and DR2 5541472465805985024=HD 68450 as possible blue stragglers. According to Cantat-Gaudin et al. (2018A&A...618A..93C,"
"NGC_2547","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.432, Av=0.124, [Fe/H]=0.00  were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2567","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.542, Av=0.468, [Fe/H]=-0.040 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2632","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however,  parameters log(t)=8.87, Av=0.084, [Fe/H]=+0.070 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star DR2 661322060465742336 =HD 73666=40 Cancri as a blue straggler, the same star is include in our catalogue."
"NGC_2645","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.425, Av=1.292, [Fe/H]=0.000 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2660","Best fit with log(t)=9.20, Av=1 and [Fe/H]=+0.04."
"NGC_2910","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.678, Av=0.858, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2972","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.642, Av=1.198, [Fe/H]=-0.090 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=1633.3 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_3228","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.424, Av=0.131, [Fe/H]=0.010 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_3680","The parameter log(t) was selected from Smiljanic et al. (2009A&A...502..267S, Cat. J/A+A/502/267)"
"NGC_4103","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.436, Av=0.994, [Fe/H]= 0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=1660.8 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_4349","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.451, Av=1.161, [Fe/H]=-0.070 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_4439","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.778, Av=1.064, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=1657.6 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_4463","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.540, Av=1.439, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_4609","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.523, Av=1.069, [Fe/H]=0.050 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5138","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.638, Av=0.755, [Fe/H]=0.120 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5281","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.669, Av=0.816, [Fe/H]=-0.020 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5316","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.184, Av=0.772, [Fe/H]=0.130 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5460","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.110, Av=0.328, [Fe/H]=0.030 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5617","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.140, Av=1.592, [Fe/H]=-0.180 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5749","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.812, Av=1.024, [Fe/H]=0.00  were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_5822","The star DR2 5887526016720381312  with a radius ~70 arcmin is probably an outlier and not a real blue straggler."
"NGC_6087","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.046, Av=0.453, [Fe/H]=0.210 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
