"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"Alessi 72","alessi72",42.0,14.1,106.61806,-16.162,229.03575,-4.12447,0.7649,-3.0892,1.7693,36.4027,9.0,1.25,0.0,0.605,0.1061,0.67,"nan",43.0,11.0,-0.26,"nan",148.0,"nan","nan","nan","nan","BB",0.0,0.34,"n"
"Alessi 8;MWSC 2298","alessi8",54.0,13.3,232.39936,-51.2194,326.53007,4.24845,1.491,-5.942,-5.7153,-29.546,26.0,0.66,0.045,0.28,0.0942,0.62,"nan",132.0,33.0,0.035,0.078,113.0,53.0,0.51,"nan","nan","AB",0.0,0.85,"n"
"Alessi 80B","alessi80b",75.0,10.0,268.10862,-38.68981,352.33585,-6.2307,0.8102,2.9005,-1.7665,-17.98,18.0,1.165,0.0071,0.84,0.2828,1.23,"nan",24.0,8.0,-0.18,"nan",461.0,"nan","nan","nan","nan","AA",0.67,0.21,"n"
"Alessi 87","alessi87",12.0,9.2,256.24442,-51.41967,337.01034,-6.15313,0.1793,-3.8866,-6.9132,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 9;MWSC 2670;OCSN 139","alessi9",140.0,50.4,265.92615,-46.92061,344.3229,-9.07868,4.7831,9.9227,-9.0684,-6.7308,53.0,0.21,0.0087,0.22,0.1204,0.41,"nan",282.0,66.0,-0.0015,0.3642,172.0,162.0,"nan","nan","nan","AA",0.0,0.95,"n"
"Alessi 90","alessi90",59.0,7.1,86.26276,18.76388,188.63082,-5.39546,0.189,0.1621,-1.1235,31.5567,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.15,"y"
"Alessi 94;UBC 2","alessi94",64.0,37.4,5.37581,46.54422,117.57919,-16.02798,1.7824,-6.4114,-5.0942,-15.83705,30.0,0.555,0.0362,0.18,0.1118,0.57,"nan",209.0,187.0,0.077,0.1595,86.0,"nan",0.39,"nan","nan","AA",0.0,0.64,"n"
"Alessi J0601.6+3531;Alessi J0601.6+3531a","alessij06016p3531",50.0,10.0,90.35057,35.50474,176.03496,6.21862,0.5588,0.6335,-1.7445,26.3012,1.0,1.73,0.0707,1.415,0.1909,0.54,"nan",252.0,11.0,-0.155,0.3465,204.0,"nan","nan","nan","nan","AB",0.4,0.27,"n"
"Alessi J0622.4+2114","alessij06224p2114",34.0,1.6,95.59146,21.24429,190.7912,3.46142,0.3011,-0.3128,-0.1242,31.4816,1.0,3.18,0.297,1.445,0.3606,0.75,"nan",332.0,70.0,-0.2395,0.0134,194.0,"nan","nan","nan","nan","AB",0.0,0.54,"n"
"Alessi J1933.7+1147","alessij19337p1147",27.0,10.3,293.42901,11.80697,48.27401,-3.82317,1.0168,-1.3623,-6.2325,0.51,13.0,1.015,0.1061,0.185,0.1626,0.58,"nan",24.0,11.0,0.33,"nan",83.0,"nan","nan","nan","nan","AB",0.0,0.33,"n"
"Alessi J2327.0+55;Alessi J2327+55;ASCC 129;MWSC 3730;Alessi 70","alessij23270p55",24.0,6.2,352.04193,55.62093,111.29732,-5.36381,0.5285,-2.0453,-1.5596,-31.9125,1.0,1.82,0.4757,0.82,0.2644,0.49,"nan",496.0,400.0,0.52,"nan",854.0,1033.0,"nan","nan","nan","CB",0.0,0.46,"n"
"Alessi Teutsch 10","alessiteutsch10",93.0,16.8,56.43429,29.82245,162.28115,-19.40994,2.4942,2.6858,-5.239,18.5472,16.0,0.41,1.8101,1.3,0.4015,1.25,"nan",3.0,1321.0,-0.252,0.28,51.0,"nan","nan","nan","nan","AA",0.0,0.72,"n"
"Alessi Teutsch 11;ASCC 112;MWSC 3295;AT 11;Alessi 46;Alessi J2016.5+5204;FoF 2358","alessiteutsch11",293.0,18.9,304.1481,52.04745,87.4381,9.2361,1.5326,-0.119,-1.2911,-27.1726,80.0,0.63,0.0482,0.25,0.1005,0.57,"nan",141.0,39.0,0.071,0.1183,126.0,133.0,0.51,"nan","nan","AA",0.0,0.96,"n"
"Alessi Teutsch 12;ASCC 86;AT 12;Alessi J1701.7-5857;MWSC 2513","alessiteutsch12",53.0,17.3,255.37209,-58.99509,330.60604,-10.3563,1.6564,-2.2717,-8.9738,-2.7287,22.0,0.62,0.0429,0.37,0.0768,0.45,"nan",86.0,39.0,0.0,0.2261,88.0,567.0,"nan","nan","nan","AB",0.0,0.85,"n"
"Alessi Teutsch 3;ASCC 42;MWSC 1373;AT 3;Alessi 30","alessiteutsch3",115.0,18.3,118.29531,-53.02269,266.43797,-12.83218,1.4235,-5.3891,8.937,9.54475,40.0,0.69,0.0677,0.52,0.171,1.09,"nan",141.0,144.0,0.011,0.0819,209.0,95.0,0.355,0.0919,"nan","AA",0.0,0.95,"n"
"Alessi Teutsch 5;ASCC 118;AT 5;Alessi 27;MWSC 3589","alessiteutsch5",214.0,11.5,332.15201,61.10252,104.5256,4.18756,1.1154,-1.9015,-3.272,-22.7549,27.0,0.88,0.0581,1.045,0.1639,1.29,"nan",11.0,6.0,-0.1415,0.4181,269.0,151.0,"nan","nan","nan","AB",0.0,0.91,"n"
"Alessi Teutsch 7;ASCC 47;MWSC 1500;AT 7","alessiteutsch7",157.0,23.4,128.23146,-39.40973,258.62721,0.29608,1.3285,-8.1149,5.6417,28.7162,50.0,0.9,0.099,0.33,0.254,"nan","nan",76.0,39.0,"nan","nan",855.0,865.0,"nan","nan","nan","AB",0.0,0.8,"n"
"Alessi Teutsch 8;ASCC 68;MWSC 1993;AT 8;FoF 2239","alessiteutsch8",317.0,12.6,180.6626,-60.93866,297.05224,1.36668,0.9846,-6.6417,1.6658,-18.84895,102.0,0.96,0.2422,0.485,0.2074,0.78,"nan",190.0,145.0,0.25,0.1817,864.0,390.0,0.33,"nan","nan","AA",0.0,0.97,"n"
"Alessi Teutsch 9;ASCC 10;MWSC 275;AT 9","alessiteutsch9",94.0,23.0,51.82664,34.88036,155.76545,-17.84533,1.5061,-1.7798,-1.4264,-18.5307,41.0,0.67,0.0289,0.63,0.2264,1.09,"nan",376.0,166.0,0.004,0.1189,180.0,41.0,0.45,"nan","nan","AA",0.0,0.93,"n"
"Alicante 1;MWSC 323","alicante1",31.0,1.4,59.79917,57.23391,146.25963,3.12908,0.2563,-0.0687,0.3915,"nan",0.0,4.3,0.883,1.86,0.3038,"nan","nan",2.0,4.0,"nan","nan",63.0,"nan","nan","nan","nan","AB",0.0,0.61,"n"
"Alicante 10","alicante10",17.0,6.2,281.3052,-3.73918,28.89769,-0.31712,0.2895,-1.9566,-3.2824,28.26415,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"Alicante 7;RSGC 5","alicante7",15.0,5.9,281.13023,-3.49732,29.03455,-0.06138,0.3305,-1.8331,-3.0939,27.109,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"Alicante 8;RSGC 4","alicante8",22.0,7.9,278.74841,-7.19984,24.6552,0.36773,0.4582,-0.2951,-2.7246,36.348,5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.08,"y"
"Andrews Lindsay 5;MWSC 2985","andrewslindsay5",289.0,1.4,281.07764,-4.92845,27.73423,-0.66425,0.1822,-0.8796,-3.6212,67.63545,4.0,3.42,1.7879,7.49,1.5123,2.74,"nan",1.0,55.0,-0.82,"nan",1030.0,2048.0,"nan","nan","nan","AA",0.0,0.88,"n"
"Antalova 1;MWSC 2605;OCL 1027.1","antalova1",21.0,8.1,262.21585,-31.6191,355.8034,1.62036,0.646,-0.2571,-2.74,24.5737,1.0,0.985,0.2224,1.32,0.4888,0.39,"nan",305.0,128.0,-0.8025,0.2086,138.0,30.0,"nan","nan","nan","BB",0.0,0.46,"n"
"Antalova 2;MWSC 2610;OCL 1021.1","antalova2",60.0,6.7,262.48676,-32.55086,355.12976,0.87818,0.8748,2.0192,-1.5524,-13.82455,4.0,1.15,0.7169,1.59,5.1566,1.93,"nan",8.0,396.0,0.014,0.5696,152.0,29.0,0.61,"nan","nan","BB",0.0,0.73,"n"
"Antalova 3;MWSC 2613;ScoOB6;Assoc 69.1","antalova3",15.0,5.1,262.60118,-32.19424,355.50707,1.03653,0.3091,-3.4682,-5.1279,-126.0729,1.0,2.59,0.0,4.19,0.0,"nan","nan",260.0,0.0,"nan","nan",296.0,"nan","nan","nan","nan","DC",0.0,0.2,"y"
"Antalova 4;MWSC 2624","antalova4",15.0,8.0,263.22538,-32.96562,355.13997,0.146,0.392,-2.7406,-4.8898,"nan",0.0,1.8,0.0,3.1,0.0,"nan","nan",1.0,0.0,"nan","nan",337.0,"nan","nan","nan","nan","CC",0.0,0.19,"y"
"Archinal 1;MWSC 3021","archinal1",126.0,3.5,283.71294,5.5466,38.25914,1.77004,0.5236,-0.1994,-1.7344,13.4145,11.0,1.74,0.2968,4.71,0.5144,2.64,"nan",12.0,47.0,0.459,0.4822,243.0,1015.0,"nan","nan","nan","AB",0.0,0.82,"n"
"Arp Madore 2;Arp-Mado. 2;MWSC 1294;AM 2;ESO 368 07","arpmadore2",131.0,1.6,114.68607,-33.84469,248.12316,-5.88038,0.0645,-0.528,1.2631,125.1418,4.0,13.34,1.2786,1.77,0.1477,"nan","nan",2163.0,739.0,-0.33,"nan",12556.0,3897.0,0.34,"nan","nan","AC",0.0,0.64,"n"
"ASCC 1;MWSC 19","ascc1",14.0,6.7,2.45558,62.66374,118.17254,0.17754,0.2374,-2.6526,-1.1328,-77.6329,1.0,4.0,1.2829,1.01,0.5587,"nan","nan",216.0,41.0,"nan","nan",4583.0,6416.0,"nan","nan","nan","CC",0.0,0.32,"n"
"ASCC 100;MWSC 3038","ascc100",100.0,42.7,285.27152,32.95385,63.77184,12.70146,2.7984,1.9542,-3.3124,-16.067,27.0,0.35,0.0071,0.07,0.1524,0.66,"nan",89.0,28.0,0.0215,0.0544,16.0,5.0,"nan","nan","nan","AA",0.0,0.85,"n"
"ASCC 101;MWSC 3070;LeDrew 6;Alessi J1913.6+3619;OCSN 133","ascc101",196.0,32.0,288.39877,36.35633,67.99816,11.60035,2.5135,0.978,1.2311,-18.9886,69.0,0.4,0.0256,0.1,0.1427,0.38,"nan",331.0,123.0,0.004,0.1651,40.0,66.0,0.27,"nan","nan","AA",0.0,0.96,"n"
"ASCC 102;MWSC 3115","ascc102",11.0,5.0,291.17402,29.9681,63.27332,6.66431,0.1535,-2.8502,-5.3981,8.0456,1.0,1.5,0.0,0.0,0.0,"nan","nan",696.0,87.0,"nan","nan",109.0,"nan","nan","nan","nan","CC",0.0,0.25,"n"
"ASCC 104;MWSC 3147","ascc104",23.0,38.1,294.74515,18.68583,54.91077,-1.57593,2.4564,2.2791,-3.8506,-20.56235,10.0,0.8,0.1481,1.02,0.3242,0.37,"nan",51.0,25.0,"nan","nan",842.0,951.0,"nan","nan","nan","BC",0.0,0.38,"n"
"ASCC 105;MWSC 3157;FoF 2423","ascc105",149.0,20.0,295.45351,27.36637,62.7811,2.1462,1.7828,1.3829,-1.6127,-17.225,47.0,0.55,0.0639,0.39,0.1684,0.84,"nan",87.0,44.0,0.04,0.161,204.0,182.0,0.505,0.4031,"nan","AA",0.0,0.95,"n"
"ASCC 107;MWSC 3185;Teutsch J1948.5+2157","ascc107",131.0,9.6,297.12968,21.96422,58.87719,-1.88874,1.1189,-0.179,-5.1457,-7.83525,26.0,0.86,0.2749,1.37,0.5937,1.5,"nan",36.0,114.0,0.253,0.1156,210.0,157.0,0.8,"nan","nan","AB",0.0,0.9,"n"
"ASCC 108;MWSC 3201;FoF 2349","ascc108",138.0,14.1,298.34098,39.34902,74.39395,6.06287,0.8474,-0.4804,-1.7104,-5.4124,23.0,1.14,0.0406,0.45,0.2007,1.15,"nan",216.0,177.0,-0.0225,0.2551,507.0,222.0,0.485,0.1061,"nan","AB",0.0,0.9,"n"
"ASCC 109;MWSC 3202","ascc109",13.0,5.7,298.50459,34.58664,70.36705,3.52079,0.055,-2.297,-3.8686,-84.3976,1.0,0.45,0.0164,0.0,0.0,"nan","nan",168.0,39.0,"nan","nan",22.0,"nan","nan","nan","nan","BC",0.0,0.28,"n"
"ASCC 11;MWSC 284;Teutsch J0332.2+4450;FoF 2205","ascc11",355.0,14.7,53.04367,44.84841,150.54801,-9.22197,1.1706,0.9088,-3.0663,-16.5486,77.0,0.845,0.1489,0.84,0.1967,1.0,"nan",270.0,132.0,-0.0555,0.2972,608.0,311.0,0.48,0.0283,"nan","AA",0.0,0.97,"n"
"ASCC 110;MWSC 3234","ascc110",54.0,6.0,300.71613,33.52236,70.39767,1.38,0.5042,0.2868,-3.1649,-2.1501,11.0,1.58,0.4947,0.85,0.403,1.36,"nan",562.0,185.0,0.172,0.035,204.0,184.0,"nan","nan","nan","AB",0.0,0.83,"n"
"ASCC 111;MWSC 3274","ascc111",71.0,11.6,302.94125,37.51617,74.73619,2.02543,1.166,-1.1453,-1.5723,-22.70125,20.0,0.85,0.3539,0.71,0.2133,1.27,"nan",95.0,152.0,0.081,0.1029,4202.0,12868.0,0.46,"nan","nan","AA",0.0,0.92,"n"
"ASCC 113;MWSC 3480;FoF 2406","ascc113",423.0,35.0,317.98462,38.68056,82.96257,-6.57695,1.767,0.823,-3.7099,-5.55865,168.0,0.56,0.0451,0.12,0.1399,0.48,"nan",138.0,124.0,0.0,0.1919,413.0,235.0,0.4,0.0141,"nan","AA",0.0,0.97,"n"
"ASCC 114;MWSC 3542;FoF 2248","ascc114",204.0,11.4,324.98983,53.97466,97.09286,1.02298,1.0687,-3.7154,-3.4622,-21.6254,34.0,0.89,0.1688,0.92,0.1782,1.7,"nan",56.0,20.0,0.034,0.1121,429.0,292.0,0.68,"nan","nan","AA",0.0,0.96,"n"
"ASCC 115;MWSC 3575","ascc115",101.0,17.9,329.26413,51.52514,97.50846,-2.48871,1.295,-0.5501,-0.6539,-15.5155,23.0,0.735,0.0619,0.72,0.226,0.9,"nan",224.0,101.0,0.05,0.0679,102.0,76.0,0.58,"nan","nan","AB",0.0,0.9,"n"
"ASCC 116;MWSC 3576","ascc116",17.0,4.7,329.66998,54.49511,99.51255,-0.33107,0.1936,-2.8745,-2.5125,"nan",0.0,5.0,1.8708,1.58,0.0,"nan","nan",50.0,42.0,-0.13,"nan",8532.0,11951.0,"nan","nan","nan","DB",0.0,0.34,"n"
"ASCC 117;MWSC 3584","ascc117",16.0,6.8,331.30403,62.29547,104.88773,5.37457,0.19,-3.1023,-2.0117,-99.2491,1.0,1.2,0.1553,0.93,0.2085,"nan","nan",5.0,2.0,"nan","nan",832.0,1210.0,"nan","nan","nan","DC",0.0,0.31,"n"
"ASCC 119;MWSC 3614","ascc119",155.0,6.5,334.72902,46.89565,97.67846,-8.36648,0.1928,-3.0944,-2.9937,-50.7637,10.0,1.1,0.1095,0.31,0.0,"nan","nan",618.0,31.0,"nan","nan",104.0,"nan","nan","nan","nan","AC",0.0,0.56,"n"
"ASCC 12;MWSC 427;FoF 2323","ascc12",114.0,10.2,72.39639,41.74303,162.98393,-1.89819,0.9443,-0.684,-2.9429,-26.17685,16.0,1.005,0.2386,0.705,0.2777,0.83,"nan",263.0,124.0,-0.113,0.254,346.0,172.0,0.45,"nan","nan","AB",0.0,0.9,"n"
"ASCC 120;MWSC 3631","ascc120",14.0,7.4,337.63085,57.22617,104.75334,-0.58276,0.2378,-0.7559,-1.9657,"nan",0.0,2.5,0.5345,1.985,0.0712,"nan","nan",18.0,7.0,"nan","nan",7030.0,9581.0,"nan","nan","nan","DD",0.0,0.27,"n"
"ASCC 121;MWSC 3632","ascc121",16.0,8.5,337.72872,54.85292,103.60535,-2.64391,0.2946,-3.3832,-3.4069,-52.26905,2.0,2.5,0.1069,1.165,0.2574,"nan","nan",28.0,27.0,"nan","nan",3468.0,2866.0,"nan","nan","nan","DC",0.0,0.29,"n"
"ASCC 122;MWSC 3637","ascc122",23.0,6.4,338.32071,39.62034,95.8941,-15.90579,0.1866,-2.9508,-3.1363,"nan",0.0,0.7,0.0,0.31,0.0,"nan","nan",10.0,0.0,"nan","nan",2818.0,"nan","nan","nan","nan","CC",0.0,0.23,"y"
"ASCC 123;MWSC 3654;OCSN 134","ascc123",87.0,65.2,340.05975,54.11341,104.12158,-3.98774,4.2998,12.249,-1.4818,-4.9915,29.0,0.235,0.019,0.31,0.1812,"nan","nan",73.0,95.0,-0.007,0.048,256.0,300.0,"nan","nan","nan","AA",0.0,0.92,"n"
"ASCC 125;FSR 0409;MWSC 3677","ascc125",367.0,3.8,344.11189,62.71081,110.17783,2.71969,1.1874,-0.5391,-2.1795,-24.59855,14.0,1.5,0.2685,2.585,0.6616,2.45,"nan",10.0,3.0,-0.265,0.6859,4913.0,15698.0,0.52,"nan","nan","AB",0.0,0.78,"n"
"ASCC 126;MWSC 3699","ascc126",20.0,6.2,346.48462,51.07221,106.54534,-8.40247,0.1708,-2.6634,-2.2448,-57.6735,1.0,0.8,0.0535,0.31,0.0,"nan","nan",23.0,5.0,"nan","nan",208.0,164.0,"nan","nan","nan","CC",0.0,0.32,"n"
"ASCC 127;MWSC 3704;OCSN 135","ascc127",253.0,40.3,347.18543,65.1229,112.40807,4.3216,2.6554,7.4727,-1.7821,-13.6562,55.0,0.365,0.0285,0.43,0.2719,0.67,"nan",21.0,22.0,0.152,0.2016,164.0,72.0,0.28,0.198,"nan","AA",0.0,0.96,"n"
"ASCC 128;MWSC 3720","ascc128",89.0,26.8,349.96823,54.43934,109.82976,-6.07816,1.5233,1.2356,0.1548,-14.83535,44.0,0.67,0.1199,0.45,0.128,0.56,"nan",275.0,74.0,0.0,0.2007,152.0,172.0,0.52,"nan","nan","AA",0.0,0.87,"n"
"ASCC 13;MWSC 486","ascc13",72.0,12.0,78.2074,44.37699,163.5269,3.06164,0.8948,-0.5318,-1.7971,-17.95835,8.0,1.07,0.1401,0.65,0.1143,0.67,"nan",51.0,23.0,-0.0975,0.1379,713.0,2249.0,0.62,"nan","nan","AB",0.0,0.86,"n"
"ASCC 130;MWSC 3768","ascc130",21.0,5.3,358.22834,62.44636,116.21979,0.33851,0.3112,-3.2329,-1.3205,-68.141,3.0,3.45,0.0548,1.735,0.1369,"nan","nan",17.0,3.0,"nan","nan",349.0,"nan","nan","nan","nan","DC",0.0,0.28,"n"
"ASCC 14;MWSC 507","ascc14",25.0,15.9,80.09074,35.21717,171.81071,-0.95634,0.9212,-0.588,-3.6474,-7.47685,2.0,1.1,0.0439,0.68,0.2849,0.83,"nan",339.0,143.0,-0.055,0.1732,78.0,105.0,"nan","nan","nan","BC",0.0,0.49,"n"
"ASCC 15;MWSC 514","ascc15",15.0,7.4,80.70281,36.53232,170.99978,0.11096,0.3284,0.0157,-1.6145,22.76555,2.0,1.4,0.0,1.04,0.1862,"nan","nan",484.0,46.0,0.26,"nan",48.0,"nan","nan","nan","nan","DC",0.0,0.26,"n"
"ASCC 16;MWSC 531;FoF 2367;OCSN 127","ascc16",560.0,34.4,81.22672,1.64872,201.16582,-18.34141,2.8724,1.3894,-0.093,18.2987,161.0,0.35,0.0502,0.14,0.0902,"nan","nan",11.0,3.0,-0.0455,0.1552,173.0,339.0,0.43,0.0283,"nan","AA",0.0,1.0,"n"
"ASCC 17;MWSC 534","ascc17",15.0,5.1,81.32753,30.11644,176.62694,-3.0691,0.2266,0.099,-0.3643,12.56755,2.0,2.0,0.0802,1.07,0.0876,"nan","nan",16.0,3.0,"nan","nan",1391.0,1505.0,"nan","nan","nan","DC",0.0,0.3,"n"
"ASCC 18;MWSC 541","ascc18",87.0,31.5,81.52625,0.32097,202.48723,-18.71479,2.3996,0.1535,1.3918,25.2069,25.0,0.4,0.0858,0.19,0.084,0.76,"nan",13.0,3.0,0.063,0.1488,262.0,356.0,"nan","nan","nan","AA",0.0,0.84,"n"
"ASCC 19;MWSC 547;FoF 2372;OCSN 128","ascc19",279.0,33.6,82.05191,-1.95856,204.89749,-19.34797,2.797,1.1478,-1.2183,19.2844,73.0,0.35,0.0236,0.16,0.1282,0.52,"nan",14.0,14.0,0.0,0.165,162.0,119.0,"nan","nan","nan","AA",0.0,0.96,"n"
"ASCC 2;MWSC 31","ascc2",38.0,7.3,4.86942,55.6748,118.41037,-6.9125,0.1406,-1.9544,-0.7708,"nan",0.0,1.75,0.6025,0.93,0.6792,"nan","nan",741.0,35.0,"nan","nan",632.0,"nan","nan","nan","nan","CC",0.0,0.35,"n"
"ASCC 20;MWSC 556","ascc20",244.0,46.4,82.08035,1.65616,201.58012,-17.61769,2.75,-0.5556,0.7782,29.18791,65.0,0.42,0.04,0.12,0.1507,0.47,"nan",18.0,6.0,0.03,0.0153,649.0,442.0,"nan","nan","nan","AA",0.0,0.86,"n"
"ASCC 21;OCSN 129","ascc21",154.0,28.1,82.22855,3.54524,199.94464,-16.60319,2.893,1.4558,-0.6134,15.4947,55.0,0.345,0.0699,0.15,0.1387,0.7,"nan",11.0,2.0,-0.008,0.109,367.0,415.0,0.27,"nan","nan","AA",0.0,0.95,"n"
"ASCC 23;FSR 0746;KPR2005 23;MWSC 839;Ferrero 16;FoF 2366","ascc23",167.0,16.2,95.00838,46.71011,167.46846,14.40928,1.6138,1.0653,-0.6049,-12.1127,67.0,0.6,0.0131,0.31,0.0839,0.67,"nan",296.0,76.0,0.0125,0.1143,245.0,96.0,0.52,"nan","nan","AA",0.0,0.96,"n"
"ASCC 24;Alessi 47;MWSC 875","ascc24",24.0,39.9,97.3507,-7.03467,216.67253,-8.19808,4.774,-7.3777,-2.8569,18.7366,7.0,0.4,0.1011,0.43,0.1886,0.48,"nan",9.0,11.0,-0.49,"nan",40.0,"nan","nan","nan","nan","AB",0.0,0.53,"n"
"ASCC 25;MWSC 977","ascc25",21.0,7.9,101.36016,24.62517,190.15929,9.70455,0.2641,-0.8263,-1.9511,56.7733,1.0,1.4,0.3047,0.5,0.2903,"nan","nan",724.0,286.0,"nan","nan",293.0,105.0,"nan","nan","nan","DC",0.0,0.28,"n"
"ASCC 26;MWSC 995","ascc26",13.0,8.7,102.59427,7.24498,206.36064,3.0487,0.2945,-0.3384,-0.4651,"nan",0.0,0.8,0.093,0.4,0.0,"nan","nan",123.0,10.0,"nan","nan",25.0,6.0,"nan","nan","nan","DC",0.0,0.27,"n"
"ASCC 27;MWSC 1009","ascc27",38.0,4.8,103.5022,-4.50412,217.24839,-1.48298,0.2845,-0.7075,0.6234,"nan",0.0,1.2,0.9642,0.28,1.3716,2.46,"nan",501.0,207.0,0.73,"nan",383.0,413.0,"nan","nan","nan","AB",0.0,0.55,"n"
"ASCC 28;MWSC 1011","ascc28",23.0,19.9,103.4783,-0.19505,213.38113,0.46268,0.9222,-2.5812,-2.4089,40.1225,9.0,0.875,0.1118,0.19,0.1472,0.45,"nan",219.0,88.0,-0.1445,0.0064,92.0,84.0,"nan","nan","nan","BC",0.0,0.41,"n"
"ASCC 29;MWSC 1013","ascc29",79.0,9.9,103.54866,-1.66833,214.72299,-0.13427,0.9634,-0.9867,-1.0272,17.232,17.0,0.99,0.1215,0.215,0.1031,0.4,"nan",115.0,21.0,-0.0865,0.1078,132.0,80.0,0.42,"nan","nan","AB",0.0,0.88,"n"
"ASCC 3;MWSC 54","ascc3",19.0,6.1,7.76218,55.28605,120.00871,-7.46768,0.2358,-2.4421,-0.9599,-74.2747,3.0,1.7,0.0,0.53,0.0,"nan","nan",79.0,0.0,"nan","nan",617.0,"nan","nan","nan","nan","DC",0.0,0.21,"y"
"ASCC 30;MWSC 1028;Alessi 35","ascc30",52.0,11.3,104.25436,-6.20484,219.10208,-1.59699,0.902,-1.5871,-0.1588,20.2034,19.0,1.06,0.1377,0.46,0.1158,0.9,"nan",176.0,65.0,-0.033,0.21,182.0,127.0,0.42,"nan","nan","AB",0.0,0.81,"n"
"ASCC 31;MWSC 1066","ascc31",18.0,7.8,105.30213,3.53019,210.88845,3.78058,0.3292,-1.0165,-0.6683,56.2732,1.0,0.6,0.0822,0.46,0.0767,"nan","nan",339.0,96.0,"nan","nan",38.0,"nan","nan","nan","nan","DC",0.0,0.24,"n"
"ASCC 33;MWSC 1077","ascc33",24.0,55.6,105.20385,-24.44249,235.94412,-8.95944,2.3205,-9.8866,1.1917,17.2815,9.0,0.8,0.1963,0.16,0.1431,0.37,"nan",18.0,80.0,-0.018,0.2093,7762.0,"nan","nan","nan","nan","CC",0.0,0.29,"n"
"ASCC 34;MWSC 1134","ascc34",19.0,8.2,107.60967,6.07137,209.64385,6.93342,0.2056,-0.8846,-0.1337,59.4005,4.0,0.55,0.0383,0.12,0.0274,"nan","nan",347.0,9.0,"nan","nan",6.0,"nan","nan","nan","nan","DC",0.0,0.23,"n"
"ASCC 35;MWSC 1141","ascc35",24.0,7.6,108.10754,2.08417,213.45431,5.63105,0.2496,-0.5516,-0.8958,70.11145,2.0,0.8,0.0055,0.19,0.0,"nan","nan",306.0,4.0,"nan","nan",39.0,"nan","nan","nan","nan","DC",0.0,0.24,"n"
"ASCC 36;MWSC 1151","ascc36",23.0,12.7,108.68752,-21.0539,234.27473,-4.57334,1.01,-2.2513,1.972,18.79045,4.0,0.81,0.0981,0.0,0.1371,0.37,"nan",214.0,92.0,-0.29,"nan",56.0,15.0,"nan","nan","nan","DC",0.0,0.35,"n"
"ASCC 37;MWSC 1169","ascc37",23.0,4.0,109.54398,-24.47482,237.69919,-5.43622,0.1728,-1.1556,2.486,"nan",0.0,1.6,0.0164,0.0,0.2136,"nan","nan",537.0,0.0,"nan","nan",88.0,"nan","nan","nan","nan","BC",0.0,0.3,"n"
"ASCC 38;MWSC 1227","ascc38",17.0,6.5,111.78108,-5.5493,221.9827,5.32665,0.2937,-2.0191,0.8218,84.00105,2.0,0.5,0.0383,0.22,0.0,"nan","nan",398.0,0.0,"nan","nan",14.0,"nan","nan","nan","nan","DC",0.0,0.24,"n"
"ASCC 39;MWSC 1261","ascc39",19.0,7.5,113.22726,-22.96071,237.94652,-1.71754,0.2898,-2.4273,3.1781,70.7094,1.0,1.5,0.0602,0.0,0.3505,"nan","nan",513.0,0.0,"nan","nan",415.0,"nan","nan","nan","nan","DC",0.0,0.24,"n"
"ASCC 4;MWSC 87","ascc4",18.0,6.1,13.24529,61.61994,123.11668,-1.25077,0.3123,-2.4144,-0.7009,-79.9802,1.0,0.75,0.1069,0.855,0.0822,"nan","nan",333.0,122.0,"nan","nan",312.0,431.0,"nan","nan","nan","CC",0.0,0.33,"n"
"ASCC 40;MWSC 1266","ascc40",26.0,9.1,113.4304,-13.7651,230.0258,2.85558,0.1816,-1.3784,1.7414,95.0952,4.0,0.7,1.32,0.34,0.5203,"nan","nan",506.0,137.0,"nan","nan",630.0,"nan","nan","nan","nan","AC",0.0,0.38,"n"
"ASCC 43;MWSC 1374","ascc43",16.0,7.4,118.25171,-28.17901,244.73748,-0.39977,0.295,-4.104,4.2988,"nan",0.0,1.0,0.0,0.31,0.0657,"nan","nan",191.0,14.0,"nan","nan",400.0,458.0,"nan","nan","nan","DD",0.0,0.25,"n"
