"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"Alessi 19;MWSC 2887;LeDrew 5","alessi19",114.0,25.3,274.7749,12.22846,40.34158,12.68326,1.7075,-0.9868,-7.1072,-8.352,33.0,0.57,0.0307,0.14,0.1492,0.95,"nan",79.0,39.0,0.0645,0.0794,159.0,550.0,"nan","nan","nan","AA",0.0,0.95,"n"
"Alessi 190;UBC 5","alessi190",156.0,17.5,238.65413,-47.68976,331.86909,4.62735,1.7615,-6.6368,-4.167,-18.6994,53.0,0.55,0.0157,0.835,0.3942,1.64,"nan",209.0,113.0,0.037,0.12,229.0,"nan","nan","nan","nan","AA",0.0,0.81,"n"
"Alessi 191","alessi191",28.0,9.5,282.1261,22.04501,52.45839,10.46559,0.978,-1.046,2.9865,-9.2506,12.0,1.015,0.0495,0.705,0.3606,0.68,"nan",673.0,402.0,-0.06,"nan","nan","nan","nan","nan","nan","AB",0.0,0.35,"n"
"Alessi 1910.1+0509","alessi19101p0509",13.0,7.5,287.49479,5.20515,39.67514,-1.74766,0.2452,-3.512,-6.9498,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"Alessi 192","alessi192",14.0,7.1,112.97635,-20.34208,235.55965,-0.69328,0.2237,-1.0777,2.4536,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 2;MWSC 419;LeDrew 4","alessi2",287.0,27.3,71.60742,55.18122,152.36033,6.36548,1.6148,-0.9154,-1.0954,-10.4424,87.0,0.59,0.0582,0.56,0.1688,0.75,"nan",396.0,137.0,0.0,0.1174,173.0,169.0,0.54,"nan","nan","AA",0.0,0.96,"n"
"Alessi 20;MWSC 23;FoF 2409;OCSN 141","alessi20",305.0,23.6,2.54114,58.71026,117.59104,-3.72461,2.3292,8.1348,-2.4293,-10.20815,58.0,0.44,0.0664,0.9,0.2556,1.51,"nan",10.0,55.0,-0.152,0.1727,55.0,73.0,"nan","nan","nan","AA",0.0,0.97,"n"
"Alessi 21;MWSC 1137;FoF 2410;CMa00","alessi21",476.0,33.2,107.6634,-9.39962,223.46783,-0.05412,1.7406,-5.486,2.6256,38.3213,121.0,0.57,0.0633,0.26,0.0693,0.75,"nan",59.0,22.0,0.0,0.1737,279.0,144.0,0.48,0.0707,"nan","AA",0.0,0.98,"n"
"Alessi 22","alessi22",26.0,61.1,357.19612,36.23966,109.02702,-24.98909,2.8078,-4.409,-13.0674,-7.1609,19.0,0.345,0.0071,0.475,0.2475,0.66,"nan",610.0,86.0,-0.053,0.0732,"nan","nan","nan","nan","nan","AB",0.0,0.38,"n"
"Alessi 24;ASCC 89;MWSC 2582;FoF 2389;OCSN 142","alessi24",350.0,24.1,260.77792,-62.71812,328.96302,-14.58839,2.0584,-0.4512,-8.9762,9.2235,68.0,0.5,0.0424,0.31,0.0935,0.53,"nan",71.0,82.0,0.022,0.1585,628.0,1160.0,0.14,"nan","nan","AA",0.0,0.97,"n"
"Alessi 3;MWSC 1157;FoF 2434;OCSN 137","alessi3",268.0,65.1,109.16921,-46.2555,257.60637,-15.19546,3.5726,-9.8173,11.954,0.4505,109.0,0.29,0.032,0.31,0.1304,0.43,"nan",723.0,150.0,-0.0005,0.2579,44.0,61.0,0.53,"nan","nan","AA",0.0,0.96,"n"
"Alessi 31;ASCC 92;MWSC 2723;FoF 2356","alessi31",175.0,15.6,267.71548,-11.83719,15.36363,7.71988,1.4762,-1.1471,-4.1716,2.9395,57.0,0.65,0.3518,1.75,0.7995,2.5,"nan",251.0,476.0,0.285,0.4309,464.0,282.0,0.47,"nan","nan","AA",0.0,0.96,"n"
"Alessi 33;ASCC 32;MWSC 1069;FoF 2271","alessi33",210.0,18.7,105.74438,-26.4765,237.96376,-9.3841,1.2524,-3.2276,3.5024,33.0963,73.0,0.79,0.0263,0.24,0.0692,0.73,"nan",27.0,68.0,-0.003,0.2815,380.0,793.0,0.36,"nan","0.0","AA",0.0,0.96,"n"
"Alessi 34;ASCC 44;MWSC 1414","alessi34",347.0,38.3,120.09944,-50.64351,264.87776,-10.72972,2.0734,-5.1938,5.722,11.158,74.0,0.91,0.2904,0.56,0.1578,1.09,"nan",78.0,48.0,0.09,"nan",908.0,1240.0,"nan","nan","nan","AA",0.0,0.9,"n"
"Alessi 36","alessi36",230.0,34.3,106.61034,-37.64441,248.65066,-13.42604,3.6053,-9.6624,7.0815,15.3553,50.0,0.28,0.0,0.38,0.3394,0.58,"nan",25.0,6.0,-0.03,"nan",100.0,"nan","nan","nan","nan","AA",0.54,0.31,"n"
"Alessi 37;ASCC 124;MWSC 3663","alessi37",129.0,16.5,341.95766,46.31403,101.70745,-11.39381,1.4134,0.3525,-1.6591,-15.267,52.0,0.7,0.1045,0.54,0.157,1.15,"nan",182.0,79.0,0.0305,0.123,309.0,158.0,0.355,0.2333,"nan","AA",0.0,0.95,"n"
"Alessi 4;MWSC 1786","alessi4",22.0,6.1,154.07485,-34.32385,269.89588,18.41168,0.4147,-7.23,4.2609,-0.4933,1.0,2.34,0.0,1.48,0.0,"nan","nan",355.0,0.0,"nan","nan",307.0,"nan","nan","nan","nan","DD",0.0,0.15,"y"
"Alessi 40;ASCC 97;MWSC 2963;FoF 2405","alessi40",175.0,21.0,279.28547,-19.17194,14.2561,-5.5758,1.7365,-2.401,-6.4483,-3.7065,72.0,0.59,0.2179,1.35,0.1237,1.58,"nan",84.0,57.0,0.129,0.1713,318.0,387.0,0.47,0.0566,"nan","AA",0.0,0.96,"n"
"Alessi 43;ASCC 50;MWSC 1579;FoF 2234","alessi43",462.0,12.8,132.61471,-41.72445,262.53106,1.49389,1.0466,-5.5426,3.9224,20.54115,34.0,0.9,0.0792,0.91,0.315,2.34,"nan",11.0,28.0,-0.0755,0.6492,596.0,236.0,0.28,"nan","nan","AA",0.0,0.98,"n"
