"fname","plot_used","process","N_clust","N_clust_max","N_box","frame_limit","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","e_Plx_m","pmRA_m","e_pmRA_m","pmDE_m","e_pmDE_m","Rv_m","e_Rv_m","N_Rv","X_GC","Y_GC","Z_GC","R_GC","shared_members","shared_members_p","C_N","C_dens","C_C3","C_lit","C_dup","C_dup_same_db","UTI","bad_oc"
"loden682","y","n","nan","nan","nan","nan",6.8,0.08,0.35,"DC",15.0,302.38613,2.2203,191.74808,-60.64535,0.2028,0.0993,-7.0954,0.0848,-0.7323,0.0962,-30.6394,2.9111,2.0,-5.7193,-3.7873,0.1886,6.8622,"nan","nan",0.0,0.03,0.12,0.5,1.0,1.0,0.23,"n"
"loden694","y","n","nan","nan","nan","nan",5.3,0.15,0.51,"DC",15.0,303.13879,2.1029,193.28294,-60.76768,0.2302,0.0869,-5.9525,0.0719,-0.1729,0.0845,-35.1763,4.1865,1.0,-5.9381,-3.3445,0.1619,6.8171,"nan","nan",0.0,0.07,0.12,0.38,1.0,1.0,0.19,"y"
"loden757","y","n","nan","nan","nan","nan",6.4,0.25,0.52,"CC",36.0,305.06904,-2.51051,197.99844,-65.29196,0.2401,0.06695,-7.933,0.05695,-0.6494,0.0723,-26.8557,9.8445,1.0,-5.9149,-3.1433,-0.153,6.7,"nan","nan",0.36,0.12,0.25,0.31,1.0,1.0,0.27,"y"
"loden807","y","n","nan","nan","nan","nan",4.5,0.59,0.61,"CC",30.0,306.73987,0.11284,201.14876,-62.51922,0.3103,0.06915,-8.0011,0.0588,-2.0889,0.07315,5.7464,3.9165,5.0,-6.3107,-2.4259,0.0218,6.7609,"nan","nan",0.3,0.34,0.25,0.5,1.0,1.0,0.38,"n"
"loden821","y","n","nan","nan","nan","nan",5.8,0.79,0.54,"CB",17.0,307.05015,2.82772,201.06676,-59.79539,0.1893,0.0923,-5.9067,0.0734,-1.1486,0.0889,"nan","nan",0.0,-5.2458,-3.8084,0.2479,6.4872,"nan","nan",0.0,0.04,0.38,0.5,1.0,1.0,0.28,"y"
"loden848","y","n","nan","nan","nan","nan",5.9,0.11,0.52,"CB",12.0,307.49888,-2.06424,203.52824,-64.55278,0.1926,0.0598,-7.4486,0.0445,-2.1612,0.0705,-10.0158,3.2378,1.0,-5.261,-3.7294,-0.1556,6.4507,"nan","nan",0.0,0.03,0.38,0.38,1.0,1.0,0.23,"y"
"loden89","y","n","nan","nan","nan","nan",3.6,0.23,0.42,"DC",21.0,284.38311,0.86742,157.32681,-56.7959,0.2678,0.0682,-6.125,0.0772,3.2641,0.073,17.9975,2.4742,1.0,-7.2595,-3.3655,0.071,8.002,"nan","nan",0.0,0.27,0.12,0.44,1.0,1.0,0.25,"y"
"loden894","y","n","nan","nan","nan","nan",7.2,0.63,0.37,"DC",14.0,308.14848,-1.93189,204.9815,-64.31543,0.1498,0.0744,-7.9396,0.0643,-1.016,0.0833,-32.0898,4.00965,2.0,-4.4861,-4.6282,-0.1875,6.4483,"nan","nan",0.0,0.01,0.12,0.0,1.0,1.0,0.03,"y"
"loden915","y","n","nan","nan","nan","nan",13.4,0.72,0.27,"BC",21.0,308.30715,3.15776,203.42719,-59.27955,1.322,0.2556,-8.8583,0.1716,-4.1945,0.1832,-20.2008,2.9289,6.0,-7.6606,-0.5838,0.0606,7.683,"nan","nan",0.0,0.48,0.38,0.62,1.0,1.0,0.42,"n"
"loden991","y","n","nan","nan","nan","nan",4.2,0.5,0.58,"AA",19.0,309.13629,0.17491,206.22027,-62.06553,0.2978,0.0543,-6.3941,0.0377,-1.7676,0.0409,21.2031,7.1326,1.0,-6.1355,-2.4403,0.0245,6.603,"cwnu1606","64.0",0.0,0.23,1.0,0.31,1.0,1.0,0.37,"n"
"loden995","y","n","nan","nan","nan","nan",4.1,0.8,0.56,"DA",28.0,309.66432,-2.90654,208.91304,-64.94686,0.9648,0.0254,-6.3496,0.02005,-4.0264,0.0219,-4.96585,5.67125,6.0,-7.4748,-0.7807,-0.0326,7.5155,"nan","nan",0.28,1.0,0.5,0.75,1.0,1.0,0.66,"n"
"loiano1","y","n","nan","nan","nan","nan",6.5,0.14,0.37,"DC",14.0,69.02734,1.71613,299.56375,32.52621,0.2118,0.0768,-2.4478,0.0708,-4.4323,0.083,-49.8514,4.7068,1.0,-6.579,4.0268,0.1441,7.7149,"nan","nan",0.0,0.04,0.12,0.0,1.0,1.0,0.03,"y"
"lp01","y","n","nan","nan","nan","nan",5.1,0.21,0.23,"CC",18.0,127.10616,-4.20045,20.81667,58.40914,0.2965,0.0666,-2.2124,0.0473,0.2983,0.0626,-44.6118,1.3073,3.0,-10.0234,2.5132,-0.206,10.3357,"nan","nan",0.0,0.14,0.25,0.0,1.0,1.0,0.08,"y"
"lp02","y","n","nan","nan","nan","nan",8.5,0.39,0.4,"BC",59.0,130.96609,0.46803,30.30835,62.24933,0.2818,0.0594,-0.7722,0.0407,-0.2788,0.0473,-45.7449,1.9463,1.0,-10.2938,2.5022,0.0536,10.5937,"nan","nan",0.55,0.15,0.38,0.0,1.0,1.0,0.21,"y"
"lp04","y","n","nan","nan","nan","nan",7.9,0.71,0.36,"DC",12.0,146.73991,-3.70395,53.14261,51.54948,0.3137,0.11,0.1141,0.1052,-1.2599,0.098,-26.1679,1.3527,3.0,-10.6216,1.6421,-0.1678,10.7491,"nan","nan",0.0,0.04,0.12,0.0,1.0,1.0,0.03,"y"
"lp05","y","n","nan","nan","nan","nan",6.9,0.08,0.32,"DC",20.0,145.83204,-3.2141,52.50804,52.46309,0.344,0.0792,-0.7921,0.078,-0.6971,0.0841,-42.61575,6.128,4.0,-10.3923,1.5399,-0.1271,10.5065,"nan","nan",0.0,0.12,0.12,0.0,1.0,1.0,0.05,"y"
"lp06","y","n","nan","nan","nan","nan",6.0,0.47,0.43,"BC",51.0,134.73905,0.26145,37.68569,60.83672,0.2557,0.1101,-1.0448,0.1024,0.1777,0.1078,-99.411,2.7274,2.0,-10.6749,2.5764,0.0439,10.9815,"nan","nan",0.5,0.22,0.38,0.0,1.0,1.0,0.22,"y"
"lp07","y","n","nan","nan","nan","nan",8.3,0.99,0.56,"CC",15.0,134.8157,1.28714,38.61923,61.75568,0.2826,0.0802,-1.0882,0.0812,-0.5506,0.0754,"nan","nan",0.0,-10.4499,2.3442,0.1007,10.7101,"nan","nan",0.0,0.04,0.25,0.0,1.0,1.0,0.06,"y"
"lp08","y","n","nan","nan","nan","nan",4.1,0.73,0.45,"DC",22.0,136.96147,0.92997,42.38915,60.56244,0.3676,0.0735,-1.03,0.0704,-0.4222,0.0627,"nan","nan",0.0,-10.007,1.7609,0.0683,10.161,"nan","nan",0.0,0.42,0.12,0.0,1.0,1.0,0.11,"y"
"lp09","y","n","nan","nan","nan","nan",3.8,0.99,0.49,"AB",78.0,137.17994,0.92037,42.79549,60.43744,0.4472,0.0407,-0.55,0.0369,-0.4519,0.03635,-27.9186,6.1378,3.0,-9.692,1.4546,0.0593,9.8007,"ic1848;fsr0608","88.5;17.9",0.64,1.0,0.75,0.0,0.12,1.0,0.05,"n"
"lp10","y","n","nan","nan","nan","nan",3.2,1.0,0.49,"AB",110.0,137.41464,1.28097,43.5341,60.65353,0.4417,0.1004,-0.084,0.09425,-0.253,0.08685,-43.0492,5.5759,2.0,-9.7161,1.4653,0.0732,9.8263,"sai23;oc0255","80.0;22.7",0.75,1.0,0.75,0.0,0.2,1.0,0.1,"n"
"lp11","y","n","nan","nan","nan","nan",8.1,0.23,0.36,"BC",41.0,152.16337,-1.45069,62.13779,49.89336,0.2794,0.1156,0.6514,0.1216,-1.2684,0.0923,-14.1851,2.6576,5.0,-11.0749,1.5589,-0.0561,11.1842,"nan","nan",0.41,0.12,0.38,0.0,1.0,1.0,0.18,"y"
"lp12","y","n","nan","nan","nan","nan",4.4,0.75,0.38,"CC",42.0,154.02427,1.8854,67.86597,50.95562,0.2699,0.10605,-0.203,0.1164,-1.2747,0.08815,-43.10275,2.23035,2.0,-11.2208,1.5104,0.1413,11.3229,"nan","nan",0.42,0.37,0.25,0.0,1.0,1.0,0.21,"y"
"lp13","y","n","nan","nan","nan","nan",6.3,0.97,0.45,"AC",22.0,179.91609,-16.90461,71.08007,19.30671,1.7127,0.0286,-1.1204,0.0351,-1.4164,0.0241,-5.0998,6.7315,13.0,-8.6745,0.0006,-0.1461,8.6757,"melotte26","100.0",0.0,1.0,0.62,0.0,0.0,1.0,0.0,"n"
"lp14","y","n","nan","nan","nan","nan",9.2,0.89,0.67,"DC",20.0,112.70628,0.93838,350.64899,62.03217,0.3312,0.0604,-4.3265,0.0696,-1.3677,0.0652,-89.0197,3.2881,1.0,-9.2214,2.6261,0.0701,9.5883,"nan","nan",0.0,0.06,0.12,0.0,1.0,1.0,0.04,"y"
"lp15","y","n","nan","nan","nan","nan",5.3,0.18,0.57,"AC",24.0,188.05672,-21.05897,72.35828,10.70621,2.459,0.0229,-1.1344,0.0242,-2.0006,0.0177,-14.259,2.8642,17.0,-8.4951,-0.0527,-0.1231,8.4962,"collinder55;cwwdl14531","100.0;88.0",0.0,1.0,0.62,0.0,0.0,1.0,0.0,"n"
"lp16","y","n","nan","nan","nan","nan",6.7,0.25,0.27,"CC",21.0,161.37013,-0.59621,72.33281,43.80258,0.2969,0.0553,-0.2513,0.076,-1.27,0.0557,-4.96,0.2587,1.0,-11.1122,1.0078,-0.0051,11.1578,"nan","nan",0.0,0.1,0.25,0.0,1.0,1.0,0.07,"y"
"lp17","y","n","nan","nan","nan","nan",6.1,0.08,0.34,"DC",18.0,160.63549,5.14387,78.19568,47.91627,0.2896,0.0892,0.3478,0.1137,-1.9888,0.094,-28.688,1.3165,1.0,-11.1562,1.0669,0.3177,11.2116,"nan","nan",0.0,0.1,0.12,0.0,1.0,1.0,0.04,"y"
"lp18","y","n","nan","nan","nan","nan",6.3,0.41,0.42,"CC",16.0,173.54324,-3.15828,79.2055,32.58124,0.2475,0.1022,0.4975,0.1246,-0.3605,0.0871,1.778,3.72205,2.0,-11.8315,0.4188,-0.1766,11.8402,"nan","nan",0.0,0.06,0.25,0.0,1.0,1.0,0.06,"y"
"lp19","y","n","nan","nan","nan","nan",4.9,0.13,0.33,"BC",23.0,173.52178,-0.98092,81.33369,33.85603,0.452,0.0786,0.2434,0.0883,-2.0542,0.063,"nan","nan",0.0,-10.2269,0.239,-0.0102,10.2297,"cwnu4099;hsc1358","64.0;64.0",0.0,0.46,0.38,0.0,1.0,1.0,0.17,"y"
