"fname","plot_used","process","N_clust","N_clust_max","N_box","frame_limit","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","e_Plx_m","pmRA_m","e_pmRA_m","pmDE_m","e_pmDE_m","Rv_m","e_Rv_m","N_Rv","X_GC","Y_GC","Z_GC","R_GC","shared_members","shared_members_p","C_N","C_dens","C_C3","C_lit","C_dup","C_dup_same_db","UTI","bad_oc"
"lisciii3783","y","n","nan",94.0,"nan","nan",42.2,0.11,0.87,"DA",25.0,256.47042,12.74608,138.40574,-29.89458,3.8408,0.0538,-20.4838,0.0466,16.1361,0.0542,25.1893,1.6928,11.0,-8.1804,-0.2457,0.0783,8.1844,"ocsn86","88.0",0.25,0.49,0.5,0.0,0.12,1.0,0.03,"n"
"lisciii3785","y","n","nan",156.0,"nan","nan",63.8,0.99,0.87,"BA",25.0,48.7377,20.47084,270.59374,22.70176,3.4667,0.0616,-1.3163,0.0445,-7.2726,0.0663,-18.7372,2.3137,11.0,-7.9443,0.2017,0.1208,7.9478,"ocsn11","36.0",0.25,0.17,0.75,0.0,0.64,1.0,0.15,"n"
"lisciii931","y","n","nan",185.0,"nan","nan",10.2,0.2,0.29,"DC",13.0,203.67954,4.01411,102.2132,10.03199,0.2414,0.0811,-0.3146,0.0935,-0.8152,0.078,1.6067,0.9554,2.0,-11.6158,-1.5337,0.2958,11.7204,"nan","nan",0.0,0.02,0.12,0.0,1.0,1.0,0.03,"y"
"lisciii932","y","n","nan",152.0,"nan","nan",6.0,0.52,0.43,"DC",15.0,204.15561,5.72501,104.00664,10.40722,0.2172,0.0769,-0.3756,0.0752,-0.6166,0.0644,85.0224,3.4305,1.0,-11.9483,-1.7167,0.4517,12.0794,"nan","nan",0.0,0.05,0.12,0.0,1.0,1.0,0.03,"y"
"lisciii933","y","n","nan",1000.0,"nan","nan",6.3,0.28,0.35,"DC",29.0,205.53363,4.81097,103.7788,8.78109,0.2241,0.0725,-0.3906,0.0848,-0.7156,0.0722,"nan","nan",0.0,-11.8052,-1.7584,0.3732,11.9413,"nan","nan",0.29,0.09,0.12,0.0,1.0,1.0,0.1,"y"
"lisciii934","y","n","nan",867.0,"nan","nan",7.7,0.29,0.36,"BC",17.0,206.50851,3.70339,103.23337,7.40271,0.2316,0.058,-0.3546,0.0626,-0.6214,0.055,98.0554,5.642,1.0,-11.6707,-1.77,0.2863,11.8077,"nan","nan",0.0,0.04,0.38,0.0,1.0,1.0,0.08,"y"
"lk1","y","n","nan","nan","nan","nan",2.1,1.0,0.51,"AB",36.0,75.24732,-0.69163,306.10679,36.40996,0.1038,0.1559,-2.958,0.1576,-4.8076,0.1601,-4.45105,2.6752,2.0,-6.0648,7.8105,-0.0818,9.889,"cwnu4074","91.7",0.36,0.21,0.75,0.0,1.0,1.0,0.26,"n"
"lk10","y","n","nan","nan","nan","nan",4.6,1.0,0.75,"AA",240.0,79.8618,-0.91462,309.82545,40.0024,0.6274,0.13365,-2.8998,0.1313,-4.5032,0.1688,13.38125,1.85435,6.0,-7.8503,1.5204,-0.0047,7.9962,"cwnu3942","82.5",0.8,1.0,1.0,0.31,1.0,1.0,0.69,"n"
"lk3","y","n","nan","nan","nan","nan",4.1,0.85,0.44,"AC",21.0,77.82791,0.85651,306.40561,39.42141,0.3622,0.117,-3.3761,0.1124,-5.552,0.1356,"nan","nan",0.0,-7.5707,2.5574,0.0584,7.9912,"nan","nan",0.0,0.39,0.62,0.0,1.0,1.0,0.2,"y"
"loden1","y","n","nan","nan","nan","nan",6.1,0.97,0.41,"CC",19.0,281.01015,-0.15067,151.26801,-55.76761,0.3703,0.0879,-6.6215,0.1078,4.2954,0.1,7.5912,4.0333,1.0,-7.6329,-2.515,0.013,8.0366,"nan","nan",0.0,0.17,0.25,0.38,1.0,1.0,0.23,"y"
"loden1002","y","n","nan","nan","nan","nan",17.0,0.41,0.3,"CC",8.0,309.50028,-3.18826,208.7112,-65.2736,0.8344,0.213,-5.6756,0.1784,-3.0381,0.1729,-0.30835,6.47335,4.0,-7.3788,-0.9017,-0.0467,7.4338,"nan","nan",0.0,0.05,0.25,0.56,1.0,1.0,0.28,"n"
"loden1010","y","n","nan","nan","nan","nan",7.9,0.91,0.48,"AC",4.0,309.52055,1.91287,206.24518,-60.26253,0.1031,0.1182,-6.2666,0.0798,-1.5632,0.0815,-49.3498,7.3114,1.0,-2.9538,-6.2621,0.28,6.9294,"nan","nan",0.0,0.0,0.62,0.62,1.0,1.0,0.38,"n"
"loden1095","y","n","nan","nan","nan","nan",6.5,0.49,0.5,"DC",14.0,310.65688,2.25333,208.26166,-59.68578,0.3213,0.102,-7.2841,0.0842,-1.4465,0.0786,-8.728,4.9035,1.0,-6.2148,-2.2215,0.1315,6.6012,"nan","nan",0.0,0.08,0.12,0.38,1.0,1.0,0.19,"y"
"loden1101","y","n","nan","nan","nan","nan",8.0,0.89,0.45,"BC",16.0,310.73171,0.09628,209.51441,-61.76342,0.307,0.0729,-7.0145,0.0475,-2.6568,0.0564,-41.6779,2.3649,1.0,-6.1268,-2.3176,0.0208,6.5505,"nan","nan",0.0,0.06,0.38,0.31,1.0,1.0,0.21,"y"
"loden112","y","n","nan","nan","nan","nan",4.6,0.47,0.66,"CB",40.0,284.76337,1.19552,158.25629,-56.7122,0.3942,0.0314,-7.3954,0.0348,3.5356,0.03085,"nan","nan",0.0,-7.5067,-2.3338,0.0697,7.8614,"nan","nan",0.4,0.69,0.38,0.56,1.0,1.0,0.52,"n"
"loden1152","y","n","nan","nan","nan","nan",5.7,0.21,0.55,"CC",13.0,311.52067,2.40449,209.88036,-59.32263,0.1639,0.1057,-9.2607,0.0994,-3.0048,0.0945,-19.906,3.9652,1.0,-4.5194,-4.0672,0.24,6.0848,"nan","nan",0.0,0.03,0.25,0.38,1.0,1.0,0.21,"y"
"loden1171","y","n","nan","nan","nan","nan",6.7,0.57,0.38,"CB",19.0,311.78439,3.29257,209.87707,-58.38995,0.1469,0.0754,-8.1962,0.0648,-2.4422,0.0693,1.5476,1.90725,4.0,-4.1365,-4.4612,0.3564,6.0942,"nan","nan",0.0,0.02,0.38,0.56,1.0,1.0,0.3,"n"
"loden1177","y","n","nan","nan","nan","nan",3.3,0.93,0.55,"AB",15.0,311.87254,3.79946,209.82399,-57.88096,0.1235,0.0666,-6.1732,0.0547,-1.8971,0.06,-53.096,4.8108,3.0,-3.4793,-5.1773,0.4717,6.2556,"nan","nan",0.0,0.05,0.75,0.31,1.0,1.0,0.28,"y"
"loden1194","y","n","nan","nan","nan","nan",12.6,0.88,0.67,"AB",71.0,312.45911,1.6645,212.01343,-59.79023,1.346,0.0361,-7.7908,0.0306,-4.6178,0.041,-30.2703,5.7463,25.0,-7.6281,-0.54,0.0407,7.6473,"nan","nan",0.6,1.0,0.75,1.0,1.0,1.0,0.87,"n"
"loden1202","y","n","nan","nan","nan","nan",7.1,0.64,0.47,"AC",12.0,312.26317,2.80845,211.06692,-58.72481,0.1144,0.0902,-5.7728,0.0733,-2.2087,0.1063,9.8041,2.3798,3.0,-3.1216,-5.4984,0.3739,6.3338,"nan","nan",0.0,0.01,0.62,0.0,1.0,1.0,0.13,"y"
"loden1225","y","n","nan","nan","nan","nan",9.0,0.09,0.4,"AC",5.0,312.53967,1.66502,212.20502,-59.76075,0.1326,0.1053,-6.9966,0.1029,-2.067,0.1118,-41.635,2.243,3.0,-3.6928,-4.8264,0.1993,6.0803,"nan","nan",0.0,0.0,0.62,0.56,1.0,1.0,0.35,"n"
"loden1256","y","n","nan","nan","nan","nan",4.9,0.26,0.57,"AB",83.0,313.21968,-0.32815,214.77224,-61.42938,0.5808,0.0557,-3.2822,0.0492,-3.1059,0.0592,-55.6308,7.5868,1.0,-6.9823,-1.2131,0.0086,7.0869,"mcm50;oc0608","83.1;30.1",0.66,1.0,0.75,0.5,1.0,1.0,0.68,"n"
"loden1282","y","n","nan","nan","nan","nan",6.9,0.62,0.39,"AC",7.0,313.52309,1.9979,213.84261,-59.13364,0.2095,0.1385,-5.8463,0.1273,-2.1983,0.1378,-21.72505,3.43995,2.0,-5.1227,-3.1575,0.1653,6.0199,"nan","nan",0.0,0.02,0.62,0.31,1.0,1.0,0.25,"y"
"loden1289","y","n","nan","nan","nan","nan",9.1,0.38,0.38,"BC",13.0,313.87889,3.26736,213.66066,-57.8755,0.1226,0.1208,-8.1662,0.0949,-2.2538,0.1156,-30.3794,4.2047,3.0,-3.2719,-5.0505,0.4028,6.0312,"nan","nan",0.0,0.01,0.38,0.0,1.0,1.0,0.08,"y"
"loden1339","y","n","nan","nan","nan","nan",5.3,0.15,0.66,"CB",22.0,314.55452,-1.52477,218.31227,-62.06227,0.3416,0.0416,-3.9968,0.0394,-3.3353,0.0412,-11.4757,1.6089,1.0,-6.1827,-1.97,-0.057,6.4892,"nan","nan",0.0,0.22,0.38,0.56,1.0,1.0,0.34,"n"
"loden1373","y","n","nan","nan","nan","nan",7.6,0.12,0.35,"CB",11.0,315.12946,-2.61667,220.3432,-62.85409,0.2247,0.0949,-6.8323,0.0889,-4.0336,0.0968,-46.0026,1.5169,3.0,-5.2307,-2.8817,-0.1726,5.9745,"nan","nan",0.0,0.02,0.38,0.31,1.0,1.0,0.2,"y"
"loden1375","y","n","nan","nan","nan","nan",5.4,0.27,0.36,"DC",16.0,315.16622,-3.23299,221.04397,-63.38548,0.2286,0.0714,-5.0319,0.0406,-4.1397,0.0798,-75.676,2.3849,1.0,-5.2744,-2.8316,-0.2127,5.9902,"nan","nan",0.0,0.07,0.12,0.38,1.0,1.0,0.19,"y"
"loden1378","y","n","nan","nan","nan","nan",6.0,0.32,0.31,"BC",16.0,315.52405,2.3263,217.26162,-58.16848,0.2326,0.1061,-5.8346,0.0893,-2.9146,0.0956,-40.6073,2.5805,3.0,-5.2989,-2.7712,0.1722,5.9822,"nan","nan",0.0,0.06,0.38,0.38,1.0,1.0,0.24,"y"
"loden1409","y","n","nan","nan","nan","nan",5.9,0.54,0.53,"CB",11.0,315.96016,-1.77421,221.26828,-61.74893,0.106,0.1019,-4.9989,0.0945,-2.9469,0.1061,-42.19655,2.25675,2.0,-2.4209,-5.5152,-0.2409,6.028,"nan","nan",0.0,0.01,0.38,0.38,1.0,1.0,0.23,"y"
"loden143","y","n","nan","nan","nan","nan",7.6,0.39,0.25,"CC",14.0,285.41171,-0.93158,157.22191,-58.86916,0.2811,0.0448,-6.125,0.0566,3.2241,0.05,"nan","nan",0.0,-7.2404,-3.2015,-0.0358,7.9167,"nan","nan",0.0,0.05,0.25,0.56,1.0,1.0,0.28,"y"
"loden153","y","n","nan","nan","nan","nan",7.4,0.61,0.41,"DC",16.0,285.66399,0.04931,158.65727,-58.13985,0.3059,0.0559,-6.0186,0.0657,2.4105,0.0567,31.4324,4.5022,1.0,-7.2931,-2.9544,0.0225,7.8688,"nan","nan",0.0,0.06,0.12,0.44,1.0,1.0,0.21,"y"
"loden165","y","n","nan","nan","nan","nan",8.3,0.25,0.06,"DD",18.0,286.1052,-0.37988,158.98617,-58.74893,0.3041,0.1702,-5.9316,0.1972,-2.2473,0.184,13.9414,6.12825,2.0,-7.2651,-2.964,-0.0014,7.8465,"nan","nan",0.0,0.06,0.0,0.0,1.0,1.0,0.01,"y"
"loden172","y","n","nan","nan","nan","nan",5.4,0.54,0.52,"CC",20.0,286.24877,-2.59671,156.96609,-60.71417,0.3421,0.0514,-8.0502,0.0569,3.6713,0.0583,12.3419,0.2937,1.0,-7.3503,-2.6487,-0.1055,7.8137,"nan","nan",0.0,0.19,0.25,0.25,1.0,1.0,0.19,"y"
"loden189","y","n","nan","nan","nan","nan",16.0,0.85,0.48,"BC",25.0,286.68721,2.66752,162.55196,-56.33067,0.7662,0.0172,-7.5436,0.019,3.3007,0.0173,3.0323,3.48695,16.0,-7.7574,-1.2172,0.079,7.8527,"nan","nan",0.25,0.14,0.38,0.75,1.0,1.0,0.45,"n"
"loden2045","y","n","nan","nan","nan","nan",6.8,0.17,0.42,"DC",12.0,320.18053,-0.64205,227.74553,-58.77825,0.3687,0.0793,-5.8034,0.0779,-4.3616,0.0863,-37.1236,3.0008,3.0,-6.1463,-1.6474,-0.0139,6.3632,"nan","nan",0.0,0.08,0.12,0.25,1.0,1.0,0.14,"y"
"loden2115","y","n","nan","nan","nan","nan",6.4,0.57,0.31,"AC",13.0,321.89844,3.20948,226.90038,-54.53741,0.1785,0.1158,-5.9061,0.1126,-3.8672,0.1117,-59.57795,3.064,2.0,-4.1624,-3.1025,0.2951,5.1998,"nan","nan",0.0,0.02,0.62,0.38,1.0,1.0,0.28,"y"
"loden213","y","n","nan","nan","nan","nan",7.2,0.18,0.34,"DC",15.0,287.63814,-3.03926,158.99182,-61.78693,0.2392,0.0443,-5.8525,0.0517,2.5584,0.0509,"nan","nan",0.0,-6.9553,-3.6717,-0.1846,7.8671,"nan","nan",0.0,0.04,0.12,0.25,1.0,1.0,0.13,"y"
"loden2158","y","n","nan","nan","nan","nan",7.7,0.61,0.51,"DC",6.0,323.09181,-1.98642,233.7733,-58.31147,0.1461,0.1376,-5.72,0.1371,-3.5113,0.1477,"nan","nan",0.0,-3.313,-3.6154,-0.2005,4.9079,"nan","nan",0.0,0.01,0.12,0.31,1.0,1.0,0.15,"y"
"loden2159","y","n","nan","nan","nan","nan",5.1,0.91,0.49,"DC",20.0,323.04642,-1.75948,233.50853,-58.12862,0.3872,0.1478,-6.7078,0.1594,-3.2108,0.1494,"nan","nan",0.0,-6.1603,-1.4752,-0.0596,6.3347,"nan","nan",0.0,0.27,0.12,0.25,1.0,1.0,0.18,"y"
"loden2313","y","n","nan","nan","nan","nan",5.5,0.78,0.53,"AC",73.0,327.11407,2.2543,235.11433,-52.50828,0.1948,0.1271,-7.0724,0.1393,-4.7336,0.1212,-77.0252,3.615,5.0,-4.2152,-2.5261,0.193,4.9179,"nan","nan",0.62,0.22,0.62,0.5,1.0,1.0,0.49,"n"
"loden2326","y","n","nan","nan","nan","nan",7.5,0.1,0.31,"BC",6.0,327.54552,1.96426,235.92685,-52.44606,0.1699,0.1404,-5.7056,0.1438,-4.5241,0.1344,-134.7144,6.5127,1.0,-3.6808,-2.8243,0.1927,4.6435,"nan","nan",0.0,0.01,0.38,0.38,1.0,1.0,0.23,"y"
"loden27","y","n","nan","nan","nan","nan",6.3,0.63,0.41,"AC",49.0,282.15129,-0.32252,152.78707,-56.5789,0.2634,0.0888,-5.8833,0.1011,3.1031,0.0954,"nan","nan",0.0,-7.3785,-3.4493,-0.0004,8.1449,"nan","nan",0.49,0.2,0.62,0.25,1.0,1.0,0.36,"n"
"loden28","y","n","nan","nan","nan","nan",5.8,0.23,0.25,"BC",44.0,282.19678,-2.19507,150.80815,-58.11918,0.257,0.05015,-5.1924,0.0592,3.3484,0.0508,28.5746,2.4834,5.0,-7.3602,-3.5254,-0.1189,8.1618,"nan","nan",0.44,0.2,0.38,0.44,1.0,1.0,0.38,"y"
"loden282","y","n","nan","nan","nan","nan",7.4,0.17,0.51,"DB",12.0,290.25943,1.31943,167.62765,-59.04193,0.1268,0.04682,-5.7484,0.04814,1.9033,0.04314,8.51623,5.01952,1.0,-5.7625,-6.3905,0.1722,8.6067,"nan","nan",0.0,0.01,0.25,0.0,1.0,1.0,0.05,"y"
"loden306","y","n","nan","nan","nan","nan",5.8,0.31,0.5,"DB",16.0,290.56843,-0.82186,166.51442,-61.14077,0.197,0.0555,-6.4696,0.0621,2.6539,0.0603,2.5812,5.18,2.0,-6.5038,-4.3143,-0.0497,7.8047,"nan","nan",0.0,0.04,0.25,0.44,1.0,1.0,0.23,"y"
"loden309","y","n",50.0,"nan","nan","nan",11.5,0.85,0.41,"CC",39.0,290.74903,-0.10084,167.44641,-60.55977,0.5096,0.0523,-9.239,0.0516,2.351,0.0505,-49.4358,15.3477,1.0,-7.4529,-1.7657,0.0153,7.6592,"nan","nan",0.39,0.18,0.25,0.56,1.0,1.0,0.39,"n"
"loden336","y","n","nan","nan","nan","nan",6.9,0.24,0.14,"BC",16.0,291.31953,2.02815,170.03315,-58.79807,0.1652,0.0468,-6.6268,0.0506,2.0573,0.0454,0.2617,3.5794,3.0,-6.1586,-5.0266,0.2044,7.9522,"nan","nan",0.0,0.02,0.38,0.0,1.0,1.0,0.08,"y"
"loden372","y","n","nan","nan","nan","nan",4.8,1.0,0.73,"AB",103.0,292.5822,2.73673,172.77138,-58.50827,0.5737,0.0319,-6.8089,0.0339,0.9528,0.0312,-31.1811,16.5237,6.0,-7.4757,-1.5534,0.0997,7.636,"nan","nan",0.75,1.0,0.75,0.86,1.0,1.0,0.85,"n"
