"process","fname","N_clust","N_clust_max","Nbox","frame_limit"
"no",cwnu1345,"nan",46,"nan","nan"
"no",cwnu1346,"nan",60,"nan","nan"
"no",cwnu1347,"nan",60,"nan","nan"
"no",cwnu1348,"nan",38,"nan","nan"
"no",cwnu1349,"nan",60,"nan","nan"
"no",cwnu135,"nan",49,"nan","nan"
"no",cwnu1350,"nan",60,"nan","nan"
"no",cwnu1351,"nan",25,"nan","nan"
"no",cwnu1352,"nan",60,"nan","nan"
"no",cwnu1353,"nan",60,"nan","nan"
"no",cwnu1354,"nan",36,"nan","nan"
"no",cwnu1355,"nan",59,"nan","nan"
"no",cwnu1356,"nan",36,"nan","nan"
"no",cwnu1357,"nan",67,"nan","nan"
"no",cwnu1358,"nan",59,"nan","nan"
"no",cwnu1359,"nan",36,"nan","nan"
"no",cwnu136,"nan",67,"nan","nan"
"no",cwnu1360,"nan",41,"nan","nan"
"no",cwnu1361,"nan",36,"nan","nan"
"no",cwnu1362,"nan",59,"nan","nan"
"no",cwnu1363,"nan",36,"nan","nan"
"no",cwnu1364,"nan",59,"nan","nan"
"no",cwnu1365,"nan",57,"nan","nan"
"no",cwnu1366,"nan",36,"nan","nan"
"no",cwnu1367,"nan",57,"nan","nan"
"no",cwnu1368,"nan",57,"nan","nan"
"no",cwnu1369,"nan",36,"nan","nan"
"no",cwnu137,"nan",171,"nan","nan"
"no",cwnu1370,"nan",36,"nan","nan"
"no",cwnu1371,"nan",36,"nan","nan"
"no",cwnu1372,"nan",57,"nan","nan"
"no",cwnu1373,"nan",65,"nan","nan"
"no",cwnu1374,"nan",57,"nan","nan"
"no",cwnu1375,"nan",36,"nan","nan"
"no",cwnu1376,"nan",57,"nan","nan"
"no",cwnu1377,"nan",57,"nan","nan"
"no",cwnu1378,"nan",36,"nan","nan"
"no",cwnu1379,"nan",57,"nan","nan"
"no",cwnu138,"nan",75,"nan","nan"
"no",cwnu1380,"nan",36,"nan","nan"
"no",cwnu1381,"nan",57,"nan","nan"
"no",cwnu1382,"nan",57,"nan","nan"
"no",cwnu1383,"nan",57,"nan","nan"
"no",cwnu1384,"nan",56,"nan","nan"
"no",cwnu1385,"nan",41,"nan","nan"
"no",cwnu1386,"nan",56,"nan","nan"
"no",cwnu1387,"nan",36,"nan","nan"
"no",cwnu1388,"nan",56,"nan","nan"
"no",cwnu1389,"nan",56,"nan","nan"
"no",cwnu139,"nan",56,"nan","nan"
"no",cwnu1390,"nan",56,"nan","nan"
"no",cwnu1391,"nan",56,"nan","nan"
"no",cwnu1392,"nan",56,"nan","nan"
"no",cwnu1393,"nan",72,"nan","nan"
"no",cwnu1394,"nan",56,"nan","nan"
"no",cwnu1395,"nan",56,"nan","nan"
"no",cwnu1396,"nan",35,"nan","nan"
"no",cwnu1397,"nan",56,"nan","nan"
"no",cwnu1398,"nan",35,"nan","nan"
"no",cwnu1399,"nan",54,"nan","nan"
"no",cwnu14,"nan",76,"nan","nan"
"no",cwnu140,"nan",73,"nan","nan"
"no",cwnu1400,"nan",35,"nan","nan"
"no",cwnu1401,"nan",54,"nan","nan"
"no",cwnu1402,"nan",35,"nan","nan"
"no",cwnu1403,"nan",54,"nan","nan"
"no",cwnu1404,"nan",54,"nan","nan"
"no",cwnu1405,"nan",35,"nan","nan"
"no",cwnu1406,"nan",54,"nan","nan"
"no",cwnu1407,"nan",35,"nan","nan"
"no",cwnu1408,"nan",54,"nan","nan"
"no",cwnu1409,"nan",54,"nan","nan"
"no",cwnu141,"nan",102,"nan","nan"
"no",cwnu1410,"nan",54,"nan","nan"
"no",cwnu1411,"nan",54,"nan","nan"
"no",cwnu1412,"nan",54,"nan","nan"
"no",cwnu1413,"nan",35,"nan","nan"
"no",cwnu1414,"nan",35,"nan","nan"
"no",cwnu1415,"nan",35,"nan","nan"
"no",cwnu1416,"nan",56,"nan","nan"
"no",cwnu1417,"nan",35,"nan","nan"
"no",cwnu1418,"nan",35,"nan","nan"
"no",cwnu1419,"nan",35,"nan","nan"
"no",cwnu142,"nan",51,"nan","nan"
"no",cwnu1420,"nan",54,"nan","nan"
"no",cwnu1421,"nan",54,"nan","nan"
"no",cwnu1422,"nan",54,"nan","nan"
"no",cwnu1423,"nan",54,"nan","nan"
"no",cwnu1424,"nan",54,"nan","nan"
"no",cwnu1425,"nan",54,"nan","nan"
"no",cwnu1426,"nan",35,"nan","nan"
"no",cwnu1427,"nan",52,"nan","nan"
"no",cwnu1428,"nan",60,"nan","nan"
"no",cwnu1429,"nan",35,"nan","nan"
"no",cwnu143,"nan",67,"nan","nan"
"no",cwnu1430,"nan",52,"nan","nan"
"no",cwnu1431,"nan",52,"nan","nan"
"no",cwnu1432,"nan",35,"nan","nan"
"no",cwnu1433,"nan",41,"nan","nan"
"no",cwnu1434,"nan",52,"nan","nan"
"no",cwnu1435,"nan",35,"nan","nan"
"no",cwnu1436,"nan",52,"nan","nan"
"no",cwnu1437,"nan",52,"nan","nan"
"no",cwnu1438,"nan",35,"nan","nan"
"no",cwnu1439,"nan",52,"nan","nan"
"no",cwnu144,"nan",57,"nan","nan"
"no",cwnu1440,"nan",52,"nan","nan"
"no",cwnu1441,"nan",35,"nan","nan"
"no",cwnu1442,"nan",52,"nan","nan"
"no",cwnu1443,"nan",35,"nan","nan"
"no",cwnu1444,"nan",52,"nan","nan"
"no",cwnu1445,"nan",52,"nan","nan"
"no",cwnu1446,"nan",52,"nan","nan"
"no",cwnu1447,"nan",52,"nan","nan"
"no",cwnu1448,"nan",52,"nan","nan"
"no",cwnu1449,"nan",52,"nan","nan"
"no",cwnu145,"nan",48,"nan","nan"
"no",cwnu1450,"nan",52,"nan","nan"
"no",cwnu1451,"nan",52,"nan","nan"
"no",cwnu1452,"nan",35,"nan","nan"
"no",cwnu1453,"nan",51,"nan","nan"
"no",cwnu1454,"nan",35,"nan","nan"
"no",cwnu1455,"nan",51,"nan","nan"
"no",cwnu1456,"nan",35,"nan","nan"
"no",cwnu1457,"nan",35,"nan","nan"
"no",cwnu1458,"nan",51,"nan","nan"
"no",cwnu1459,"nan",60,"nan","nan"
"no",cwnu146,"nan",140,"nan","nan"
"no",cwnu1460,"nan",51,"nan","nan"
"no",cwnu1461,"nan",33,"nan","nan"
"no",cwnu1462,"nan",51,"nan","nan"
"no",cwnu1463,"nan",51,"nan","nan"
"no",cwnu1464,"nan",51,"nan","nan"
"no",cwnu1465,"nan",51,"nan","nan"
"no",cwnu1466,"nan",51,"nan","nan"
"no",cwnu1467,"nan",51,"nan","nan"
"no",cwnu1468,"nan",51,"nan","nan"
"no",cwnu1469,"nan",88,"nan","nan"
"no",cwnu147,"nan",62,"nan","nan"
"no",cwnu1470,"nan",51,"nan","nan"
"no",cwnu1471,"nan",51,"nan","nan"
"no",cwnu1472,"nan",51,"nan","nan"
"no",cwnu1473,"nan",51,"nan","nan"
"no",cwnu1474,"nan",51,"nan","nan"
"no",cwnu1475,"nan",33,"nan","nan"
