"fnames","Names"
"ascc94;mwsc2858","ASCC 94;MWSC 2858"
"ascc95;mwsc2861","ASCC 95;MWSC 2861"
"ascc98;mwsc2979","ASCC 98;MWSC 2979"
"ascc99;mwsc2999;fof2281;ocsn132","ASCC 99;MWSC 2999;FoF 2281;OCSN 132"
"at14;alessiteutsch14;alessi128","AT 14;Alessi-Teutsch 14;Alessi 128"
"at16;alessiteutsch16;teutschj18055p2128;hd165524group","AT 16;Alessi-Teutsch 16;Teutsch J1805.5+2128;HD 165524 Group"
"at21;alessiteutsch21;alessi23;alessiteutsch1","AT 21;Alessi-Teutsch 21;Alessi 23;Alessi-Teutsch 1"
"auner1;mwsc1087;eso55808","Auner 1;MWSC 1087;ESO 558 08"
"avenihunter1;avhunter1;mwsc3747;ocsn143","Aveni-Hunter 1;Av-Hunter 1;MWSC 3747;OCSN 143"
"b30","B 30"
"b35;mwsc656","B 35;MWSC 656"
"barkhatova1;baractova1;mwsc3422;fof1773","Barkhatova 1;Baractova 1;MWSC 3422;FoF 1773"
"barkhatova2;baractova2;mwsc3552","Barkhatova 2;Baractova 2;MWSC 3552"
"basel1;mwsc2996;apriamaswili1;ocl77","Basel 1;MWSC 2996;Apriamaswili 1;OCL 77"
"basel10;fsr0586;ocl3491;dolidze47b;mwsc176","Basel 10;FSR 0586;OCL 349.1;Dolidze 47b;MWSC 176"
"basel11a;mwsc1162;ocl5841;fof2084","Basel 11a;MWSC 1162;OCL 584.1;FoF 2084"
"basel11b;mwsc696;ocl4691;fsr0877","Basel 11b;MWSC 696;OCL 469.1;FSR 0877"
"basel12;mwsc3471","Basel 12;MWSC 3471"
"basel14;mwsc3498","Basel 14;MWSC 3498"
"basel15","Basel 15"
"basel17;mwsc1907","Basel 17;MWSC 1907"
"basel18;mwsc2122","Basel 18;MWSC 2122"
"basel20;mwsc1680","Basel 20;MWSC 1680"
"basel4;fsr0825;czernik22;mwsc672;ocl455","Basel 4;FSR 0825;Czernik22;MWSC 672;OCL 455"
"basel5;mwsc2727;ocl1038;eso45556","Basel 5;MWSC 2727;OCL 1038;ESO 455 56"
"basel6;mwsc3257","Basel 6;MWSC 3257"
"basel7;mwsc932","Basel 7;MWSC 932"
"basel8;mwsc907;ocl4991","Basel 8;MWSC 907;OCL 499.1"
"bdb2003g010160036","BDB2003 G010.16-00.36"
