"Name","Type"
"CWNU_1889           ","o"
"CWNU_1893           ","o"
"CWNU_1894           ","o"
"CWNU_1897           ","o"
"CWNU_1899           ","o"
"CWNU_1900           ","o"
"CWNU_1907           ","o"
"CWNU_1909           ","o"
"CWNU_1910           ","o"
"CWNU_1914           ","o"
"CWNU_1917           ","o"
"CWNU_1918           ","o"
"CWNU_1920           ","o"
"CWNU_1922           ","o"
"CWNU_1924           ","o"
"CWNU_1926           ","o"
"CWNU_1932           ","o"
"CWNU_1934           ","o"
"CWNU_1937           ","o"
"CWNU_1938           ","o"
"CWNU_1939           ","o"
"CWNU_1944           ","o"
"CWNU_1954           ","o"
"CWNU_1961           ","o"
"CWNU_1962           ","o"
"CWNU_1966           ","o"
"CWNU_1968           ","o"
"CWNU_1971           ","o"
"CWNU_1972           ","o"
"CWNU_1973           ","o"
"CWNU_1974           ","o"
"CWNU_1983           ","o"
"CWNU_1987           ","o"
"CWNU_1988           ","o"
"CWNU_1994           ","o"
"CWNU_1995           ","o"
"CWNU_1997           ","o"
"CWNU_1998           ","o"
"CWNU_2001           ","o"
"CWNU_2002           ","o"
"CWNU_2004           ","o"
"CWNU_2006           ","o"
"CWNU_2007           ","o"
"CWNU_2012           ","o"
"CWNU_2015           ","o"
"CWNU_2016           ","o"
"CWNU_2018           ","o"
"CWNU_2024           ","o"
"CWNU_2028           ","o"
"CWNU_2034           ","o"
"CWNU_2035           ","o"
"CWNU_2038           ","o"
"CWNU_2046           ","o"
"CWNU_2049           ","o"
"CWNU_2051           ","o"
"CWNU_2063           ","o"
"CWNU_2065           ","o"
"CWNU_2071           ","o"
"CWNU_2072           ","o"
"CWNU_2076           ","o"
"CWNU_2079           ","o"
"CWNU_2088           ","o"
"CWNU_2089           ","o"
"CWNU_2096           ","o"
"CWNU_2103           ","o"
"CWNU_2105           ","o"
"CWNU_2106           ","o"
"CWNU_2110           ","o"
"CWNU_2112           ","o"
"CWNU_2115           ","o"
"CWNU_2116           ","o"
"CWNU_2122           ","o"
"CWNU_2124           ","o"
"CWNU_2131           ","o"
"CWNU_2136           ","m"
"CWNU_2138           ","o"
"CWNU_2142           ","o"
"CWNU_2145           ","o"
"CWNU_2149           ","o"
"CWNU_2151           ","o"
"CWNU_2157           ","o"
"CWNU_2159           ","o"
"CWNU_2160           ","o"
"CWNU_2161           ","o"
"CWNU_2165           ","o"
"CWNU_2169           ","o"
