"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 3010",327.2503,0.047,62.0972,0.031,103.2641,0.018,6.4093,0.037,159,55,0.135,0.059,-2.793,0.097,-1.994,0.097,13.95,1.95,9.2,-106.15,2.56,3,1
"CWNU 3011",130.0692,0.317,-32.7426,0.225,254.2301,0.234,5.5092,0.168,211,85,0.493,0.037,-5.546,0.097,3.215,0.083,11.8,1.35,8.4,63.26,3.81,1,1
"CWNU 3012",147.9477,0.035,-60.6117,0.019,282.5793,0.015,-5.0471,0.019,159,59,0.138,0.071,-3.633,0.158,3.789,0.121,13.9,1.0,9.5,24.19,0.82,1,1
"CWNU 3013",103.4966,0.023,17.2237,0.04,197.7757,0.038,8.3154,0.019,45,17,0.219,0.061,-0.139,0.058,-1.383,0.046,13.6,0.45,8.8,"nan","nan",0,1
"CWNU 3014",110.5163,0.027,-10.6963,0.022,225.9272,0.03,1.8206,0.009,35,15,0.266,0.029,-1.447,0.042,0.746,0.064,12.6,1.25,8.6,"nan","nan",0,1
"CWNU 3015",267.4425,0.081,-32.9309,0.082,357.025,0.07,-2.8256,0.064,124,44,0.669,0.048,1.882,0.112,-1.81,0.075,10.7,3.2,7.7,-21.43,3.01,2,1
"CWNU 3016",300.1521,0.009,30.5909,0.009,67.6546,0.01,0.2478,0.009,124,50,0.142,0.088,-2.825,0.09,-5.579,0.126,14.25,4.6,8.0,-10.73,10.72,2,1
"CWNU 3017",149.3245,0.029,-55.5162,0.017,279.9729,0.019,-0.6014,0.017,122,40,0.193,0.064,-5.121,0.078,3.651,0.101,14.0,5.0,8.4,28.47,5.48,3,1
"CWNU 3018",77.077,0.039,42.7469,0.027,164.345,0.029,1.4446,0.023,136,60,0.193,0.06,0.265,0.122,-0.389,0.098,13.55,1.8,8.2,-18.72,0.79,1,1
"Saurer 4",183.5089,0.028,-63.5921,0.009,298.7873,0.01,-1.0214,0.009,176,72,0.076,0.067,-6.893,0.135,0.798,0.155,14.4,3.7,9.2,8.81,6.34,1,1
"CWNU 3019",62.6067,0.199,39.515,0.107,159.495,0.154,-8.8397,0.103,56,36,0.755,0.069,0.641,0.056,-2.873,0.035,10.8,2.9,8.2,-30.36,3.31,2,1
"CWNU 3020",154.7857,0.022,-52.0366,0.012,280.5785,0.013,4.1019,0.012,95,44,0.117,0.094,-4.518,0.086,3.014,0.111,14.05,1.35,9.1,69.39,42.18,2,1
"CWNU 3021",320.7725,0.099,46.2879,0.092,89.8517,0.112,-2.782,0.052,43,19,0.796,0.045,0.703,0.052,-2.65,0.077,10.6,1.8,8.1,"nan","nan",0,1
"CWNU 3022",324.3547,0.685,40.629,0.323,87.7519,0.547,-8.7396,0.241,67,31,1.411,0.026,1.584,0.184,-2.36,0.153,9.3,0.05,8.5,-2.49,3.14,11,1
"CWNU 3023",299.6104,0.017,32.313,0.024,68.8736,0.029,1.5499,0.011,126,33,0.093,0.048,-2.897,0.088,-4.96,0.066,15.45,4.25,7.8,-47.56,6.58,3,1
"CWNU 3024",102.7192,0.035,2.951,0.047,210.2453,0.034,1.2133,0.058,41,23,0.27,0.051,-0.053,0.043,-1.056,0.048,12.35,2.5,8.8,75.91,3.04,4,1
"CWNU 3025",126.6304,0.025,-43.9222,0.022,261.6108,0.022,-3.3201,0.022,43,29,0.151,0.049,-2.811,0.073,3.762,0.104,14.1,3.85,7.0,65.88,10.43,2,1
"CWNU 3026",106.0505,0.133,-0.0541,0.189,214.4366,0.188,2.7527,0.157,117,35,0.785,0.04,-0.073,0.089,-1.812,0.093,10.65,1.0,8.2,-5.59,23.71,3,1
"CWNU 3027",159.0199,0.03,-57.3745,0.011,285.4595,0.012,0.8309,0.013,50,30,0.152,0.075,-6.509,0.129,3.442,0.097,13.35,3.3,8.7,22.69,6.87,1,1
"Saurer 3",160.3515,0.033,-55.2902,0.023,285.0867,0.017,3.0105,0.024,275,124,0.135,0.125,-6.668,0.141,3.259,0.103,14.15,2.3,9.4,"nan","nan",0,1
"CWNU 3028",164.6958,0.02,-61.9358,0.009,290.0943,0.011,-1.9046,0.006,101,34,0.116,0.063,-5.993,0.054,2.159,0.054,13.9,1.15,8.9,33.13,6.34,3,1
