"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"UBC_1618            ",125.77418549,-37.58262361,256.0504475,-0.2002,-5.74161509,5.29258304,0.80928355,1185.46417711,30.49621262,7.05469131,0.48500578,1.57023203,10.41898781,49,1.91,0.948
"UBC_1619            ",119.95767023,-45.59959142,260.42649753,-8.204,-3.47780252,5.02906905,0.61410806,1529.43485986,26.05220884,7.3484745,0.39161579,0.85094845,9.35519313,37,3.51,0.986
"UBC_1620            ",131.95243918,-44.61358429,264.46286612,-0.699,-4.73081406,3.87558793,0.50234147,1883.50073269,"nan",6.92486572,3.26953506,0.67882717,5.67872363,11,0.83,0.974
"UBC_1621            ",132.08963522,-49.1923028,268.08580969,-3.504,-6.60817479,5.6637917,0.58926744,1615.21113005,"nan",8.25779772,1.27492487,0.72724169,7.12530651,20,2.35,0.999
"UBC_1622            ",147.59915581,-48.21819076,274.59202088,4.438,-6.05264824,4.37518327,0.38378445,2437.61547999,3.67741394,8.86247206,0.29532009,0.80610052,4.11779706,29,2.17,0.998
"UBC_1625            ",178.55133992,-61.96180798,296.26083816,0.1664,-4.98983033,1.21053261,0.47673976,1929.50201891,"nan",8.42013454,0.45698278,0.21542832,6.85195487,21,3.09,1.0
"UBC_1626            ",198.11182411,-66.84533101,304.99996556,-4.058,-5.65914002,-0.2692169,0.37011068,2440.70672285,"nan",8.21397209,1.14814323,0.94677198,3.40757355,19,2.54,0.968
"UBC_1628            ",230.93981645,-61.97825854,319.82247961,-4.21,-2.60496812,-2.8658461,0.52638583,1783.29001653,-49.90261557,8.18352175,1.43281943,0.25852589,6.70368049,18,1.67,0.998
"UBC_10a             ",325.27778966,61.96751167,102.47565444,6.912,-3.32018944,-4.83082186,1.11486091,867.48708044,-6.08599553,7.65590644,1.12103301,0.56338194,4.7606433,27,3.24,1.0
"UBC_10b             ",327.22333722,61.21420051,102.68964065,5.738,-3.46906778,-1.91267855,1.03249861,937.54969166,-24.84522746,7.7543633,1.38322014,1.80721951,11.51446364,112,6.05,0.996
"UBC_17a             ",84.77577508,-1.93244115,206.24135468,-16.95,1.80063282,-1.29854525,2.77090725,356.76476752,11.73650996,6.66489244,0.23633656,0.989894,12.03362972,102,3.51,0.959
"UFMG_2              ",237.57091529,-55.95687381,326.1332288,-1.362,-4.41271783,-3.09266554,0.37697402,2413.25152946,-42.73582423,8.36349058,4.12402153,2.16618371,35.71255708,660,2.67,0.859
"UFMG_22             ",263.20023782,-37.61172386,351.23041004,-2.356,-0.33297317,-2.64599305,0.40264127,2306.45383192,33.77856154,7.33584261,3.66049016,2.70026958,12.95846609,93,1.79,0.108
"UFMG_24             ",258.00556844,-35.94076739,350.24714493,2.018,1.94178065,-1.06175335,0.71483888,1335.4205652,-35.12020405,8.41955566,1.68625033,0.79114211,9.48023072,33,1.57,0.997
