"Name","q_Name","GLON","GLAT","Rad","Age","Rgc","pmRA","e_pmRA","pmDE","e_pmDE","HRV","e_HRV","Fe/H","e_Fe/H","N*","SimbadName","RA","DEC"
"Berkeley 19  ",1,176.9181,-3.6224,3.3,"3.16",12.79,0.64,0.03,-0.23,0.02,17.8,0.0,-0.32,0.01,1,"Cl Berkeley 19                 ",81.003,29.567
"NGC 6819     ",2,73.9834,8.4882,6.9,"1.62",7.69,-2.96,0.03,-3.87,0.03,2.7,1.7,0.05,0.03,37,"NGC 6819                       ",295.32,40.195
"NGC 1981     ",0,208.0754,-18.9818,9.0,"0.01",8.33,1.11,0.04,0.58,0.03,28.8,0.2,-0.18,0.01,1,"NGC 1981                       ",83.775,-4.42
"NGC 6383     ",0,355.6742,0.0462,6.9,"0",6.82,2.61,0.07,-1.84,0.06,7.7,0.0,-0.39,0.03,1,"NGC 6383                       ",263.685,-32.577
"ASCC 20      ",0,201.6623,-17.5165,15.6,"0.01",8.35,1.42,0.07,-1.9,0.06,19.4,0.6,0.02,0.01,1,"[KPR2005] 20                   ",82.189,1.64
"NGC 2682     ",2,215.6906,31.9221,33.0,"3.43",8.62,-11.05,0.06,-2.98,0.04,33.9,0.7,0.01,0.03,32,"NGC 2682                       ",132.847,11.815
"Chupina 3    ",0,216.1467,31.7593,5.0,"0",8.58,-11.05,0.04,-2.83,0.05,34.2,0.6,0.01,0.02,5,"Cl Chupina 3                   ",132.8625,11.395
"IC 166       ",2,130.0502,-0.1616,7.5,"1",11.68,-1.45,0.04,1.15,0.05,-40.0,1.3,-0.1,0.03,18,"IC 166                         ",28.095,61.865
"NGC 2324     ",1,213.4597,3.3065,8.7,"0.48",11.4,-0.31,0.05,-0.11,0.04,42.2,0.2,-0.19,0.02,4,"NGC 2324                       ",106.043,1.038
"Platais 4    ",0,180.4786,-10.7804,15.0,"0.35",8.27,0.2,0.07,-1.87,0.04,15.2,0.1,-0.31,0.01,1,"Cl Platais 4                   ",76.718,22.573
"Czernik 23   ",1,180.5378,0.8205,3.3,"0.3",10.45,0.07,0.06,-1.84,0.05,18.0,0.1,-0.28,0.01,1,"Cl Czernik 23                  ",87.525,28.9
"NGC 4337     ",1,299.3036,4.5613,6.6,"1.41",7.05,-8.88,0.03,1.48,0.04,-18.2,1.0,0.24,0.03,7,"NGC 4337                       ",186.0,-58.117
"NGC 2447     ",1,240.0507,0.1488,15.0,"0.48",8.56,-3.67,0.05,5.01,0.04,23.5,0.6,-0.08,0.01,3,"NGC 2447                       ",116.1451,-23.86
"Berkeley 53  ",2,90.3051,3.7555,7.5,"1.23",8.67,-3.84,0.1,-5.65,0.09,-35.9,0.8,-0.08,0.02,6,"Cl Berkeley 53                 ",313.988,51.06
"NGC 1912     ",1,172.3115,0.701,9.6,"0.22",9.13,1.99,0.06,-4.74,0.04,-0.7,0.4,-0.14,0.01,1,"NGC 1912                       ",82.215,35.8
"NGC 1857     ",1,168.4442,1.2218,4.5,"0.47",11.25,0.75,0.07,-1.2,0.05,1.3,0.1,-0.14,0.01,1,"NGC 1857                       ",80.014,39.29
"FSR 0304     ",0,93.5597,0.6456,3.6,"0.61",8.21,-3.9,0.23,-4.94,0.26,-68.3,1.5,-0.07,0.01,3,"[FSR2007] 0304                 ",321.1581,51.322
"NGC 2304     ",1,197.2162,8.8965,4.8,"0.68",11.73,-0.12,0.05,-1.52,0.05,51.5,0.1,-0.12,0.02,2,"NGC 2304                       ",103.8,17.9799
"Ruprecht 147 ",1,21.0089,-12.7301,30.0,"2.14",7.75,-0.87,0.1,-26.72,0.1,42.4,1.5,0.12,0.03,27,"Cl Ruprecht 147                ",289.092,-16.25
"Teutsch 5    ",0,167.5834,-4.1143,4.8,"2.4",10.94,0.23,0.04,-1.46,0.03,-74.7,0.1,-0.35,0.01,1,"Teutsch 5                      ",73.932,36.783
"FSR 1113     ",1,216.2903,3.253,4.2,"0.2",13.13,-0.46,0.03,1.84,0.03,69.0,0.1,-0.3,0.01,1,"[FSR2007] 1113                 ",107.287,-1.5
"Berkeley 29  ",1,197.9438,7.9747,3.6,"1.26",18.47,0.15,0.04,-1.01,0.04,25.9,0.7,-0.49,0.03,3,"Cl Berkeley 29                 ",103.26,16.93
"NGC 2240     ",0,179.2125,11.8825,3.6,"1.58",9.52,0.77,0.05,-1.71,0.04,26.4,0.1,-0.15,0.01,1,"NGC 2240                       ",98.332,35.265
"Berkeley 91  ",0,90.0183,0.2805,3.6,"0.25",12.4,-1.56,0.1,-3.43,0.09,-51.1,0.2,0.09,0.01,1,"Cl Berkeley 91                 ",317.7151,48.535
"Collinder 220",1,284.5606,-0.3325,5.7,"0.37",7.76,-7.33,0.03,2.68,0.03,-12.5,0.0,-0.08,0.01,1,"Cl Collinder 220               ",156.4651,-57.915
"Haffner 4    ",1,227.9381,-3.6156,4.5,"1.3",11.47,-0.48,0.03,0.92,0.03,59.5,0.1,-0.16,0.01,1,"Cl Haffner 4                   ",106.5221,-14.995
"FSR 0542     ",0,126.8224,0.3731,5.1,"0.22",9.29,-2.09,0.04,-0.11,0.05,-74.0,0.1,-0.23,0.01,1,"[FSR2007] 0542                 ",21.45,62.985
"Berkeley 44  ",1,53.2093,3.3443,6.3,"1.41",7.0,-0.17,0.05,-3.17,0.05,23.0,0.1,0.0,0.01,1,"Cl Berkeley 44                 ",289.308,19.543
"FSR 0942     ",0,195.5903,-3.5955,6.0,"1",10.02,-0.46,0.04,0.22,0.03,29.3,0.0,-0.28,0.01,1,"[FSR2007] 0942                 ",91.496,13.66
"NGC 7058     ",1,92.8783,0.6124,5.1,"0.22",8.03,7.41,0.1,2.76,0.14,-19.1,0.3,0.03,0.04,3,"NGC 7058                       ",320.4229,50.82
"Berkeley 33  ",1,225.4429,-4.5932,3.0,"1.1",11.84,-0.69,0.04,1.56,0.04,77.5,0.4,-0.3,0.01,2,"Cl Berkeley 33                 ",104.46,-13.22
"Melotte 22   ",1,166.2047,-23.4834,150.0,"0.14",8.12,20.35,0.11,-44.59,0.08,6.1,0.9,0.0,0.05,79,"Cl Melotte 22                  ",56.505,24.37
"NGC 7062     ",1,89.9667,-2.7397,3.6,"0.69",8.16,-1.84,0.04,-4.08,0.04,-22.0,0.1,0.01,0.01,1,"NGC 7062                       ",320.862,46.39
"FSR 0667     ",1,151.1544,-0.6481,2.7,"0.12",9.63,0.64,0.05,-4.01,0.04,3.7,0.8,-0.02,0.01,1,"[FSR2007] 0667                 ",61.8071,51.167
"Czernik 18   ",1,168.253,-12.3062,4.2,"0.48",9.21,2.2,0.23,-2.89,0.13,-15.3,0.3,-0.07,0.02,1,"Cl Czernik 18                  ",66.957,30.945
