"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_2219","n",264.875,0.188,-2.02,0.121,0.51,0.66,0.013,-5.078,0.19,4.655,0.211,78,0.02,0.0012,0.25,1,"nan","nan","nan",1,130.8509,-45.7591
"FoF_2220","n",259.863,0.135,-1.306,0.076,0.377,0.719,0.029,-1.759,0.217,1.134,0.229,77,1.15,0.069,-0.5,1,"nan","nan","nan",0,127.4717,-41.3296
"FoF_2223,ASCC_77,LP_2223,FoF_2310","nan",312.03,0.103,-0.842,0.089,0.336,0.835,0.024,-4.202,0.196,-3.176,0.248,85,0.037,0.0022,0.25,1,1767.0,30.0,8827.0,1,212.7447,-62.3004
"FoF_2224,NGC_6193","nan",336.712,0.075,-1.583,0.046,0.197,0.793,0.027,1.405,0.324,-3.983,0.25,107,0.006,0.0004,-0.25,1,1970.0,862.0,9692.0,1,250.3453,-48.7685
"FoF_2225,NGC_6250","nan",340.664,0.075,-1.923,0.035,0.23,0.962,0.047,0.319,0.398,-2.383,0.279,75,0.019,0.0011,0.25,1,2015.0,869.0,9884.0,0,254.4699,-45.9538
"FoF_2226,NGC_6568","nan",9.413,0.12,-1.667,0.096,0.359,0.933,0.038,0.515,0.333,-1.426,0.245,195,0.933,0.056,0.0,1,2270.0,893.0,506.0,0,273.2004,-21.6087
"FoF_2227,NGC_6997","nan",85.494,0.155,-0.507,0.126,0.589,1.127,0.048,-4.302,0.25,-6.886,0.264,343,0.576,0.0346,0.5,1,2722.0,932.0,2790.0,0,314.1817,44.6359
"FoF_2228,NGC_743","nan",131.194,0.155,-1.666,0.093,0.559,0.896,0.039,-0.077,0.282,-1.647,0.276,95,0.029,0.0017,-0.25,1,129.0,959.0,3924.0,0,29.6204,60.1259
"FoF_2230","n",157.438,0.176,0.516,0.076,0.483,1.12,0.035,1.605,0.239,-4.022,0.23,84,0.355,0.0213,0.25,1,"nan","nan","nan",0,69.8694,47.5177
"FoF_2231,NGC_2168","nan",186.607,0.237,2.234,0.21,0.907,1.123,0.064,2.276,0.311,-2.905,0.29,1109,0.096,0.0058,0.25,1,536.0,702.0,5090.0,1,92.2746,24.3399
"FoF_2232,NGC_2423","nan",230.49,0.229,3.577,0.181,0.873,1.041,0.048,-0.733,0.215,-3.629,0.199,363,0.912,0.0547,0.5,1,970.0,752.0,6302.0,1,114.3144,-13.8578
"FoF_2233,NGC_2482","nan",241.628,0.12,2.024,0.09,0.295,0.736,0.023,-4.682,0.189,2.222,0.245,72,0.316,0.019,0.25,1,1058.0,765.0,6629.0,0,118.7914,-24.2657
"FoF_2234,Alessi_43","nan",262.547,0.197,1.504,0.122,0.634,1.022,0.06,-5.559,0.321,3.91,0.33,209,0.011,0.0007,-0.75,1,1235.0,54.0,7102.0,1,132.6347,-41.7368
"FoF_2235,Collinder_197","nan",261.53,0.077,0.944,0.094,0.31,1.024,0.073,-5.76,0.315,3.946,0.391,167,0.007,0.0004,0.5,1,1218.0,225.0,7069.0,1,131.1998,-41.2974
"FoF_2236","n",276.753,0.152,0.673,0.108,0.427,0.959,0.046,-1.661,0.2,-0.441,0.193,134,2.24,0.1344,-0.75,1,"nan","nan","nan",0,146.428,-52.4934
"FoF_2237,Ruprecht_91","nan",286.896,0.176,1.466,0.11,0.467,0.928,0.035,-11.153,0.288,2.442,0.287,168,0.055,0.0033,-0.25,1,1468.0,1091.0,"nan",0,161.9296,-57.5022
