fname,N_clust,N_clust_max
oc0030,nan,30
upk16,nan,59
cwnu367,nan,60
cwnu1659,nan,30
hsc201,nan,25
ryu755,nan,50
cwnu296,nan,84
cwwdl13480,nan,44
cwnu1968,nan,28
ryu756,nan,50
hsc202,nan,25
ryu757,nan,50
cwnu3853,nan,66
cwnu3409,nan,92
ubc1594,nan,71
cwnu4842,nan,70
ryu758,nan,50
ryu759,nan,50
ryu227,nan,50
ryu760,nan,50
cwnu2470,nan,65
ryu761,nan,50
ryu762,nan,50
cwnu3676,nan,68
ryu763,nan,50
cwnu1708,nan,28
ryu764,nan,50
upk17,nan,144
oc0031,nan,80
cwnu2663,nan,46
ubc1016,nan,66
cwwdl11420,nan,40
theia1656,nan,25
ryu770,nan,50
ubc1017,nan,32
ubc1018,nan,425
ubc1019,nan,161
upk18,nan,52
ryu771,nan,50
cwnu2331,nan,102
ubc344,nan,80
ryu773,nan,50
hsc204,nan,37
ryu230,nan,50
hsc205,nan,25
ryu231,nan,50
ryu775,nan,50
cwnu4454,nan,86
ryu776,nan,50
ryu778,nan,50
ocsn288,nan,368
upk19,nan,190
ubc32,nan,393
ryu780,nan,50
ryu781,nan,50
theia4013,nan,70
cwnu2920,nan,32
cwnu2574,nan,116
ryu232,nan,50
ryu782,nan,50
hsc208,nan,25
ubc345,nan,68
ryu785,nan,50
ryu233,nan,50
cwwdl2334,nan,57
cwnu1980,nan,28
cwnu37,nan,92
cwnu4637,nan,354
ryu787,nan,50
cwnu506,nan,72
cwnu44,nan,384
ubc1020,nan,318
oc0032,nan,40
ryu789,nan,50
ryu790,nan,50
hsc210,nan,25
ubc1021,nan,109
cwnu328,nan,110
cwnu2590,nan,110
cwwdl14605,nan,33
cwwdl14360,nan,80
cwwdl14361,nan,38
theia1829,nan,33
ubc1022,nan,60
theia1976,nan,84
upk20,nan,99
cwnu397,nan,105
fof2293,nan,28
theia984,nan,90
ryu791,nan,50
ryu792,nan,50
ryu793,nan,50
upk21,nan,103
ryu234,nan,50
hxhwl51,nan,72
cwnu2718,nan,91
ubc1023,nan,64
oc0033,nan,75
ryu235,nan,50
ryu794,nan,50
ocsn5,nan,238
ubc1024,nan,155
ryu14,nan,50
ryu236,nan,50
cwnu2449,nan,68
ryu797,nan,50
cwwdl13352,nan,41
cwnu2202,nan,25
oc0034,nan,30
cwnu1461,nan,33
hsc207,nan,25
ryu237,nan,50
hsc212,nan,25
ryu798,nan,50
hsc213,nan,25
ryu799,nan,50
hsc214,nan,25
cwnu1127,nan,44
cwnu4411,nan,32
hsc215,nan,25
ryu238,nan,50
ryu800,nan,50
ryu801,nan,50
ryu239,nan,50
ryu802,nan,50
cwnu3154,nan,148
ryu240,nan,50
ryu803,nan,50
cwnu2547,nan,54
ryu804,nan,50
ubc346,nan,100
ubc347,nan,89
cwwdl9741,nan,59
oc0035,nan,62
ubc1025,nan,72
cwwdl14401,nan,49
hxhwl37,nan,59
ryu805,nan,50
theia222,nan,76
cwnu1994,nan,28
cwwdl14561,nan,38
ryu242,nan,50
hsc219,nan,63
hsc220,nan,25
cwnu4806,nan,108
ubc573,nan,52
cwnu3751,nan,47
hsc221,nan,47
cwnu3704,nan,58
hsc222,nan,25
cwnu98,nan,49
hsc223,nan,25
cwnu2121,nan,25
cwnu2406,nan,75
oc0036,nan,52
ryu807,nan,50
upk23,nan,45
cwnu2864,nan,25
ryu808,nan,50
hsc224,nan,61
hsc225,nan,39
ryu809,nan,50
cwnu3670,nan,62
hsc226,nan,61
cwnu1309,nan,38
cwnu2660,nan,89
hsc227,nan,48
cwwdl1730,nan,59
cwnu400,nan,241
ubc1026,nan,143
oc0037,nan,35
cwnu43,nan,276
ryu810,nan,50
cwnu3940,nan,93
cwnu2666,nan,89
cwnu2626,nan,100
cwnu1400,nan,35
oc0038,nan,32
cwnu3101,nan,98
ryu813,nan,50
fof1641,nan,124
hsc230,nan,121
cwnu3892,nan,86
cwnu4023,nan,79
cwnu2835,nan,35
cwnu70,nan,88
cwnu2865,nan,25
ryu243,nan,50
hsc231,nan,25
cwnu2912,nan,25
cwnu2722,nan,78
cwnu2461,nan,67
ryu814,nan,50
ryu815,nan,50
cwnu2807,nan,72
hsc232,nan,25
cwnu2787,nan,25
cwnu2421,nan,94
cwnu2710,nan,43
cwnu1301,nan,40
ryu816,nan,50
ubc1027,nan,366
oc0039,nan,30
ryu817,nan,50
ubc100,nan,166
ryu818,nan,50
cwwdl14116,nan,88
ryu244,nan,50
cwnu2659,nan,46
ryu819,nan,50
cwwdl14115,nan,57
cwnu101,nan,64
cwnu1964,nan,28
cwwdl14400,nan,51
ryu821,nan,50
ryu245,nan,50
cwnu1628,nan,30
ubc1028,nan,86
cwwdl1731,nan,48
ubc1029,nan,79
ryu822,nan,50
ryu246,nan,50
cwnu2820,nan,25
oc0040,nan,30
ryu823,nan,50
hsc233,nan,25
cwnu1036,nan,28
hsc229,nan,25
cwnu1501,nan,49
hsc234,nan,39
cwnu431,nan,68
ubc1030,nan,63
cwwdl13353,nan,36
cwnu404,nan,128
cwwdl5705,nan,59
ubc1031,nan,130
ubc1032,nan,38
upk24,nan,72
ryu825,nan,50
cwnu4891,nan,190
hsc235,nan,111
cwnu337,nan,89
ryu826,nan,50
cwnu2416,nan,100
ryu827,nan,50
theia625,nan,104
hsc236,nan,25
upk25,nan,25
ryu248,nan,50
cwnu2716,nan,43
cwnu1388,nan,56
ryu833,nan,50
cwnu4669,nan,90
cwnu1709,nan,28
ryu834,nan,50
cwnu4657,nan,64
cwnu494,nan,252
oc0041,nan,43
cwnu4664,nan,71
ryu835,nan,50
cwnu2450,nan,68
cwnu1929,nan,30
cwnu2540,nan,54
ryu837,nan,50
hsc238,nan,28
ryu838,nan,50
hsc239,nan,47
oc0042,nan,25
cwnu2127,nan,25
cwnu2277,nan,129
ryu839,nan,50
ryu840,nan,50
ryu249,nan,50
ryu842,nan,50
ryu843,nan,50
ryu844,nan,50
upk26,nan,115
ryu845,nan,50
ryu846,nan,50
ryu847,nan,50
hsc240,nan,25
ryu850,nan,50
ryu851,nan,50
oc0043,nan,41
ubc1033,nan,41
ryu853,nan,50
upk27,nan,110
cwnu4282,nan,102
ryu855,nan,50
cwnu3741,nan,45
ryu856,nan,50
ubc1568,nan,25
ocsn6,nan,97
ryu250,nan,50
cwnu4894,nan,63
cwwdl14332,nan,43
hxhwl30,nan,68
cwnu4321,nan,78
ryu859,nan,50
ryu860,nan,50
ubc101,nan,119
ryu861,nan,50
ryu862,nan,50
oc0044,nan,40
hsc243,nan,170
ryu864,nan,50
ryu865,nan,50
ubc1034,nan,123
cwnu4519,nan,124
oc0045,nan,41
hsc245,nan,25
cwnu2543,nan,132
cwnu1425,nan,54
ryu866,nan,50
ryu251,nan,50
ryu252,nan,50
cwnu4640,nan,335
cwwdl1736,nan,92
ubc349,nan,270
cwnu4884,nan,104
cwwdl5707,nan,43
theia403,nan,25
cwnu2221,nan,36
hsc248,nan,25
ryu868,nan,50
ubc350,nan,164
cwnu3785,nan,93
hsc249,nan,47
theia711,nan,105
hsc250,nan,30
cwnu407,nan,158
hsc251,nan,90
cwnu3468,nan,128
ocsn7,nan,161
cwwdl13697,nan,41
hsc252,nan,62
ubc102,nan,69
ubc1035,nan,179
ryu253,nan,50
cwwdl1743,nan,233
ryu254,nan,50
cwnu3631,nan,280
hsc253,nan,25
ubc1036,nan,163
cwnu432,nan,176
ryu869,nan,50
ryu255,nan,50
hsc254,nan,25
cwwdl14201,nan,46
upk28,nan,86
ryu256,nan,50
cwnu4551,nan,49
oc0046,nan,36
ubc103,nan,186
cwnu4813,nan,84
cwnu2310,nan,107
hsc255,nan,25
upk29,nan,133
ryu870,nan,50
cwwdl14441,nan,48
cwnu4350,nan,65
ryu257,nan,50
ubc1569,nan,94
fof1221,nan,175
cwnu4377,nan,65
ubc104,nan,132
cwnu1330,nan,38
cwwdl5708,nan,78
cwnu4497,nan,133
cwnu314,nan,62
cwnu28,nan,73
ubc1037,nan,92
hsc257,nan,25
hsc258,nan,49
cwnu3968,nan,98
cwnu2850,nan,28
cwnu4414,nan,86
hsc261,nan,55
cwnu3077,nan,94
cwwdl14601,nan,46
upk31,nan,93
hsc262,nan,69
hsc263,nan,41
cwnu1812,nan,33
cwnu4043,nan,588
ubc1038,nan,74
hsc264,nan,25
cwwdl2339,nan,128
cwnu3646,nan,108
hsc265,nan,34
cwnu3527,nan,122
cwnu4862,nan,232
cwnu4681,nan,72
cwnu4269,nan,126
hsc266,nan,125
hsc267,nan,47
ryu258,nan,50
ubc105,nan,123
oc0047,nan,43
cwnu3953,nan,59
hsc268,nan,85
cwnu3545,nan,157
ubc352,nan,51
hsc269,nan,25
ryu876,nan,50
ubc106,nan,664
cwwdl1747,nan,368
cwnu1857,nan,32
cwnu4211,nan,66
hsc271,nan,58
ryu259,nan,50
hsc272,nan,86
cwnu2963,nan,161
ryu260,nan,50
cwwl3567,nan,80
theia23,nan,121
ocsn247,nan,248
ryu261,nan,50
cwnu4507,nan,69
ubc107,nan,174
hsc273,nan,104
cwnu3128,nan,87
oc0048,nan,222
oc0049,nan,25
cwnu2662,nan,89
cwwdl13997,nan,35
hsc283,nan,34
ryu262,nan,50
hsc276,nan,64
ryu878,nan,50
ubc1039,nan,92
ubc1040,nan,64
cwnu1589,nan,43
ryu15,nan,50
ryu880,nan,50
hsc277,nan,25
ryu881,nan,50
cwnu1868,nan,32
ryu264,nan,50
hsc310,nan,87
hsc278,nan,25
ubc108,nan,127
ryu882,nan,50
cwwdl13487,nan,57
fof1235,nan,232
upk33,nan,91
cwwdl980,nan,409
cwnu4433,nan,63
ubc1041,nan,56
hsc279,nan,47
ubc110,nan,133
cwwdl13483,nan,46
ryu884,nan,50
ryu885,nan,50
ryu887,nan,50
cwnu1456,nan,35
ryu888,nan,50
ryu889,nan,50
cwnu4792,nan,58
cwnu2355,nan,25
theia291,nan,95
hsc280,nan,1000
cwnu4309,nan,81
cwnu2847,nan,41
ryu890,nan,50
cwnu4368,nan,155
hsc281,nan,63
cwnu3956,nan,89
cwnu3658,nan,67
ryu891,nan,50
oc0050,nan,59
ubc1042,nan,109
ryu893,nan,50
hsc284,nan,67
cwnu3599,nan,122
cwnu2320,nan,100
cwnu2029,nan,25
fof458,nan,135
cwnu4687,nan,119
cwnu4435,nan,63
ryu895,nan,50
ryu896,nan,50
ubc1043,nan,59
cwnu497,nan,68
ryu898,nan,50
ryu899,nan,50
ryu900,nan,50
cwwdl1764,nan,558
cwnu3278,nan,79
hsc285,nan,49
oc0051,nan,25
ubc353,nan,82
cwnu4440,nan,64
fof2117,nan,192
fof2118,nan,257
cwnu1292,nan,67
hsc287,nan,1000
hsc300,nan,25
ubc354,nan,35
ryu904,nan,50
cwwdl554,nan,120
cwnu4071,nan,67
fof2068,nan,148
ryu905,nan,50
cwnu4683,nan,41
cwnu86,nan,121
ryu906,nan,50
cwwdl13354,nan,33
ubc1044,nan,93
hsc289,nan,25
oc0052,nan,32
cwnu3561,nan,58
cwnu63,nan,116
hsc290,nan,586
ubc355,nan,125
oc0053,nan,43
cwwdl1757,nan,145
oc0054,nan,32
cwnu3100,nan,97
oc0055,nan,67
hsc291,nan,29
ryu907,nan,50
ryu908,nan,50
ryu909,nan,50
ryu910,nan,50
oc0056,nan,88
cwnu492,nan,96
upk34,nan,72
hsc305,nan,26
ubc1045,nan,67
