"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"Ruprecht_100",181.545,-62.6344,-0.35,0.24,15.0,-0.32,0.19,35,0.08,0.05,5.0,-0.23,0.15,6.0,-0.21,0.08,45.0,-0.38,0.32,31.0
"Ruprecht_101",182.3793,-62.9926,-0.24,0.15,62.0,-0.19,0.21,95,0.07,0.05,33.0,-0.3,0.06,33.0,-0.2,0.09,165.0,-0.15,0.15,95.0
"Ruprecht_102",183.3749,-62.7179,-0.23,0.06,3.0,-0.43,0.2,15,"nan","nan","nan",-0.31,0.1,8.0,-0.27,0.08,22.0,-0.53,0.15,9.0
"Ruprecht_107",199.9532,-64.9461,-0.18,0.22,7.0,-0.45,0.12,19,"nan","nan","nan",-0.35,0.19,5.0,-0.28,0.06,14.0,-0.53,0.07,15.0
"Ruprecht_111",219.0016,-59.9788,-0.17,0.11,218.0,-0.15,0.09,65,-0.04,0.05,14.0,-0.28,0.1,108.0,-0.13,0.05,176.0,-0.2,0.09,85.0
"Ruprecht_112",224.2555,-62.5534,-0.09,0.12,164.0,-0.24,0.12,205,0.07,0.05,30.0,-0.29,0.09,62.0,-0.17,0.07,188.0,-0.29,0.16,263.0
"Ruprecht_128",266.0609,-34.8715,-0.15,0.16,207.0,-0.06,0.15,36,0.11,0.08,17.0,0.05,0.11,46.0,-0.14,0.08,121.0,-0.12,0.19,40.0
"Ruprecht_134",268.1769,-29.5297,-0.14,0.15,131.0,0.26,0.04,14,0.26,0.04,12.0,0.16,0.13,37.0,-0.03,0.09,151.0,0.06,0.08,14.0
"Ruprecht_145",282.6559,-18.2784,-0.12,0.09,162.0,-0.09,0.06,139,0.0,0.14,3.0,-0.03,0.09,86.0,-0.09,0.08,142.0,-0.08,0.07,174.0
"Ruprecht_147",289.0753,-16.3594,-0.08,0.09,120.0,0.06,0.06,92,0.07,0.03,7.0,0.05,0.06,78.0,0.02,0.05,98.0,-0.02,0.12,147.0
"Ruprecht_151",115.2732,-16.2995,-0.2,0.08,31.0,-0.17,0.09,41,"nan","nan","nan",-0.14,0.09,29.0,-0.14,0.07,38.0,-0.09,0.07,45.0
"Ruprecht_163",165.7907,-67.6167,-0.08,0.06,24.0,-0.11,0.1,30,"nan","nan","nan",-0.14,0.1,18.0,-0.08,0.08,28.0,-0.07,0.07,28.0
"Ruprecht_164",172.6241,-60.753,-0.24,0.24,34.0,-0.13,0.24,66,0.14,0.07,24.0,-0.07,0.18,19.0,-0.2,0.16,87.0,-0.08,0.15,57.0
"Ruprecht_167",215.1407,-58.8563,-0.25,0.15,53.0,-0.15,0.08,64,0.09,0.05,4.0,-0.01,0.1,33.0,-0.11,0.06,60.0,-0.16,0.11,65.0
"Ruprecht_171",278.0125,-16.0742,-0.17,0.11,776.0,-0.17,0.1,159,-0.01,0.03,18.0,-0.07,0.09,313.0,-0.14,0.07,376.0,-0.13,0.08,125.0
"Ruprecht_172",302.8879,35.6076,-0.2,0.14,43.0,-0.27,0.16,50,-0.07,0.04,15.0,-0.28,0.04,5.0,-0.13,0.06,35.0,-0.18,0.08,56.0
"SAI_14",21.5171,62.6274,-0.29,0.15,24.0,-0.39,0.08,37,-0.3,0.07,10.0,-0.51,0.02,9.0,-0.35,0.04,17.0,-0.35,0.17,35.0
"SAI_17",35.2022,59.1816,-0.32,0.15,22.0,-0.36,0.05,25,-0.3,0.02,3.0,-0.45,0.08,12.0,-0.35,0.07,19.0,-0.3,0.12,28.0
"SAI_43",77.0555,49.8587,-0.26,0.11,35.0,-0.56,0.13,31,-0.33,0.1,4.0,-0.52,0.14,3.0,-0.35,0.04,7.0,-0.39,0.23,19.0
"SAI_86",122.0612,-36.6218,-0.24,0.13,48.0,-0.36,0.14,75,-0.15,0.1,10.0,-0.43,0.18,6.0,-0.26,0.05,26.0,-0.29,0.12,67.0
"SAI_91",129.2222,-50.0347,-0.23,0.11,66.0,-0.41,0.12,84,"nan","nan","nan",-0.39,0.08,8.0,-0.33,0.06,32.0,-0.32,0.14,71.0
"SAI_94",131.1782,-46.2911,-0.34,0.14,28.0,-0.37,0.12,50,-0.32,0.07,15.0,-0.62,0.13,7.0,-0.28,0.06,22.0,-0.33,0.11,44.0
"SAI_106",139.4822,-51.0109,-0.39,0.1,24.0,-0.31,0.1,24,-0.31,0.09,6.0,-0.3,0.11,13.0,-0.2,0.05,24.0,-0.04,0.04,18.0
"SAI_109",145.9034,-50.8033,-0.21,0.13,54.0,-0.4,0.12,63,-0.41,0.03,7.0,-0.6,0.09,28.0,-0.32,0.06,51.0,-0.32,0.16,66.0
"SAI_132",299.2396,31.6028,-0.09,0.11,79.0,-0.22,0.11,85,-0.11,0.07,28.0,0.07,0.1,17.0,-0.09,0.07,52.0,-0.19,0.14,99.0
"Saurer_2",126.3511,-39.6425,-0.45,0.15,30.0,-0.35,0.08,37,-0.29,0.01,3.0,-0.57,0.13,21.0,-0.3,0.09,38.0,-0.17,0.1,27.0
"Saurer_3",160.3943,-55.3026,-0.33,0.14,24.0,-0.25,0.1,15,"nan","nan","nan",-0.45,0.12,10.0,-0.16,0.11,19.0,-0.15,0.06,16.0
"Schoenball_1",23.3952,60.7567,-0.19,0.1,22.0,-0.37,0.13,32,-0.24,0.04,3.0,-0.3,0.07,4.0,-0.38,0.05,10.0,-0.3,0.12,23.0
