"Name","RAJ2000","DEJ2000","Diam","E(B-V)","e_E(B-V)","Eratio","Dm","e_Dm","Dist","e_Dist","Age","e_Age"
"Czernik 24",88.8525,20.8864,6.0,0.26,0.12,0.39,13.32,0.01,4600.0,10.0,9.4,0.05
"Koposov 12,FSR 802",90.2342,35.2767,9.0,0.3,0.03,0.51,11.55,0.03,2050.0,50.0,8.9,0.1
"SAI 57,FSR 932",91.0896,14.5728,5.0,0.39,0.07,0.43,10.18,0.1,1090.0,50.0,8.9,0.1
"SAI 58,FSR 921",91.2892,16.6842,5.0,1.33,0.33,0.7,11.8,0.2,2290.0,220.0,8.5,0.05
"SAI 59,FSR 942",91.4967,13.6644,8.0,0.59,0.01,0.53,11.51,0.25,2000.0,240.0,9.0,0.05
"SAI 60",91.6608,15.9475,4.0,0.9,0.01,0.54,14.5,0.05,7940.0,190.0,9.05,0.05
"SAI 61,FSR 904",91.73,19.0072,8.0,0.14,0.16,0.22,10.51,0.02,1260.0,20.0,8.8,0.05
"NGC 2158",91.8658,24.0981,15.0,0.34,0.03,0.57,12.58,0.2,3300.0,300.0,9.3,0.1
"Koposov 53",92.2342,26.2636,3.0,0.34,0.04,0.61,12.52,0.03,3200.0,100.0,8.5,"nan"
"DC 8",92.3388,31.2317,2.0,0.72,0.06,0.73,11.62,0.4,2100.0,300.0,9.0,0.05
"Koposov 63,FSR 869",92.5071,24.5606,5.0,0.26,0.04,0.4,12.32,0.28,3000.0,350.0,9.15,0.1
"Pismis 27",92.7242,20.6072,4.0,0.68,0.06,0.6,10.04,0.02,1000.0,10.0,7.7,"nan"
"SAI 62,FSR 985",92.9542,7.0228,3.0,0.55,0.02,0.56,12.1,0.09,2630.0,110.0,8.6,"nan"
"Koposov 82,Teutsch 136",92.9825,20.6706,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 63,FSR 987",93.4354,6.9494,4.0,0.37,0.13,0.4,11.4,0.09,1910.0,80.0,8.65,0.05
"Koposov 62",94.5083,24.7106,6.0,0.34,0.02,0.57,12.21,0.05,2800.0,60.0,9.4,0.1
"SAI 64,FSR 948",96.4829,15.8608,4.0,0.08,0.13,0.2,11.84,0.17,2330.0,190.0,9.0,0.05
"Koposov 41,FSR 839",97.7417,30.2614,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 65,FSR 979",97.8175,11.0772,3.0,1.17,0.17,0.63,11.65,0.05,2140.0,50.0,8.45,0.05
