"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 274,Taurua_Group9",3,180.9,-6.48,80.83,24.68,1.4,0.84,-18.02,0.61,5.57,0.26,12.31,15.51,2,15,45,7.61,7.0,0.53,0.93,1.06,0.03,7.25,0.83,"nan","nan","nan","nan","Taurua_Group9","Liu21"
"OCSN 275,Teutsch_35",3,69.59,7.18,294.14,35.74,-0.63,0.19,-2.47,0.21,2.02,0.06,-7.5,4.22,1,73,170,8.7,7.9,0.1,0.48,0.64,0.04,2.38,0.39,1.56,0.07,3.55,0.68,"Teutsch_35","CG20"
"OCSN 276,Trumpler_10",3,262.81,0.62,131.93,-42.5,-12.63,0.89,6.52,0.42,2.3,0.13,20.82,4.54,1,480,1162,8.24,7.85,0.02,2.76,1.84,0.5,3.33,1.09,2.76,0.06,7.13,0.54,"Trumpler_10","CG20"
"OCSN 277,Turner_5",3,264.33,11.21,143.36,-36.41,0.07,0.44,-3.0,0.64,2.4,0.14,-4.34,3.24,1,45,101,8.45,8.45,0.11,2.12,3.65,0.3,5.86,0.37,4.25,0.06,7.34,0.44,"Turner_5","CG20"
"OCSN 278,UBC_1",3,87.55,19.85,287.84,56.86,-2.5,0.37,3.6,0.51,3.06,0.08,-23.18,3.16,1,56,122,7.55,7.95,0.04,0.8,1.44,0.07,2.21,0.08,1.8,0.02,3.44,0.13,"UBC_1","CG20"
"OCSN 279,UBC_8",3,154.88,13.34,84.47,57.14,-3.25,0.2,-4.01,0.18,2.09,0.06,-6.11,3.22,1,73,166,9.47,8.2,0.41,0.42,0.7,0.03,1.4,0.07,1.28,0.02,2.98,0.2,"UBC_8","CG20"
"OCSN 280,UBC_9",3,54.41,16.92,276.5,26.39,0.3,0.37,-5.4,0.33,2.88,0.21,-18.71,2.75,1,43,144,8.27,7.4,0.2,1.01,1.1,0.05,4.68,0.69,2.32,0.07,5.02,0.54,"UBC_9","CG20"
"OCSN 281,UBC_11",3,327.0,-7.51,246.61,-59.91,-0.55,0.53,-6.95,0.43,2.2,0.06,-21.04,5.31,1,43,84,8.7,7.85,0.15,1.5,1.62,0.73,4.57,5.71,1.74,0.06,5.31,0.73,"UBC_11","CG20"
"OCSN 282,UBC_12",3,231.59,16.23,126.0,-8.39,-8.32,0.54,4.39,0.64,2.23,0.12,30.91,2.76,1,23,45,8.79,8.75,0.17,1.15,1.26,0.09,3.22,0.52,1.53,0.03,4.27,0.28,"UBC_12","CG20"
"OCSN 283,UBC_17a",3,206.09,-16.8,84.84,-1.73,1.78,0.19,-1.25,0.22,2.79,0.07,19.25,4.32,1,97,332,8.03,6.9,0.1,1.09,"nan","nan","nan","nan","nan","nan","nan","nan","UBC_17a","CG20"
