"Cluster","RA_ICRS","DE_ICRS","GLON","GLAT","r50","nbstars07","pmRA*","pmDE","plx","Flag","AgeNN","AVNN","DMNN","DistPc"
"NGC_2658         ",130.868,-32.662,254.561,6.071,0.061,358,-2.481,2.269,0.197,"NN            ",8.7,0.64,13.04,4055
"NGC_2659         ",130.634,-44.999,264.182,-1.671,0.042,82,-5.336,5.028,0.452,"NN            ",7.64,1.21,11.61,2095
"NGC_2660         ",130.667,-47.201,265.934,-3.009,0.035,402,-2.763,5.165,0.308,"NN            ",8.97,1.19,12.23,2788
"NGC_2669         ",131.611,-52.931,270.829,-6.073,0.118,209,-4.136,4.649,0.845,"NN            ",8.13,0.51,10.2,1096
"NGC_2670         ",131.386,-48.801,267.491,-3.62,0.11,191,-5.379,3.621,0.647,"NN            ",8.01,1.08,10.9,1512
"NGC_2671         ",131.557,-41.886,262.157,0.786,0.071,123,-1.569,0.94,0.687,"NN            ",8.52,2.31,10.71,1386
"NGC_2682         ",132.846,11.814,215.691,31.921,0.166,598,-10.986,-2.964,1.135,"NN            ",9.63,0.07,9.75,889
"NGC_2818         ",139.044,-36.624,262.001,8.608,0.078,252,-4.439,4.528,0.275,"NN            ",8.92,0.43,12.45,3085
"NGC_2849         ",139.85,-40.52,265.274,6.362,0.027,149,-4.272,3.519,0.142,"NN            ",9.02,0.85,13.59,5221
"NGC_2866         ",140.526,-51.1,273.122,-0.766,0.019,87,-5.111,4.658,0.328,"NN            ",7.8,1.67,12.33,2926
"NGC_2910         ",142.643,-52.913,275.318,-1.164,0.053,118,-6.802,6.159,0.746,"NN            ",8.11,0.57,10.51,1266
"NGC_2925         ",143.321,-53.413,275.956,-1.254,0.141,84,-8.533,5.336,1.295,"NN            ",8.11,0.2,9.34,738
"NGC_2972         ",145.058,-50.326,274.691,1.759,0.043,93,-5.085,2.489,0.483,"NN            ",8.69,1.22,11.49,1986
"NGC_3033         ",147.145,-56.415,279.588,-2.07,0.102,84,-7.554,4.254,0.532,"NN            ",8.83,0.76,11.26,1784
"NGC_3105         ",150.169,-54.79,279.919,0.265,0.018,84,-4.161,2.714,0.104,"NN            ",7.34,2.66,14.53,8071
"NGC_3114         ",150.553,-60.041,283.246,-3.805,0.41,1222,-7.376,3.779,0.954,"NN            ",8.16,0.27,10.05,1021
"NGC_3228         ",155.378,-51.814,280.763,4.486,0.512,117,-14.867,-0.696,2.036,"NN            ",7.48,0.08,8.49,498
"NGC_3255         ",156.635,-60.675,286.09,-2.632,0.019,100,-5.913,3.322,0.12,"NN            ",8.35,0.92,13.69,5469
"NGC_3293         ",158.97,-58.231,285.86,0.075,0.066,330,-7.671,3.344,0.376,"NN            ",7.01,0.9,12.17,2710
"NGC_3324         ",159.341,-58.615,286.219,-0.164,0.049,41,-7.112,2.782,0.356,"NN            ",7.03,1.19,11.89,2389
"NGC_3330         ",159.659,-54.148,284.183,3.818,0.124,92,-7.705,2.996,0.552,"NN            ",7.91,0.45,11.17,1716
"NGC_3496         ",164.877,-60.335,289.504,-0.414,0.093,377,-7.408,2.668,0.391,"NN            ",8.7,1.27,11.82,2310
"NGC_3532         ",166.417,-58.707,289.554,1.39,0.536,1854,-10.385,5.175,2.066,"NN            ",8.6,0,8.49,498
"NGC_3572         ",167.64,-60.294,290.742,0.169,0.074,75,-6.261,1.893,0.376,"NN            ",6.68,1.53,11.95,2455
"NGC_3590         ",168.262,-60.79,291.212,-0.177,0.034,167,-6.1,1.013,0.361,"NN            ",7.42,1.3,12.11,2638
"NGC_3603         ",168.795,-61.259,291.624,-0.518,0.039,272,-5.543,1.961,0.076,"tooRed        ","     ","     ","     ","      "
"NGC_366          ",16.624,62.219,124.686,-0.602,0.038,130,-2.071,-0.425,0.355,"NN            ",7.41,3.1,12.14,2677
"NGC_3680         ",171.392,-43.24,286.751,16.918,0.149,96,-7.278,1.118,0.933,"NN            ",9.34,0.1,10.15,1072
