"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 2658        ",130.87,0.04,-32.661,0.041,0.228,0.034,-2.48,0.032,2.267,0.047,0.079,495,4.391,10.355,"nan","nan","nan","nan","nan","nan"
"NGC 2660        ",130.669,0.027,-47.199,0.023,0.338,0.057,-2.762,0.093,5.164,0.107,0.04,509,2.921,8.991,"nan","nan","nan","nan","nan","nan"
"NGC 2669        ",131.606,0.087,-52.925,0.099,0.876,0.036,-4.15,0.078,4.653,0.12,0.11,228,1.143,8.361,"nan","nan","nan","nan","nan","nan"
"NGC 2670        ",131.386,0.069,-48.796,0.047,0.681,0.05,-5.379,0.095,3.599,0.093,0.075,161,1.469,8.492,"nan","nan","nan","nan","nan","nan"
"NGC 2682        ",132.843,0.155,11.818,0.132,1.162,0.067,-10.962,0.139,-2.955,0.132,0.256,1076,0.862,8.903,"nan","nan","nan","nan","nan","nan"
"NGC 2818        ",139.042,0.065,-36.617,0.042,0.313,0.046,-4.424,0.058,4.532,0.059,0.098,349,3.225,9.295,"nan","nan","nan","nan","nan","nan"
"NGC 2849        ",139.847,0.018,-40.52,0.013,0.172,0.053,-4.264,0.052,3.51,0.086,0.026,165,6.024,10.625,"nan","nan","nan","nan","nan","nan"
"NGC 2910        ",142.641,0.074,-52.904,0.042,0.779,0.048,-6.78,0.094,6.123,0.125,0.07,233,1.287,8.281,"nan","nan","nan","nan","nan","nan"
"NGC 2972        ",145.059,0.028,-50.325,0.044,0.512,0.032,-5.06,0.071,2.469,0.066,0.056,117,1.954,8.37,"nan","nan","nan","nan","nan","nan"
"NGC 3033        ",147.131,0.04,-56.411,0.047,0.561,0.044,-7.609,0.056,4.254,0.075,0.072,91,1.785,8.194,"nan","nan","nan","nan","nan","nan"
"NGC 3105        ",150.171,0.045,-54.788,0.022,0.116,0.019,-4.164,0.018,2.7,0.052,0.05,149,7.936,10.451,"nan","nan","nan","nan","nan","nan"
"NGC 3114        ",150.532,0.262,-60.038,0.135,0.983,0.055,-7.365,0.184,3.784,0.157,0.262,1019,1.018,8.128,"nan","nan","nan","nan","nan","nan"
"NGC 3228        ",155.283,0.145,-51.8,0.083,2.055,0.06,-14.902,0.102,-0.707,0.124,0.132,42,0.487,8.224,"nan","nan","nan","nan","nan","nan"
"NGC 3247        ",156.703,0.046,-57.929,0.046,0.319,0.111,-6.498,1.004,3.012,0.241,0.056,253,2.987,8.077,"nan","nan","nan","nan","nan","nan"
"NGC 3293        ",158.973,0.052,-58.233,0.031,0.413,0.028,-7.684,0.087,3.351,0.087,0.071,491,2.424,7.986,"nan","nan","nan","nan","nan","nan"
"NGC 3324        ",159.341,0.138,-58.632,0.062,0.398,0.023,-7.21,0.139,3.067,0.188,0.148,256,2.516,7.972,"nan","nan","nan","nan","nan","nan"
"NGC 3496        ",164.878,0.096,-60.334,0.055,0.423,0.029,-7.406,0.052,2.688,0.065,0.098,657,2.339,7.836,"nan","nan","nan","nan","nan","nan"
"NGC 3532        ",166.428,0.556,-58.705,0.221,2.094,0.091,-10.43,0.295,5.189,0.61,0.328,1298,0.476,8.153,"nan","nan","nan","nan","nan","nan"
"NGC 3572        ",167.646,0.052,-60.293,0.054,0.409,0.03,-6.204,0.07,1.921,0.075,0.08,638,2.456,7.777,"nan","nan","nan","nan","nan","nan"
"NGC 3590        ",168.244,0.106,-60.789,0.029,0.397,0.026,-6.082,0.064,1.052,0.126,0.116,438,2.508,7.755,"nan","nan","nan","nan","nan","nan"
"NGC 3603        ",168.798,0.037,-61.258,0.016,0.106,0.045,-5.52,0.107,1.959,0.074,0.04,316,9.515,10.06,"nan","nan","nan","nan","nan","nan"
