"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"NGC 6554","18 08 59","-18 26 06",11.7618,0.6484," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",272.24579,-18.43497
"ESO 521-38","18 09 25","-24 31 48",6.4755,-2.3892,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",272.35416,-24.52996
"Collinder 367","18 09 36","-23 59 00",6.9748,-2.162,"nan",39.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",272.40001,-23.98335
"NGC 6561","18 10 30","-16 43 30",13.4337,1.1585," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",272.62504,-16.72499
"ESO 456-72","18 12 29","-29 34 36",2.3595,-5.4018,"nan",1.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",273.12084,-29.57668
"NGC 6568","18 12 44","-21 36 18",9.4087,-1.6513,"nan",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",273.18333,-21.60497
"ESO 522-05","18 12 53","-24 21 48",7.001,-3.0013,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",273.2208,-24.36332
"NGC 6573","18 13 41","-22 07 06",9.0632,-2.0905," n",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",273.42085,-22.11833
"BH 261","18 14 05","-28 38 00",3.3604,-5.2644,"nan",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",273.5208,-28.63333
"Markarian 38","18 15 17","-19 00 00",11.9832,-0.9313,"nan",2.0,1471.0,0.405,"nan",6.882,0.07,2.03,-2.2,2.03,-1.9,-1.11,26.0," TYC",-18.0,0.4,"nan"," RGDZ","nan","nan","nan",273.8208,-19.00004
"NGC 6583","18 15 49","-22 08 12",9.2825,-2.5336,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",273.95411,-22.13667
"ESO 335-05","18 16 07","-41 03 48",352.3842,-11.3337," d",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.02917,-41.06337
"Collinder 469","18 16 15","-18 16 00",12.7372,-0.7834,"nan",3.0,1481.0,0.418,"nan",7.799,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.06245,-18.26667
"Turner 2","18 16 51","-19 01 48",12.1331,-1.2713," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.21254,-19.02998
"Turner 3","18 16 59","-19 04 30",12.1084,-1.3204,"nan","nan",1790.0,"nan","nan",7.46,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.24586,-19.07502
"NGC 6595","18 17 04","-19 51 54",11.4221,-1.7125,"nan",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.26671,-19.86498
"Turner 4","18 17 24","-19 05 06",12.1463,-1.4118,"nan","nan",2330.0,"nan","nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.35001,-19.08502
"Trumpler 32","18 17 30","-13 21 00",17.2067,1.2879,"nan",5.0,1720.0,0.64,"nan",8.48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.37497,-13.34998
"NGC 6596","18 17 33","-16 39 00",14.3071,-0.2882,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.38748,-16.65005
"NGC 6604","18 18 03","-12 14 30",18.2467,1.6948,"nan",5.0,1696.0,0.97,"nan",6.81,-0.02,1.17,-2.74,0.77,-2.42,-1.28,2.0," BDW",18.0,14.0,"nan"," RGDZ","nan","nan","nan",274.51248,-12.24163
"NGC 6605","18 18 21","-14 56 42",15.8996,0.3506," n",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.58746,-14.94504
"NGC 6603","18 18 26","-18 24 24",12.8598,-1.306,"nan",6.0,3600.0,0.79,"nan",8.3,0.72,2.35,0.1,2.35,0.43,-0.59,22.0," TYC","nan","nan","nan","nan","nan","nan","nan",274.60837,-18.40669
"Alessi 19","18 18 28","+12 10 00",40.2164,12.7579,"nan",88.0,550.0,0.04,"nan",8.0,0.42,1.63,-6.56,1.63,-5.74,-3.2,18.0," ADM","nan","nan","nan","nan","nan","nan","nan",274.61666,12.16669
"NGC 6611","18 18 48","-13 48 24",16.954,0.7934," v",6.0,1749.0,0.782,"nan",6.884,0.07,1.53,-0.28,1.53,-0.21,-0.19,11.0," TYC",23.5,6.5,"nan"," RGDZ","nan","nan","nan",274.69995,-13.80669
"ESO 522-16","18 19 05","-27 07 48",5.2143,-5.5368," d",1.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",274.77079,-27.12998
"NGC 6613","18 19 58","-17 06 06",14.1827,-1.0112,"nan",5.0,1296.0,0.45,"nan",7.223,-1.02,0.93,-1.33,0.58,-1.65,0.27,3.0," BDW",-14.0,9.0,"nan"," RGDZ","nan","nan","nan",274.99163,-17.10169
"NGC 6588","18 20 33","-63 48 30",330.8435,-20.8782,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",275.13742,-63.80836
"NGC 6618","18 20 47","-16 10 18",15.0952,-0.7454,"nan",25.0,1300.0,1.51,"nan",6.0,1.79,2.81,-1.96,2.81,-0.89,-2.5,50.0," TYC","nan","nan","nan","nan","nan","nan","nan",275.19584,-16.17173
"Ruprecht 140","18 21 51","-33 13 00",0.0351,-8.8549,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",275.46248,-33.21669
"NGC 6625","18 22 49","-11 57 42",19.0428,0.7989," r",16.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",275.70418,-11.96169
"Trumpler 33","18 24 42","-19 43 00",12.3971,-3.2282,"nan",5.0,1755.0,0.357,"nan",7.685,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",276.17503,-19.71669
"Ruprecht 170","18 25 12","-10 03 00",21.0062,1.1766,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",276.30002,-10.05004
"Dolidze 28","18 25 24","-14 39 00",16.9612,-1.0147," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",276.35,-14.64998
"NGC 6631","18 27 11","-12 01 48",19.4814,-0.1771,"nan",6.0,2600.0,0.45,"nan",8.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",276.79585,-12.03005
"NGC 6633","18 27 15","+06 30 30",36.0113,8.3277,"nan",20.0,376.0,0.182,"nan",8.629,-0.21,1.53,-1.6,1.53,-1.53,-0.53,25.0," TYC",-29.1,0.3,6.0," MM89",0.0,0.05,3.0,276.81255,6.50833
"NGC 6639","18 30 59","-13 09 18",18.9149,-1.5203," n",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",277.74582,-13.155
"Ruprecht 141","18 31 18","-12 19 00",19.6942,-1.2013,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",277.82503,-12.31669
"Dolidze 29","18 31 24","-06 38 00",24.7452,1.4051," d",18.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",277.85,-6.63331
"IC 4725","18 31 47","-19 07 00",13.7024,-4.4336,"nan",29.0,620.0,0.476,"nan",7.965,-4.01,2.83,-5.7,2.83,-6.9,0.96,50.0," TYC",2.4,"nan",2.0," MMB",0.17,0.06,"nan",277.94582,-19.11666
"Ruprecht 142","18 32 06","-12 15 00",19.8436,-1.3438,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.02499,-12.25005
"Ruprecht 171","18 32 12","-16 03 00",16.4794,-3.116,"nan",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.04994,-16.05003
"Ruprecht 143","18 32 36","-12 08 00",20.0036,-1.3983,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.14997,-12.13329
"NGC 6645","18 32 37","-16 53 00",15.7837,-3.5873,"nan",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.15417,-16.88338
"NGC 6647","18 32 49","-17 13 42",15.4984,-3.7878," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.20414,-17.22832
"Dolidze 30","18 32 54","-06 02 00",25.4497,1.3514," d",18.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.22503,-6.03332
"Ruprecht 144","18 33 24","-11 26 00",20.7152,-1.2493,"nan",2.0,"nan",0.32,"nan",8.18,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.35,-11.43332
"NGC 6649","18 33 27","-10 24 12",21.635,-0.7853,"nan",5.0,1369.0,1.201,"nan",7.566,"nan","nan","nan","nan","nan","nan","nan","nan",-8.8,"nan",3.0," MMB","nan","nan","nan",278.36247,-10.40332
"NGC 6659","18 33 59","+23 35 42",52.4803,14.1565," n",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.49582,23.59502
"Dolidze 31","18 34 54","-06 51 00",24.9537,0.5342," nf",18.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",278.72494,-6.85002
"NGC 6664","18 36 37","-07 48 48",24.2942,-0.2869,"nan",12.0,1164.0,0.709,"nan",7.162,-0.31,1.54,-2.31,1.17,-2.19,-0.79,2.0," BDW",17.8,"nan",3.0," MMB","nan","nan","nan",279.15415,-7.8133
"IC 4756","18 39 00","+05 27 00",36.3808,5.2422,"nan",39.0,484.0,0.192,"nan",8.699,-0.14,1.26,-3.4,1.26,-3.1,-1.41,30.0," TYC",-25.8,0.6,13.0," MM90",-0.06,0.1,13.0,279.75002,5.45001
"Stephenson 2","18 39 22","-06 01 18",26.1992,-0.071,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",279.84168,-6.02171
"NGC 6682","18 39 37","-04 48 48",27.3017,0.4275," n",19.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",279.90419,-4.81336
"Trumpler 34","18 39 48","-08 29 00",24.0601,-1.2943,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",279.94999,-8.48339
"ESO 281-24","18 39 59","-44 11 54",351.2847,-16.6192,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",279.99583,-44.19834
"Dolidze 32","18 40 24","-04 06 00",28.0253,0.5807," nf",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",280.10005,-4.09999
"Dolidze 33","18 40 36","-04 24 00",27.7814,0.399,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",280.15005,-4.40001
"Dolidze 34","18 42 00","-04 35 00",27.7781,0.0049," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",280.50001,-4.58331
"NGC 6683","18 42 13","-06 12 42",26.3546,-0.7878,"nan",3.0,1197.0,0.54,"nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",280.55415,-6.21171
"Trumpler 35","18 42 54","-04 08 00",28.2809,0.0112,"nan",5.0,1206.0,1.218,"nan",7.862,"nan","nan","nan","nan","nan","nan","nan","nan",-4.7,0.7,"nan"," RGDZ","nan","nan","nan",280.725,-4.13329
"Andrews-Lindsay 5","18 44 19","-04 55 48",27.7335,-0.6669,"nan",2.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",281.07914,-4.93005
"Berkeley 79","18 45 12","-01 13 00",31.1378,0.8327,"nan",6.0,2300.0,1.19,"v",7.81,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",281.29999,-1.21673
"NGC 6694","18 45 18","-09 23 00",23.8786,-2.9136,"nan",7.0,1600.0,0.589,"nan",7.931,-1.73,1.35,-0.91,0.95,-1.6,1.13,1.0," BDW",-9.2,0.5,"nan"," RGDZ","nan","nan","nan",281.32502,-9.38336
"Iskudarian 1","18 47 54","+36 51 00",66.3586,16.5264," m",110.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",281.97497,36.84995
"NGC 6698","18 48 04","-25 52 42",9.2548,-10.7918," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",282.01666,-25.8783
"Basel 1","18 48 12","-05 51 00",27.3553,-1.9466,"nan",5.0,2178.0,0.482,"nan",7.893,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",282.04998,-5.85004
"Czernik 38","18 49 42","+04 56 00",37.1279,2.6329,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",282.42501,4.93332
"Ruprecht 145","18 50 36","-18 15 00",16.4883,-8.0309,"nan",35.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",282.64997,-18.25001
"NGC 6704","18 50 45","-05 12 18",28.219,-2.2183,"nan",5.0,2974.0,0.717,"nan",7.863,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",282.68755,-5.20499
"NGC 6705","18 51 05","-06 16 12",27.307,-2.776,"nan",13.0,1877.0,0.426,"nan",8.302,-4.63,2.69,-1.1,2.69,-3.08,3.63,32.0," TYC",34.4,0.2,"nan"," RGDZ",0.136,0.08,6.0,282.77084,-6.27004
"NGC 6709","18 51 18","+10 19 06",42.1204,4.7151,"nan",14.0,1075.0,0.304,"nan",8.178,0.96,3.9,-2.3,3.9,-1.62,-1.89,55.0," TYC",-21.0,14.0,"nan"," RGDZ","nan","nan","nan",282.82501,10.31834
"Collinder 394","18 52 28","-20 19 00",14.8,-9.3269,"nan",22.0,690.0,0.235,"nan",7.803,-2.42,1.83,-7.2,1.83,-7.54,-0.93,23.0," TYC",6.0,0.3,"nan"," RGDZ","nan","nan","nan",283.11663,-20.31664
"Ruprecht 146","18 52 31","-21 05 00",14.1037,-9.6679,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",283.12914,-21.0833
"Stephenson 1","18 53 30","+36 55 00",66.8629,15.5147,"nan",20.0,390.0,0.04,"nan",7.731,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",283.37502,36.91667
"Berkeley 80","18 54 30","-01 15 00",32.1683,-1.2512,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",283.62504,-1.25002
"NGC 6716","18 54 34","-19 54 06",15.3951,-9.5927,"nan",10.0,789.0,0.22,"nan",7.961,-0.87,1.73,-3.3,1.73,-3.35,-0.64,11.0," TYC","nan","nan","nan","nan","nan","nan","nan",283.64161,-19.90167
"Archinal 1","18 54 49","+05 32 54",38.2557,1.7781,"nan",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",283.70413,5.54832
"ESO 524-01","18 56 39","-26 57 48",9.0625,-12.9906," d",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",284.16251,-26.96339
"NGC 6724","18 56 46","+10 25 42",42.8274,3.5653," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",284.19166,10.42833
"NGC 6728","18 58 45","-08 58 00",25.7534,-5.6881," n",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",284.68749,-8.96671
"NGC 6735","19 00 37","-00 28 30",33.5557,-2.2588," n",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",285.15416,-0.47501
"NGC 6743","19 01 20","+29 16 36",60.367,10.9225," n",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",285.3333,29.2767
"NGC 6738","19 01 21","+11 36 54",44.398,3.102,"nan",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",285.33749,11.615
"Berkeley 81","19 01 36","-00 31 00",33.6308,-2.4966,"nan",5.0,3000.0,1.0,"nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",285.40002,-0.51667
"NGC 6737","19 02 17","-18 32 48",17.4315,-10.6583," n",8.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",285.57081,-18.54666
"ESO 397-01","19 04 09","-33 23 06",3.592,-16.9842,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",286.03744,-33.38499
"Berkeley 42","19 05 06","+01 53 00",36.1675,-2.1782,"nan",5.0,1826.0,0.76,"nan",9.325,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",286.27497,1.88337
"Czernik 39","19 07 36","+04 18 00",38.6025,-1.6242,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",286.89995,4.30001
"NGC 6755","19 07 49","+04 16 00",38.5977,-1.6875,"nan",14.0,1421.0,0.826,"nan",7.719,-0.37,3.17,-3.71,3.17,-3.46,-1.38,15.0," TYC",18.7,5.8,"nan"," RGDZ","nan","nan","nan",286.95411,4.26666
"NGC 6756","19 08 42","+04 42 18",39.0884,-1.6814,"nan",4.0,1507.0,1.18,"nan",7.79,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",287.17494,4.705
"Berkeley 82","19 11 24","+13 04 00",46.8151,1.5858,"nan",2.0,860.0,1.021,"nan",7.493,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",287.85001,13.0666
"ESO 282-26","19 13 52","-42 38 54",355.0152,-21.8938," p",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",288.46661,-42.64836
"NGC 6773","19 15 03","+04 52 54",39.9758,-3.0034," n",8.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",288.76246,4.88162
"Berkeley 43","19 15 36","+11 13 00",45.652,-0.1815,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",288.89995,11.21664
"Ruprecht 147","19 16 42","-16 17 00",21.0123,-12.8164,"nan",25.0,174.0,0.15,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.17504,-16.28334
"NGC 6775","19 16 48","-00 55 24",35.0072,-6.0631," n",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.20005,-0.92332
"ESO 231-30","19 16 52","-51 29 30",345.8711,-24.7193,"nan",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.21673,-51.49169
"Berkeley 44","19 17 12","+19 33 00",53.212,3.3543,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.29995,19.55001
"ESO 141-47","19 18 03","-57 54 12",338.9518,-26.1725," p",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.51242,-57.90331
"Berkeley 45","19 19 12","+15 43 00",50.0403,1.1456,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.79998,15.71669
"ESO 337-23","19 19 13","-37 37 18",0.4981,-21.3206,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",289.80419,-37.62166
"NGC 6791","19 20 53","+37 46 18",69.9585,10.9038,"nan",10.0,5853.0,0.117,"nan",9.643,-3.17,5.22,-7.74,5.22,-8.35,-0.54,15.0," TYC",-57.0,11.0,41.0," SFJ",0.15,0.16,15.0,290.22083,37.77167
"NGC 6793","19 23 14","+22 08 30",56.1669,3.317,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",290.80832,22.14167
"King 25","19 24 30","+13 42 00",48.8646,-0.9346,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",291.12503,13.70002
"Collinder 399","19 25 24","+20 11 00",54.6767,1.948," a",89.0,1291.0,0.377,"nan",8.205,0.34,3.37,-5.8,3.37,-4.95,-3.05,35.0," TYC","nan","nan","nan","nan","nan","nan","nan",291.34998,20.18337
"NGC 6795","19 26 18","+03 30 54",40.0687,-6.1222," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",291.57504,3.51499
"Dolidze 35","19 26 24","+11 36 00",47.2343,-2.3379," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",291.60006,11.60001
"NGC 6800","19 27 07","+25 08 24",59.2368,3.9448,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",291.77916,25.13997
"ESO 525-08","19 27 17","-23 34 48",15.1171,-18.0269,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",291.82086,-23.57997
"Berkeley 47","19 28 36","+17 24 00",52.5889,-0.0428,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",292.14995,17.4
"King 26","19 29 00","+14 52 00",50.4097,-1.3385,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",292.24996,14.86669
"NGC 6802","19 30 35","+20 15 42",55.3256,0.9166,"nan",5.0,1124.0,0.848,"nan",8.87,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",292.64578,20.26168
"Stock 1","19 35 48","+25 13 00",60.247,2.2572,"nan",80.0,320.0,0.15,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",293.95001,25.21669
"NGC 6811","19 37 17","+46 23 18",79.2105,12.0148,"nan",14.0,1215.0,0.16,"nan",8.799,-5.47,1.93,-7.53,1.93,-9.19,1.47,51.0," TYC",7.1,0.3,3.0," MM90","nan","nan","nan",294.32077,46.38835
"Collinder 401","19 38 24","+00 20 00",38.6456,-10.2788," nf",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",294.59997,0.33334
"Saurer 5","19 39 35","+25 39 00",61.0429,1.7238,"nan",1.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",294.89576,25.64998
"NGC 6815","19 40 43","+26 46 42",62.1508,2.058," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",295.17911,26.77833
"NGC 6819","19 41 18","+40 11 12",73.9778,8.4808,"nan",5.0,2360.0,0.238,"nan",9.174,-3.14,3.18,-3.34,3.18,-4.43,1.16,11.0," TYC",4.8,0.9,"nan"," RGDZ",0.074,0.12,13.0,295.32504,40.18663
"Mandushev 1","19 42 00","+29 27 08",64.6189,3.1309,"nan",13.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",295.49996,29.45226
"Czernik 40","19 42 36","+21 11 00",57.5018,-1.0856,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",295.64996,21.18336
"NGC 6823","19 43 09","+23 18 00",59.4019,-0.144,"nan",6.0,1893.0,0.845,"nan",6.82,-1.41,0.94,-3.04,0.92,-3.34,-0.29,2.0," BDW",11.0,6.0,"nan"," RGDZ","nan","nan","nan",295.78751,23.30003
"Turner 9","19 44 49","+29 15 54",64.761,2.5051,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",296.20417,29.26501
"Roslund 1","19 45 00","+17 31 00",54.5997,-3.4001,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",296.24995,17.51666
