"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"HE2023_1","515","CWNU 3406",30.2664,60.2564,131.4699,-1.456,0.281,-1.701,-0.385,"cwnu3406","UCC G131.4-01.4a","Q2N",6.4,0.09,0.61,"DB",172.0,131.46,-1.462,30.242,60.247,0.29,-1.67,-0.386,-60.944,9.0,"hsc1069","0.98"
"HUNT2023;CAVALLO2024","2613;1778","HSC 1069",30.2846,60.2526,131.4796,-1.4573,0.291,-1.682,-0.388,"hsc1069","UCC G131.4-01.4","Q2N",6.6,0.11,0.6,"DB",173.0,131.46,-1.461,30.242,60.246,0.291,-1.67,-0.385,-60.944,9.0,"cwnu3406","0.98"
"CANTAT2020;CASTRO2020;DIAS2021;HE2022_1;HUNT2023;CAVALLO2024","1587;323;1411;442;5956;5704","UBC 415",42.54,72.914,131.4868,12.0451,1.096,-1.301,-1.626,"ubc415","UCC G131.4+12.0","Q2P",24.2,1.0,0.65,"AB",139.0,131.546,12.053,42.702,72.914,1.111,-1.232,-1.693,-25.278,19.0,"nan","nan"
"CANTAT2020;DIAS2021;TARRICQ2022;HE2022_1;HUNT2023;CAVALLO2024","247;209;70;82;310;299","COIN-Gaia 34",31.231,61.776,131.504,0.1334,1.006,-2.231,0.866,"coingaia34","UCC G131.5+00.1","Q2P",13.1,0.99,0.61,"AB",80.0,131.491,0.162,31.197,61.8,1.044,-2.286,0.8,-24.843,20.0,"nan","nan"
"HUNT2023;CAVALLO2024","2614;1779","HSC 1070",33.4381,64.8927,131.5245,3.4032,0.293,-0.164,0.222,"hsc1070","UCC G131.5+03.4","Q2P",11.3,0.7,0.5,"BC",25.0,131.544,3.449,33.483,64.912,0.279,-0.153,0.226,-100.93,1.0,"nan","nan"
"HE2023;HUNT2023;CAVALLO2024","967;1005;808","CWNU 2238",29.9002,59.3072,131.5425,-2.4202,0.446,-3.354,-0.215,"cwnu2238","UCC G131.5-02.4","Q2N",6.9,0.47,0.42,"CC",37.0,131.572,-2.424,29.958,59.307,0.444,-3.375,-0.204,-33.562,3.0,"nan","nan"
"KHARCHENKO2012;BICA2019;HE2023_1","2586;1071;940","ASCC 7;MWSC 156",29.7467,58.9475,131.5599,-2.788,"nan","nan","nan","ascc7;mwsc156","UCC G131.5-02.7","Q2N",6.6,0.4,0.39,"CC",72.0,131.569,-2.796,29.755,58.941,0.211,-0.929,-0.234,-69.299,6.0,"nan","nan"
"BICA2019","3041","Steine 7;DSH J0211.9+6411",32.9949,64.1942,131.56,2.68,"nan","nan","nan","steine7;dshj02119p6411","UCC G131.5+02.6","Q2P",6.7,0.31,0.46,"CC",32.0,131.559,2.687,32.993,64.202,0.172,-0.573,0.232,-71.051,2.0,"nan","nan"
"GLUSHKOVA2010","14","SAI 15",27.4692,53.9094,131.5609,-7.9804,"nan","nan","nan","sai15","UCC G131.5-07.9a","Q2N",2.5,1.0,0.65,"AB",98.0,131.562,-7.988,27.469,53.899,0.341,-0.786,-1.623,-107.41,2.0,"ubc188;cwwdl3307","0.77;0.71"
"CANTAT2020;CASTRO2020;DIAS2021;HUNT2023;CAVALLO2024","1395;97;1326;5816;5555","UBC 188",27.466,53.9,131.5612,-7.99,0.335,-0.866,-1.557,"ubc188","UCC G131.5-07.9","Q2N",14.1,0.99,0.72,"AB",59.0,131.56,-7.986,27.463,53.901,0.33,-0.819,-1.668,-48.166,5.0,"cwwdl3307;sai15","0.77;0.77"
"CHI2023_2","310","CWWDL 3307",27.4712,53.882,131.5683,-8.0068,0.33,-0.818,-1.591,"cwwdl3307","UCC G131.5-08.0","Q2N",7.8,1.0,0.6,"AB",124.0,131.573,-7.982,27.486,53.905,0.33,-0.825,-1.624,-69.766,3.0,"ubc188;sai15","0.77;0.71"
"HE2023_1","802","CWNU 3678",31.2766,61.5514,131.5879,-0.0761,0.406,-1.391,-0.152,"cwnu3678","UCC G131.5+00.0","Q2P",6.4,0.78,0.54,"AB",32.0,131.582,-0.083,31.246,61.551,0.405,-1.384,-0.154,-56.061,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","2615;1780","HSC 1071",33.2281,64.3187,131.618,2.8297,1.031,-0.703,-2.195,"hsc1071","UCC G131.6+02.8","Q2P",25.2,1.0,0.46,"AC",69.0,131.712,2.886,33.632,64.32,1.031,-0.698,-2.207,-21.695,12.0,"nan","nan"
"HUNT2023;CAVALLO2024","2616;1781","HSC 1072",28.353,55.5849,131.6675,-6.2322,0.549,-0.968,-0.796,"hsc1072","UCC G131.6-06.2","Q2N",9.4,0.23,0.56,"DB",30.0,131.638,-6.231,28.325,55.599,0.547,-0.98,-0.799,182.181,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","2617;1782","HSC 1073",30.0835,59.1529,131.6736,-2.5445,0.414,-1.411,-0.83,"hsc1073","UCC G131.6-02.5","Q2N",5.3,0.75,0.5,"BC",27.0,131.677,-2.511,30.125,59.173,0.407,-1.373,-0.805,"nan",0.0,"nan","nan"
"BICA2019","3042","Steine 8",33.3575,64.227,131.7,2.76,"nan","nan","nan","steine8","UCC G131.7+02.7","Q2P",2.8,0.41,0.28,"CC",0.0,131.702,2.765,33.373,64.236,0.207,-1.046,0.781,-62.196,2.0,"nan","nan"
"HE2022","440","CWNU 441",29.4262,57.4477,131.782,-4.281,0.41,-1.32,-1.24,"cwnu441","UCC G131.7-04.2","Q2N",6.1,0.98,0.64,"AB",40.0,131.795,-4.277,29.453,57.44,0.407,-1.315,-1.218,"nan",0.0,"nan","nan"
"CHI2023_2","256","CWWDL 2912",33.2857,63.8577,131.7852,2.3993,0.345,-1.302,-0.855,"cwwdl2912","UCC G131.7+02.3","Q2P",4.9,0.61,0.57,"BB",82.0,131.778,2.401,33.274,63.857,0.333,-1.296,-0.877,-45.137,3.0,"ubc416","0.86"
"CANTAT2020;CASTRO2020;HUNT2023;CAVALLO2024","1588;324;5957;5705","UBC 416",33.296,63.856,131.7901,2.3991,0.336,-1.24,-0.842,"ubc416","UCC G131.7+02.3a","Q2P",5.4,0.52,0.87,"BA",58.0,131.78,2.394,33.272,63.848,0.328,-1.298,-0.893,-55.561,5.0,"cwwdl2912","0.86"
"HUNT2023;CAVALLO2024","2618;1783","HSC 1074",35.6131,66.6409,131.792,5.3476,1.139,7.682,0.768,"hsc1074","UCC G131.7+05.3","Q2P",14.8,0.62,0.15,"BD",0.0,131.819,5.341,35.596,66.563,1.14,7.472,0.779,-35.643,4.0,"nan","nan"
"CASTRO2022","576","UBC 1577",29.48,57.45,131.8095,-4.2714,0.41,-1.32,-1.24,"ubc1577","UCC G131.8-04.2","Q2N",24.1,1.0,0.65,"AB",58.0,131.971,-4.294,29.711,57.41,0.411,-1.313,-1.237,-58.529,2.0,"nan","nan"
"HE2023_1","206","CWNU 3120",29.1604,56.4433,131.8959,-5.2894,0.322,-0.604,-0.755,"cwnu3120","UCC G131.8-05.2","Q2N",4.0,0.35,0.38,"CC",0.0,131.889,-5.229,29.194,56.505,0.312,-0.654,-0.838,"nan",0.0,"nan","nan"
"HAO2022","240","OC 0241",35.3997,65.9088,131.9638,4.6307,0.17,-0.535,0.951,"oc0241","UCC G131.9+04.6","Q2P",3.7,1.0,0.58,"AB",282.0,131.981,4.614,35.424,65.89,0.165,-0.561,0.921,-40.725,12.0,"berkeley64","0.97"
"HUNT2023","2619","HSC 1076",40.4392,70.4295,131.9792,9.5205,0.283,0.26,0.862,"hsc1076","UCC G131.9+09.5","Q2P",10.3,0.34,0.43,"CC",62.0,131.962,9.483,40.353,70.401,0.263,0.278,0.847,-50.66,3.0,"nan","nan"
"CHEN2003;KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;DIAS2021;JAEHNIG2021;HUNT2023;CAVALLO2024","14;2792;95;3547;177;149;22;227;225","Berkeley 64;MWSC 182",35.428,65.888,131.9819,4.6151,0.159,-0.511,0.998,"berkeley64;mwsc182","UCC G131.9+04.6a","Q2P",3.7,1.0,0.61,"AB",278.0,131.981,4.614,35.425,65.889,0.167,-0.558,0.916,-40.725,12.0,"oc0241","0.97"
"CHI2023_2","818","CWWDL 13359",30.7886,59.0217,132.0581,-2.5734,0.457,-0.83,-1.118,"cwwdl13359","UCC G132.0-02.5","Q2N",3.9,0.49,0.35,"CC",0.0,132.038,-2.574,30.759,59.017,0.461,-0.78,-1.308,"nan",0.0,"nan","nan"
"CASTRO2022;HUNT2023;CAVALLO2024","232;6289;5239","UBC 1233",36.2942,66.5419,132.0814,5.3498,0.315,-1.291,0.558,"ubc1233","UCC G132.0+05.3","Q2P",11.2,0.98,0.93,"AA",76.0,132.061,5.361,36.263,66.563,0.306,-1.306,0.572,-59.222,10.0,"cwnu99","0.83"
"HE2022","98","CWNU 99",36.3068,66.5477,132.084,5.357,0.29,-1.32,0.56,"cwnu99","UCC G132.0+05.3a","Q2P",8.3,0.99,0.59,"AB",168.0,132.069,5.356,36.267,66.547,0.299,-1.298,0.563,-56.811,11.0,"ubc1233","0.83"
"CASTRO2022;HUNT2023;CAVALLO2024","233;6290;5240","UBC 1234",30.8257,58.865,132.1196,-2.7189,0.4,-1.174,-0.85,"ubc1234","UCC G132.1-02.7","Q2N",15.5,1.0,0.71,"AB",90.0,132.133,-2.669,30.902,58.909,0.401,-1.177,-0.862,-54.063,2.0,"nan","nan"
"CASTRO2022","193","UBC 1194",180.02,63.9,132.1314,52.3012,0.3,-2.5,-1.26,"ubc1194","UCC G132.1+52.3","Q2P",28.8,0.99,0.35,"AC",76.0,132.115,52.376,180.204,63.799,0.244,-2.105,-1.747,-13.981,3.0,"nan","nan"
"CASTRO2022","234","UBC 1235",30.94,58.98,132.1446,-2.592,0.47,-0.73,-1.29,"ubc1235","UCC G132.1-02.5","Q2N",15.2,0.98,0.75,"AA",93.0,132.175,-2.586,30.955,58.977,0.459,-0.728,-1.309,-34.954,5.0,"theia2252","0.64"
"CANTAT2020;HUNT2023;CAVALLO2024","505;1729;1672","Gaia 2",28.136,53.058,132.1506,-8.7165,0.099,-1.181,1.299,"gaia2","UCC G132.1-08.7","Q2N",1.8,1.0,0.52,"AB",105.0,132.147,-8.74,28.127,53.036,0.157,-1.312,1.233,-54.356,4.0,"nan","nan"
"KHARCHENKO2012","2654","IRAS 02044+6031",32.032,60.75,132.1669,-0.7393,"nan","nan","nan","iras02044p6031","UCC G132.1-00.7","Q2N",3.3,0.16,0.35,"DC",0.0,132.161,-0.707,32.061,60.788,0.303,-0.695,-0.201,"nan",0.0,"nan","nan"
"HUNT2023;CAVALLO2024","5465;4648","Theia 2252",30.9945,58.9893,132.1691,-2.5753,0.4566,-0.7319,-1.3043,"theia2252","UCC G132.1-02.5a","Q2N",8.9,0.89,0.69,"AB",48.0,132.136,-2.574,30.923,58.996,0.458,-0.722,-1.314,-35.387,4.0,"ubc1235","0.64"
"HE2023_1","977","CWNU 3846",34.5219,64.0842,132.2272,2.7874,0.154,-0.594,0.295,"cwnu3846","UCC G132.2+02.7","Q2P",2.4,0.46,0.4,"CC",0.0,132.229,2.785,34.517,64.089,0.16,-0.623,0.297,"nan",0.0,"nan","nan"
"KHARCHENKO2012;LOKTIN2017;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2629;877;1100;1114;4885;4251","Riddle 4",31.862,60.26,132.2294,-1.2324,0.339,-0.757,-0.451,"riddle4","UCC G132.2-01.2","Q2N",6.5,0.99,0.79,"AA",115.0,132.219,-1.228,31.849,60.261,0.343,-0.805,-0.492,-38.217,8.0,"nan","nan"
"HE2023_1","1559","CWNU 4391",29.1205,54.95,132.2508,-6.7406,0.18,-0.855,-0.233,"cwnu4391","UCC G132.2-06.7","Q2N",2.4,0.59,0.41,"BC",0.0,132.253,-6.742,29.12,54.947,0.192,-0.87,-0.233,"nan",0.0,"nan","nan"
"HE2023_1","1671","CWNU 4504",34.5984,63.9707,132.2963,2.6913,0.19,0.004,-0.135,"cwnu4504","UCC G132.2+02.6","Q2P",3.3,0.35,0.3,"CC",0.0,132.29,2.692,34.574,63.979,0.185,-0.041,-0.177,"nan",0.0,"nan","nan"
"KHARCHENKO2012","2636","IRAS 02054+6011",32.175,60.437,132.3258,-1.0179,"nan","nan","nan","iras02054p6011","UCC G132.3-01.0","Q2N",3.3,0.1,0.31,"DC",0.0,132.325,-1.02,32.163,60.436,0.283,-1.1,-0.167,-70.719,1.0,"nan","nan"
"CHI2023_2","665","CWWDL 11834",33.9593,63.0253,132.3342,1.7046,0.288,-1.11,-0.132,"cwwdl11834","UCC G132.3+01.7","Q2P",13.2,0.55,0.4,"BC",35.0,132.344,1.734,33.966,63.055,0.294,-1.062,-0.131,-97.321,1.0,"nan","nan"
"CHI2023_2","561","CWWDL 10624",33.0031,61.5944,132.3608,0.2065,0.386,-1.372,0.022,"cwwdl10624","UCC G132.3+00.2","Q2P",10.0,0.11,0.35,"DC",34.0,132.37,0.207,33.024,61.583,0.358,-1.394,0.004,"nan",0.0,"nan","nan"
"CHI2023_1","68","LISC-III 3661",26.74,48.3098,132.378,-13.541,1.865,0.919,-4.755,"lisciii3661","UCC G132.3-13.5","Q2N",17.5,0.14,0.24,"DD",0.0,132.439,-13.513,26.857,48.278,1.787,0.779,-4.473,-20.601,7.0,"nan","nan"
"HE2023_1","1381","CWNU 4236",34.3122,63.2738,132.4047,1.9912,0.107,-0.747,0.169,"cwnu4236","UCC G132.4+01.9","Q2P",6.1,0.17,0.43,"DC",25.0,132.411,2.003,34.319,63.291,0.119,-0.769,0.142,-35.767,1.0,"nan","nan"
"DAMBIS1999;KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;DIAS2021;JAEHNIG2021;TARRICQ2022;HUNT2023;CAVALLO2024","62;2525;498;3548;1053;1077;354;241;4253;3930","NGC 744;Collinder 22;FSR 0574;MWSC 153",29.652,55.473,132.4118,-6.1576,0.729,-1.864,-1.79,"ngc744;collinder22;fsr0574;mwsc153","UCC G132.4-06.1","Q2N",8.0,1.0,0.67,"AB",282.0,132.396,-6.161,29.632,55.47,0.73,-1.865,-1.88,-24.86,31.0,"nan","nan"
"CANTAT2020;CASTRO2020;DIAS2021;HUNT2023;CAVALLO2024","1589;325;1412;5958;5706","UBC 417",29.214,54.43,132.4354,-7.2302,0.489,-0.764,-1.473,"ubc417","UCC G132.4-07.2","Q2N",11.8,0.76,0.67,"AB",27.0,132.442,-7.228,29.215,54.434,0.498,-0.833,-1.569,-29.929,2.0,"cwwdl13289","0.74"
"CHI2023_2","794","CWWDL 13289",29.2376,54.4171,132.4521,-7.2392,0.493,-0.653,-1.522,"cwwdl13289","UCC G132.4-07.2a","Q2N",5.7,0.81,0.52,"AB",36.0,132.445,-7.216,29.229,54.453,0.492,-0.797,-1.544,"nan",0.0,"ubc417","0.74"
"CHI2023_2","820","CWWDL 13362",31.7507,59.2562,132.4661,-2.2096,0.455,-0.9,-0.867,"cwwdl13362","UCC G132.4-02.2","Q2N",3.8,0.24,0.24,"DD",0.0,132.46,-2.209,31.72,59.258,0.45,-0.998,-0.916,"nan",0.0,"nan","nan"
"KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2759;94;1072;176;148;226;224","Berkeley 63;OCL 346;MWSC 177",34.858,63.718,132.4883,2.4909,0.172,-0.958,0.203,"berkeley63;ocl346;mwsc177","UCC G132.4+02.4","Q2P",2.8,0.99,0.7,"AB",116.0,132.486,2.488,34.858,63.718,0.182,-1.005,0.159,-66.448,3.0,"nan","nan"
"HE2022;HUNT2023;CAVALLO2024","65;346;1215","CWNU 66",33.3309,61.4595,132.5511,0.1265,0.408,-0.092,-0.77,"cwnu66","UCC G132.5+00.1","Q2P",5.1,0.46,0.64,"CB",42.0,132.539,0.135,33.307,61.47,0.412,-0.074,-0.747,-45.33,1.0,"nan","nan"
"HE2023_1","799","CWNU 3675",34.7867,63.2317,132.6204,2.0218,0.208,-1.26,-0.186,"cwnu3675","UCC G132.6+02.0","Q2P",3.5,0.71,0.55,"BB",34.0,132.623,2.038,34.799,63.244,0.214,-1.242,-0.174,"nan",0.0,"nan","nan"
"HE2023_1","1866","CWNU 4704",31.4602,58.1133,132.6489,-3.3478,0.26,-0.437,-0.427,"cwnu4704","UCC G132.6-03.3","Q2N",2.9,0.2,0.39,"DC",0.0,132.662,-3.342,31.482,58.114,0.283,-0.437,-0.404,"nan",0.0,"nan","nan"
"HUNT2023;CAVALLO2024","2621;1785","HSC 1078",31.2762,57.768,132.653,-3.7067,1.519,-1.856,-5.912,"hsc1078","UCC G132.6-03.7","Q2N",52.3,0.8,0.46,"AC",50.0,132.775,-3.772,31.286,57.64,1.524,-1.938,-5.865,-35.299,13.0,"nan","nan"
"HE2023","1174","CWNU 2445",32.0797,58.8103,132.758,-2.587,0.382,0.147,-0.86,"cwnu2445","UCC G132.7-02.5","Q2N",11.1,0.15,0.44,"DC",34.0,132.758,-2.575,32.078,58.804,0.391,0.145,-0.861,-17.369,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","2622;1787","HSC 1080",32.5781,59.3791,132.8336,-1.9678,1.512,-4.544,-2.299,"hsc1080","UCC G132.8-01.9","Q2N",38.9,0.47,0.49,"CC",32.0,132.527,-2.161,31.858,59.344,1.524,-4.507,-2.258,-12.137,10.0,"nan","nan"
"HE2022;HUNT2023;CAVALLO2024","76;350;1220","CWNU 77",44.9897,71.4424,132.8644,11.0935,1.172,-1.135,0.033,"cwnu77","UCC G132.8+11.0","Q2P",11.5,0.43,0.32,"CC",0.0,132.884,11.174,45.076,71.499,1.172,-1.073,0.056,-16.236,7.0,"nan","nan"
"KHARCHENKO2012;CANTAT2020;DIAS2021;TARRICQ2022;HE2022_1","2761;1063;1087;244;362","NGC 886",35.898,63.8,132.893,2.7249,0.954,3.186,-3.97,"ngc886","UCC G132.8+02.7","Q2P",19.4,1.0,0.55,"AB",452.0,132.896,2.719,35.952,63.799,0.954,3.122,-4.043,-11.36,69.0,"ubc189","0.88"
"HUNT2023;CAVALLO2024","2623;1788","HSC 1081",32.3236,58.7174,132.9064,-2.6384,0.247,-1.222,0.123,"hsc1081","UCC G132.9-02.6","Q2N",6.6,0.72,0.48,"BC",32.0,132.923,-2.637,32.356,58.72,0.241,-1.216,0.115,-55.631,4.0,"cwnu3946","0.79"
"CASTRO2020;HUNT2023;CAVALLO2024","98;5817;5556","UBC 189",35.9242,63.7928,132.9064,2.7222,0.961,3.153,-4.025,"ubc189","UCC G132.9+02.7","Q2P",20.7,1.0,0.76,"AA",373.0,132.89,2.721,35.93,63.79,0.963,3.132,-4.056,-12.066,64.0,"ngc886","0.88"
"HE2022;HUNT2023;CAVALLO2024","465;522;1179","CWNU 466",36.3843,64.3252,132.9071,3.2913,1.044,-0.759,0.893,"cwnu466","UCC G132.9+03.2","Q2P",13.3,0.37,0.54,"CB",24.0,132.97,3.306,36.481,64.344,1.061,-0.735,0.906,-23.009,4.0,"nan","nan"
"HUNT2023;CAVALLO2024","2624;1789","HSC 1082",44.3837,70.984,132.9129,10.5976,1.12,-0.972,-2.074,"hsc1082","UCC G132.9+10.5","Q2P",26.2,0.78,0.52,"AB",38.0,132.901,10.639,44.337,71.032,1.133,-0.885,-2.036,-29.373,10.0,"nan","nan"
"HE2023_1","1787","CWNU 4623",179.9317,62.5593,132.9261,53.5541,0.304,-3.621,-1.1,"cwnu4623","UCC G132.9+53.5","Q2P",13.5,0.09,0.29,"DC",0.0,132.847,53.562,180.059,62.548,0.668,-3.303,-1.455,28.416,1.0,"nan","nan"
"HE2023_1","1082","CWNU 3946",32.3741,58.7174,132.9315,-2.6306,0.252,-1.205,0.122,"cwnu3946","UCC G132.9-02.6a","Q2N",11.7,0.92,0.51,"AB",56.0,132.923,-2.648,32.352,58.71,0.232,-1.197,0.119,-81.565,5.0,"hsc1081","0.79"
"HE2023","17","CWNU 1288",33.0852,59.8429,132.937,-1.448,0.317,-1.244,0.093,"cwnu1288","UCC G132.9-01.4","Q2N",6.8,0.29,0.51,"CB",63.0,132.937,-1.439,33.092,59.841,0.3,-1.246,0.089,-49.038,2.0,"nan","nan"
"CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","248;210;311;300","COIN-Gaia 35",33.472,60.039,133.0603,-1.2014,0.341,-0.526,-0.396,"coingaia35","UCC G133.0-01.2","Q2N",5.4,0.55,0.65,"BB",27.0,133.048,-1.205,33.444,60.038,0.323,-0.536,-0.417,17.986,1.0,"cwwdl2008","0.54"
"HE2022_1","811","CWNU 1246",31.5523,56.7353,133.0906,-4.6544,2.02,0.847,-0.758,"cwnu1246","UCC G133.0-04.6","Q2N",30.9,0.24,0.3,"DC",0.0,133.124,-4.69,31.357,56.698,1.956,0.807,-0.723,-28.12,3.0,"nan","nan"
"CHI2023_2","164","CWWDL 2008",33.5374,60.0173,133.0981,-1.2118,0.386,-0.55,-0.392,"cwwdl2008","UCC G133.0-01.2a","Q2N",2.1,0.95,0.96,"AA",28.0,133.058,-1.211,33.477,60.031,0.376,-0.541,-0.418,"nan",0.0,"coingaia35","0.54"
"HE2022;HUNT2023;CAVALLO2024","64;345;1214","CWNU 65",35.4864,62.5583,133.148,1.4955,0.465,-0.542,-0.385,"cwnu65","UCC G133.1+01.4","Q2P",7.1,0.42,0.48,"CC",33.0,133.192,1.467,35.585,62.516,0.465,-0.554,-0.395,"nan",0.0,"nan","nan"
"CHI2023_2","871","CWWDL 13518",32.6255,58.3543,133.1657,-2.9377,0.46,-0.877,-0.937,"cwwdl13518","UCC G133.1-02.9","Q2N",4.3,0.65,0.37,"BC",0.0,133.177,-2.861,32.732,58.431,0.404,-0.903,-0.937,"nan",0.0,"nan","nan"
"HE2022;HUNT2023","345;468","CWNU 346",34.5243,61.1545,133.1916,0.0209,0.473,-0.836,-0.247,"cwnu346","UCC G133.1+00.0","Q2P",9.9,0.13,0.62,"DB",56.0,133.188,0.022,34.515,61.154,0.455,-0.828,-0.252,-59.52,3.0,"nan","nan"
"HAO2022","241","OC 0242",42.3119,69.0029,133.1939,8.5121,2.269,1.561,-7.934,"oc0242","UCC G133.1+08.5","Q2P",32.8,1.0,0.95,"AA",345.0,133.485,8.492,42.995,68.88,2.274,1.476,-7.918,-6.909,87.0,"fof2428;ocsn46;theia123","0.93;0.93;0.6"
"CHI2023_1","42","LISC-III 2920",34.0898,60.445,133.222,-0.719,0.679,-0.758,-0.547,"lisciii2920","UCC G133.2-00.7","Q2N",6.8,0.23,0.26,"DC",0.0,133.237,-0.716,34.1,60.426,0.627,-0.801,-0.553,-19.924,1.0,"nan","nan"
"HE2023_1","1287","CWNU 4145",32.6573,58.0599,133.2706,-3.2134,1.069,3.386,-3.767,"cwnu4145","UCC G133.2-03.2","Q2N",11.5,0.89,0.22,"AD",0.0,133.345,-3.25,32.698,58.005,1.06,3.379,-3.755,-8.183,7.0,"nan","nan"
"KHARCHENKO2012","2816","FSR 0576",42.922,69.245,133.2812,8.8258,"nan","nan","nan","fsr0576","UCC G133.2+08.8","Q2P",11.6,0.83,0.42,"AC",108.0,133.27,8.732,42.836,69.182,0.207,-0.147,-0.079,-31.35,3.0,"nan","nan"
"HUNT2023;CAVALLO2024","2625;1790","HSC 1083",40.8818,67.627,133.3126,7.043,0.215,-0.345,-0.463,"hsc1083","UCC G133.3+07.0","Q2P",3.1,0.43,0.56,"CB",48.0,133.327,7.016,40.893,67.588,0.225,-0.331,-0.474,-30.568,3.0,"cwnu3356","0.88"
"HE2023_1","145","CWNU 3065",40.4474,67.2211,133.331,6.6046,0.162,-0.853,0.356,"cwnu3065","UCC G133.3+06.6","Q2P",5.4,1.0,0.54,"AB",81.0,133.314,6.653,40.447,67.282,0.171,-0.919,0.352,-58.192,3.0,"nan","nan"
"HE2023_1","463","CWNU 3356",40.9012,67.5848,133.3373,7.0078,0.229,-0.329,-0.481,"cwnu3356","UCC G133.3+07.0a","Q2P",3.4,0.44,0.54,"CB",48.0,133.337,7.02,40.898,67.586,0.225,-0.333,-0.477,-30.568,3.0,"hsc1083","0.88"
"HUNT2023;CAVALLO2024","2626;1791","HSC 1084",40.449,67.1802,133.3486,6.5676,0.157,-0.849,0.336,"hsc1084","UCC G133.3+06.5","Q2P",7.2,1.0,0.47,"AC",127.0,133.324,6.584,40.447,67.207,0.162,-0.818,0.338,-58.192,5.0,"nan","nan"
"HUNT2023;CAVALLO2024","2627;1792","HSC 1085",34.5972,60.6656,133.3859,-0.4291,0.419,-1.01,-0.268,"hsc1085","UCC G133.3-00.4","Q2N",5.7,0.06,0.69,"DB",21.0,133.4,-0.413,34.621,60.674,0.429,-1.012,-0.316,-15.823,1.0,"nan","nan"
"HE2021","62","HXHWL 63",34.3319,60.2792,133.389,-0.837,0.63,-0.89,0.16,"hxhwl63","UCC G133.3-00.8","Q2N",5.6,0.67,0.49,"BC",28.0,133.387,-0.824,34.331,60.279,0.648,-0.895,0.11,34.063,1.0,"theia2254","0.71"
"HUNT2023;CAVALLO2024","5466;4649","Theia 2254",34.3104,60.2335,133.3938,-0.8837,0.6436,-0.9042,0.1133,"theia2254","UCC G133.3-00.8a","Q2N",4.7,0.93,0.49,"AC",43.0,133.395,-0.849,34.335,60.269,0.654,-0.928,0.099,34.063,1.0,"hxhwl63","0.71"
"KHARCHENKO2012;LOKTIN2017;CANTAT2020;DIAS2021;JAEHNIG2021;TARRICQ2022;HE2022_1;HUNT2023;CAVALLO2024","2602;962;1232;1233;394;269;397;5036;4408","Stock 2",33.856,59.522,133.4072,-1.6308,2.641,15.966,-13.627,"stock2","UCC G133.4-01.6","Q2N",42.4,1.0,1.0,"AA",1669.0,133.394,-1.592,33.837,59.551,2.669,15.832,-13.714,8.79,595.0,"nan","nan"
"KHARCHENKO2012","2666","FSR 0578",35.016,61.102,133.4329,0.0502,"nan","nan","nan","fsr0578","UCC G133.4+00.0","Q2P",4.6,0.62,0.51,"BB",27.0,133.458,-0.01,35.009,61.016,0.426,-1.075,-0.299,-66.804,2.0,"nan","nan"
"HUNT2023;CAVALLO2024","2628;1793","HSC 1086",34.6682,60.5832,133.446,-0.4954,0.471,1.919,-1.587,"hsc1086","UCC G133.4-00.4","Q2N",7.4,0.19,0.22,"DD",60.0,133.424,-0.488,34.635,60.594,0.454,1.817,-1.569,-49.97,1.0,"nan","nan"
"HE2023_1","1864","CWNU 4702",32.6567,57.4586,133.4522,-3.7867,0.162,-0.681,0.148,"cwnu4702","UCC G133.4-03.7","Q2N",2.0,0.39,0.36,"CC",0.0,133.445,-3.787,32.658,57.458,0.16,-0.683,0.136,-75.268,2.0,"nan","nan"
"HE2022_1;HUNT2023;CAVALLO2024","831;624;401","CWNU 1266",36.0979,62.3836,133.4738,1.4297,0.994,-0.044,-1.779,"cwnu1266","UCC G133.4+01.4","Q2P",16.3,0.57,0.53,"BB",26.0,133.406,1.446,35.948,62.414,0.99,-0.057,-1.774,-19.847,7.0,"nan","nan"
"HE2022_1","246","FoF 2428",43.0165,68.8418,133.4959,8.4813,2.279,1.464,-7.976,"fof2428","UCC G133.4+08.4","Q2P",33.2,1.0,0.96,"AA",357.0,133.505,8.505,43.063,68.867,2.274,1.45,-7.933,-6.695,84.0,"ocsn46;oc0242;theia123","1.0;0.93;0.61"
"QIN2023","45","OCSN 46",43.04,68.85,133.4998,8.4925,2.28,1.44,-7.95,"ocsn46","UCC G133.4+08.4a","Q2P",33.5,1.0,0.98,"AA",358.0,133.505,8.505,43.071,68.866,2.274,1.447,-7.934,-6.695,84.0,"fof2428;oc0242;theia123","1.0;0.93;0.61"
